"Cluster","radius","Ntot","Ncabs","Ncrel","pmRAC","s_pmRAC","pmDEC","s_pmDEC","rhoC","Nfabs","pmRAF","s_pmRAF","pmDEF","s_pmDEF","rhoF","FileName"
"Collinder_97",13.5,657,512,0.78,-0.2,1.82,-1.83,2.01,0.17,145,0.56,8.34,-5.43,11.25,-0.06,"Collinder_97.dat"
"Czernik_13",3.0,84,72,0.86,0.26,0.1,0.3,0.1,0.2,12,2.05,7.84,-4.75,7.33,-0.34,"Czernik_13.dat"
"Czernik_17",5.0,78,69,0.88,-0.34,2.45,0.33,3.45,-0.32,9,10.05,13.64,-12.1,5.86,0.04,"Czernik_17.dat"
"Czernik_18",3.5,49,29,0.59,0.57,0.1,-4.17,1.38,0.16,20,6.96,18.26,-0.57,24.51,-0.17,"Czernik_18.dat"
"Czernik_19",5.0,115,106,0.92,-1.77,0.37,-1.58,1.34,-0.04,9,9.65,2.66,-6.38,6.49,-0.47,"Czernik_19.dat"
"Czernik_2",3.9,155,124,0.8,-2.26,1.49,-0.47,0.1,0.15,31,0.37,10.08,-2.15,7.59,-0.49,"Czernik_2.dat"
"Czernik_21",4.0,80,68,0.85,3.6,2.38,-2.73,2.87,0.21,12,4.92,11.52,-5.93,9.84,-0.96,"Czernik_21.dat"
"Czernik_23",3.5,111,99,0.89,1.66,0.1,-3.84,1.96,-0.22,12,-1.24,5.3,-9.83,13.07,-0.34,"Czernik_23.dat"
"Czernik_24",4.0,85,67,0.79,0.27,1.67,-3.31,1.12,0.22,18,-1.67,4.76,-4.25,7.98,-0.07,"Czernik_24.dat"
"Czernik_25",3.5,49,36,0.73,0.61,2.56,-3.14,2.62,0.02,13,3.67,14.84,-3.59,14.44,-0.62,"Czernik_25.dat"
"Czernik_26",3.5,64,56,0.87,0.63,0.1,-1.4,1.48,-0.21,8,2.47,5.56,-2.38,18.92,-0.61,"Czernik_26.dat"
"Czernik_3",2.2,34,26,0.78,-2.02,0.1,0.53,1.25,-0.13,8,-0.82,20.61,-5.51,4.74,0.03,"Czernik_3.dat"
"Czernik_30",2.5,46,39,0.86,-1.85,2.18,0.56,1.31,-0.09,7,-5.68,7.49,-2.31,9.97,0.44,"Czernik_30.dat"
"Czernik_37",3.5,129,92,0.71,0.48,0.12,-1.12,0.24,-0.29,37,-2.03,7.11,-4.31,6.06,-0.58,"Czernik_37.dat"
"Czernik_39",2.25,102,81,0.8,-0.19,0.2,-3.67,1.89,0.16,21,2.38,6.63,-12.82,5.79,0.0,"Czernik_39.dat"
"Czernik_40",8.2,554,418,0.75,-3.79,1.71,-5.49,1.99,0.21,136,-3.86,12.02,-5.43,13.04,0.19,"Czernik_40.dat"
"Czernik_43",3.5,152,122,0.8,-2.57,2.25,-0.72,0.86,0.0,30,-5.5,9.01,-3.27,4.65,0.12,"Czernik_43.dat"
"Czernik_6",5.0,192,167,0.87,-1.18,1.77,-0.55,0.1,0.19,25,4.45,10.72,-7.02,7.18,-0.11,"Czernik_6.dat"
"Czernik_7",6.0,186,133,0.71,0.34,2.17,-0.15,1.43,-0.33,53,-1.82,10.23,-4.57,7.2,-0.09,"Czernik_7.dat"
"Czernik_9",2.6,39,32,0.83,-0.71,0.1,-0.24,1.7,-0.27,7,-1.02,20.94,10.36,0.1,-0.63,"Czernik_9.dat"
"DC_5",2.4,98,75,0.77,-6.98,1.13,2.56,0.84,-0.34,23,-6.69,8.41,-2.23,5.67,-0.22,"DC_5.dat"
"Dias_2",6.5,208,147,0.71,-0.08,0.16,-0.34,1.62,-0.11,61,-0.13,7.82,-1.47,7.87,0.04,"Dias_2.dat"
"Dias_3",9.0,513,409,0.8,-1.32,1.23,0.77,1.76,-0.08,104,-2.06,6.58,-0.66,7.91,-0.21,"Dias_3.dat"
"Dias_4",4.2,197,137,0.7,-5.73,1.24,-2.18,0.26,-0.05,60,-9.22,7.97,-4.79,5.87,0.25,"Dias_4.dat"
"Dias_5",2.5,56,48,0.86,-0.82,2.21,-2.14,2.76,0.23,8,-3.69,12.6,-3.88,11.32,-0.03,"Dias_5.dat"
"Dias_7",6.0,610,462,0.76,-4.48,2.22,-5.72,2.72,0.14,148,-5.11,11.59,-5.74,8.82,0.23,"Dias_7.dat"
"Dias_8",6.0,303,266,0.88,-2.01,2.93,-3.77,3.82,0.17,37,-2.1,15.97,-3.23,16.66,0.1,"Dias_8.dat"
"Dol_Dzim_10",2.25,78,69,0.89,-3.63,0.69,-5.39,3.97,0.0,9,-7.75,15.94,-12.74,0.16,0.43,"Dol_Dzim_10.dat"
"Dol_Dzim_2",3.5,32,22,0.69,-0.31,0.1,-0.92,2.61,0.63,10,-2.47,11.31,-0.47,15.64,0.3,"Dol_Dzim_2.dat"
"Dol_Dzim_4",7.0,117,100,0.85,2.07,2.43,-3.74,3.72,-0.01,17,4.73,13.28,-18.82,8.03,0.53,"Dol_Dzim_4.dat"
"Dolidze_1",5.0,354,268,0.76,-2.21,1.63,-4.91,1.41,0.15,86,-3.19,10.07,-4.07,10.13,-0.02,"Dolidze_1.dat"
"Dolidze_11",3.5,47,39,0.82,-2.46,3.34,-3.65,2.67,0.0,8,-11.32,4.36,-2.96,21.14,0.98,"Dolidze_11.dat"
"Dolidze_13",9.0,400,292,0.73,-2.09,1.83,0.38,1.06,0.0,108,2.53,11.53,0.34,6.77,-0.09,"Dolidze_13.dat"
"Dolidze_14",10.5,185,136,0.73,1.41,2.68,-4.37,3.93,-0.05,49,5.32,10.03,-11.33,10.94,-0.12,"Dolidze_14.dat"
"Dolidze_15",9.25,282,195,0.69,2.23,1.77,-3.02,2.47,-0.27,87,2.4,9.95,-7.8,9.99,0.02,"Dolidze_15.dat"
"Dolidze_16",10.9,329,256,0.78,0.45,2.09,-3.31,2.41,-0.05,73,5.43,7.68,-8.74,9.03,-0.14,"Dolidze_16.dat"
"Dolidze_18",8.15,371,278,0.75,0.75,1.17,-1.63,1.56,-0.13,93,2.86,8.31,-5.4,8.57,-0.2,"Dolidze_18.dat"
"Dolidze_20",6.0,169,146,0.86,0.47,2.18,-3.25,2.99,-0.07,23,3.26,9.31,-4.5,9.72,-0.11,"Dolidze_20.dat"
"Dolidze_22",10.7,508,395,0.78,0.2,1.74,-1.17,2.33,-0.07,113,0.5,7.54,-4.34,8.35,0.03,"Dolidze_22.dat"
"Dolidze_23",7.35,413,355,0.86,-0.88,1.39,-0.97,2.08,-0.05,58,1.01,8.97,-9.1,9.86,-0.22,"Dolidze_23.dat"
"Dolidze_24",10.4,615,447,0.73,-0.79,0.47,-1.1,1.57,0.13,168,-0.46,6.31,-3.88,6.9,-0.2,"Dolidze_24.dat"
"Dolidze_26",12.5,466,356,0.76,-1.38,3.05,-2.25,2.84,-0.16,110,-0.21,10.31,-6.57,10.13,0.02,"Dolidze_26.dat"
"Dolidze_28",6.8,326,243,0.75,-0.23,1.75,-2.56,1.8,0.2,83,-1.61,7.75,-3.48,8.71,-0.16,"Dolidze_28.dat"
"Dolidze_3",8.5,679,543,0.8,-2.93,1.31,-4.62,1.67,0.19,136,-1.08,8.85,-4.5,10.12,0.26,"Dolidze_3.dat"
"Dolidze_32",5.9,361,273,0.76,-0.76,0.1,-2.22,0.1,-0.09,88,-1.21,8.93,-6.89,9.01,0.17,"Dolidze_32.dat"
"Dolidze_33",5.5,225,170,0.75,-1.27,1.04,-2.21,0.47,0.18,55,-2.51,5.97,-6.4,8.28,-0.11,"Dolidze_33.dat"
"Dolidze_35",4.5,60,43,0.72,-0.29,3.56,-3.5,2.6,0.05,17,-1.56,11.35,-2.07,8.65,0.28,"Dolidze_35.dat"
"Dolidze_36",8.0,518,375,0.72,-1.54,2.15,-3.89,3.52,0.26,143,-0.7,10.88,-4.74,12.13,0.04,"Dolidze_36.dat"
"Dolidze_37",5.0,145,110,0.76,-2.73,2.46,-5.32,2.97,0.39,35,-4.0,8.86,-2.05,11.16,0.52,"Dolidze_37.dat"
"Dolidze_38",10.0,901,698,0.77,-3.37,2.84,-4.17,3.03,0.13,203,-2.01,10.03,-5.81,11.31,0.21,"Dolidze_38.dat"
"Dolidze_4",5.35,195,151,0.77,-1.66,3.47,-4.3,2.09,0.28,44,-0.92,10.71,-1.2,10.68,0.35,"Dolidze_4.dat"
"Dolidze_40",9.25,869,673,0.77,-3.26,1.23,-4.6,1.55,0.13,196,0.36,8.95,-4.49,9.45,0.36,"Dolidze_40.dat"
"Dolidze_42",4.5,189,155,0.82,-2.26,1.54,-3.88,2.43,0.28,34,0.89,5.9,-8.49,9.84,0.68,"Dolidze_42.dat"
"Dolidze_44",6.0,100,67,0.67,-1.32,3.3,-3.15,2.73,0.53,33,0.95,11.42,-3.89,13.59,0.58,"Dolidze_44.dat"
"Dolidze_45",9.1,728,550,0.76,-3.06,2.7,-4.71,3.03,0.27,178,-1.96,10.41,-5.8,11.11,0.14,"Dolidze_45.dat"
"Dolidze_47",6.5,267,206,0.77,-2.16,2.66,-3.72,2.87,0.29,61,-3.83,9.64,-6.83,9.33,0.43,"Dolidze_47.dat"
"Dolidze_5",4.75,167,111,0.67,-1.63,0.63,-5.56,1.51,0.18,56,0.19,9.61,-2.61,9.04,0.03,"Dolidze_5.dat"
"Dolidze_53",7.4,215,156,0.73,-2.2,2.79,-5.09,3.13,0.0,59,-2.6,10.42,-7.31,11.08,0.43,"Dolidze_53.dat"
"Dutra_Bica_28",1.8,85,69,0.81,-1.38,1.32,-3.27,2.71,0.12,16,-4.47,7.63,-3.46,8.92,-0.32,"Dutra_Bica_28.dat"
"Dutra_Bica_50",2.1,28,22,0.8,-2.12,1.72,-4.35,0.32,0.2,6,-8.52,8.7,-17.69,0.16,-0.05,"Dutra_Bica_50.dat"
"ESO_008_06",6.0,94,65,0.69,-5.29,3.87,-4.82,3.7,0.14,29,-7.08,14.35,-4.16,12.24,0.53,"ESO_008_06.dat"
"ESO_064_05",6.0,455,396,0.87,-7.0,3.74,-1.01,1.97,0.09,59,-14.01,11.12,1.25,9.28,0.26,"ESO_064_05.dat"
"ESO_065_03",4.0,183,159,0.87,-7.37,3.76,-1.63,1.87,0.05,24,-12.79,6.6,1.48,10.14,-0.59,"ESO_065_03.dat"
"ESO_092_05",3.5,98,89,0.91,-5.91,2.61,2.55,2.82,-0.28,9,-14.9,9.7,6.73,7.65,-0.85,"ESO_092_05.dat"
"ESO_092_18",3.5,175,144,0.82,-5.61,1.94,3.72,1.31,-0.4,31,-10.7,9.5,6.35,10.41,0.13,"ESO_092_18.dat"
"ESO_097_15",7.0,830,744,0.9,-6.03,3.22,-2.74,2.12,0.22,86,-7.95,10.52,-5.68,10.37,0.04,"ESO_097_15.dat"
"ESO_099_06",5.0,263,192,0.73,-5.22,2.54,-4.49,1.67,0.37,71,-6.66,8.31,-7.41,9.12,0.03,"ESO_099_06.dat"
"ESO_128_16",6.0,474,374,0.79,-7.64,2.66,1.88,1.52,-0.28,100,-9.31,10.79,3.62,12.59,0.06,"ESO_128_16.dat"
"ESO_129_19",3.5,208,160,0.77,-6.72,2.82,1.47,1.84,-0.07,48,-7.64,11.08,0.06,7.47,0.14,"ESO_129_19.dat"
"ESO_130_06",6.0,368,258,0.7,-9.28,2.75,-0.39,1.07,0.5,110,-8.26,9.75,-2.21,6.53,-0.26,"ESO_130_06.dat"
"ESO_130_13",6.0,420,325,0.77,-5.87,2.05,-1.06,0.8,0.04,95,-10.93,7.2,-1.84,4.45,0.07,"ESO_130_13.dat"
"ESO_132_14",2.5,79,67,0.85,-7.49,3.09,-2.77,1.17,0.16,12,-11.77,14.6,-1.72,16.04,0.42,"ESO_132_14.dat"
"ESO_165_09",8.5,639,546,0.86,-3.55,2.75,4.36,2.53,-0.43,93,-4.48,8.58,3.07,10.3,-0.32,"ESO_165_09.dat"
"ESO_166_04",3.0,92,75,0.81,-4.63,0.43,3.59,1.13,-0.32,17,-6.06,5.31,3.18,4.02,-0.33,"ESO_166_04.dat"
"ESO_168_04",2.5,75,69,0.92,-6.55,3.43,1.2,2.62,-0.35,6,-17.41,0.22,5.67,8.99,-0.67,"ESO_168_04.dat"
"ESO_175_06",10.0,1126,889,0.79,-5.42,3.02,-2.53,1.63,0.15,237,-8.07,10.69,-5.23,9.6,0.03,"ESO_175_06.dat"
"ESO_211_03",3.5,57,47,0.82,-9.11,2.82,4.39,2.56,0.04,10,-20.41,10.17,14.88,6.3,-0.7,"ESO_211_03.dat"
"ESO_226_06",3.0,160,112,0.7,-0.69,0.91,-2.38,0.22,0.08,48,-4.28,12.39,-2.19,12.94,0.04,"ESO_226_06.dat"
"ESO_258_01",6.0,124,96,0.78,-3.76,2.73,3.23,2.99,-0.2,28,-3.72,6.79,6.19,9.28,-0.32,"ESO_258_01.dat"
"ESO_260_06",2.0,41,36,0.87,-6.02,2.49,3.51,2.74,0.09,5,-4.28,7.13,0.19,12.98,-0.97,"ESO_260_06.dat"
"ESO_260_07",3.5,170,157,0.92,-5.43,2.09,4.89,2.68,-0.16,13,-13.23,5.52,0.72,12.39,-0.94,"ESO_260_07.dat"
"ESO_260_17",4.5,115,104,0.9,-6.42,3.11,4.04,3.48,-0.01,11,-26.07,5.28,9.41,8.62,0.53,"ESO_260_17.dat"
"ESO_261_03",6.0,110,87,0.79,-6.04,2.94,3.41,3.51,-0.13,23,-12.83,11.69,10.59,6.39,-0.43,"ESO_261_03.dat"
"ESO_311_14",4.0,110,77,0.7,-3.99,1.47,4.25,2.97,-0.27,33,-4.83,7.24,9.01,7.53,-0.49,"ESO_311_14.dat"
"ESO_311_21",3.5,56,38,0.68,-3.87,0.1,4.41,1.66,-0.1,18,-4.71,7.81,-0.58,5.65,-0.35,"ESO_311_21.dat"
"ESO_312_03",4.0,120,83,0.69,-3.23,0.84,3.12,1.7,0.09,37,-3.96,8.17,4.45,8.86,-0.18,"ESO_312_03.dat"
"ESO_313_11",3.0,88,83,0.95,-3.91,3.16,2.5,2.91,-0.24,5,-9.0,10.97,13.7,6.08,0.96,"ESO_313_11.dat"
"ESO_314_14",6.0,182,154,0.85,-5.75,3.71,2.57,3.3,-0.43,28,-10.82,10.39,5.26,9.32,0.15,"ESO_314_14.dat"
"ESO_329_02",5.0,168,133,0.79,-5.39,3.08,-3.5,2.91,0.12,35,-5.17,9.99,-6.83,7.87,0.41,"ESO_329_02.dat"
"ESO_332_08",6.0,441,361,0.82,-1.23,1.67,-2.38,2.01,0.32,80,-2.76,6.48,-7.88,7.35,0.11,"ESO_332_08.dat"
"ESO_332_11",2.5,68,51,0.75,-1.22,0.1,-2.33,1.88,0.34,17,0.02,6.91,-4.34,6.8,0.21,"ESO_332_11.dat"
"ESO_332_13",3.0,81,61,0.76,0.13,1.16,-0.34,1.87,0.59,20,-4.11,6.21,-4.34,5.91,-0.01,"ESO_332_13.dat"
"ESO_332_20",4.5,251,192,0.76,-0.87,2.8,-2.14,3.52,0.26,59,-6.45,9.76,-8.42,7.84,0.11,"ESO_332_20.dat"
"ESO_332_22",4.5,292,230,0.79,-1.12,1.22,-2.25,1.33,0.1,62,0.4,8.01,-5.71,7.48,0.34,"ESO_332_22.dat"
"ESO_335_05",4.5,261,235,0.9,-0.95,2.89,-5.08,3.56,0.07,26,0.53,8.2,-8.41,8.98,-0.39,"ESO_335_05.dat"
"ESO_370_13",2.0,43,36,0.84,-2.56,2.3,3.35,2.49,-0.4,7,-14.24,4.67,13.22,5.43,0.66,"ESO_370_13.dat"
"ESO_370_17",2.5,47,38,0.82,-2.76,1.58,1.95,2.32,-0.23,9,-10.09,1.84,7.29,7.58,0.43,"ESO_370_17.dat"
"ESO_392_13",6.0,91,65,0.72,-0.45,2.55,-3.14,2.29,0.13,26,-4.2,9.62,-8.97,13.74,0.09,"ESO_392_13.dat"
"ESO_393_15",3.5,347,298,0.86,-0.37,1.66,-1.3,2.49,0.09,49,-4.06,13.14,-6.63,11.64,-0.08,"ESO_393_15.dat"
"ESO_430_14",3.5,145,129,0.89,-3.27,1.42,3.19,1.59,0.12,16,-4.69,6.13,-1.23,8.78,-0.85,"ESO_430_14.dat"
"ESO_430_18",7.0,438,356,0.81,-2.49,0.88,2.28,1.12,-0.05,82,-4.42,5.03,3.53,5.99,-0.33,"ESO_430_18.dat"
"ESO_432_03",5.0,126,107,0.85,-3.52,2.35,1.91,3.22,-0.28,19,-6.45,7.1,0.84,8.09,-0.52,"ESO_432_03.dat"
"ESO_456_72",1.7,156,144,0.92,-2.57,3.88,-3.41,3.58,0.1,12,6.14,19.11,-11.8,17.53,0.42,"ESO_456_72.dat"
"ESO_493_03",4.5,112,83,0.74,-2.81,1.53,2.87,2.16,-0.32,29,-3.0,6.36,6.4,9.29,-0.05,"ESO_493_03.dat"
"ESO_518_03",3.5,84,56,0.67,1.99,1.3,-2.36,1.47,-0.01,28,-6.07,4.15,-8.03,6.15,0.05,"ESO_518_03.dat"
"ESO_521_38",2.5,43,27,0.64,0.34,0.1,-2.24,0.67,-0.56,16,1.88,2.6,-4.61,9.0,0.17,"ESO_521_38.dat"
"ESO_522_05",3.2,175,137,0.78,-1.65,1.82,-2.96,1.44,0.23,38,-1.45,9.11,-3.87,8.43,-0.14,"ESO_522_05.dat"
"ESO_522_16",1.8,149,131,0.88,-2.29,3.46,-3.91,2.99,0.26,18,-8.65,10.69,-14.68,6.64,-0.55,"ESO_522_16.dat"
"ESO_524_01",4.0,131,122,0.93,-0.81,3.39,-4.48,3.8,0.09,9,0.5,2.82,-14.29,8.17,0.14,"ESO_524_01.dat"
"ESO_559_02",1.5,19,13,0.67,-2.06,0.1,1.3,0.1,-0.39,6,-9.45,0.1,0.45,13.09,0.99,"ESO_559_02.dat"
"ESO_559_13",6.0,326,249,0.77,-2.21,0.4,2.71,1.42,-0.08,77,-2.45,5.08,0.14,7.86,0.06,"ESO_559_13.dat"
"ESO_561_05",4.5,150,104,0.69,-2.92,0.73,1.66,1.9,-0.4,46,-5.21,8.06,2.02,7.67,-0.11,"ESO_561_05.dat"
"ESO_589_26",2.25,71,55,0.77,0.02,0.1,-2.82,1.36,-0.5,16,-2.93,3.95,-3.65,4.8,0.42,"ESO_589_26.dat"
"FSR_0022",3.3,148,139,0.94,0.75,3.57,-2.08,2.19,0.18,9,-5.45,0.1,-2.03,17.54,0.18,"FSR_0022.dat"
"FSR_0031",5.8,179,126,0.7,-0.15,2.17,-2.31,2.56,0.35,53,-1.89,7.59,-9.17,6.81,-0.08,"FSR_0031.dat"
"FSR_0046",4.15,119,113,0.95,-0.01,2.81,-3.66,3.35,0.18,6,-3.44,13.66,-16.87,1.69,0.68,"FSR_0046.dat"
"FSR_0052",2.3,66,52,0.79,-1.03,2.47,-2.36,1.48,-0.02,14,3.13,2.48,-2.52,9.43,-0.31,"FSR_0052.dat"
"FSR_0054",1.5,58,43,0.73,-1.24,1.64,-2.0,2.23,0.29,15,-7.35,4.4,-10.96,7.64,-0.58,"FSR_0054.dat"
"FSR_0059",3.7,69,52,0.76,-0.01,0.68,-3.69,2.78,0.18,17,-3.72,8.07,-3.66,8.52,0.32,"FSR_0059.dat"
"FSR_0100",2.05,132,115,0.87,-1.09,1.86,-3.11,1.94,0.07,17,0.32,15.78,-7.59,11.48,-0.29,"FSR_0100.dat"
"FSR_0107",4.6,352,299,0.85,-1.73,2.51,-4.59,2.74,0.09,53,-5.28,21.52,-11.25,18.25,-0.05,"FSR_0107.dat"
"FSR_0118",2.35,118,100,0.85,-2.48,3.07,-4.89,2.54,0.19,18,5.17,12.73,-3.33,18.05,-0.45,"FSR_0118.dat"
"FSR_0133",4.8,77,63,0.82,-1.88,3.54,-4.41,2.73,0.03,14,1.45,13.49,-12.37,19.89,0.77,"FSR_0133.dat"
"FSR_0160",2.1,57,44,0.78,-1.24,1.07,-3.03,2.18,0.29,13,11.77,5.41,1.54,11.03,-0.43,"FSR_0160.dat"
"FSR_0165",4.95,174,135,0.78,-1.33,1.14,-3.75,1.84,0.35,39,-0.22,9.26,-4.73,10.15,0.17,"FSR_0165.dat"
"FSR_0167",3.6,146,114,0.78,-0.41,1.7,-1.12,1.1,0.25,32,-1.03,8.84,-6.01,10.8,0.39,"FSR_0167.dat"
"FSR_0178",4.0,72,51,0.71,-3.1,2.66,-4.75,3.99,0.61,21,1.71,6.05,-6.85,9.91,-0.55,"FSR_0178.dat"
"FSR_0182",1.6,70,60,0.86,-2.97,2.17,-3.5,1.96,0.17,10,-11.58,14.93,-8.37,12.64,-0.95,"FSR_0182.dat"
"FSR_0188",2.7,116,98,0.84,-1.99,2.05,-4.48,3.08,0.11,18,-0.56,9.87,6.33,4.61,0.14,"FSR_0188.dat"
"FSR_0190",3.1,126,79,0.63,-1.73,0.11,-4.22,2.59,0.11,47,-1.87,9.2,0.29,10.89,-0.14,"FSR_0190.dat"
"FSR_0192",3.8,137,95,0.7,-2.84,2.55,-4.68,2.33,0.18,42,-3.38,8.43,-4.32,10.83,0.09,"FSR_0192.dat"
"FSR_0198",4.5,145,115,0.79,-2.38,2.37,-3.86,3.83,0.44,30,-1.8,12.66,-6.32,14.87,0.21,"FSR_0198.dat"
"FSR_0213",4.2,72,47,0.65,0.81,2.65,-2.08,3.51,0.4,25,5.45,15.59,-7.59,8.6,0.26,"FSR_0213.dat"
"FSR_0219",2.05,21,15,0.71,-6.36,2.86,-4.82,0.1,-0.31,6,1.27,7.71,-4.66,8.3,0.99,"FSR_0219.dat"
"FSR_0224",2.0,24,18,0.74,-2.22,0.87,-3.76,0.1,0.23,6,4.98,9.95,-3.87,14.08,0.35,"FSR_0224.dat"
"FSR_0236",2.95,59,51,0.86,-2.1,3.27,-4.41,2.01,0.07,8,6.92,9.29,0.86,11.48,-0.59,"FSR_0236.dat"
"FSR_0249",3.0,22,17,0.76,-2.24,2.17,-4.56,3.42,0.59,5,2.47,18.75,11.89,7.78,-0.5,"FSR_0249.dat"
"FSR_0251",2.35,18,13,0.72,-0.05,3.5,0.32,3.74,0.66,5,-4.56,11.12,9.39,17.39,0.84,"FSR_0251.dat"
"FSR_0275",2.9,89,77,0.86,-3.58,1.34,-4.05,2.92,0.14,12,-0.06,8.45,-1.23,6.87,-0.9,"FSR_0275.dat"
"FSR_0284",2.8,69,61,0.88,-3.21,2.59,-4.82,2.34,0.11,8,10.37,9.14,9.18,0.76,-0.75,"FSR_0284.dat"
"FSR_0288",2.55,74,50,0.68,-3.04,3.2,-3.52,2.11,-0.01,24,-1.21,8.12,4.01,12.77,0.08,"FSR_0288.dat"
"FSR_0296",2.55,48,43,0.9,-3.61,1.71,-5.05,1.68,0.02,5,2.82,11.25,-4.57,1.2,0.92,"FSR_0296.dat"
"FSR_0304",5.05,95,73,0.77,-4.86,2.74,-2.02,1.54,0.14,22,-0.4,9.5,-4.87,14.81,0.5,"FSR_0304.dat"
"FSR_0306",5.5,213,166,0.78,-3.84,2.84,-4.36,2.69,0.33,47,1.23,8.1,-0.89,12.2,0.12,"FSR_0306.dat"
"FSR_0320",1.75,38,30,0.78,-5.08,0.96,-4.55,1.38,0.41,8,2.22,4.55,2.24,14.04,-0.35,"FSR_0320.dat"
"FSR_0322",2.9,83,78,0.94,-4.82,2.21,-3.34,2.21,0.33,5,-8.79,5.03,7.24,5.91,-0.71,"FSR_0322.dat"
"FSR_0325",1.9,52,41,0.79,-3.63,0.38,-2.73,0.1,0.61,11,-0.26,3.22,-4.53,4.43,0.19,"FSR_0325.dat"
"FSR_0336",5.95,199,152,0.76,-5.63,0.27,-2.91,0.14,-0.1,47,-6.02,5.47,-2.24,6.67,0.53,"FSR_0336.dat"
"FSR_0342",5.05,454,323,0.71,-3.9,1.01,-2.02,0.2,0.05,131,-3.38,10.77,-1.44,8.55,0.26,"FSR_0342.dat"
"FSR_0354",3.55,97,87,0.9,-3.13,3.7,-1.7,1.56,0.25,10,0.2,2.68,1.71,14.2,0.9,"FSR_0354.dat"
"FSR_0384",2.7,84,76,0.91,-1.99,2.17,-1.76,0.1,0.54,8,0.48,10.57,2.41,6.66,0.16,"FSR_0384.dat"
"FSR_0385",2.65,43,36,0.83,-4.38,1.62,-2.79,1.22,0.01,7,1.58,16.58,-1.74,10.21,0.95,"FSR_0385.dat"
"FSR_0406",4.1,52,37,0.7,-1.53,2.57,-2.73,0.1,0.37,15,-5.39,13.0,1.6,14.9,-0.24,"FSR_0406.dat"
"FSR_0442",3.2,48,38,0.79,-0.98,2.32,-2.85,2.54,-0.22,10,-5.22,14.8,2.76,1.27,0.03,"FSR_0442.dat"
"FSR_0448",3.45,68,63,0.93,-0.51,3.67,0.27,0.2,0.22,5,17.57,23.07,-4.57,1.07,-0.49,"FSR_0448.dat"
"FSR_0460",1.7,37,30,0.81,-0.91,1.82,-0.56,0.46,-0.37,7,5.49,23.86,-5.28,0.1,0.99,"FSR_0460.dat"
"FSR_0474",3.3,80,50,0.63,-1.99,2.85,-0.49,0.16,-0.36,30,0.41,14.94,-3.91,7.22,0.03,"FSR_0474.dat"
"FSR_0486",2.25,34,28,0.82,-1.11,3.6,0.42,2.06,-0.18,6,-18.3,20.74,-2.36,1.33,0.88,"FSR_0486.dat"
"FSR_0496",3.45,85,75,0.88,0.12,2.41,-0.2,0.1,0.34,10,5.8,11.26,1.81,3.98,-0.56,"FSR_0496.dat"
"FSR_0521",4.15,157,108,0.69,0.5,2.67,-0.62,0.71,0.23,49,1.98,12.2,-3.56,7.53,-0.22,"FSR_0521.dat"
"FSR_0534",4.0,78,71,0.91,0.59,0.72,-0.74,0.1,-0.09,7,6.67,8.45,-12.86,0.1,0.54,"FSR_0534.dat"
"FSR_0537",5.05,248,225,0.91,-0.45,3.23,-0.75,0.1,-0.03,23,3.67,11.7,-5.37,10.16,-0.54,"FSR_0537.dat"
"FSR_0542",5.0,109,88,0.8,-1.49,1.54,-1.15,2.08,-0.06,21,-1.56,12.97,-6.58,13.42,0.12,"FSR_0542.dat"
"FSR_0551",1.6,20,15,0.73,0.26,0.19,-1.63,0.18,-0.34,5,-2.32,16.28,1.63,2.97,-0.48,"FSR_0551.dat"
"FSR_0553",2.7,63,57,0.9,-2.02,2.18,0.45,2.24,0.37,6,8.82,6.48,5.77,9.51,-0.86,"FSR_0553.dat"
"FSR_0591",3.0,57,43,0.76,-0.54,0.1,-0.57,0.1,0.22,14,8.63,5.34,-3.64,5.07,0.26,"FSR_0591.dat"
"FSR_0614",2.4,38,32,0.85,0.09,1.98,-1.3,3.54,-0.16,6,-10.98,3.43,-2.37,14.08,0.96,"FSR_0614.dat"
"FSR_0647",2.25,41,34,0.82,0.93,3.54,-1.34,1.72,-0.24,7,14.39,0.1,-10.68,7.22,0.35,"FSR_0647.dat"
"FSR_0665",3.15,41,33,0.8,2.39,3.92,-2.65,2.44,-0.27,8,-12.18,4.71,10.37,11.01,-0.12,"FSR_0665.dat"
"FSR_0716",3.55,108,98,0.91,1.47,0.57,-2.61,2.9,0.42,10,5.48,0.35,-11.9,5.55,-0.97,"FSR_0716.dat"
"FSR_0721",3.8,92,74,0.81,0.02,1.23,-2.06,1.95,-0.35,18,-3.81,14.2,-9.76,9.52,-0.57,"FSR_0721.dat"
"FSR_0733",2.95,46,36,0.79,2.72,1.14,-3.77,2.65,-0.02,10,7.99,7.94,-13.53,1.87,-0.04,"FSR_0733.dat"
"FSR_0735",4.0,121,92,0.76,0.72,1.77,-2.76,1.58,0.09,29,4.11,7.3,-5.49,11.53,-0.35,"FSR_0735.dat"
"FSR_0744",1.8,23,14,0.61,1.79,2.38,-4.08,3.05,0.17,9,-7.41,34.94,21.89,27.34,-0.71,"FSR_0744.dat"
"FSR_0775",4.15,69,54,0.78,2.12,3.64,-4.75,1.65,-0.14,15,1.03,15.71,-7.07,13.41,-0.73,"FSR_0775.dat"
"FSR_0777",4.35,90,71,0.79,0.17,1.64,-3.11,1.41,0.05,19,3.02,11.75,-7.85,10.78,-0.12,"FSR_0777.dat"
