"Name","Type","RA_ICRS","DE_ICRS","pmRA","pmDE","Plx","dataSource","Family","Age","RVcomb","Xhelio","Yhelio","Zhelio","U","V","W","e_Xhelio","e_Yhelio","e_Zhelio","e_U","e_V","e_W","nRVcomb","Mass16","Mass50","Mass84","nSNe16","nSNe50","nSNe84","nsg8M16","nsg8M50","nsg8M84","Weightsc","NameBoth","dist"
"VDBH_56, BH_56","o",134.36937,-43.22045,-5.51675,5.39025,1.10348,"hunt","none",7.56488,17.64888,-84.20978,-875.59309,23.49805,-34.76963,-15.36365,-2.35176,0.26136,2.7176,0.07293,0.24102,1.08707,0.13195,26.0,453.30504,512.11573,581.45409,0.0,1.0,2.0,3.0,5.0,8.0,1.0,"BH_56",879.94699
"VDBH_99, BH_99","o",159.55377,-59.10926,-14.47735,0.98013,2.22424,"hunt","m6",44.79442,8.63229,125.44037,-421.94316,-4.15021,-23.67508,-16.96616,-13.12171,0.12358,0.41567,0.00409,0.19491,0.61518,0.04104,87.0,768.49529,854.5423,964.7901,7.0,9.0,11.0,7.0,9.0,11.0,0.90258,"BH_99",440.2142
"VDBH_164, BH_164","o",222.32385,-66.39249,-7.43669,-10.69606,2.37488,"hunt","m6",18.55441,-0.97387,286.5438,-293.02122,-44.31783,-18.63654,-13.69214,-12.11517,0.42522,0.43483,0.06577,0.51629,0.46194,0.10846,117.0,798.5276,896.43076,988.83657,3.0,6.0,8.0,7.0,10.0,13.0,0.24955,"BH_164",412.22913
"Briceno_1","o",81.08336,1.69561,1.38398,-0.01619,2.88781,"hunt","none",8.19239,20.6231,-302.86753,-116.52103,-108.285,-18.43782,-8.39644,-4.58498,0.509,0.19582,0.18198,0.58371,0.23413,0.21411,45.0,175.2629,208.79648,271.8498,0.0,0.0,2.0,1.0,3.0,4.0,0.21603,"Briceno_1",342.09872
"CWNU_45","o",108.09938,-27.98383,-3.13888,6.27542,1.61277,"hunt","m6",33.11691,36.44286,-294.78859,-515.92182,-85.35182,-35.85025,-22.17832,-5.40122,0.60161,1.0529,0.17419,0.67371,1.12231,0.24336,37.0,386.88175,463.14934,567.1482,2.0,4.0,7.0,3.0,5.0,7.0,0.70472,"CWNU_45",600.3004
"CWNU_52","o",72.33883,26.18539,-1.72801,-2.28138,1.61599,"hunt","none",55.50469,-7.33854,-588.99538,50.59871,-123.42632,3.44003,-2.37418,-7.61483,2.33814,0.20086,0.48997,2.83713,0.2881,0.64586,14.0,221.73556,268.62721,340.41612,2.0,3.0,5.0,2.0,3.0,5.0,1.0,"CWNU_52",603.91212
"CWNU_88","o",131.17282,-59.95995,-7.7082,6.61704,1.82916,"hunt","m6",14.80313,18.96512,57.40217,-520.2894,-97.66802,-23.93011,-20.03168,-8.43478,0.19723,1.78765,0.33558,0.18602,1.45892,0.33345,8.0,85.02908,106.53789,151.72116,0.0,1.0,1.0,0.0,1.0,3.0,0.26476,"CWNU_88",532.48015
"CWNU_311","o",333.43358,42.47927,-1.13305,-4.47532,1.55296,"hunt","none",49.06239,-7.44081,-47.62011,621.69467,-126.66911,11.51181,-4.55188,-7.6046,0.13508,1.76352,0.35931,0.24957,3.12191,0.57018,17.0,201.97965,249.3436,335.33667,1.0,3.0,4.0,1.0,3.0,4.0,1.0,"CWNU_311",636.25231
"CWNU_313","o",295.13797,-1.99248,0.55611,-2.52883,1.72172,"hunt","none",39.6136,-14.58077,446.63827,334.08713,-116.82705,-8.64936,-13.5064,-1.48019,1.73039,1.29434,0.45262,2.08603,1.53167,0.50869,7.0,169.18285,209.75992,297.08158,1.0,2.0,4.0,1.0,2.0,4.0,0.98153,"CWNU_313",569.86711
"CWNU_338","o",124.44272,-39.32859,-5.38549,5.35231,1.61041,"hunt","gamma_velorum",10.35076,28.06723,-136.91462,-588.27482,-21.60531,-28.65611,-25.09133,-4.66336,0.36253,1.55766,0.05721,0.7492,2.9966,0.08515,11.0,227.45294,270.32762,370.22087,0.0,1.0,2.0,1.0,2.0,5.0,0.2884,"CWNU_338",604.38371
