"No","Name","RA_1950","Dec_1950","Diam_arcmin","Richness","Reality","B","R","Remarks","RA_deg","DEC_deg"
78,"VDBH_78","9h 42.1m","-56° 20'",1.5,"P:","nan","?","nan","nan",145.525,-56.33333
79,"VDBH_79","9h 42.4m","-53° 05'",2.5,"P","d=","?","+","nan",145.6,-53.08333
80,"Ruprecht 83","9h 47.5m","-54° 20'",4.0,"M","+","+","+","nan",146.875,-54.33333
81,"Pismis 16","9h 49.3m","-52° 57'",1.5,"vP","+","+","nan","nan",147.325,-52.95
82,"NGC 3105","9h 59.0m","-54° 32'",2.5,"P","+","+","+","nan",149.75,-54.53333
83,"Ruprecht 85","9h 59.9m","-54° 48'",6.0,"M:","+","+","+","nan",149.975,-54.8
84,"VDBH_84","9h 59.9m","-57° 56'",4.5,"P","+","+","+","nan",149.975,-57.93333
85,"VDBH_85","10h 00.0m","-49° 24'",5.0,"P","+","+","nan","nan",150.0,-49.4
86,"NGC 3114","10h 01.1m","-59° 52'",3.0,"M","+","+","+","K",150.275,-59.86667
87,"VDBH_87","10h 02.5m","-55° 12'",3.0,"P","+","+","+","nan",150.625,-55.2
88,"VDBH_88","10h 04.5m","-51° 20'",3.0,"P","nan","nan","nan","nan",151.125,-51.33333
89,"Trumpler 12","10h 04.8m","-60° 04'",5.0,"M","+","+","+","nan",151.2,-60.06667
90,"VDBH_90","10h 10.2m","-57° 50'",4.0,"P","db","?","nan","nan",152.55,-57.83333
91,"VDBH_91","10h 15.5m","-58° 28'",5.0,"M:","d=","nan","nan","nan",153.875,-58.46667
92,"VDBH_92","10h 17.1m","-56° 11'",1.5,"P","+","+","nan","nan",154.275,-56.18333
93,"NGC 3228","10h 19.8m","-51° 28'",6.0,"P","+","+","+","nan",154.95,-51.46667
94,"Trumpler 13","10h 22.0m","-59° 50'",5.5,"M","+","+","+","nan",155.5,-59.83333
95,"Westerlund 2","10h 22.1m","-57° 30'",1.5,"M:","+","+","+","N?",155.525,-57.5
96,"NGC 3255","10h 24.7m","-60° 25'",3.0,"M","+","+","+","nan",156.175,-60.41667
97,"IC 2581","10h 25.5m","-57° 23'",6.0,"M","+","+","+","*, K",156.375,-57.38333
98,"NGC 3293","10h 33.9m","-57° 58'",8.0,"R","+","+","+","N",158.475,-57.96667
99,"VDBH_99","10h 36.0m","-58° 56'",15.0,"vP","+","+","nan","N, *",159.0,-58.93333
100,"NGC 3330","10h 36.6m","-53° 53'",6.0,"P","+","+","?","nan",159.15,-53.88333
101,"Melotte 101","10h 40.3m","-64° 50'",11.0,"R:","+","+","+","nan",160.075,-64.83333
102,"Trumpler 14","10h 42.0m","-59° 18'",1.5,"P:","+","+","+","N,",160.5,-59.3
103,"VDBH_103","10h 42.5m","-64° 04'",60.0,"P","+","+","+","nan",160.625,-64.06667
104,"Trumpler 15","10h 42.8m","-59° 06'",3.0,"M","+","+","+","N, K",160.7,-59.1
105,"Trumpler 16","10h 43.2m","-59° 27'",6.0,"P:","+","+","nan","N",160.8,-59.45
106,"VDBH_106","10h 50.6m","-53° 59'",5.0,"M:","d=","+","?","nan",162.65,-53.98333
107,"Trumpler 17","10h 54.2m","-58° 57'",6.0,"P","+","+","?","nan",163.55,-58.95
108,"NGC 3496","10h 57.8m","-60° 04'",8.0,"M","+","+","nan","C, K",164.45,-60.06667
109,"NGC 3532","11h 04.3m","-58° 24'",25.0,"R","+","+","nan","*, K",166.075,-58.4
110,"VDBH_110","11h 05.2m","-61° 12'",2.0,"M:","+","+","nan","nan",166.3,-61.2
111,"VDBH_111","11h 07.4m","-63° 35'",6.0,"P","+","nan","nan","nan",166.85,-63.58333
112,"NGC 3572","11h 08.3m","-59° 58'",6.0,"P","+","+","nan","N, *, K",167.075,-59.96667
113,"Trumpler 18","11h 09.3m","-60° 24'",6.0,"P","d=","+","nan","C, K",167.325,-60.4
114,"NGC 3590","11h 10.8m","-60° 31'",3.5,"M","+","+","+","nan",167.7,-60.51667
115,"NGC 3603","11h 12.9m","-60° 59'",2.5,"P:","+","+","+","N",168.225,-60.98333
116,"IC 2714","11h 15.7m","-62° 26'",11.0,"M","+","+","+","nan",168.925,-62.43333
117,"Melotte 105","11h 17.3m","-63° 14'",4.0,"R:","+","+","+","nan",169.325,-63.23333
118,"VDBH_118","11h 20.6m","-58° 16'",2.5,"M:","+","+","+","nan",170.15,-58.26667
119,"Ruprecht 164","11h 28.8m","-60° 32'",6.0,"M:","d=","?","?","nan",172.2,-60.53333
120,"NGC 3766","11h 33.8m","-61° 20'",11.0,"R","+","+","+","K",173.45,-61.33333
121,"VDBH_121","11h 35.8m","-63° 04'",6.0,"vP","±","+","+","N, *",173.95,-63.06667
122,"IC 2948","11h 36.4m","-63° 15'",15.0,"P","+","+","nan","N, *",174.1,-63.25
123,"NGC 3960","11h 48.4m","-55° 25'",10.0,"M","+","+","+","nan",177.1,-55.41667
124,"Ruprecht 97","11h 55.2m","-62° 25'",4.0,"M","d=","+","nan","C, *",178.8,-62.41667
125,"Ruprecht 98","11h 55.5m","-64° 12'",7.0,"vP","+","?","?","nan",178.875,-64.2
126,"NGC 4052","11h 59.3m","-62° 55'",6.0,"M","+","+","?","N?",179.825,-62.91667
127,"NGC 4103","12h 04.1m","-60° 58'",6.0,"M","+","+","+","K",181.025,-60.96667
128,"Ruprecht 102","12h 10.4m","-62° 21'",5.0,"M","nan","?","nan","nan",182.6,-62.35
129,"NGC 4337","12h 21.2m","-57° 51'",6.0,"M","+","+","+","nan",185.3,-57.85
130,"NGC 4349","12h 21.7m","-61° 37'",12.0,"R","+","+","+","*, K",185.425,-61.61667
131,"VDBH_131","12h 23.8m","-63° 09'",4.5,"P:","±","?","nan","nan",185.95,-63.15
132,"VDBH_132","12h 24.2m","-63° 48'",3.0,"P","+","+","nan","nan",186.05,-63.8
133,"VDBH_133","12h 24.4m","-60° 30'",6.0,"P","nan","?","nan","nan",186.1,-60.5
134,"NGC 4439","12h 25.6m","-59° 49'",3.0,"P","+","?","?","nan",186.4,-59.81667
135,"NGC 4463","12h 27.1m","-64° 31'",3.0,"P","+","+","+","nan",186.775,-64.51667
136,"Collinder 261","12h 34.9m","-68° 12'",8.0,"R","+","+","nan","nan",188.725,-68.2
137,"Trumpler 20","12h 36.8m","-60° 20'",7.0,"R","+","+","+","nan",189.2,-60.33333
138,"NGC 4609","12h 39.4m","-62° 42'",3.0,"P","+","+","nan","nan",189.85,-62.7
139,"Hogg 15","12h 40.6m","-62° 50'",1.5,"P","+","+","+","nan",190.15,-62.83333
141,"NGC 4755","12h 50.6m","-60° 04'",7.0,"R","+","+","+","nan",192.65,-60.06667
142,"NGC 4815","12h 54.9m","-64° 41'",6.0,"R","+","+","+","nan",193.725,-64.68333
143,"NGC 4852","12h 57.1m","-59° 20'",7.0,"M","+","+","+","nan",194.275,-59.33333
144,"VDBH_144","13h 11.8m","-65° 40'",1.5,"M:","+","+","+","nan",197.95,-65.66667
145,"Collinder 268","13h 15.4m","-66° 48'",5.0,"P","+","?","nan","nan",198.85,-66.8
146,"Ruprecht 107","13h 17.2m","-64° 41'",2.5,"P","+","?","nan","nan",199.3,-64.68333
147,"NGC 5168","13h 27.9m","-60° 41'",4.0,"M","+","+","+","nan",201.975,-60.68333
148,"Trumpler 21","13h 28.8m","-62° 32'",4.0,"P","+","+","?","nan",202.2,-62.53333
149,"Pismis 18","13h 33.7m","-61° 48'",4.0,"M","+","+","+","nan",203.425,-61.8
150,"VDBH_150","13h 34.4m","-63° 05'",2.5,"P:","+","+","?","nan",203.6,-63.08333
151,"VDBH_151","13h 36.9m","-61° 28'",3.0,"P","+","nan","nan","N",204.225,-61.46667
152,"NGC 5281","13h 43.1m","-62° 39'",3.0,"M","+","+","+","nan",205.775,-62.65
153,"NGC 5288","13h 45.1m","-64° 26'",3.0,"M:","+","?","?","nan",206.275,-64.43333
154,"NGC 5316","13h 50.4m","-61° 37'",8.0,"M","+","+","?","*, K",207.6,-61.61667
155,"VDBH_155","13h 54m","-59° 20'",11.0,"M","+","+","nan","nan",208.5,-59.33333
156,"NGC 5381","13h 57.1m","-59° 19'",6.0,"M","+","+","nan","nan",209.275,-59.31667
157,"Lynga 2","14h 20.3m","-61° 10'",10.0,"P","+","+","nan","C",215.075,-61.16667
158,"NGC 5606","14h 24.1m","-59° 25'",2.5,"vP","+","+","+","nan",216.025,-59.41667
159,"NGC 5617","14h 26.0m","-60° 30'",8.0,"R","+","+","+","C",216.5,-60.5
160,"Pismis 19","14h 26.9m","-60° 40'",3.0,"M:","+","+","+","nan",216.725,-60.66667
161,"Trumpler 22","14h 27.4m","-60° 57'",5.0,"M","+","+","+","c",216.85,-60.95
162,"NGC 5662","14h 31.6m","-56° 20'",20.0,"P","+","+","nan","*, c",217.9,-56.33333
163,"NGC 5715","14h 39.7m","-57° 20'",10.0,"M","+","+","nan","nan",219.925,-57.33333
164,"VDBH_164","14h 39.9m","-66° 11'",30.0,"vP","rt","+","nan","nan",219.975,-66.18333
165,"NGC 5749","14h 45.3m","-54° 19'",8.0,"P","+","+","nan","nan",221.325,-54.31667
166,"Hogg 18","14h 47.2m","-52° 03'",3.0,"vP","+","+","nan","nan",221.8,-52.05
167,"NGC 5764","14h 50.0m","-52° 29'",2.5,"vP","+","+","nan","nan",222.5,-52.48333
168,"NGC 5822","15h 01.5m","-54° 09'",30.0,"R","+","+","nan","nan",225.375,-54.15
169,"NGC 5823","15h 02.0m","-55° 24'",11.0,"M","+","+","nan","nan",225.5,-55.4
170,"Pismis 20","15h 11.5m","-58° 53'",1.5,"vP","+","+","+","nan",227.875,-58.88333
171,"Pismis 21","15h 12.8m","-59° 28'",2.5,"vP","+","+","nan","nan",228.2,-59.46667
172,"NGC 5925","15h 23.9m","-54° 21'",20.0,"M","±","+","+","nan",230.975,-54.35
174,"VDBH_174","15h 27.5m","-55° 05'",6.0,"P","zb","?","nan","nan",231.875,-55.08333
177,"Lynga 5","15h 38.4m","-56° 34'",6.0,"P","+","+","nan","nan",234.6,-56.56667
178,"NGC 5999","15h 48.2m","-56° 19'",8.0,"M","+","+","nan","nan",237.05,-56.31667
179,"NGC 6005","15h 51.8m","-57° 17'",4.0,"M","+","+","+","nan",237.95,-57.28333
180,"Trumpler 23","15h 56.6m","-53° 23'",6.0,"M","+","+","+","nan",239.15,-53.38333
181,"NGC 6025","15h 59.4m","-60° 22'",13.0,"P","+","+","+","nan",239.85,-60.36667
182,"Lynga 6","16h 01.0m","-51° 49'",4.0,"P","+","+","nan","*, C",240.25,-51.81667
183,"NGC 6031","16h 03.7m","-53° 56'",3.0,"P","+","+","nan","nan",240.925,-53.93333
185,"Ruprecht 115","16h 09.0m","-52° 15'",3.0,"P","+","+","nan","nan",242.25,-52.25
186,"NGC 6067","16h 09.3m","-54° 05'",10.0,"R","+","+","+","K",242.325,-54.08333
187,"Pismis 22","16h 09.6m","-51° 47'",2.0,"vP","+","+","nan","nan",242.4,-51.78333
188,"NGC 6087","16h 14.7m","-57° 47'",15.0,"vP","+","+","?","K",243.675,-57.78333
189,"Lynga 9","16h 16.8m","-48° 26'",6.0,"M","+","+","+","nan",244.2,-48.43333
190,"Pismis 23","16h 20.1m","-48° 48'",1.5,"M:","+","+","+","nan",245.025,-48.8
191,"NGC 6134","16h 24.0m","-49° 02'",6.0,"P","+","+","+","nan",246.0,-49.03333
192,"NGC 6167","16h 30.7m","-49° 30'",6.0,"R","+","+","+","nan",247.675,-49.5
193,"Collinder 307","16h 31.6m","-50° 52'",6.0,"P","+","+","+","nan",247.9,-50.86667
194,"NGC 6192","16h 36.8m","-43° 16'",6.0,"M","+","+","+","nan",249.2,-43.26667
195,"NGC 6193","16h 37.5m","-48° 40'",11.0,"P","+","+","nan","N",249.375,-48.66667
196,"NGC 6204","16h 42.8m","-46° 56'",4.0,"P","+","+","+","N?",250.7,-46.93333
197,"VDBH_197","16h 43.2m","-45° 44'",3.0,"M:","+","+","nan","nan",250.8,-45.73333
198,"NGC 6208","16h 45.5m","-53° 44'",12.0,"M:","+","+","nan","K",251.375,-53.73333
199,"NGC 6216","16h 45.8m","-44° 39'",4.5,"M","+","+","+","C",251.45,-44.65
200,"VDBH_200","16h 46.4m","-44° 08'",3.5,"P","=b","?","nan","nan",251.6,-44.13333
201,"NGC 6231","16h 50.5m","-41° 43'",8.0,"R","+","+","+","*, K",252.625,-41.71667
202,"VDBH_202","16h 51.8m","-40° 52'",3.0,"P","+","+","+","N?",252.95,-40.86667
203,"Collinder 316","16h 52.0m","-40° 45'",4.0,"P","+","nan","nan","nan",253.0,-40.75
204,"NGC 6242","16h 52.2m","-39° 25'",6.0,"M","+","+","+","nan",253.05,-39.41667
205,"VDBH_205","16h 52.6m","-40° 34'",4.0,"vP","zb","+","nan","N, *",253.15,-40.56667
206,"NGC 6250","16h 54.3m","-45° 43'",11.0,"vP","+","+","nan","N?",253.575,-45.71667
207,"NGC 6253","16h 55.1m","-52° 38'",6.0,"M:","+","+","+","nan",253.775,-52.63333
209,"NGC 6259","16h 51.1m","-44° 36'",10.0,"P","+","+","nan","nan",252.775,-44.6
211,"VDBH_211","16h 58.7m","-41° 00'",4.0,"P","±","+","nan","—",254.675,-41.0
212,"NGC 6268","16h 58.9m","-39° 40'",4.5,"P","+","+","+","nan",254.725,-39.66667
213,"NGC 6281","17h 01.4m","-37° 50'",6.0,"M","+","+","+","nan",255.35,-37.83333
214,"VDBH_214","17h 02.3m","-36° 36'",3.0,"P","=b","+","nan","N?",255.575,-36.6
217,"VDBH_217","17h 12.6m","-40° 46'",4.0,"M","+","+","+","nan",258.15,-40.76667
218,"VDBH_218","17h 12.7m","-39° 22'",5.0,"P","+","+","nan","nan",258.175,-39.36667
220,"VDBH_220","17h 14.9m","-42° 54'",6.0,"P","+","+","+","nan",258.725,-42.9
221,"VDBH_221","17h 15.2m","-32° 18'",10.0,"vP","nan","nan","nan","=h +",258.8,-32.3
222,"VDBH_222","17h 15.4m","-38° 14'",2.5,"M:","+","-","+","N?",258.85,-38.23333
223,"VDBH_223","17h 17.2m","-35° 50'",5.0,"vP","+","+","-","N",259.3,-35.83333
225,"Trumpler 25","17h 21.3m","-38° 57'",6.0,"M","+","+","+","nan",260.325,-38.95
227,"Pismis 24","17h 21.5m","-34° 08'",1.5,"vP","+","+","nan","N",260.375,-34.13333
230,"Harvard 16","17h 28.0m","-36° 49'",7.0,"M","+","+","nan","nan",262.0,-36.81667
231,"VDBH_231","17h 28.6m","-31° 52'",4.0,"M","±","nan","nan","nan",262.15,-31.86667
232,"NGC 6383","17h 31.4m","-32° 32'",5.0,"P","±","?","?","N?,*, K",262.85,-32.53333
237,"Trumpler 27","17h 32.9m","-33° 27'",7.0,"P","+","-","?","nan",263.225,-33.45
238,"Trumpler 28","17h 33.5m","-32° 27'",6.0,"P","+","+","nan","nan",263.375,-32.45
239,"NGC 6396","17h 34.8m","-34° 58'",4.0,"M","+","+","+","N?",263.7,-34.96667
240,"NGC 6404","17h 36.3m","-33° 13'",5.0,"M","+","+","-","N?",264.075,-33.21667
241,"VDBH_241","17h 36.4m","-36° 56'",6.0,"M","+","+","+","nan",264.1,-36.93333
242,"NGC 6405","17h 36.8m","-32° 11'",15.0,"M","+","+","+","K",264.2,-32.18333
243,"Ruprecht 128","17h 40.9m","-34° 51'",6.0,"M","±","?","-","N?",265.225,-34.85
244,"Collinder 347","17h 43.2m","-29° 17'",5.0,"P","+","?","?","N",265.8,-29.28333
245,"VDBH_245","17h 43.2m","-29° 41'",2.0,"vP","±","-","?","nan",265.8,-29.68333
246,"NGC 6425","17h 43.7m","-31° 31'",9.0,"M","+","+","?","nan",265.925,-31.51667
247,"Ruprecht 130","17h 44.4m","-30° 06'",3.0,"P","+","nan","nan","_ jfr",266.1,-30.1
250,"NGC 6451","17h 47.5m","-30° 12'",6.0,"M","+","+","+","nan",266.875,-30.2
252,"Ruprecht 134","17h 49.6m","-29° 33'",5.0,"M","±","?","-","*",267.4,-29.55
253,"Czernik 37","17h 50.1m","-27° 21'",3.0,"M:","+","+","nan","nan",267.525,-27.35
254,"NGC 6475","17h 50.6m","-34° 48'",15.0,"P","+","+","+","*, K",267.65,-34.8
255,"NGC 6520","18h 00.2m","-27° 54'",3.0,"M","+","+","+","nan",270.05,-27.9
