"ID","Name","OName","Cat","GLON","GLAT","RAJ2000","DEJ2000","Diam","l_Dist","Dist","e_Dist","r_Dist","l_Dnear","Dnear","e_Dnear","l_Dfar","Dfar","e_Dfar","Age","e_Age","r_Age","Mtype","Mflag","l_Sep","Sep","Flg","NameVlsr","Vlsr","r_Vlsr","l_KDist","KDist","e_KDist","l_KDnear","KDnear","e_KDnear","l_KDfar","KDfar","e_KDfar","KDA","r_KDA","SDist","e_SDist","r_SDist","f_SDist","ref2","Dias","Conf","HII","Bub","IRDC","noGL","SubCl","Complex","r_Complex","Comm1","Comm2","RA","DEC"
1,"VDBH 131, BH 131","nan","(01),13",300.116,-0.68,"12 26 13.7","-63 24 50",300,"nan",6.25,0.94,"S","nan","nan","nan","nan","nan","nan",1259.0,290.0,"96","OC2","exp",">",3.77,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",6.25,0.94,96.0,"nan","nan",96.0,"96","nan","nan","nan",0,"nan","nan","nan","nan","nan",186.55708,-63.41389
2,"MCM 32, MCM2005b 32","nan","09",300.131,-0.086,"12 26 52.0","-62 49 27",36,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",4.47,1,"G300.16-0.09",-39.4,249.0,"nan",4.14,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","associated with G300.16-0.09?",186.71667,-62.82417
3,"VDBH 132, BH 132","nan","01",300.263,-1.322,"12 27 00.0","-64 04 00",240,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.0,50.0,"176","OC2","exp",">",7.46,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,"nan","nan","nan","nan","nan",186.75,-64.06667
4,"VVV CL013","nan","14",300.343,-0.217,"12 28 37.0","-62 58 25",54,"nan",4.16,0.54,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G300.3412-00.2190",-38.5,187.0,"nan",4.16,0.54,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",187.15417,-62.97361
5,"FSR2007 1616","nan","11",300.474,-0.666,"12 29 26.0","-63 25 58",101,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",17.81,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",187.35833,-63.43278
6,"MCM 33, MCM2005b 33","nan","09",300.507,-0.176,"12 30 05.0","-62 56 50",96,"nan",9.41,0.6,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G300.50-0.18",9.4,249.0,"nan",9.41,0.6,"nan","nan","nan","nan","nan","nan","F","O","nan","nan","nan","nan","nan","nan","nan","CH87 300.479-0.192","nan","nan",0,"nan","nan","nan","nan","nan",187.52083,-62.94722
7,"Ruprecht 105","nan","01",300.885,1.237,"12 34 14.0","-61 34 00",720,"nan",0.95,0.14,"S","nan","nan","nan","nan","nan","nan",1023.0,471.0,"115","OC2","exp*","nan",0.91,1,"G300.97+1.15",-42.5,249.0,"nan",4.24,0.5,"nan","nan","nan","nan","nan","nan","T","nan",0.95,0.14,115.0,"nan","nan",115.0,"115","nan","nan","nan",1,"nan","nan","nan","nan","nan",188.55833,-61.56667
8,"G3CC 5","nan","17",300.913,0.887,"12 34 16.2","-61 55 04",76,"nan",4.24,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G300.91+0.88",-40.9,249.0,"nan",4.23,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","KC-01","nan","nan","nan",188.5675,-61.91778
9,"DBSB 77, DBS2003 77","nan","05",300.966,1.154,"12 34 52.0","-61 39 15",138,"nan",4.24,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G300.97+1.15",-42.5,249.0,"nan",4.24,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","CH87 300.956+1.161","nan","nan",0,1.0,"KC-01","nan","nan","nan",188.71667,-61.65417
10,"VVV CL015","nan","14",300.967,1.137,"12 34 52.0","-61 40 16",40,"nan",4.24,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"G300.97+1.15",-42.5,249.0,"nan",4.24,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,1.0,"KC-01","nan","nan","nan",188.71667,-61.67111
11,"VVV CL016","nan","14",300.984,1.115,"12 35 00.0","-61 41 40",80,"nan",4.24,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen","nan",0.46,11,"G301.01+1.11",-42.0,249.0,"nan",4.24,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","Bub(ID:11)","nan",0,"nan","KC-01","nan","nan","nan",188.75,-61.69444
12,"DBSB 78, DBS2003 78","nan","05",301.118,0.968,"12 36 03.0","-61 51 00",72,"nan",4.24,0.5,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen-trig","nan",0.0,11,"G301.12+0.96",-40.1,249.0,"nan",4.25,0.5,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","CH87 301.109+0.969","Bub(ID:12)","nan",0,"nan","KC-01","nan","nan","nan",189.0125,-61.85
13,"VVV CL017","nan","14,17",301.137,-0.226,"12 35 35.2","-63 02 34",57,"nan",4.26,0.68,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.bub-edge","nan",0.0,11,"G301.14-0.23",-39.6,249.0,"nan",4.26,0.68,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","102","WBH98 12326-6245 (UC)","S169","SDC G301.147-0.228",0,"nan","nan","nan","nan","nan",188.89667,-63.04278
14,"FSR2007 1622","nan","11",301.416,-0.439,"12 37 57.0","-63 16 16",281,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",5.55,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",189.4875,-63.27111
15,"G3CC 6","nan","17",301.643,-0.24,"12 40 02.6","-63 05 01",67,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.bub-edge","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","S167","IRDC(ID:15)",0,"nan","nan","nan","nan","nan",190.01083,-63.08361
16,"NGC 4609","nan","01",301.895,-0.142,"12 42 18.0","-62 59 42",780,"nan",1.32,0.2,"S","nan","nan","nan","nan","nan","nan",50.1,15.0,"120","OC2","exp","nan",1.29,1,"G302.03-0.06",-34.4,253.0,"nan",4.37,1.95,"nan","nan","nan","nan","nan","nan","T","nan",1.32,0.2,120.0,"nan","nan",120.0,"120","nan","nan","nan",0,"nan","nan","nan","nan","nan",190.575,-62.995
17,"G3CC 7","nan","17",301.947,0.313,"12 42 53.7","-62 32 32",65,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",8.72,1,"G302.02+0.25",-37.1,249.0,"nan",4.36,1.57,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","ATLASGAL and GLIMPSE images suggest the presence of a faint filament",190.72375,-62.54222
18,"Hogg 15","nan","01",302.047,-0.242,"12 43 37.0","-63 06 00",420,"nan",3.2,0.48,"S","nan","nan","nan","nan","nan","nan",20.0,10.0,"177","OC1","exp","nan",2.75,1,"G302.03-0.06",-34.4,253.0,"nan",4.37,1.95,"nan","nan","nan","nan","nan","nan","T","nan",3.2,0.48,120.0,"nan","nan",120.0,"120","nan","nan","nan",0,"nan","nan","nan","nan","nan",190.90417,-63.1
19,"VVV CL018","nan","14",302.158,0.065,"12 44 40.0","-62 47 46",60,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",191.16667,-62.79611
20,"MCM 34, MCM2005b 34","nan","09",302.433,-0.105,"12 47 03.0","-62 58 21",156,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.13,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","MCG2002 G302.4-0.1","nan","nan",0,"nan","nan","nan","nan","associated with G302.49-0.03?",191.7625,-62.9725
21,"FSR2007 1630","nan","11",302.612,0.716,"12 48 42.0","-62 09 14",346,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",5.18,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",192.175,-62.15389
22,"DBSB 79, DBS2003 79","nan","05",302.64,-0.873,"12 48 48.0","-63 44 35",66,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",8.85,1,"G302.6604-00.7908",26.4,187.0,"nan",11.4,0.64,"nan","nan","nan","nan","nan","nan","F","O","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",192.2,-63.74306
23,"DBSB 80, DBS2003 80","nan","05",302.806,1.29,"12 50 23.0","-61 34 55",78,"nan",4.46,2.4,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen","nan",0.6,24,"CH87 302.804+1.306",-32.0,51.0,"nan",4.46,2.4,"nan","nan","nan","nan","nan","nan","T","nan","nan","nan","nan","nan","nan","nan","nan","CH87 302.804+1.306","nan","nan",1,"nan","nan","nan","nan","nan",192.59583,-61.58194
24,"Teutsch 109","nan","02",303.652,-0.403,"12 57 50.4","-63 15 56",132,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",9.04,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",194.46,-63.26556
25,"G3CC 8","nan","17",303.927,-0.687,"13 00 22.2","-63 32 30",107,"nan",12.1,0.66,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G303.93-0.69",30.9,253.0,"nan",12.1,0.66,"nan","nan","nan","nan","nan","nan","F","O","nan","nan","nan","nan","nan","nan","nan","nan","S163","nan",0,"nan","nan","nan","nan","nan",195.0925,-63.54167
26,"G3CC 9","nan","17",304.002,0.464,"13 00 40.3","-62 23 17",82,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",5.74,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","S162","nan",0,"nan","nan","nan","nan","faint ATLASGAL emission inside the cluster",195.16792,-62.38806
27,"VVV CL019","nan","14",304.805,1.397,"13 07 06.0","-61 25 03",100,"nan",2.11,0.72,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,11,"IRAS 13039-6108",-26.2,84.0,"nan",2.11,0.72,"nan","nan","nan","nan","nan","nan","N","D","nan","nan","nan","nan","nan","nan","nan","nan","nan","MSXDC G304.74+01.32",1,"nan","nan","nan","nan","filamentary IRDC MSXDC G304.74+01.32 extends to the cluster position (Ref:145)",196.775,-61.4175
28,"MCM 35, MCM2005b 35","nan","09",304.845,0.08,"13 08 09.0","-62 43 46",36,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",22.64,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",197.0375,-62.72944
29,"VVV CL020","nan","14",304.87,1.486,"13 07 36.0","-61 19 28",48,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",6.76,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,"nan","nan","nan","nan","nan",196.9,-61.32444
30,"G3CC 10","nan","17",304.887,0.635,"13 08 12.3","-62 10 23",41,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,11,"G304.89+0.64",-36.1,249.0,"nan",3.53,1.18,"nan","nan","nan","nan","nan","nan","NT","C","nan","nan","nan","nan","nan","nan","nan","nan","nan","IRDC(ID:30)",0,"nan","G305","58","nan","nan",197.05125,-62.17306
31,"DBSB 82, DBS2003 82","nan","05",304.928,0.556,"13 08 36.0","-62 14 58",102,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen-trig","nan",0.0,11,"G304.93+0.55",-34.5,253.0,"nan",3.44,1.27,"nan","nan","nan","nan","nan","nan","NT","C","nan","nan","nan","nan","nan","nan","nan","PMN J1308-6215","Bub(ID:31)","nan",0,"nan","G305","58","nan","nan",197.15,-62.24944
32,"DBSB 131, DBS2003 131","nan","05,17",305.259,0.227,"13 11 39.3","-62 33 12",69,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan",2.0,1.0,"11","OC0","surr.bub-cen","nan",1.14,11,"G305.25+0.25",-38.3,249.0,"nan",3.65,1.1,"nan","nan","nan","nan","nan","nan","NT","C,S",3.9,0.59,130.0,"nan","nan","nan","130,126,11","CH87 305.254+0.204","S156","nan",0,"nan","G305","58","nan","nan",197.91375,-62.55333
33,"DBSB 130, DBS2003 130","nan","05",305.269,-0.005,"13 11 54.0","-62 47 02",96,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan",2.0,1.0,"11","EC2","p-emb.bub-cen","nan",0.0,11,"G305.27-0.01",-31.5,249.0,"nan",2.7,0.84,"nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","11","DWS84 G305.27-0.01","S155","nan",0,"nan","G305","58","stellar distance from Ref:11 not listed, beause they assume the same extinction as for clusters Danks 1 & 2, which is unlikely given the strong ATLASGAL emission","nan",197.975,-62.78389
34,"VVV CL021","nan","14",305.277,0.164,"13 11 51.0","-62 36 52",58,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.22,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DWS84 G305.27+0.17","nan","nan",0,"nan","G305","58","nan","nan",197.9625,-62.61444
35,"DBSB 132, DBS2003 132","nan","05",305.321,0.07,"13 12 18.0","-62 42 16",39,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DWS84 G305.32+0.07","S154","nan",0,"nan","G305","58","nan","nan",198.075,-62.70444
36,"Danks 1","nan","01,17",305.338,0.074,"13 12 26.9","-62 41 59",66,"nan",3.8,0.6,"S","nan","nan","nan","nan","nan","nan",2.0,1.0,"68","OC0","surr","nan",1.2,20,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",3.8,0.6,68.0,"nan","nan","nan","68","nan","nan","nan",0,"nan","G305","58","nan","nan",198.11208,-62.69972
37,"VVV CL022","nan","14",305.362,0.151,"13 12 36.0","-62 37 16",106,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G305.36+0.15",-38.5,249.0,"nan",3.66,1.1,"nan","nan","nan","nan","nan","nan","NT","C","nan","nan","nan","nan","nan","nan","nan","CH87 305.363+0.179","nan","nan",0,"nan","G305","58","nan","nan",198.15,-62.62111
38,"MCM 36, MCM2005b 36","nan","09",305.383,-0.237,"13 13 04.0","-63 00 21",96,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.bub-cen","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","S152","nan",0,"nan","nan","nan","nan","nan",198.26667,-63.00583
39,"Danks 2","nan","01,17",305.392,0.091,"13 12 54.1","-62 40 40",93,"nan",3.8,0.6,"S","nan","nan","nan","nan","nan","nan",4.0,2.0,"68","OC1","exp","nan",4.13,20,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",3.8,0.6,68.0,"nan","nan","nan","68","nan","nan","nan",0,"nan","G305","58","nan","nan",198.22542,-62.67778
40,"VVV CL023","nan","14",305.438,0.208,"13 13 13.0","-62 33 26",54,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC1","exp.pah","nan",1.89,21,"G305.42+0.24",-38.5,253.0,"nan",3.67,1.11,"nan","nan","nan","nan","nan","nan","NT","C","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","G305","58","nan","nan",198.30417,-62.55722
41,"NGC 5045","nan","01",305.474,-0.63,"13 14 10.0","-63 23 24",2712,"nan",1.5,0.23,"S","nan","nan","nan","nan","nan","nan",12.9,5.9,"115","OC2","few","nan",0.35,1,"IRAS 13120-6310",-20.8,43.0,"nan",8.05,0.62,"nan","nan","nan","nan","nan","nan","F","187",1.5,0.23,115.0,"nan","nan",115.0,"115","nan","nan","nan",0,"nan","nan","nan","nan","nan",198.54167,-63.39
42,"DBSB 133, DBS2003 133","nan","05",305.538,0.352,"13 13 58.0","-62 24 22",129,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen-trig","nan",0.0,11,"G305.54+0.34",-34.8,249.0,"nan",3.21,1.05,"nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","nan","CH87 305.537+0.338","S150","nan",0,"nan","G305","58","nan","nan",198.49167,-62.40611
43,"DBSB 134, DBS2003 134","nan","05",305.554,0.011,"13 14 22.0","-62 44 40",96,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.bub-cen-trig","nan",0.0,11,"G305.56+0.01",-38.8,249.0,"nan",3.68,1.1,"nan","nan","nan","nan","nan","nan","NT","C","nan","nan","nan","nan","nan","nan","nan","CH87 305.551-0.005","S149","nan",0,"nan","G305","58","nan","nan",198.59167,-62.74444
44,"MCM 37, MCM2005b 37","nan","09",305.834,-0.061,"13 16 52.0","-62 47 22",144,"nan",3.8,0.6,"C(ID:36)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.07,14,"CH87 305.807-0.063",-30.0,51.0,"nan",2.45,0.75,"nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","nan","CH87 305.807-0.063","nan","nan",0,"nan","G305","58","nan","nan",199.21667,-62.78944
45,"DBSB 85, DBS2003 85","nan","05",306.035,0.045,"13 18 31.0","-62 39 47",102,"nan",1.98,0.52,"S","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen","nan",0.68,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.98,0.52,103.0,"nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",199.62917,-62.66306
46,"VVV CL024","nan","14",306.053,-0.038,"13 18 45.0","-62 44 39",54,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",199.6875,-62.74417
47,"DBSB 86, DBS2003 86","nan","05",306.11,0.13,"13 19 05.0","-62 34 16",122,"nan",2.71,0.8,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.24,11,"G306.14+0.13",-32.5,253.0,"nan",2.71,0.8,"nan","nan","nan","nan","nan","nan","N","187","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",199.77083,-62.57111
48,"Stock 16","nan","01",306.149,0.063,"13 19 29.0","-62 38 00",180,"nan",1.81,0.27,"S","nan","nan","nan","nan","nan","nan",7.94,2.78,"164","OC2","exp","nan",2.51,1,"G306.14+0.13",-32.5,253.0,"nan",2.71,0.8,"nan","nan","nan","nan","nan","nan","N","187",1.81,0.27,164.0,"nan","nan",164.0,"164","nan","nan","nan",0,"nan","nan","nan","wrong coordinates? (different in SIMBAD)","nan",199.87083,-62.63333
49,"FSR2007 1645","nan","(01),11",306.42,0.724,"13 21 10.0","-61 56 46",641,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",2.8,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",200.29167,-61.94611
50,"Teutsch 79","nan","01,(02)",306.494,-1.025,"13 23 39.0","-63 40 24",264,"nan",1.25,0.3,"S","nan","nan","nan","nan","nan","nan",600.0,120.0,"37","OC2","exp",">",6.8,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.25,0.3,37.0,"nan","nan",37.0,"37","nan","nan","nan",0,"nan","nan","nan","nan","nan",200.9125,-63.67333
51,"Loden 807","nan","01",306.759,0.141,"13 24 40.0","-62 29 00",1200,"nan",0.93,0.14,"S","nan","nan","nan","nan","nan","nan",200.0,92.0,"115","OC2","few","nan",0.52,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,0.14,115.0,"nan","nan",115.0,"115","nan","nan","nan",0,"nan","nan","nan","nan","nan",201.16667,-62.48333
52,"Teutsch 110","nan","02",306.76,-1.493,"13 26 35.7","-64 06 12",108,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp",">",7.09,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,"nan","nan","nan","nan","nan",201.64875,-64.10333
53,"G3CC 11","nan","17",307.083,0.528,"13 26 58.8","-62 03 25",71,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","IRDC(ID:53)",0,"nan","nan","nan","nan","nan",201.745,-62.05694
54,"Basel 18","nan","01",307.134,0.262,"13 27 44.0","-62 18 46",360,"nan",2.23,0.33,"S","nan","nan","nan","nan","nan","nan",38.9,11.7,"128","OC2","few","nan",0.27,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.23,0.33,128.0,"nan","nan",128.0,"128","nan","nan","nan",0,"nan","nan","nan","nan","nan",201.93333,-62.31278
55,"VVV CL025","nan","14",307.373,-0.947,"13 31 22.0","-63 28 27",34,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",202.84167,-63.47417
56,"VVV CL026","nan","14",307.381,-0.939,"13 31 26.0","-63 27 52",36,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",202.85833,-63.46444
57,"Hogg 16","nan","01",307.477,1.337,"13 29 18.0","-61 12 00",360,"nan",1.59,0.24,"S","nan","nan","nan","nan","nan","nan",11.1,3.9,"128","OC2","exp",">",3.62,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.59,0.24,128.0,"nan","nan",128.0,"128","nan","nan","nan",1,"nan","nan","nan","nan","nan",202.325,-61.2
58,"Trumpler 21","nan","01",307.574,-0.297,"13 32 14.0","-62 48 00",300,"nan",1.26,0.19,"S","nan","nan","nan","nan","nan","nan",49.7,14.9,"128","OC2","exp*","nan",0.72,1,"G307.62-0.26",-36.5,249.0,"nan",7.03,0.81,"nan","nan","nan","nan","nan","nan","F","187,(75)",1.26,0.19,128.0,"nan","nan",128.0,"128","nan","nan","nan",0,"nan","nan","nan","nan","nan",203.05833,-62.8
59,"Collinder 272","nan","01",307.595,1.202,"13 30 26.0","-61 19 00",600,"nan",2.05,0.31,"S","nan","nan","nan","nan","nan","nan",16.9,5.9,"128","OC2","exp",">",2.2,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.05,0.31,128.0,"nan","nan",128.0,"128","nan","nan","nan",1,"nan","nan","nan","nan","nan",202.60833,-61.31667
60,"VVV CL027","nan","14",307.605,-0.228,"13 32 24.0","-62 43 39",26,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",5.08,1,"G307.62-0.26",-36.5,249.0,"nan",7.03,0.81,"nan","nan","nan","nan","nan","nan","F","187,(75)","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",203.1,-62.7275
61,"FSR2007 1653","nan","11",307.717,-0.554,"13 33 50.0","-63 01 51",43,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",6.82,1,"G307.7359-00.5945",36.7,187.0,"nan",13.55,0.72,"nan","nan","nan","nan","nan","nan","F","O","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",203.45833,-63.03083
