"ID","Name","OName","Cat","GLON","GLAT","RAJ2000","DEJ2000","Diam","l_Dist","Dist","e_Dist","r_Dist","l_Dnear","Dnear","e_Dnear","l_Dfar","Dfar","e_Dfar","Age","e_Age","r_Age","Mtype","Mflag","l_Sep","Sep","Flg","NameVlsr","Vlsr","r_Vlsr","l_KDist","KDist","e_KDist","l_KDnear","KDnear","e_KDnear","l_KDfar","KDfar","e_KDfar","KDA","r_KDA","SDist","e_SDist","r_SDist","f_SDist","ref2","Dias","Conf","HII","Bub","IRDC","noGL","SubCl","Complex","r_Complex","Comm1","Comm2","RA","DEC"
341,"VVV CL093","nan","14,17",342.706,0.126,"16 56 02.6","-43 04 48",66,"nan",12.12,0.43,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G342.71+0.13",-40.8,249.0,"nan",12.12,0.43,"nan","nan","nan","nan","nan","nan","F","187,(75),(D)","nan","nan","nan","nan","nan","nan","nan","GMB2007b J165602.7-430448 (UC)","nan","SDC G342.684+0.122",0,"nan","nan","nan","nan","nan",254.01083,-43.08
342,"FSR2007 1744, SAI 124","SAI 124","(11),13",342.694,1.17,"16 51 35.8","-42 25 47",180,"nan",3.13,0.47,"S","nan","nan","nan","nan","nan","nan",708.0,326.0,"96","OC2","exp",">",9.94,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",3.13,0.47,96.0,"nan","nan","nan","96","nan","nan","nan",0,"nan","nan","nan","nan","nan",252.89917,-42.42972
343,"NGC 6231","nan","01",343.464,1.184,"16 54 10.0","-41 49 30",840,"nan",1.65,0.19,"S","nan","nan","nan","nan","nan","nan",3.0,1.05,"211","OC2","exp",">",2.13,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.65,0.19,210.0,"nan","nan",128.0,"210","nan","nan","nan",1,"nan","nan","nan","uncertainty in stellar distance reset to the standard deviation of the literature values used by Ref:210","nan",253.54167,-41.825
344,"DBSB 176, DBS2003 176","nan","05,17",343.482,-0.042,"16 59 23.7","-42 34 38",87,"nan",2.73,0.57,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen-trig","nan",0.61,13,"G343.50-0.01",-27.5,249.0,"nan",2.73,0.57,"nan","nan","nan","nan","nan","nan","N","187","nan","nan","nan","nan","nan","nan","nan","CH87 343.490-0.033","S17","nan",0,"nan","nan","nan","nan","nan",254.84875,-42.57722
345,"DBSB 177, DBS2003 177","nan","05",344.219,-0.595,"17 04 13.0","-42 20 02",48,"nan",2.39,0.64,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G344.22-0.59",-23.2,249.0,"nan",2.44,0.63,"nan","nan","nan","nan","nan","nan","N","187,75","nan","nan","nan","nan","nan","nan","38","CH87 344.226-0.588","nan","nan",0,"nan","KC-20","nan","nan","nan",256.05417,-42.33389
346,"G3CC 39","nan","17",344.221,-0.569,"17 04 06.6","-42 18 57",51,"nan",2.39,0.64,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb","nan",0.0,11,"G344.23-0.57",-22.0,249.0,"nan",2.33,0.64,"nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","KC-20","nan","nan","nan",256.0275,-42.31583
347,"MCM 84, MCM2005b 84","nan","09",344.29,-0.638,"17 04 38.0","-42 18 13",24,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",11.95,1,"G344.22-0.59",-23.2,249.0,"nan","nan","nan","nan",2.44,0.63,"nan",13.4,0.63,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",256.15833,-42.30361
348,"MCM 85, MCM2005b 85","nan","09",344.301,-0.568,"17 04 22.0","-42 15 07",24,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",11.42,1,"G344.22-0.59",-23.2,249.0,"nan","nan","nan","nan",2.44,0.63,"nan",13.4,0.63,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",256.09167,-42.25194
349,"DBSB 178, DBS2003 178","nan","05",344.426,0.044,"17 02 10.0","-41 46 48",121,"nan",5.04,0.29,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,11,"G344.42+0.04",-65.9,249.0,"nan",5.04,0.29,"nan","nan","nan","nan","nan","nan","N","187","nan","nan","nan","nan","nan","nan","nan","CH87 344.439+0.048","nan","nan",0,"nan","nan","nan","nan","nan",255.54167,-41.78
350,"Teutsch 84","nan","(01),02",344.439,-0.455,"17 04 20.1","-42 04 24",240,"nan",2.2,0.33,"S","nan","nan","nan","nan","nan","nan",1000.0,230.0,"122","OC2","exp","nan",3.21,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.2,0.33,122.0,"nan","nan",122.0,"122","nan","nan","nan",0,"nan","nan","nan","nan","nan",256.08375,-42.07333
