"Cluster","Fe","Fe_err","Reference","X_XYZ_low","X_XYZ_med","X_XYZ_up","Y_XYZ_low","Y_XYZ_med","Y_XYZ_up","Z_XYZ_low","Z_XYZ_med","Z_XYZ_up","U_LSR_low","U_LSR_med","U_LSR_up","V_LSR_low","V_LSR_med","V_LSR_up","W_LSR_low","W_LSR_med","W_LSR_up","R_Rzphi_low","R_Rzphi_med","R_Rzphi_up","phi_Rzphi_low","phi_Rzphi_med","phi_Rzphi_up","z_Rzphi_low","z_Rzphi_med","z_Rzphi_up","vR_Rzphi_low","vR_Rzphi_med","vR_Rzphi_up","vphi_Rzphi_low","vphi_Rzphi_med","vphi_Rzphi_up","vz_Rzphi_low","vz_Rzphi_med","vz_Rzphi_up","vT_Rzphi_low","vT_Rzphi_med","vT_Rzphi_up","J_R_low","J_R_med","J_R_up","L_Z_low","L_Z_med","L_Z_up","J_Z_low","J_Z_med","J_Z_up","ecc_low","ecc_med","ecc_up","zmax_low","zmax_med","zmax_up","R_peri_low","R_peri_med","R_peri_up","R_ap_low","R_ap_med","R_ap_up","Energy_low","Energy_med","Energy_up","Rguid_low","Rguid_med","Rguid_up"
"Pismis_18",0.14327,0.04,"GES",6.29478,6.31396,6.33314,-2.39091,-2.36656,-2.34221,0.03562,0.03573,0.03584,-85.32725,-84.53461,-83.74486,-31.2314,-30.49109,-29.74613,-18.32629,-18.11731,-17.91337,6.73355,6.7429,6.75238,-0.36299,-0.35861,-0.35423,0.03562,0.03573,0.03584,-5.41113,-5.15344,-4.89856,222.4573,223.13727,223.80348,-10.81631,-10.60938,-10.40707,222.4573,223.13727,223.80348,1.9539,2.23932,2.55181,1498.81347,1504.62874,1510.35669,0.63046,0.65253,0.67576,0.04339,0.04651,0.04973,0.11605,0.11804,0.12009,6.1187,6.1624,6.2056,6.75474,6.76368,6.7727,-57540.74444,-57348.1414,-57156.37759,6.41779,6.44419,6.47023
"Platais_4",-0.31,0.01,"APOGEE","nan",8.44829,"nan","nan",-0.00226,"nan","nan",-0.02561,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",8.44829,"nan","nan",-0.00027,"nan","nan",-0.02561,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Pozzo_1",-0.04953,0.02,"GESY-Spina",8.2216,8.22168,8.22179,-0.34539,-0.34451,-0.34392,-0.02188,-0.02176,-0.02168,-21.42161,-21.32326,-21.22585,-16.51424,-15.8533,-15.18243,-3.31946,-3.22449,-3.13016,8.22879,8.22889,8.22904,-0.04198,-0.04188,-0.04181,-0.02188,-0.02176,-0.02168,0.66835,0.78683,0.90339,224.95935,225.61752,226.28469,3.99595,4.09062,4.18476,224.95935,225.61752,226.28469,0.19576,0.31039,0.44889,1851.17095,1856.58836,1862.08164,0.12409,0.12913,0.13426,0.01252,0.01578,0.019,0.05747,0.05862,0.05977,7.92377,7.97487,8.02709,8.2304,8.23068,8.23096,-46381.57224,-46233.03072,-46081.85489,8.0733,8.09954,8.12617
"RSG_8",0.01269,0.01,"GALAH",8.32538,8.32646,8.32754,0.42436,0.42747,0.43059,0.02161,0.02163,0.02166,-6.17112,-5.61471,-5.04523,-12.73044,-11.11496,-9.52285,-8.02946,-7.92186,-7.81919,8.33618,8.33742,8.33866,0.05093,0.05129,0.05166,0.02161,0.02163,0.02166,5.68182,6.34526,6.99918,228.5176,230.10191,231.66268,-0.76203,-0.65471,-0.55237,228.5176,230.10191,231.66268,0.45139,0.62761,0.97682,1905.28108,1918.46581,1931.48206,0.0196,0.02043,0.02146,0.01881,0.0221,0.02747,0.02346,0.02404,0.02472,8.18416,8.2186,8.23793,8.49391,8.59006,8.70301,-44880.97533,-44514.66196,-44149.51645,8.3363,8.40069,8.46437
"Rho_Oph",-0.10623,0.02,"GESY-Spina","nan",8.05478,"nan","nan",-0.01362,"nan","nan",0.06412,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",8.05479,"nan","nan",-0.00169,"nan","nan",0.06412,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Ruprecht_134",0.2907,0.04,"GES",5.57817,5.62038,5.66229,0.01246,0.01266,0.01287,-0.0574,-0.05606,-0.05473,-42.43339,-41.9324,-41.43685,-36.4073,-35.8039,-35.21553,3.36067,3.4877,3.61635,5.57819,5.62039,5.6623,0.0022,0.00225,0.00231,-0.0574,-0.05606,-0.05473,30.79039,31.28438,31.78358,204.76119,205.36626,205.95585,10.73822,10.86574,10.99479,204.76119,205.36626,205.95585,20.07264,20.47127,20.86343,1142.24277,1154.28975,1166.06167,0.69847,0.71424,0.73021,0.15365,0.15567,0.15767,0.11299,0.11402,0.11505,4.20027,4.25032,4.29949,5.77026,5.81723,5.86436,-71163.41132,-70623.30444,-70099.02228,4.87033,4.92021,4.96912
"Ruprecht_145",0.01066,0.052,"GALAH",7.6015,7.6032,7.60463,0.16953,0.16995,0.17045,-0.06158,-0.06133,-0.06111,-56.58593,-55.49848,-54.42646,-16.77144,-16.44515,-16.13008,-18.91668,-18.7304,-18.54263,7.60341,7.6051,7.60652,0.02229,0.02235,0.02242,-0.06158,-0.06133,-0.06111,48.40487,49.4696,50.54906,223.39517,223.7456,224.0836,-11.49927,-11.31074,-11.12004,223.39517,223.7456,224.0836,29.18553,30.51055,31.88529,1698.87967,1701.55715,1704.17552,0.87137,0.89862,0.9257,0.15735,0.16092,0.16454,0.16564,0.16795,0.17026,6.29664,6.32772,6.35875,8.73368,8.75494,8.77664,-49555.22497,-49525.21627,-49495.18885,7.34468,7.35733,7.36971
"Ruprecht_147",0.12,0.03,"APOGEE",7.89721,7.89803,7.89857,0.10695,0.10716,0.10747,-0.04399,-0.04379,-0.04366,48.07114,48.21006,48.35017,-19.94003,-19.82736,-19.71428,-24.11737,-24.0452,-23.97576,7.89794,7.89875,7.89929,0.01354,0.01357,0.01361,-0.04399,-0.04379,-0.04366,-56.36397,-56.22621,-56.08836,222.08417,222.1964,222.30869,-17.01474,-16.94247,-16.8727,222.08417,222.1964,222.30869,40.69379,40.88526,41.07807,1754.04416,1755.04504,1756.06445,2.0132,2.03,2.04762,0.18261,0.18302,0.18344,0.26836,0.26961,0.27089,6.42333,6.4278,6.43237,9.30029,9.30781,9.31555,-47464.0727,-47433.02096,-47401.50436,7.60651,7.61128,7.61614
"Ruprecht_171",0.03756,0.09,"SPA-Casali",6.62744,6.63346,6.63977,0.45432,0.45619,0.45796,-0.06701,-0.06665,-0.06627,-7.0773,-6.86385,-6.64753,33.68067,33.83247,33.98295,-48.72712,-48.5298,-48.32885,6.64324,6.64913,6.65529,0.06832,0.06866,0.06899,-0.06701,-0.06665,-0.06627,14.5349,14.79271,15.04475,274.55442,274.70514,274.85404,-41.4559,-41.25834,-41.0576,274.55442,274.70514,274.85404,56.08239,56.47141,56.85579,1825.5565,1826.57508,1827.62022,9.85778,9.95203,10.04576,0.20914,0.20987,0.21058,0.69792,0.70206,0.70611,6.60971,6.61637,6.62303,10.12318,10.13116,10.13916,-44387.99807,-44364.64093,-44342.38196,7.94951,7.95442,7.95947
"Ruprecht_82",-0.03,0.01,"APOGEE",7.86257,7.86547,7.86836,-2.32611,-2.30474,-2.28337,0.00419,0.00438,0.00458,-84.9554,-84.16412,-83.37788,-13.75285,-13.43642,-13.12199,-9.32763,-9.19511,-9.06257,8.19298,8.19618,8.19944,-0.28764,-0.28504,-0.28244,0.00419,0.00438,0.00458,5.89437,6.08782,6.28408,238.83929,239.17056,239.48874,-1.81882,-1.68784,-1.55665,238.83929,239.17056,239.48874,3.54614,3.77048,3.99396,1957.19764,1960.28035,1963.32146,0.01669,0.01944,0.0224,0.05199,0.05357,0.05509,0.02278,0.02461,0.02645,8.16319,8.16569,8.1683,9.059,9.08995,9.12015,-43371.55771,-43282.38055,-43194.23683,8.59048,8.60563,8.62058
"Ruprecht_85",-0.23746,0.008,"GALAH",7.09519,7.13082,7.16481,-6.01891,-5.82082,-5.63187,0.02948,0.02963,0.02979,-152.82077,-147.65857,-142.71677,-51.01558,-49.87842,-48.75348,-2.57425,-2.25848,-1.93884,9.11332,9.20492,9.30424,-0.70351,-0.6846,-0.66617,0.02948,0.02963,0.02979,-15.63775,-15.2182,-14.77022,232.45173,234.62942,237.03633,5.12753,5.44287,5.75994,232.45173,234.62942,237.03633,4.96274,6.35331,8.44156,2118.76365,2159.59971,2204.94856,0.23357,0.25937,0.28619,0.0592,0.06637,0.07572,0.09308,0.09836,0.10403,8.86278,8.99751,9.13197,9.9841,10.27576,10.62533,-39246.68037,-38239.06299,-37132.02545,9.39179,9.59653,9.82485
"Ruprecht_96",0.03,0.01,"APOGEE",6.52672,6.55956,6.59174,-3.4009,-3.33328,-3.267,0.0133,0.01353,0.01376,-95.30074,-93.50215,-91.75068,-30.63246,-29.73228,-28.81948,-8.9237,-8.6969,-8.47897,7.35693,7.35789,7.35964,-0.48036,-0.47015,-0.46014,0.0133,0.01353,0.01376,-22.70312,-22.33561,-21.98102,225.53873,225.92073,226.29229,-1.38444,-1.16071,-0.94766,225.53873,225.92073,226.29229,6.20305,6.439,6.68101,1659.75686,1662.3578,1664.98351,0.01297,0.01529,0.01827,0.07395,0.07538,0.07681,0.01803,0.01958,0.02142,6.64742,6.66603,6.68488,7.74314,7.75288,7.76321,-51921.43616,-51845.41753,-51767.49097,7.16054,7.17274,7.18506
"Ruprecht_97",0.10181,0.006,"GALAH",5.8317,5.91269,5.9895,-4.64695,-4.48654,-4.33442,-0.02591,-0.02416,-0.02249,-141.6855,-136.79783,-132.13613,-71.67145,-69.21086,-66.86804,-22.79391,-21.94493,-21.13735,7.39333,7.4222,7.45673,-0.67281,-0.64911,-0.62644,-0.02591,-0.02416,-0.02249,-4.24346,-3.77981,-3.31636,212.261,213.06216,214.03633,-15.11035,-14.27669,-13.48339,212.261,213.06216,214.03633,6.83391,7.71028,8.46261,1569.34741,1581.37383,1595.94467,1.11193,1.25502,1.41948,0.07904,0.08426,0.08854,0.16459,0.17563,0.18772,6.19709,6.27483,6.36949,7.40112,7.4293,7.46332,-54731.04306,-54343.54419,-53880.65122,6.74026,6.79572,6.86311
"SAI_116",0.16,0.01,"APOGEE",6.01354,6.06782,6.12028,-4.48509,-4.37261,-4.26391,-0.00095,-0.0003,0.00033,-172.53122,-168.3561,-164.31333,-67.52482,-65.51745,-63.56379,-12.7923,-12.41806,-12.0572,7.45914,7.47918,7.50191,-0.64083,-0.62443,-0.6085,-0.00095,-0.0003,0.00033,24.1354,24.88675,25.63253,233.38612,234.523,235.79338,-5.01695,-4.65381,-4.30291,233.38612,234.523,235.79338,7.25341,7.96009,8.81517,1740.84963,1754.06049,1768.8277,0.10845,0.12711,0.14816,0.07834,0.08178,0.08571,0.05444,0.05945,0.06476,6.99128,7.0276,7.06822,8.18161,8.27907,8.39156,-49350.4336,-48923.38226,-48446.81079,7.54366,7.60659,7.67709
"SAI_16",-0.28,0.01,"APOGEE",12.04404,12.36913,12.74472,4.38122,4.74963,5.17527,0.1001,0.10641,0.11371,54.78226,56.40137,58.0799,-37.79261,-36.17166,-34.44999,-17.14892,-15.62575,-14.2994,12.81616,13.24969,13.75541,0.34889,0.36663,0.38573,0.1001,0.10641,0.11371,7.07258,10.61978,14.32837,214.17061,215.60602,217.11296,-10.07389,-8.5477,-7.21957,214.17061,215.60602,217.11296,1.56526,2.60811,5.07439,2747.79428,2855.74461,2982.00326,0.8697,1.20268,1.6924,0.02934,0.03708,0.05069,0.21271,0.26197,0.33043,12.26093,12.72391,13.21132,13.00675,13.71135,14.59405,-26564.39093,-24718.29565,-22648.96635,12.61839,13.18424,13.84944
"Saurer_1",-0.42,0.01,"APOGEE","nan",19.35847,"nan","nan",-7.74458,"nan","nan",1.82207,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",20.85015,"nan","nan",-0.38056,"nan","nan",1.82207,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Sigma_Ori",-0.15,0.05,"APOGEE",8.52083,8.52186,8.52288,-0.17413,-0.17361,-0.1731,-0.09419,-0.09384,-0.09348,-26.23726,-26.1052,-25.96864,-15.83054,-15.73211,-15.63424,-7.24828,-7.14455,-7.04371,8.52259,8.52362,8.52466,-0.02043,-0.02037,-0.02031,-0.09419,-0.09384,-0.09348,10.29094,10.42862,10.56232,225.67023,225.76727,225.86373,0.08167,0.18521,0.28607,225.67023,225.76727,225.86373,1.60324,1.65014,1.69678,1923.53424,1924.37605,1925.22198,0.31251,0.31483,0.31717,0.03525,0.03577,0.03628,0.09566,0.09602,0.09638,8.13329,8.14073,8.14814,8.74119,8.74464,8.74824,-44317.23169,-44295.39655,-44273.56918,8.42547,8.42959,8.43373
"Teutsch_10",-0.27,0.01,"APOGEE",11.22662,11.31707,11.41111,0.00261,0.00269,0.00277,0.01867,0.01886,0.01903,4.47084,5.33422,6.20814,-31.4388,-30.48181,-29.58596,-4.43544,-4.1298,-3.81732,11.22662,11.31707,11.41111,0.00023,0.00024,0.00024,0.01867,0.01886,0.01903,-17.24407,-16.37128,-15.50725,209.80532,210.76177,211.65745,2.79806,3.10414,3.41706,209.80532,210.76177,211.65745,8.27165,9.07603,9.93419,2375.1716,2385.01115,2395.05938,0.08951,0.10776,0.12831,0.07221,0.07554,0.07891,0.06173,0.06764,0.07374,9.94329,9.98058,10.01933,11.52746,11.61135,11.69984,-33451.10986,-33235.80665,-33013.28109,10.68983,10.74018,10.79163
"Teutsch_12",-0.17,0.01,"APOGEE",12.06642,12.25084,12.44949,-1.38098,-1.31675,-1.25713,0.07944,0.08202,0.0848,-46.18106,-45.06663,-43.94027,-26.8774,-26.04226,-25.26421,-22.57068,-21.38507,-20.26108,12.13173,12.3214,12.52585,-0.11047,-0.10707,-0.10381,0.07944,0.08202,0.0848,9.41626,10.82239,12.24027,216.81916,217.60513,218.32487,-15.18275,-13.9978,-12.87369,216.81916,217.60513,218.32487,1.8926,2.47248,3.13997,2644.25214,2680.86968,2720.12727,2.14521,2.58517,3.12285,0.03246,0.03727,0.04218,0.33783,0.37758,0.42319,11.6306,11.85434,12.09987,12.59945,12.7762,12.95889,-28316.15786,-27649.44927,-26953.56277,12.0784,12.26904,12.47383
"Teutsch_5",-0.35,0.01,"APOGEE","nan",11.1019,"nan","nan",0.64361,"nan","nan",-0.18138,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",11.12054,"nan","nan",0.05791,"nan","nan",-0.18138,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Teutsch_51",-0.33,0.02,"APOGEE",12.58758,12.8078,13.04651,-0.23283,-0.22142,-0.21089,0.07549,0.07801,0.08074,-17.22205,-17.02144,-16.82063,-14.24258,-13.42611,-12.68679,6.0453,6.63515,7.25271,12.58935,12.80971,13.04859,-0.01784,-0.01729,-0.01675,0.07549,0.07801,0.08074,1.71283,1.96138,2.20866,227.06778,227.88071,228.62084,13.34749,13.93728,14.55496,227.06778,227.88071,228.62084,5.86196,6.40653,6.97589,2875.26004,2918.82981,2965.36559,2.37318,2.62932,2.938,0.0549,0.05742,0.05992,0.39285,0.41973,0.4503,12.58363,12.80469,13.04367,14.11819,14.36336,14.62581,-24282.36843,-23573.70459,-22840.48187,13.28683,13.51617,13.76159
"Teutsch_7",0.07244,0.044,"GALAH",5.40145,5.62038,5.81109,4.2296,4.5704,4.96163,-0.03901,-0.03397,-0.02957,119.60922,129.5038,140.42273,-69.01576,-61.26588,-53.95535,0.54866,1.15946,1.80724,7.18737,7.24412,7.3344,0.62917,0.68273,0.74298,-0.03901,-0.03397,-0.02957,2.63275,4.60698,7.01723,222.79335,228.7365,234.79909,7.40286,8.01524,8.65307,222.79335,228.7365,234.79909,0.36321,0.88634,2.46969,1609.45446,1658.4873,1713.10632,0.3616,0.42078,0.49011,0.01788,0.02794,0.04691,0.09184,0.09966,0.10887,6.65338,7.0226,7.20542,7.20871,7.32048,7.63082,-53744.21874,-52195.28119,-50437.88298,6.92577,7.15459,7.41196
"Teutsch_84",0.2,0.01,"APOGEE",5.72477,5.80065,5.87307,-0.6829,-0.66178,-0.64162,-0.00278,-0.00192,-0.0011,-63.72289,-62.28136,-60.84765,-7.00854,-6.19294,-5.37347,8.40154,8.74645,9.10233,5.76536,5.83828,5.90801,-0.11873,-0.1136,-0.10882,-0.00278,-0.00192,-0.0011,22.45721,24.15716,25.81148,238.52452,239.33938,240.13678,15.84083,16.18641,16.54376,238.52452,239.33938,240.13678,4.94582,5.90254,6.92859,1376.46454,1397.16745,1417.48943,1.13105,1.17074,1.21217,0.07159,0.07779,0.0839,0.15453,0.15705,0.15956,5.4715,5.5387,5.60102,6.34031,6.47203,6.60538,-61982.10372,-61135.46525,-60308.11651,5.87066,5.9621,6.05233
"Tombaugh_2",-0.28769,0.08,"GES",15.1269,15.59154,16.1099,-10.45718,-9.77379,-9.16122,-1.53408,-1.43219,-1.34086,-144.68835,-139.9704,-135.691,-50.66808,-47.53818,-44.06224,-4.74283,-3.8266,-2.79017,17.68476,18.40172,19.20629,-0.57575,-0.55994,-0.54454,-1.53408,-1.43219,-1.34086,4.60953,6.31521,7.92364,227.58182,232.57257,238.08637,2.92704,3.85216,4.89968,227.58182,232.57257,238.08637,31.14084,54.68091,91.9129,4024.9212,4279.31595,4571.45613,16.75172,18.26876,20.07891,0.10699,0.13704,0.17108,1.66747,1.90169,2.19722,17.67488,18.42629,19.2516,21.91206,24.27706,27.19284,-8741.59939,-5875.01245,-2738.46113,19.45641,20.85107,22.46535
"Tombaugh_5",0.05756,0.05,"SPA-Zhang",9.61088,9.61595,9.62102,1.04346,1.04715,1.05085,0.14089,0.1413,0.14171,8.43226,8.59112,8.74933,-26.09547,-25.97123,-25.84744,-14.60612,-14.54127,-14.47457,9.66735,9.6728,9.67824,0.10815,0.10847,0.10879,0.14089,0.1413,0.14171,3.57773,3.77103,3.9687,216.01882,216.13094,216.24143,-7.38244,-7.31736,-7.25074,216.01882,216.13094,216.24143,2.69762,2.75016,2.80454,2089.35575,2090.5609,2091.79566,1.04722,1.05837,1.06933,0.04396,0.04439,0.04483,0.19006,0.19118,0.1923,8.85929,8.86717,8.87518,9.68462,9.69119,9.6976,-39976.31928,-39947.21169,-39917.40004,9.24486,9.25087,9.25704
"Trumpler_20",0.13193,0.04,"GES",6.08525,6.099,6.11291,-3.41815,-3.39568,-3.37297,0.17068,0.17166,0.17263,-136.17464,-135.39454,-134.62864,-35.78531,-35.29001,-34.77721,-4.42106,-4.36006,-4.29758,6.97954,6.98058,6.98173,-0.51179,-0.50802,-0.50421,0.17068,0.17166,0.17263,8.36125,8.42873,8.49553,240.20944,240.41889,240.63036,3.24349,3.30346,3.36557,240.20944,240.41889,240.63036,2.54816,2.63973,2.73575,1676.77107,1678.26755,1679.76598,1.35308,1.36733,1.38156,0.04732,0.04814,0.04898,0.1872,0.18821,0.18925,6.92458,6.92614,6.92772,7.61298,7.62674,7.64069,-51437.29124,-51386.44042,-51335.29288,7.24046,7.2475,7.25455
"Trumpler_23",0.22266,0.03,"GES",5.72507,5.74635,5.76788,-1.48237,-1.46951,-1.4565,-0.00672,-0.00644,-0.00616,-96.87641,-96.30469,-95.72599,-41.09149,-40.40703,-39.70514,-11.08559,-10.95624,-10.83088,5.91387,5.93127,5.94893,-0.25336,-0.25036,-0.24735,-0.00672,-0.00644,-0.00616,32.44734,32.82086,33.19584,215.13823,215.69365,216.25327,-3.54066,-3.41166,-3.28721,215.13823,215.69365,216.25327,14.95069,15.1054,15.26153,1272.73026,1279.28955,1286.06005,0.05012,0.05385,0.05786,0.12766,0.12856,0.12947,0.03122,0.03232,0.03343,4.7903,4.81898,4.84849,6.21453,6.24086,6.26842,-65787.04171,-65518.55375,-65241.15373,5.41974,5.44789,5.47699
"Trumpler_26",0.27195,0.031,"GALAH",6.5556,6.57563,6.59506,-0.06998,-0.06912,-0.06828,0.09918,0.10009,0.10103,-8.50882,-8.30439,-8.10308,-23.19071,-22.88746,-22.58855,-7.94308,-7.80188,-7.66302,6.55598,6.57599,6.59541,-0.01067,-0.01051,-0.01035,0.09918,0.10009,0.10103,-5.2697,-5.06744,-4.8624,218.00725,218.31181,218.61148,-0.66775,-0.52648,-0.38804,218.00725,218.31181,218.61148,4.55941,4.74302,4.93007,1429.37056,1435.62306,1441.73748,0.47784,0.48862,0.49983,0.06752,0.06898,0.07046,0.0994,0.10036,0.10134,5.70522,5.73888,5.77245,6.56926,6.58921,6.609,-60015.46389,-59788.92555,-59567.71506,6.10528,6.13321,6.16056
"Trumpler_3",0.14,0.01,"APOGEE",8.68358,8.68492,8.68625,0.45516,0.45636,0.45756,0.08057,0.08072,0.08086,18.56819,20.19842,21.84736,-7.34921,-5.86754,-4.40331,-7.60436,-7.4253,-7.25151,8.6955,8.6969,8.69829,0.05237,0.0525,0.05263,0.08057,0.08072,0.08086,-20.60718,-18.88317,-17.1808,235.29545,236.68756,238.06811,-0.4211,-0.23713,-0.05841,235.29545,236.68756,238.06811,8.20821,8.27024,8.44923,2046.31915,2058.46556,2070.46861,0.2281,0.22895,0.2298,0.07705,0.07737,0.07836,0.08949,0.08989,0.09043,8.37191,8.43625,8.49211,9.79317,9.8476,9.91182,-40904.47053,-40608.69822,-40312.26393,9.03068,9.09102,9.15074
"Trumpler_5",-0.44,0.01,"APOGEE",11.40013,11.42304,11.44595,-1.37476,-1.36513,-1.35549,0.09715,0.09767,0.09818,-50.86758,-50.30525,-49.74032,-12.11678,-11.86171,-11.6103,-5.83191,-5.7471,-5.66,11.48043,11.50432,11.52821,-0.11954,-0.11894,-0.11835,0.09715,0.09767,0.09818,11.12791,11.72474,12.32404,232.2159,232.41208,232.60425,1.57156,1.65685,1.74354,232.2159,232.41208,232.60425,9.81906,9.98086,10.15351,2667.15173,2673.76727,2680.45858,0.25472,0.257,0.25934,0.07429,0.07485,0.07545,0.11632,0.11695,0.11759,11.3449,11.37515,11.40546,13.17387,13.21516,13.2573,-27815.18501,-27695.53818,-27574.04328,12.19758,12.23204,12.2669
"UBC_1",0.02383,0.049,"GALAH",8.16416,8.16418,8.1642,0.30794,0.30823,0.30879,0.13603,0.13613,0.13633,-5.11162,-5.04607,-4.98201,-24.22778,-23.71355,-23.20542,-2.77406,-2.58267,-2.38917,8.17,8.17,8.17,0.0377,0.03774,0.0378,0.13603,0.13613,0.13633,2.10377,2.16538,2.22885,217.0852,217.6003,218.10978,4.49127,4.6828,4.87621,217.0852,217.6003,218.10978,3.30789,3.61912,3.94733,1773.58496,1777.79481,1781.95599,0.8196,0.8319,0.84495,0.05243,0.0549,0.05739,0.14952,0.15066,0.15186,7.28773,7.32437,7.36079,8.17495,8.17523,8.17551,-48444.08993,-48331.34289,-48219.54361,7.69984,7.71999,7.73992
"UBC_143",0.01167,0.008,"GALAH",7.94671,7.94781,7.94897,1.33482,1.34154,1.34797,0.22289,0.22389,0.22484,54.57733,54.86062,55.14682,-3.59149,-3.54708,-3.50185,-7.53831,-7.43547,-7.33303,8.06022,8.06024,8.06026,0.16637,0.16722,0.16803,0.22289,0.22389,0.22484,-25.58268,-25.45871,-25.33474,245.32307,245.35212,245.38234,-0.45623,-0.35324,-0.25051,245.32307,245.35212,245.38234,17.69676,17.81171,17.92907,1977.367,1977.59705,1977.83735,1.81886,1.83375,1.84877,0.11501,0.11537,0.11574,0.26396,0.26519,0.26644,7.79561,7.79756,7.79954,9.82633,9.83144,9.83667,-42233.52693,-42223.4933,-42213.11665,8.68969,8.69082,8.69201
"UBC_17a",-0.08454,0.071,"GALAH",8.49006,8.49058,8.49084,-0.14795,-0.14782,-0.14758,-0.08651,-0.08642,-0.08624,-18.87862,-18.69239,-18.50291,-12.37989,-12.28375,-12.18837,-5.77584,-5.69795,-5.61948,8.49135,8.49187,8.49213,-0.01742,-0.01741,-0.01738,-0.08651,-0.08642,-0.08624,3.432,3.62353,3.81135,228.96069,229.05363,229.14621,1.53175,1.60911,1.68717,228.96069,229.05363,229.14621,0.20086,0.21436,0.229,1944.29207,1945.08707,1945.87531,0.28537,0.28727,0.28926,0.01242,0.01284,0.01327,0.09047,0.09077,0.09109,8.41885,8.42599,8.43291,8.6428,8.64515,8.64753,-43813.52802,-43792.65299,-43771.84824,8.52714,8.53104,8.5349
"UBC_17b",-0.06732,0.032,"GALAH",8.53979,8.5403,8.54108,-0.17022,-0.16985,-0.16961,-0.10545,-0.10517,-0.10499,-26.05358,-25.75569,-25.45488,-12.63157,-12.48488,-12.33849,-9.52736,-9.4136,-9.30005,8.54147,8.54199,8.54277,-0.01993,-0.01989,-0.01986,-0.10545,-0.10517,-0.10499,9.82684,10.13311,10.43175,228.861,229.00213,229.14284,-2.19783,-2.08485,-1.97207,228.861,229.00213,229.14284,1.42039,1.49599,1.57391,1954.91822,1956.15394,1957.37319,0.41717,0.42062,0.42427,0.03293,0.0338,0.03468,0.11217,0.11266,0.11318,8.29555,8.30823,8.32076,8.88587,8.88946,8.89308,-43473.53269,-43443.3542,-43413.68233,8.57929,8.58536,8.59135
"UBC_199",-0.10783,0.022,"GALAH",9.33712,9.35,9.36317,0.14642,0.14805,0.14971,-0.30609,-0.30241,-0.29881,8.57097,9.56881,10.57307,-20.86132,-20.59863,-20.33804,9.72869,10.03707,10.35297,9.33827,9.35117,9.36437,0.01568,0.01583,0.01599,-0.30609,-0.30241,-0.29881,-18.2137,-17.20365,-16.2086,220.68675,220.9405,221.19368,16.95222,17.25807,17.57075,220.68675,220.9405,221.19368,4.70866,5.25826,5.84336,2064.33449,2066.05231,2067.82274,5.11488,5.23525,5.36035,0.05835,0.06165,0.06499,0.45393,0.46096,0.46816,8.61386,8.6462,8.6788,9.75169,9.78218,9.81275,-40263.2611,-40225.97663,-40187.90305,9.12021,9.12876,9.13757
"UBC_212",-0.22632,0.032,"GALAH",10.65165,10.6851,10.71854,-1.64039,-1.6188,-1.5972,-0.07797,-0.07661,-0.07526,-55.36012,-48.35342,-41.23993,-21.13398,-16.58882,-11.98037,-5.70633,-5.35316,-4.9946,10.77074,10.80703,10.84334,-0.15186,-0.15036,-0.14884,-0.07797,-0.07661,-0.07526,-4.51982,3.21013,10.85347,224.25377,227.69806,231.17301,1.70914,2.04348,2.38452,224.25377,227.69806,231.17301,1.63594,2.30801,5.0438,2421.93811,2460.96235,2498.9227,0.18445,0.19567,0.20863,0.0317,0.03757,0.0554,0.0878,0.09129,0.09686,10.52343,10.74434,10.81043,11.38239,11.5121,11.92182,-32657.8705,-31896.67654,-31082.79877,10.92945,11.12999,11.32556
