"Cluster","Fe","Fe_err","Reference","X_XYZ_low","X_XYZ_med","X_XYZ_up","Y_XYZ_low","Y_XYZ_med","Y_XYZ_up","Z_XYZ_low","Z_XYZ_med","Z_XYZ_up","U_LSR_low","U_LSR_med","U_LSR_up","V_LSR_low","V_LSR_med","V_LSR_up","W_LSR_low","W_LSR_med","W_LSR_up","R_Rzphi_low","R_Rzphi_med","R_Rzphi_up","phi_Rzphi_low","phi_Rzphi_med","phi_Rzphi_up","z_Rzphi_low","z_Rzphi_med","z_Rzphi_up","vR_Rzphi_low","vR_Rzphi_med","vR_Rzphi_up","vphi_Rzphi_low","vphi_Rzphi_med","vphi_Rzphi_up","vz_Rzphi_low","vz_Rzphi_med","vz_Rzphi_up","vT_Rzphi_low","vT_Rzphi_med","vT_Rzphi_up","J_R_low","J_R_med","J_R_up","L_Z_low","L_Z_med","L_Z_up","J_Z_low","J_Z_med","J_Z_up","ecc_low","ecc_med","ecc_up","zmax_low","zmax_med","zmax_up","R_peri_low","R_peri_med","R_peri_up","R_ap_low","R_ap_med","R_ap_up","Energy_low","Energy_med","Energy_up","Rguid_low","Rguid_med","Rguid_up"
"NGC_6633",-0.08355,0.11,"GES",7.86044,7.8614,7.86212,0.23041,0.23093,0.23163,0.08138,0.08151,0.08168,-21.35902,-21.25904,-21.16028,-18.1146,-18.03471,-17.95725,-7.70004,-7.64977,-7.59633,7.86385,7.86479,7.86549,0.0293,0.02937,0.02946,0.08138,0.08151,0.08168,16.63578,16.73408,16.83311,222.72794,222.81024,222.88946,-0.38511,-0.33478,-0.28147,222.72794,222.81024,222.88946,4.70993,4.77428,4.83942,1751.6653,1752.33762,1752.98759,0.26303,0.26401,0.265,0.063,0.06343,0.06387,0.08371,0.08386,0.08402,7.13892,7.14472,7.15043,8.11082,8.11248,8.11422,-49111.03574,-49093.03658,-49075.82845,7.59517,7.59837,7.60147
"NGC_6705",0.12,0.04,"APOGEE",6.08793,6.09962,6.11158,1.06688,1.07305,1.07909,-0.09532,-0.09464,-0.09395,53.3452,53.65059,53.95946,-27.61994,-27.33427,-27.04322,-7.14332,-7.08056,-7.02142,6.18282,6.19329,6.204,0.17283,0.17414,0.17543,-0.09532,-0.09464,-0.09395,-26.96972,-26.68739,-26.41505,221.62019,221.88598,222.1573,-0.05765,0.00547,0.06498,221.62019,221.88598,222.1573,9.13185,9.18636,9.23927,1370.48035,1374.23102,1377.89989,0.46148,0.46906,0.47674,0.0973,0.0976,0.09788,0.09741,0.09808,0.09874,5.32281,5.33831,5.35329,6.47503,6.49279,6.51031,-62076.31115,-61928.38262,-61783.5283,5.84431,5.86082,5.87698
"NGC_6709",-0.04953,0.03,"GES",7.36345,7.36655,7.36965,0.73117,0.73397,0.73677,0.11237,0.1127,0.11304,0.70579,1.5621,2.40845,-17.02802,-16.25288,-15.48754,-15.81496,-15.69596,-15.57877,7.40021,7.40302,7.40583,0.09889,0.09931,0.09973,0.11237,0.1127,0.11304,8.98439,9.75466,10.52822,224.27231,225.12813,225.97411,-8.56771,-8.45064,-8.33591,224.27231,225.12813,225.97411,1.52389,1.90948,2.34665,1660.23922,1666.59755,1672.93899,0.96266,0.97707,0.99204,0.03665,0.04108,0.0456,0.15394,0.15517,0.15645,6.85883,6.91722,6.97565,7.50547,7.51013,7.51502,-52005.59354,-51821.70256,-51636.10377,7.1628,7.19264,7.22244
"NGC_6791",0.35,0.04,"APOGEE",6.40365,6.42282,6.442,4.75225,4.80474,4.85724,0.99439,1.0051,1.01581,36.17928,36.76435,37.34858,-59.69602,-59.46403,-59.22772,-24.0145,-23.81866,-23.63082,8.0052,8.02111,8.03738,0.63558,0.64227,0.64893,0.99439,1.0051,1.01581,70.00248,70.61879,71.23018,173.87493,174.18486,174.49686,-16.87799,-16.68097,-16.49193,173.87493,174.18486,174.49686,107.74953,109.20455,110.67168,1395.74567,1397.18127,1398.62078,30.22326,30.78133,31.35452,0.31745,0.31935,0.32125,1.24539,1.26291,1.28106,4.62284,4.62948,4.63631,8.94169,8.97335,9.00559,-53868.19142,-53745.10948,-53622.66841,5.95581,5.96217,5.96854
"NGC_6802",0.14327,0.04,"GES",6.31448,6.33663,6.35878,2.62984,2.66186,2.69388,0.07037,0.07093,0.07148,94.035,95.13818,96.22121,-52.05637,-51.24419,-50.45403,-9.52996,-9.37622,-9.23099,6.8651,6.87302,6.88114,0.39216,0.39769,0.40324,0.07037,0.07093,0.07148,-24.47209,-24.3305,-24.18077,215.9038,216.2983,216.69839,-2.57306,-2.41695,-2.26964,215.9038,216.2983,216.69839,11.39057,11.63175,11.87579,1482.93843,1486.62159,1490.33094,0.25386,0.26069,0.26798,0.10492,0.10612,0.10732,0.07594,0.07692,0.07794,5.72664,5.74762,5.76913,7.10237,7.11248,7.12288,-57692.67041,-57571.12437,-57448.00437,6.34591,6.36256,6.37935
"NGC_6811",-0.05,0.02,"APOGEE",7.96617,7.96672,7.96727,1.1016,1.10447,1.10735,0.26269,0.26331,0.26393,51.77885,51.92181,52.06045,-1.19456,-1.042,-0.88992,-3.54065,-3.49048,-3.44029,8.04277,8.04292,8.04307,0.13739,0.13776,0.13812,0.26269,0.26331,0.26393,-29.4881,-29.43027,-29.37069,246.42024,246.57525,246.72833,3.55052,3.60096,3.65102,246.42024,246.57525,246.72833,22.23113,22.43432,22.64102,1981.94608,1983.18393,1984.41774,2.61866,2.62981,2.64062,0.12855,0.12909,0.12964,0.32607,0.327,0.3279,7.72923,7.73126,7.73325,10.01014,10.02322,10.03605,-41912.55634,-41873.98274,-41835.82776,8.71225,8.71835,8.72443
"NGC_6819",0.05,0.03,"APOGEE",7.40745,7.41007,7.41269,2.66132,2.67043,2.67954,0.43554,0.43694,0.43835,61.30927,61.53376,61.75049,-16.57564,-16.35782,-16.13509,9.82455,9.88887,9.95345,7.87595,7.87657,7.8772,0.34469,0.34589,0.34709,0.43554,0.43694,0.43835,7.80264,7.88439,7.96827,235.97753,236.19844,236.4172,16.8869,16.95069,17.01506,235.97753,236.19844,236.4172,2.8412,2.955,3.06999,1858.68253,1860.43663,1862.16482,8.48614,8.53398,8.58093,0.04772,0.04864,0.04955,0.55334,0.55559,0.55781,7.81597,7.81753,7.81902,8.59962,8.61685,8.63391,-45530.87343,-45477.61359,-45424.85518,8.10969,8.11819,8.12657
"NGC_6866",0.01,0.01,"APOGEE",7.91374,7.9152,7.91671,1.41545,1.42364,1.43153,0.19676,0.19776,0.19872,40.45766,40.70112,40.93804,6.68566,7.04494,7.40147,-11.23178,-11.12683,-11.01949,8.04217,8.0422,8.04225,0.17692,0.17796,0.17896,0.19676,0.19776,0.19872,-7.08349,-7.00109,-6.91677,253.1618,253.52753,253.889,-4.10645,-4.00117,-3.89358,253.1618,253.52753,253.889,19.45404,20.05685,20.66456,2035.97972,2038.92365,2041.83315,1.54264,1.56039,1.57884,0.11889,0.12061,0.12232,0.25002,0.2517,0.25337,8.0269,8.02737,8.02781,10.1934,10.22942,10.26514,-40712.78288,-40620.54643,-40528.78077,8.97937,8.99397,9.00841
"NGC_6939",0.10451,0.03,"OCCASO",8.37487,8.37547,8.37604,1.91509,1.92091,1.92644,0.44478,0.44605,0.44726,52.74842,52.9071,53.06723,-10.22532,-10.09602,-9.96816,-18.19416,-18.12986,-18.06369,8.59104,8.59293,8.59472,0.22481,0.22545,0.22606,0.44478,0.44605,0.44726,-10.72333,-10.66395,-10.60615,239.45091,239.59006,239.72866,-11.10604,-11.04143,-10.97497,239.45091,239.59006,239.72866,7.51013,7.62917,7.75166,2057.31306,2058.7681,2060.23655,6.88648,6.924,6.96257,0.07375,0.07431,0.07487,0.54566,0.54779,0.54988,8.51958,8.52238,8.52509,9.87671,9.89053,9.90448,-40284.819,-40244.20347,-40203.36627,9.08529,9.09253,9.09983
"NGC_6991",-0.02685,0.023,"OCCASO",8.15172,8.15177,8.15182,0.56463,0.56582,0.56672,0.04049,0.04052,0.04055,-27.77992,-27.70922,-27.64016,-11.41567,-11.27588,-11.13753,2.83308,2.87915,2.92691,8.17135,8.17138,8.1714,0.06915,0.0693,0.06941,0.04049,0.04052,0.04055,32.3877,32.48228,32.57733,228.12272,228.26323,228.40285,10.16782,10.21371,10.26152,228.12272,228.26323,228.40285,14.05156,14.13535,14.21893,1864.07574,1865.22621,1866.36325,0.73527,0.74157,0.74812,0.10543,0.10574,0.10605,0.15434,0.15503,0.15576,7.3557,7.36105,7.36655,9.09501,9.10184,9.10872,-45457.97076,-45425.70108,-45394.0445,8.13584,8.14142,8.14694
