"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode05","dmode16","dmode","dmode84","dmode95","Xgc","Ygc","Zgc","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 2414",113.293,0.03,-15.449,0.023,0.189,0.033,-1.422,0.068,1.422,0.057,0.067,265,5.113,5.135,5.204,5.273,5.295,-11.543,-4.065,0.214,12.238,"nan","nan","nan","nan","nan","nan"
"NGC 2420",114.603,0.036,21.576,0.033,0.391,0.056,-1.192,0.109,-2.118,0.083,0.08,634,2.553,2.557,2.57,2.584,2.588,-10.598,-0.752,0.898,10.625,"nan","nan","nan","nan","nan","nan"
"NGC 2421",114.05,0.046,-20.628,0.056,0.374,0.057,-3.134,0.06,3.096,0.092,0.087,441,2.698,2.702,2.712,2.723,2.726,-9.806,-2.256,0.034,10.062,"nan","nan","nan","nan","nan","nan"
"NGC 2422",114.156,0.168,-14.495,0.16,2.098,0.063,-7.042,0.195,1.003,0.156,0.279,518,0.475,0.475,0.475,0.476,0.476,-8.599,-0.369,0.054,8.606,"nan","nan","nan","nan","nan","nan"
"NGC 2437",115.446,0.118,-14.845,0.109,0.635,0.049,-3.832,0.106,0.365,0.11,0.22,1796,1.56,1.562,1.566,1.571,1.573,-9.264,-1.229,0.141,9.345,"nan","nan","nan","nan","nan","nan"
"NGC 2439",115.19,0.041,-31.694,0.036,0.265,0.032,-2.283,0.044,3.17,0.055,0.104,766,3.79,3.796,3.814,3.832,3.838,-9.821,-3.485,-0.265,10.421,"nan","nan","nan","nan","nan","nan"
"NGC 2447",116.136,0.109,-23.853,0.093,1.0,0.05,-3.561,0.12,5.08,0.11,0.187,731,1.002,1.002,1.004,1.005,1.006,-8.801,-0.87,0.031,8.844,"nan","nan","nan","nan","nan","nan"
"NGC 2451 B",116.134,0.398,-37.939,0.158,2.759,0.088,-9.609,0.227,4.824,0.225,0.32,105,0.362,0.362,0.362,0.363,0.363,-8.41,-0.342,-0.016,8.417,"nan","nan","nan","nan","nan","nan"
"NGC 2453",116.899,0.012,-27.195,0.012,0.233,0.042,-2.355,0.073,3.42,0.054,0.035,163,4.205,4.221,4.27,4.319,4.335,-10.22,-3.814,-0.037,10.908,"nan","nan","nan","nan","nan","nan"
"NGC 2467",118.18,0.022,-26.374,0.063,0.191,0.019,-2.554,0.08,2.578,0.079,0.088,318,5.069,5.093,5.169,5.245,5.27,-10.635,-4.611,0.076,11.592,"nan","nan","nan","nan","nan","nan"
"NGC 2477",118.042,0.149,-38.539,0.115,0.694,0.048,-2.457,0.119,0.874,0.133,0.184,2434,1.441,1.442,1.444,1.447,1.448,-8.707,-1.378,-0.119,8.815,"nan","nan","nan","nan","nan","nan"
"NGC 2482",118.769,0.07,-24.262,0.097,0.751,0.041,-4.685,0.056,2.222,0.091,0.132,124,1.326,1.328,1.332,1.336,1.337,-8.932,-1.171,0.076,9.009,"nan","nan","nan","nan","nan","nan"
"NGC 2489",119.064,0.05,-30.062,0.028,0.493,0.038,-2.527,0.061,2.109,0.08,0.071,370,2.022,2.024,2.029,2.034,2.036,-9.102,-1.863,0.002,9.291,"nan","nan","nan","nan","nan","nan"
"NGC 2506",120.008,0.044,-10.773,0.04,0.317,0.064,-2.568,0.108,3.917,0.078,0.09,1427,3.141,3.148,3.169,3.19,3.197,-10.281,-2.411,0.58,10.56,"nan","nan","nan","nan","nan","nan"
"NGC 2516",119.509,0.212,-60.801,0.336,2.446,0.057,-4.707,0.352,11.17,0.328,0.478,1169,0.409,0.409,0.409,0.409,0.409,-8.274,-0.392,-0.085,8.283,"nan","nan","nan","nan","nan","nan"
"NGC 2527",121.283,0.136,-28.139,0.169,1.571,0.047,-5.604,0.069,7.293,0.13,0.238,213,0.635,0.635,0.636,0.636,0.637,-8.557,-0.581,0.049,8.577,"nan","nan","nan","nan","nan","nan"
"NGC 2533",121.772,0.061,-29.869,0.023,0.352,0.033,-3.188,0.082,5.055,0.043,0.078,161,2.804,2.809,2.822,2.836,2.841,-9.366,-2.612,0.095,9.724,"nan","nan","nan","nan","nan","nan"
"NGC 2539",122.649,0.082,-12.827,0.091,0.784,0.063,-2.338,0.098,-0.572,0.078,0.202,558,1.268,1.269,1.272,1.275,1.276,-9.038,-1.007,0.274,9.093,"nan","nan","nan","nan","nan","nan"
"NGC 2546",123.122,0.205,-37.669,0.216,1.062,0.037,-3.754,0.102,3.902,0.098,0.326,370,0.939,0.94,0.941,0.942,0.942,-8.545,-0.908,-0.005,8.593,"nan","nan","nan","nan","nan","nan"
"NGC 2547",122.538,0.119,-49.217,0.073,2.588,0.105,-8.559,0.268,4.314,0.214,0.2,205,0.386,0.387,0.387,0.387,0.387,-8.337,-0.381,-0.031,8.346,"nan","nan","nan","nan","nan","nan"
"NGC 2548",123.384,0.194,-5.732,0.161,1.321,0.075,-1.294,0.137,0.999,0.086,0.349,436,0.754,0.754,0.756,0.757,0.757,-8.789,-0.54,0.229,8.805,"nan","nan","nan","nan","nan","nan"
"NGC 2567",124.639,0.069,-30.625,0.051,0.576,0.036,-2.993,0.063,2.586,0.081,0.104,268,1.727,1.728,1.732,1.737,1.738,-8.898,-1.623,0.119,9.044,"nan","nan","nan","nan","nan","nan"
"NGC 2571",124.725,0.067,-29.799,0.053,0.756,0.041,-4.936,0.088,4.25,0.096,0.099,126,1.311,1.312,1.316,1.319,1.321,-8.768,-1.227,0.109,8.853,"nan","nan","nan","nan","nan","nan"
"NGC 2627",129.31,0.049,-29.948,0.045,0.553,0.035,-2.378,0.079,2.875,0.077,0.088,376,1.79,1.791,1.796,1.8,1.801,-8.863,-1.692,0.237,9.023,"nan","nan","nan","nan","nan","nan"
"NGC 2632",130.056,0.551,19.623,0.531,5.385,0.098,-35.964,0.629,-12.918,0.61,1.011,702,0.185,0.185,0.186,0.186,0.186,-8.44,-0.069,0.127,8.441,"nan","nan","nan","nan","nan","nan"
"NGC 2658",130.87,0.04,-32.661,0.041,0.228,0.034,-2.48,0.032,2.267,0.047,0.079,495,4.358,4.366,4.391,4.417,4.425,-9.461,-4.209,0.495,10.355,"nan","nan","nan","nan","nan","nan"
"NGC 2660",130.669,0.027,-47.199,0.023,0.338,0.057,-2.762,0.093,5.164,0.107,0.04,509,2.902,2.907,2.921,2.934,2.939,-8.507,-2.909,-0.126,8.991,"nan","nan","nan","nan","nan","nan"
"NGC 2669",131.606,0.087,-52.925,0.099,0.876,0.036,-4.15,0.078,4.653,0.12,0.11,228,1.141,1.141,1.143,1.145,1.145,-8.284,-1.137,-0.094,8.361,"nan","nan","nan","nan","nan","nan"
"NGC 2670",131.386,0.069,-48.796,0.047,0.681,0.05,-5.379,0.095,3.599,0.093,0.075,161,1.465,1.466,1.469,1.473,1.474,-8.365,-1.465,-0.066,8.492,"nan","nan","nan","nan","nan","nan"
"NGC 2682",132.843,0.155,11.818,0.132,1.162,0.067,-10.962,0.139,-2.955,0.132,0.256,1076,0.86,0.861,0.862,0.863,0.864,-8.893,-0.426,0.485,8.903,"nan","nan","nan","nan","nan","nan"
"NGC 2818",139.042,0.065,-36.617,0.042,0.313,0.046,-4.424,0.058,4.532,0.059,0.098,349,3.205,3.21,3.225,3.24,3.245,-8.743,-3.158,0.512,9.295,"nan","nan","nan","nan","nan","nan"
"NGC 2849",139.847,0.018,-40.52,0.013,0.172,0.053,-4.264,0.052,3.51,0.086,0.026,165,5.882,5.917,6.024,6.132,6.167,-8.792,-5.967,0.696,10.625,"nan","nan","nan","nan","nan","nan"
"NGC 2910",142.641,0.074,-52.904,0.042,0.779,0.048,-6.78,0.094,6.123,0.125,0.07,233,1.283,1.284,1.287,1.29,1.29,-8.181,-1.281,0.0,8.281,"nan","nan","nan","nan","nan","nan"
"NGC 2972",145.059,0.028,-50.325,0.044,0.512,0.032,-5.06,0.071,2.469,0.066,0.056,117,1.942,1.944,1.954,1.963,1.966,-8.14,-1.946,0.086,8.37,"nan","nan","nan","nan","nan","nan"
"NGC 3033",147.131,0.04,-56.411,0.047,0.561,0.044,-7.609,0.056,4.254,0.075,0.072,91,1.776,1.778,1.785,1.793,1.795,-8.003,-1.759,-0.038,8.194,"nan","nan","nan","nan","nan","nan"
"NGC 3105",150.171,0.045,-54.788,0.022,0.116,0.019,-4.164,0.018,2.7,0.052,0.05,149,7.641,7.713,7.936,8.159,8.231,-6.935,-7.818,0.06,10.451,"nan","nan","nan","nan","nan","nan"
"NGC 3114",150.532,0.262,-60.038,0.135,0.983,0.055,-7.365,0.184,3.784,0.157,0.262,1019,1.016,1.016,1.018,1.019,1.019,-8.068,-0.988,-0.042,8.128,"nan","nan","nan","nan","nan","nan"
"NGC 3228",155.283,0.145,-51.8,0.083,2.055,0.06,-14.902,0.102,-0.707,0.124,0.132,42,0.486,0.486,0.487,0.488,0.489,-8.21,-0.477,0.065,8.224,"nan","nan","nan","nan","nan","nan"
"NGC 3247",156.703,0.046,-57.929,0.046,0.319,0.111,-6.498,1.004,3.012,0.241,0.056,253,2.961,2.968,2.987,3.006,3.012,-7.543,-2.889,0.01,8.077,"nan","nan","nan","nan","nan","nan"
"NGC 3293",158.973,0.052,-58.233,0.031,0.413,0.028,-7.684,0.087,3.351,0.087,0.071,491,2.412,2.415,2.424,2.432,2.435,-7.638,-2.332,0.028,7.986,"nan","nan","nan","nan","nan","nan"
"NGC 3324",159.341,0.138,-58.632,0.062,0.398,0.023,-7.21,0.139,3.067,0.188,0.148,256,2.503,2.506,2.516,2.527,2.53,-7.597,-2.416,0.017,7.972,"nan","nan","nan","nan","nan","nan"
"NGC 3496",164.878,0.096,-60.334,0.055,0.423,0.029,-7.406,0.052,2.688,0.065,0.098,657,2.33,2.332,2.339,2.345,2.347,-7.519,-2.205,0.008,7.836,"nan","nan","nan","nan","nan","nan"
"NGC 3532",166.428,0.556,-58.705,0.221,2.094,0.091,-10.43,0.295,5.189,0.61,0.328,1298,0.476,0.476,0.476,0.477,0.477,-8.14,-0.449,0.038,8.153,"nan","nan","nan","nan","nan","nan"
"NGC 3572",167.646,0.052,-60.293,0.054,0.409,0.03,-6.204,0.07,1.921,0.075,0.08,638,2.445,2.448,2.456,2.465,2.468,-7.43,-2.297,0.031,7.777,"nan","nan","nan","nan","nan","nan"
"NGC 3590",168.244,0.106,-60.789,0.029,0.397,0.026,-6.082,0.064,1.052,0.126,0.116,438,2.497,2.499,2.508,2.516,2.519,-7.394,-2.338,0.016,7.755,"nan","nan","nan","nan","nan","nan"
"NGC 3603",168.798,0.037,-61.258,0.016,0.106,0.045,-5.52,0.107,1.959,0.074,0.04,316,9.281,9.339,9.515,9.692,9.749,-4.793,-8.845,-0.07,10.06,"nan","nan","nan","nan","nan","nan"
"NGC 366",16.62,0.051,62.218,0.028,0.391,0.03,-2.067,0.051,-0.414,0.05,0.047,155,2.529,2.535,2.553,2.57,2.576,-9.753,2.099,0.005,9.976,"nan","nan","nan","nan","nan","nan"
"NGC 3680",171.387,0.118,-43.228,0.063,0.954,0.029,-7.284,0.107,1.158,0.122,0.103,80,1.036,1.037,1.039,1.042,1.042,-8.013,-0.952,0.329,8.069,"nan","nan","nan","nan","nan","nan"
"NGC 3766",174.06,0.108,-61.621,0.074,0.49,0.036,-6.734,0.066,0.958,0.076,0.118,1018,2.034,2.036,2.041,2.047,2.048,-7.466,-1.863,0.023,7.695,"nan","nan","nan","nan","nan","nan"
"NGC 381",17.101,0.095,61.586,0.066,0.878,0.047,1.609,0.078,-2.261,0.117,0.089,171,1.133,1.134,1.136,1.138,1.139,-8.951,0.931,0.005,8.999,"nan","nan","nan","nan","nan","nan"
"NGC 3960",177.656,0.08,-55.676,0.043,0.435,0.044,-6.505,0.082,1.846,0.069,0.082,467,2.285,2.287,2.294,2.3,2.303,-7.358,-2.077,0.271,7.646,"nan","nan","nan","nan","nan","nan"
"NGC 4103",181.639,0.146,-61.243,0.048,0.495,0.041,-6.209,0.061,0.144,0.086,0.109,501,2.021,2.022,2.028,2.033,2.035,-7.362,-1.797,0.065,7.578,"nan","nan","nan","nan","nan","nan"
"NGC 433",18.791,0.073,60.128,0.057,0.497,0.046,-1.441,0.067,-0.709,0.077,0.073,187,1.994,1.997,2.007,2.017,2.02,-9.475,1.625,-0.06,9.613,"nan","nan","nan","nan","nan","nan"
"NGC 4349",186.058,0.11,-61.862,0.052,0.529,0.045,-7.832,0.1,-0.304,0.088,0.111,851,1.87,1.871,1.876,1.881,1.882,-7.37,-1.629,0.051,7.548,"nan","nan","nan","nan","nan","nan"
"NGC 436",19.001,0.038,58.82,0.021,0.299,0.044,-0.986,0.042,-0.56,0.044,0.046,208,3.333,3.34,3.361,3.382,3.389,-10.277,2.709,-0.195,10.628,"nan","nan","nan","nan","nan","nan"
"NGC 4439",187.105,0.062,-60.109,0.058,0.512,0.04,-7.116,0.075,-0.461,0.046,0.082,72,1.961,1.964,1.977,1.989,1.993,-7.311,-1.709,0.114,7.508,"nan","nan","nan","nan","nan","nan"
"NGC 4463",187.469,0.059,-64.8,0.04,0.547,0.071,-5.308,0.054,-0.378,0.093,0.074,198,1.823,1.824,1.83,1.836,1.838,-7.368,-1.574,-0.04,7.535,"nan","nan","nan","nan","nan","nan"
"NGC 457",19.897,0.093,58.274,0.037,0.345,0.035,-1.58,0.062,-0.654,0.077,0.083,607,2.841,2.845,2.856,2.867,2.87,-10.0,2.285,-0.187,10.257,"nan","nan","nan","nan","nan","nan"
"NGC 4609",190.563,0.101,-62.997,0.05,0.692,0.044,-4.868,0.086,-1.05,0.092,0.089,295,1.436,1.437,1.441,1.444,1.445,-7.539,-1.223,0.021,7.637,"nan","nan","nan","nan","nan","nan"
"NGC 4755",193.407,0.096,-60.372,0.049,0.492,0.028,-4.646,0.098,-1.137,0.099,0.08,666,1.993,1.995,2.0,2.006,2.008,-7.205,-1.672,0.11,7.397,"nan","nan","nan","nan","nan","nan"
"NGC 4815",194.504,0.06,-64.962,0.022,0.29,0.051,-5.774,0.084,-0.952,0.062,0.049,753,3.451,3.457,3.475,3.494,3.5,-6.377,-2.892,-0.107,7.002,"nan","nan","nan","nan","nan","nan"
"NGC 5138",201.836,0.084,-59.022,0.038,0.542,0.046,-3.605,0.058,-1.456,0.049,0.063,143,1.83,1.833,1.84,1.848,1.851,-7.18,-1.456,0.136,7.326,"nan","nan","nan","nan","nan","nan"
"NGC 5168",202.796,0.044,-60.943,0.026,0.314,0.05,-4.127,0.051,-1.473,0.095,0.048,235,3.16,3.167,3.19,3.212,3.22,-6.348,-2.521,0.107,6.831,"nan","nan","nan","nan","nan","nan"
"NGC 5281",206.611,0.192,-62.913,0.061,0.647,0.048,-4.654,0.088,-2.384,0.074,0.136,381,1.539,1.54,1.544,1.547,1.549,-7.325,-1.197,0.005,7.423,"nan","nan","nan","nan","nan","nan"
"NGC 5316",208.498,0.141,-61.877,0.081,0.697,0.036,-6.3,0.065,-1.511,0.086,0.143,449,1.425,1.426,1.429,1.432,1.433,-7.377,-1.091,0.026,7.457,"nan","nan","nan","nan","nan","nan"
"NGC 5460",211.827,0.123,-48.282,0.14,1.371,0.065,-6.586,0.124,-3.465,0.149,0.227,159,0.727,0.727,0.728,0.73,0.73,-7.79,-0.496,0.185,7.806,"nan","nan","nan","nan","nan","nan"
"NGC 559",22.385,0.093,63.302,0.03,0.352,0.059,-4.264,0.081,0.261,0.103,0.073,567,2.85,2.854,2.867,2.881,2.885,-10.033,2.284,0.07,10.29,"nan","nan","nan","nan","nan","nan"
"NGC 5606",216.938,0.081,-59.635,0.02,0.412,0.016,-4.869,0.047,-2.874,0.046,0.068,73,2.397,2.404,2.423,2.443,2.45,-6.591,-1.718,0.063,6.812,"nan","nan","nan","nan","nan","nan"
"NGC 5617",217.453,0.094,-60.714,0.043,0.432,0.045,-5.645,0.051,-3.157,0.091,0.094,704,2.29,2.293,2.3,2.308,2.31,-6.683,-1.636,0.017,6.88,"nan","nan","nan","nan","nan","nan"
"NGC 5662",218.833,0.191,-56.633,0.116,1.32,0.062,-6.404,0.132,-7.247,0.166,0.213,188,0.757,0.757,0.758,0.759,0.759,-7.747,-0.517,0.07,7.765,"nan","nan","nan","nan","nan","nan"
"NGC 5749",222.211,0.085,-54.503,0.095,0.922,0.044,-2.752,0.06,-3.081,0.122,0.122,103,1.085,1.086,1.09,1.093,1.095,-7.473,-0.705,0.111,7.507,"nan","nan","nan","nan","nan","nan"
"NGC 581",23.331,0.097,60.658,0.046,0.4,0.037,-1.389,0.049,-0.504,0.061,0.092,314,2.473,2.476,2.485,2.494,2.498,-9.831,1.956,-0.046,10.024,"nan","nan","nan","nan","nan","nan"
"NGC 5822",226.035,0.266,-54.365,0.19,1.217,0.041,-7.442,0.172,-5.547,0.148,0.313,691,0.82,0.82,0.821,0.822,0.823,-7.658,-0.509,0.077,7.675,"nan","nan","nan","nan","nan","nan"
"NGC 5823",226.362,0.092,-55.607,0.043,0.552,0.048,-3.682,0.12,-2.447,0.109,0.081,448,1.8,1.802,1.807,1.812,1.813,-6.895,-1.133,0.1,6.987,"nan","nan","nan","nan","nan","nan"
"NGC 5999",238.054,0.057,-56.481,0.0,0.36,0.037,-3.372,0.087,-4.226,0.075,0.056,445,2.779,2.784,2.797,2.811,2.815,-5.982,-1.563,-0.075,6.183,"nan","nan","nan","nan","nan","nan"
"NGC 6005",238.953,0.032,-57.439,0.036,0.391,0.039,-4.021,0.057,-3.824,0.07,0.069,463,2.54,2.544,2.556,2.568,2.572,-6.19,-1.435,-0.113,6.354,"nan","nan","nan","nan","nan","nan"
"NGC 6025",240.784,0.322,-60.424,0.134,1.301,0.043,-2.923,0.084,-3.034,0.106,0.224,283,0.767,0.767,0.768,0.769,0.77,-7.678,-0.443,-0.054,7.691,"nan","nan","nan","nan","nan","nan"
"NGC 6031",241.903,0.072,-54.012,0.033,0.568,0.06,-2.146,0.09,-3.057,0.066,0.084,193,1.766,1.768,1.776,1.784,1.786,-6.774,-0.907,-0.024,6.834,"nan","nan","nan","nan","nan","nan"
"NGC 6067",243.301,0.094,-54.232,0.065,0.486,0.039,-1.903,0.087,-2.582,0.087,0.113,880,2.094,2.097,2.104,2.112,2.115,-6.484,-1.06,-0.06,6.57,"nan","nan","nan","nan","nan","nan"
"NGC 6087",244.746,0.169,-57.903,0.108,1.06,0.054,-1.526,0.113,-2.421,0.098,0.205,293,0.94,0.94,0.942,0.943,0.944,-7.507,-0.5,-0.065,7.524,"nan","nan","nan","nan","nan","nan"
"NGC 6124",246.309,0.179,-40.658,0.153,1.589,0.068,-0.23,0.225,-2.118,0.218,0.275,960,0.627,0.627,0.628,0.629,0.629,-7.71,-0.206,0.091,7.713,"nan","nan","nan","nan","nan","nan"
"NGC 6134",246.939,0.132,-49.164,0.105,0.876,0.076,2.185,0.158,-4.441,0.121,0.128,673,1.136,1.137,1.139,1.142,1.142,-7.268,-0.483,0.019,7.284,"nan","nan","nan","nan","nan","nan"
"NGC 6167",248.681,0.154,-49.761,0.09,0.683,0.062,-0.69,0.184,-2.786,0.15,0.167,2076,1.459,1.46,1.465,1.469,1.47,-6.97,-0.613,-0.014,6.997,"nan","nan","nan","nan","nan","nan"
"NGC 6178",248.927,0.073,-45.621,0.046,1.15,0.079,0.488,0.109,-3.327,0.102,0.113,73,0.867,0.868,0.871,0.875,0.876,-7.49,-0.321,0.044,7.497,"nan","nan","nan","nan","nan","nan"
"NGC 6192",250.077,0.064,-43.355,0.029,0.599,0.058,1.653,0.153,-0.196,0.097,0.083,583,1.652,1.654,1.659,1.665,1.667,-6.735,-0.549,0.084,6.758,"nan","nan","nan","nan","nan","nan"
"NGC 6193",250.337,0.074,-48.772,0.042,0.832,0.083,1.336,0.217,-4.023,0.175,0.141,499,1.195,1.196,1.2,1.204,1.205,-7.198,-0.475,-0.01,7.214,"nan","nan","nan","nan","nan","nan"
"NGC 6200",251.025,0.123,-47.491,0.113,0.351,0.021,-0.871,0.057,-2.236,0.065,0.226,219,2.792,2.8,2.825,2.85,2.858,-5.681,-1.058,-0.036,5.779,"nan","nan","nan","nan","nan","nan"
"NGC 6204",251.538,0.071,-47.028,0.024,0.837,0.051,-0.717,0.127,-0.571,0.087,0.074,281,1.188,1.189,1.192,1.195,1.196,-7.191,-0.436,0.002,7.204,"nan","nan","nan","nan","nan","nan"
"NGC 6231",253.544,0.088,-41.803,0.127,0.621,0.032,-0.578,0.132,-2.096,0.127,0.22,980,1.638,1.639,1.644,1.649,1.65,-6.724,-0.466,0.057,6.74,"nan","nan","nan","nan","nan","nan"
"NGC 6242",253.883,0.064,-39.464,0.083,0.785,0.062,1.144,0.166,-0.84,0.097,0.112,580,1.261,1.262,1.266,1.27,1.271,-7.075,-0.317,0.078,7.082,"nan","nan","nan","nan","nan","nan"
"NGC 6249",254.441,0.024,-44.811,0.031,0.818,0.02,1.725,0.089,-3.417,0.059,0.064,100,1.214,1.216,1.221,1.226,1.227,-7.142,-0.386,-0.002,7.153,"nan","nan","nan","nan","nan","nan"
"NGC 6250",254.505,0.102,-45.957,0.04,1.021,0.049,0.432,0.078,-2.374,0.128,0.13,127,0.973,0.974,0.977,0.981,0.982,-7.378,-0.323,-0.009,7.385,"nan","nan","nan","nan","nan","nan"
"NGC 6253",254.779,0.076,-52.709,0.049,0.597,0.049,-4.507,0.105,-5.287,0.074,0.088,788,1.662,1.664,1.669,1.674,1.676,-6.791,-0.689,-0.16,6.826,"nan","nan","nan","nan","nan","nan"
"NGC 6259",255.205,0.097,-44.687,0.065,0.44,0.062,-1.009,0.094,-2.893,0.09,0.123,1435,2.251,2.254,2.264,2.274,2.277,-6.148,-0.7,-0.042,6.188,"nan","nan","nan","nan","nan","nan"
"NGC 6268",255.52,0.051,-39.714,0.038,0.659,0.072,0.935,0.098,-0.778,0.104,0.097,240,1.508,1.51,1.517,1.523,1.525,-6.828,-0.366,0.057,6.838,"nan","nan","nan","nan","nan","nan"
"NGC 6281",256.191,0.163,-37.955,0.154,1.91,0.076,-1.833,0.281,-4.039,0.186,0.193,371,0.522,0.522,0.523,0.523,0.523,-7.789,-0.111,0.043,7.79,"nan","nan","nan","nan","nan","nan"
"NGC 6322",259.603,0.06,-42.932,0.032,0.787,0.008,0.162,0.053,-2.228,0.042,0.066,53,1.267,1.27,1.28,1.289,1.292,-7.064,-0.325,-0.045,7.072,"nan","nan","nan","nan","nan","nan"
"NGC 637",25.775,0.024,64.039,0.017,0.367,0.021,-1.222,0.053,0.055,0.047,0.049,118,2.686,2.691,2.708,2.725,2.73,-9.987,2.117,0.114,10.209,"nan","nan","nan","nan","nan","nan"
"NGC 6383",263.667,0.048,-32.574,0.021,0.925,0.086,2.625,0.221,-1.657,0.151,0.098,284,1.068,1.07,1.074,1.078,1.08,-7.229,-0.082,0.025,7.229,"nan","nan","nan","nan","nan","nan"
"NGC 6396",264.408,0.005,-35.014,0.015,0.383,0.019,-0.449,0.056,-2.06,0.041,0.036,70,2.523,2.535,2.571,2.608,2.62,-5.744,-0.271,-0.06,5.751,"nan","nan","nan","nan","nan","nan"
"NGC 6404",264.914,0.062,-33.224,0.039,0.388,0.065,0.173,0.118,-0.697,0.077,0.081,606,2.562,2.567,2.582,2.597,2.602,-5.726,-0.194,-0.034,5.729,"nan","nan","nan","nan","nan","nan"
"NGC 6405",265.12,0.173,-32.238,0.127,2.196,0.078,-1.328,0.234,-5.815,0.183,0.258,451,0.455,0.455,0.455,0.456,0.456,-7.845,-0.027,0.019,7.845,"nan","nan","nan","nan","nan","nan"
"NGC 6416",265.995,0.13,-32.351,0.101,0.954,0.05,-1.951,0.14,-2.306,0.092,0.184,274,1.045,1.046,1.048,1.051,1.052,-7.254,-0.056,-0.004,7.254,"nan","nan","nan","nan","nan","nan"
"NGC 6425",266.719,0.054,-31.514,0.063,1.024,0.068,3.814,0.222,-1.644,0.189,0.108,152,0.974,0.975,0.978,0.982,0.983,-7.323,-0.035,-0.003,7.323,"nan","nan","nan","nan","nan","nan"
"NGC 6451",267.683,0.062,-30.206,0.064,0.323,0.038,-0.095,0.069,-1.352,0.057,0.123,590,3.091,3.098,3.119,3.141,3.148,-5.182,-0.027,-0.07,5.182,"nan","nan","nan","nan","nan","nan"
"NGC 6475",268.466,0.521,-34.782,0.341,3.599,0.107,3.097,0.462,-5.316,0.335,0.546,867,0.278,0.278,0.278,0.278,0.278,-8.024,-0.02,0.004,8.024,"nan","nan","nan","nan","nan","nan"
"NGC 6494",269.244,0.163,-18.996,0.196,1.387,0.067,0.281,0.174,-1.803,0.222,0.307,1043,0.716,0.716,0.717,0.718,0.719,-7.594,0.123,0.06,7.595,"nan","nan","nan","nan","nan","nan"
"NGC 6514",270.656,0.085,-22.889,0.091,0.852,0.057,0.325,0.175,-1.699,0.092,0.257,265,1.168,1.17,1.175,1.18,1.182,-7.134,0.146,0.018,7.136,"nan","nan","nan","nan","nan","nan"
"NGC 6520",270.856,0.046,-27.88,0.027,0.588,0.089,0.695,0.097,-0.525,0.105,0.067,372,1.669,1.672,1.68,1.688,1.69,-6.625,0.085,-0.061,6.625,"nan","nan","nan","nan","nan","nan"
"NGC 6530",271.091,0.061,-24.372,0.03,0.788,0.086,1.321,0.31,-2.038,0.208,0.122,852,1.261,1.262,1.266,1.27,1.271,-7.041,0.134,-0.006,7.042,"nan","nan","nan","nan","nan","nan"
"NGC 6531",271.05,0.053,-22.495,0.034,0.841,0.056,0.472,0.153,-1.397,0.124,0.105,336,1.184,1.185,1.189,1.192,1.193,-7.122,0.158,0.015,7.124,"nan","nan","nan","nan","nan","nan"
"NGC 654",26.011,0.055,61.886,0.028,0.344,0.045,-1.093,0.065,-0.266,0.073,0.064,507,2.876,2.88,2.892,2.904,2.908,-10.123,2.245,0.015,10.369,"nan","nan","nan","nan","nan","nan"
"NGC 6583",273.961,0.033,-22.142,0.026,0.446,0.041,1.294,0.094,0.098,0.073,0.054,276,2.223,2.226,2.238,2.249,2.253,-6.094,0.36,-0.079,6.105,"nan","nan","nan","nan","nan","nan"
"NGC 659",26.104,0.046,60.679,0.04,0.318,0.038,-0.802,0.03,-0.261,0.047,0.067,203,3.1,3.107,3.126,3.146,3.152,-10.283,2.416,-0.05,10.563,"nan","nan","nan","nan","nan","nan"
"NGC 6603",274.617,0.023,-18.41,0.024,0.347,0.045,0.108,0.063,-2.036,0.077,0.059,791,2.866,2.871,2.889,2.906,2.912,-5.485,0.643,-0.049,5.522,"nan","nan","nan","nan","nan","nan"
"NGC 6604",274.476,0.13,-12.124,0.117,0.494,0.073,-0.4,0.134,-2.181,0.133,0.215,927,2.01,2.013,2.023,2.033,2.036,-6.38,0.636,0.083,6.412,"nan","nan","nan","nan","nan","nan"
"NGC 6611",274.688,0.038,-13.792,0.019,0.575,0.085,0.203,0.167,-1.549,0.186,0.17,533,1.745,1.748,1.756,1.764,1.767,-6.62,0.511,0.045,6.64,"nan","nan","nan","nan","nan","nan"
"NGC 6613",274.992,0.038,-17.107,0.045,0.669,0.036,-0.509,0.082,-0.851,0.109,0.141,189,1.489,1.491,1.498,1.506,1.508,-6.848,0.367,-0.005,6.857,"nan","nan","nan","nan","nan","nan"
"NGC 663",26.595,0.141,61.206,0.065,0.353,0.04,-1.121,0.059,-0.217,0.08,0.141,1103,2.774,2.777,2.788,2.798,2.802,-10.073,2.151,-0.014,10.3,"nan","nan","nan","nan","nan","nan"
"NGC 6631",276.81,0.097,-12.009,0.096,0.345,0.025,-0.678,0.154,-2.524,0.259,0.163,1378,2.911,2.919,2.942,2.966,2.973,-5.527,0.982,0.008,5.613,"nan","nan","nan","nan","nan","nan"
