"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode05","dmode16","dmode","dmode84","dmode95","Xgc","Ygc","Zgc","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"Melotte 101",160.546,0.127,-65.107,0.056,0.47,0.038,-6.318,0.079,3.477,0.08,0.103,579,2.124,2.126,2.131,2.136,2.138,-7.58,-1.995,-0.182,7.838,"nan","nan","nan","nan","nan","nan"
"Melotte 105",169.92,0.054,-63.487,0.024,0.436,0.037,-6.764,0.075,2.144,0.078,0.053,613,2.266,2.268,2.275,2.282,2.284,-7.415,-2.094,-0.072,7.705,"nan","nan","nan","nan","nan","nan"
"Melotte 111",186.175,1.672,25.766,1.027,11.616,0.216,-12.036,0.47,-8.916,0.64,2.659,113,0.086,0.086,0.086,0.087,0.087,-8.306,-0.006,0.113,8.306,"nan","nan","nan","nan","nan","nan"
"Melotte 20",51.594,1.103,48.981,0.698,5.736,0.119,22.921,0.47,-25.451,0.603,1.557,601,0.174,0.175,0.175,0.175,0.175,-8.446,0.094,0.007,8.447,"nan","nan","nan","nan","nan","nan"
"Melotte 22",56.557,0.705,24.086,0.598,7.368,0.148,20.03,0.865,-45.452,0.698,1.383,1111,0.136,0.136,0.136,0.136,0.136,-8.421,0.029,-0.027,8.421,"nan","nan","nan","nan","nan","nan"
"Melotte 25",66.707,1.257,15.852,1.07,21.33,0.432,106.97,5.317,-25.36,0.004,2.164,133,0.047,0.047,0.047,0.047,0.047,-8.343,0.0,0.009,8.343,"nan","nan","nan","nan","nan","nan"
"Melotte 66",111.572,0.053,-47.682,0.039,0.211,0.059,-1.486,0.093,2.739,0.098,0.077,774,4.737,4.747,4.776,4.806,4.815,-9.142,-4.553,-1.146,10.213,"nan","nan","nan","nan","nan","nan"
"Melotte 71",114.386,0.057,-12.064,0.058,0.465,0.064,-2.447,0.105,4.204,0.094,0.107,827,2.132,2.134,2.141,2.149,2.151,-9.701,-1.61,0.2,9.834,"nan","nan","nan","nan","nan","nan"
"NGC 1027",40.709,0.177,61.612,0.098,0.919,0.056,-1.748,0.075,2.112,0.091,0.149,295,1.087,1.088,1.09,1.092,1.092,-9.08,0.76,0.059,9.112,"nan","nan","nan","nan","nan","nan"
"NGC 103",6.312,0.056,61.325,0.016,0.325,0.044,-2.827,0.067,-1.001,0.059,0.044,206,3.084,3.091,3.111,3.131,3.138,-9.846,2.699,-0.043,10.209,"nan","nan","nan","nan","nan","nan"
"NGC 1039",40.468,0.222,42.718,0.159,1.986,0.074,0.691,0.228,-5.715,0.15,0.328,446,0.501,0.502,0.502,0.503,0.504,-8.69,0.287,-0.107,8.695,"nan","nan","nan","nan","nan","nan"
"NGC 1193",46.489,0.017,44.385,0.011,0.171,0.083,-0.161,0.204,-0.328,0.137,0.027,219,5.755,5.814,5.997,6.18,6.24,-13.211,3.209,-1.22,13.595,"nan","nan","nan","nan","nan","nan"
"NGC 1220",47.919,0.018,53.347,0.016,0.342,0.035,0.202,0.057,-0.753,0.05,0.026,70,2.86,2.872,2.911,2.95,2.963,-10.621,1.747,-0.166,10.764,"nan","nan","nan","nan","nan","nan"
"NGC 1245",48.693,0.073,47.236,0.055,0.314,0.04,0.499,0.078,-1.582,0.071,0.112,798,3.183,3.188,3.205,3.222,3.228,-10.947,1.741,-0.462,11.084,"nan","nan","nan","nan","nan","nan"
"NGC 129",7.604,0.118,60.208,0.059,0.538,0.043,-2.595,0.083,-1.105,0.097,0.099,360,1.838,1.839,1.843,1.848,1.849,-9.229,1.59,-0.052,9.365,"nan","nan","nan","nan","nan","nan"
"NGC 133",7.828,0.032,63.372,0.04,0.28,0.037,-2.55,0.092,-0.434,0.039,0.064,155,3.521,3.534,3.574,3.615,3.628,-10.124,3.073,0.068,10.58,"nan","nan","nan","nan","nan","nan"
"NGC 1342",52.953,0.14,37.358,0.119,1.54,0.062,0.556,0.187,-1.605,0.125,0.188,264,0.649,0.65,0.65,0.651,0.652,-8.869,0.265,-0.143,8.873,"nan","nan","nan","nan","nan","nan"
"NGC 1348",53.543,0.051,51.399,0.015,0.443,0.03,1.276,0.102,-0.73,0.059,0.052,64,2.213,2.22,2.24,2.26,2.267,-10.175,1.218,-0.112,10.247,"nan","nan","nan","nan","nan","nan"
"NGC 136",7.891,0.005,61.505,0.006,0.2,0.01,-1.633,0.022,-0.529,0.002,0.027,49,4.866,4.907,5.035,5.162,5.203,-10.86,4.334,-0.076,11.693,"nan","nan","nan","nan","nan","nan"
"NGC 1444",57.352,0.115,52.659,0.041,0.875,0.031,-0.77,0.225,-1.852,0.072,0.085,53,1.121,1.123,1.128,1.133,1.135,-9.257,0.596,0.004,9.276,"nan","nan","nan","nan","nan","nan"
"NGC 146",8.207,0.096,63.318,0.041,0.352,0.012,-2.825,0.064,-0.434,0.051,0.127,240,2.863,2.868,2.884,2.901,2.906,-9.779,2.476,0.058,10.087,"nan","nan","nan","nan","nan","nan"
"NGC 1496",61.124,0.037,52.668,0.017,0.641,0.033,1.524,0.091,-0.744,0.048,0.041,72,1.545,1.547,1.554,1.562,1.564,-9.644,0.781,0.036,9.675,"nan","nan","nan","nan","nan","nan"
"NGC 1502",61.953,0.096,62.34,0.056,0.954,0.064,-0.592,0.15,-0.859,0.142,0.097,198,1.049,1.05,1.052,1.054,1.054,-9.139,0.618,0.17,9.16,"nan","nan","nan","nan","nan","nan"
"NGC 1513",62.465,0.106,49.503,0.051,0.686,0.047,1.3,0.142,-3.67,0.106,0.089,322,1.456,1.458,1.462,1.466,1.467,-9.597,0.673,-0.009,9.621,"nan","nan","nan","nan","nan","nan"
"NGC 1528",63.867,0.229,51.211,0.079,0.984,0.048,2.18,0.12,-2.218,0.085,0.214,343,1.011,1.012,1.014,1.016,1.016,-9.195,0.475,0.035,9.207,"nan","nan","nan","nan","nan","nan"
"NGC 1545",65.281,0.088,50.253,0.088,1.385,0.062,-1.945,0.211,-0.108,0.101,0.131,72,0.72,0.72,0.722,0.724,0.725,-8.945,0.324,0.032,8.951,"nan","nan","nan","nan","nan","nan"
"NGC 1647",71.491,0.247,19.094,0.165,1.713,0.081,-1.047,0.236,-1.496,0.17,0.363,519,0.581,0.581,0.582,0.582,0.583,-8.857,-0.004,-0.139,8.857,"nan","nan","nan","nan","nan","nan"
"NGC 1662",72.153,0.296,10.879,0.193,2.44,0.103,-1.154,0.188,-1.967,0.088,0.337,142,0.411,0.411,0.412,0.412,0.412,-8.681,-0.052,-0.12,8.681,"nan","nan","nan","nan","nan","nan"
"NGC 1664",72.755,0.086,43.676,0.068,0.76,0.067,1.695,0.128,-5.715,0.081,0.142,395,1.309,1.311,1.314,1.318,1.319,-9.547,0.413,0.021,9.556,"nan","nan","nan","nan","nan","nan"
"NGC 1778",77.033,0.065,37.022,0.036,0.612,0.07,0.533,0.099,-3.157,0.098,0.112,187,1.621,1.624,1.632,1.64,1.642,-9.9,0.313,-0.025,9.905,"nan","nan","nan","nan","nan","nan"
