"IAU","Name","RAJ2000","DEJ2000","r1(ASCC)","r2(ASCC)","r1(USNO)","r2(USNO)","Bc","N(P>61)","Npm","pmRA","e_pmRA","pmDE","e_pmDE","Dist","E(B-V)","Ref"
"C1624-490","NGC_6134",246.94,-49.16,0.09,0.25,"nan",0.08,19.8,21,12,0.37,0.62,-6.76,0.45,913,0.4,1
"C1628-525","NGC_6152",248.17,-52.62,0.1,0.35,"nan",0.37,19.6,47,19,-1.85,0.39,-3.18,0.63,1030,0.3,3
"C1630-495","NGC_6167",248.67,-49.56,0.1,0.2,"nan",0.12,19.7,15,6,-1.35,0.45,-2.84,0.57,1108,0.6,1
"C1632-455","NGC_6178",248.94,-45.63,0.1,0.15,"nan",0.08,17.0,6,5,0.53,0.78,-3.13,1.16,1014,0.22,1
"C1636-432","NGC_6192",250.12,-43.36,0.07,0.15,0.07,0.13,19.0,9,6,1.96,1.14,-1.24,0.45,1547,0.64,1
"C1637-486","NGC_6193",250.38,-48.77,0.14,0.3,"nan","nan","nan",17,10,-0.22,0.47,-4.31,0.33,1155,0.35,1
"C1640-473","NGC_6200",251.04,-47.46,0.1,0.25,0.08,0.23,19.0,16,6,1.93,0.58,-5.32,0.77,2054,0.5,1
"C1642-469","NGC_6204",251.62,-47.02,0.08,0.25,"nan",0.23,17.0,23,13,-1.04,0.53,-3.06,0.44,1085,0.43,1
"C1650-417","NGC_6231",253.56,-41.83,0.1,0.2,"nan","nan","nan",11,8,-1.45,0.64,-0.96,0.57,1243,0.44,1
"C1652-407","Collinder_316",253.68,-40.76,0.12,0.23,0.13,0.18,20.3,14,10,-0.89,0.54,-4.33,0.61,1000,0.2,5
"C1652-405","VDBH_205,vdB-Hagen_205",254.05,-40.66,0.07,0.1,"nan",0.09,20.4,5,5,-0.66,0.52,-2.78,0.84,417,0.1,5
"C1652-394","NGC_6242",253.87,-39.47,0.1,0.35,0.13,0.38,18.0,32,14,0.38,0.32,-0.19,0.4,1131,0.38,1
"C1654-457","NGC_6250",254.47,-45.94,0.1,0.3,0.08,0.28,18.0,13,6,2.51,0.76,-2.52,0.74,865,0.35,1
"C1654-447","NGC_6249",254.41,-44.83,0.1,0.25,0.09,0.19,17.0,15,8,2.45,0.4,-5.37,0.48,981,0.44,1
"C1658-396","NGC_6268",255.52,-39.71,0.08,0.15,0.07,0.17,18.0,16,13,0.8,0.43,-0.91,0.39,1029,0.39,1
"C1701-378","NGC_6281",256.17,-37.95,0.12,0.5,"nan",0.28,19.9,71,19,-3.33,0.42,-3.85,0.5,479,0.15,1
"C1714-429","NGC_6322",259.62,-42.95,0.09,0.22,0.05,0.17,19.2,13,8,1.48,0.67,-1.43,0.7,961,0.5,1
"C1714-355","Bochum_13",259.33,-35.54,0.12,0.2,"nan",0.17,20.5,8,6,-1.4,0.89,-2.01,0.76,1077,0.8,1
"C1715-323","VDBH_221,vdB-Hagen_221",259.59,-32.39,0.07,0.2,0.1,0.27,20.5,10,5,5.1,1.28,-3.71,1.13,833,0.2,5
"C1720-499","IC_4651",261.19,-49.94,0.1,0.2,"nan",0.17,19.8,20,13,-1.16,0.39,-2.42,0.34,888,0.12,1
"C1720-378","Ruprecht_123",260.85,-37.96,0.09,0.15,"nan",0.08,19.0,10,6,-2.49,1.13,-0.02,1.37,714,0.2,5
"C1725-315","Antalova_1",262.2,-31.58,0.12,0.2,0.08,0.25,18.0,7,6,-0.3,0.56,-2.87,0.27,1250,0.3,5
"C1725-294","Trumpler_26",262.14,-29.48,0.1,0.15,"nan",0.11,20.1,6,6,-3.51,0.97,-0.01,0.86,2800,0.4,3
"C1726-404","Ruprecht_125",262.42,-40.5,0.1,0.2,"nan",0.09,20.5,12,5,-1.7,1.08,-3.47,1.16,769,0.1,5
"C1731-325","NGC_6383",263.62,-32.58,0.1,0.3,"nan","nan","nan",17,7,2.13,0.53,-1.84,0.48,985,0.3,1
"C1732-334","Trumpler_27",264.04,-33.48,0.1,0.2,"nan",0.13,18.0,11,6,-1.91,0.81,-0.67,0.86,1211,1.19,1
"C1733-324","Trumpler_28",264.21,-32.47,0.1,0.15,0.09,0.16,20.1,6,6,1.72,1.11,-2.21,0.68,1343,0.73,1
"C1734-375","Collinder_338",264.49,-37.67,0.1,0.3,"nan",0.27,19.7,11,5,3.46,0.73,-2.5,1.15,500,0.1,5
"C1736-321","NGC_6405",265.06,-32.22,0.12,0.3,"nan",0.38,20.1,22,12,0.22,0.46,-3.39,0.43,487,0.14,1
"C1737-369","NGC_6400",265.05,-36.97,0.1,0.25,0.09,0.19,19.6,14,9,-1.68,0.91,-2.55,0.35,1000,0.1,5
"C1738-400","Trumpler_29",265.38,-40.15,0.09,0.2,"nan",0.12,19.8,12,9,3.45,0.49,-3.26,0.66,500,0.05,5
"C1741-323","NGC_6416",266.07,-32.38,0.1,0.35,0.05,0.25,20.2,32,8,-0.18,0.6,-0.31,0.73,740,0.25,1
"C1743-315","NGC_6425",266.73,-31.52,0.07,0.15,"nan",0.11,20.1,8,7,6.93,0.58,0.73,1.11,778,0.4,1
"C1743+057","IC_4665",266.53,5.66,0.3,1.0,"nan",0.62,19.5,60,11,-0.3,0.33,-6.76,0.37,352,0.17,1
"C1745+013","Collinder_350",267.03,1.43,0.15,0.6,"nan",0.47,19.5,21,6,-3.26,0.29,-0.06,0.49,286,0.35,5
"C1746-348","NGC_6444",267.4,-34.81,0.1,0.15,"nan","nan","nan",10,8,1.33,0.75,-0.05,0.54,1000,0.2,5
"C1749-223","NGC_6469",268.3,-22.34,0.1,0.2,0.1,0.22,20.2,11,6,2.66,1.4,-2.82,1.29,625,0.3,5
"C1750-348","NGC_6475",268.47,-34.8,0.25,1.2,"nan",0.83,16.0,173,22,2.82,0.23,-5.26,0.32,280,0.1,2
"C1753-353","Trumpler_30",269.08,-35.37,0.1,0.2,"nan","nan","nan",13,7,-2.38,0.65,-2.43,0.94,625,0.1,5
"C1753-190","NGC_6494",269.25,-19.02,0.15,0.65,0.13,0.42,19.8,120,39,0.81,0.3,-1.18,0.24,628,0.35,1
"C1756-281","Trumpler_31",269.91,-28.18,0.09,0.15,0.08,0.17,17.0,13,6,-1.22,1.3,-2.09,0.57,1000,0.2,3
"C1756-251","Ruprecht_137",270.0,-25.16,0.1,0.15,0.05,0.17,19.9,8,6,-0.01,0.58,-0.23,1.22,588,0.1,5
"C1758-235","Ruprecht_139",270.25,-23.52,0.07,0.15,"nan","nan","nan",11,8,-0.48,1.1,-1.77,0.74,833,0.15,5
"C1758+029","Melotte_186",270.16,2.93,0.5,1.4,0.58,0.83,16.0,57,10,-0.44,0.55,-7.61,0.43,249,0.15,1
"C1759-230","NGC_6514",270.58,-23.02,0.2,0.35,"nan","nan","nan",19,7,0.63,0.7,-2.75,0.68,816,0.19,1
"C1800-279","NGC_6520",270.84,-27.89,0.05,0.1,"nan","nan","nan",6,6,3.71,0.79,-2.83,0.97,1577,0.35,1
"C1801-243","NGC_6530",271.09,-24.36,0.1,0.3,"nan","nan","nan",15,7,2.11,0.78,-3.68,0.43,1330,0.28,1
"C1801-225","NGC_6531",271.05,-22.49,0.1,0.25,"nan",0.22,19.9,12,6,-0.38,0.9,-2.47,0.85,1205,0.25,1
"C1804-233","NGC_6546",271.89,-23.34,0.1,0.18,0.17,0.25,19.6,10,5,-1.12,1.07,-1.43,1.28,938,0.49,1
"C1805-214","VDB_113,vdBergh_113",272.17,-21.44,0.1,0.25,0.13,0.3,20.0,26,6,-0.42,1.13,-2.3,1.1,1667,0.25,5
"C1806-240","Collinder_367",272.44,-23.66,0.15,0.45,"nan","nan","nan",37,7,0.74,0.3,-2.57,0.66,1250,0.2,5
"C1809-216","NGC_6568",273.19,-21.6,0.1,0.2,"nan",0.21,17.0,23,10,-0.63,0.91,-2.35,0.92,769,0.1,5
"C1812-190","Markarian_38",273.82,-19.0,0.1,0.2,"nan",0.08,18.0,25,7,-0.97,0.3,-1.21,0.73,1471,0.3,1
"C1814-166","NGC_6596",274.32,-16.66,0.1,0.2,"nan","nan","nan",11,9,2.94,0.48,-2.63,0.53,1249,0.1,5
"C1815-184","NGC_6603",274.56,-18.45,0.06,0.12,0.07,0.17,19.8,7,5,0.95,1.13,0.66,0.65,2880,0.6,3
"C1815-122","NGC_6604",274.53,-12.23,0.1,0.45,0.17,0.48,19.5,40,8,-0.45,0.54,-2.57,0.53,1696,0.9,1
"C1816-138","NGC_6611",274.68,-13.8,0.1,0.25,"nan","nan","nan",21,18,1.19,0.41,1.76,0.35,2000,0.65,1
"C1817-171","NGC_6613",274.99,-17.1,0.06,0.2,"nan",0.12,19.2,13,9,-0.27,0.59,-1.58,0.46,1296,0.45,1
"C1817-162","NGC_6618",275.16,-16.17,0.12,0.2,"nan","nan","nan",14,7,2.36,0.8,0.79,0.83,1500,0.4,3
"C1825+065","NGC_6633",276.87,6.54,0.15,0.5,0.12,0.35,19.1,77,19,-0.16,0.37,-2.51,0.46,376,0.18,1
"C1828-192","IC_4725",277.86,-19.16,0.15,0.65,0.1,0.75,17.0,70,16,-3.37,0.57,-5.73,0.52,620,0.47,1
"C1828-123","Ruprecht_141",277.83,-12.3,0.06,0.12,"nan",0.11,19.2,6,5,1.37,0.79,-4.67,0.73,1429,0.1,5
"C1834-082","NGC_6664",279.18,-8.22,0.1,0.2,0.15,0.27,19.5,8,6,0.47,0.73,-1.02,0.97,1164,0.6,1
"C1836+054","IC_4756",279.66,5.46,0.35,1.4,"nan",0.68,19.5,172,39,-0.42,0.24,-3.03,0.29,330,0.19,2
"C1842-094","NGC_6694",281.31,-9.4,0.09,0.11,"nan",0.18,18.9,9,9,-2.14,0.58,-3.06,0.5,1600,0.55,1
"C1847-181","Ruprecht_145",282.63,-18.21,0.2,0.5,"nan",0.35,16.5,37,20,6.1,0.44,-5.31,0.49,666,0.2,5
"C1848-063","NGC_6705",282.76,-6.27,0.1,0.35,"nan",0.22,20.0,29,18,-5.81,0.48,-1.2,0.47,1877,0.43,1
"C1849+102","NGC_6709",282.82,10.33,0.12,0.35,"nan",0.25,19.0,35,23,1.8,0.36,-3.41,0.32,1075,0.3,1
"C1850-204","Collinder_394",283.09,-20.3,0.2,0.7,0.18,0.48,18.9,63,13,-3.28,0.42,-7.37,0.56,690,0.24,1
"C1851-199","NGC_6716",283.65,-19.86,0.1,0.2,0.05,0.17,18.0,12,9,-1.88,0.55,-4.06,0.53,789,0.22,1
"C1851+368","Stephenson_1",283.51,36.88,0.15,0.35,"nan","nan","nan",12,7,1.01,0.71,-2.89,0.63,390,0.04,1
"C1913-163","Ruprecht_147",289.06,-16.2,0.3,1.15,"nan",0.5,18.9,55,25,-0.92,0.28,-29.27,0.31,333,"nan",5
"C1921+220","NGC_6793",290.8,22.16,0.1,0.22,0.07,0.12,18.0,13,8,4.87,0.56,1.37,0.48,909,0.2,5
"C1925+250","NGC_6800",291.78,25.14,0.12,0.25,"nan",0.28,19.4,16,12,1.88,0.51,4.12,0.39,1000,0.1,5
"C1933+251","Stock_1",293.94,25.17,0.25,0.8,"nan","nan","nan",36,18,5.72,0.33,1.44,0.29,320,0.15,4
"C1941+231","NGC_6823",295.78,23.28,0.09,0.3,0.03,0.12,19.4,18,6,-2.35,0.59,-5.78,0.47,1893,0.65,1
"C1942+174","Roslund_1",296.28,17.53,0.08,0.2,0.04,0.09,19.2,13,7,0.01,0.63,-4.63,0.59,833,0.15,5
"C1943+238","Roslund_2",296.35,23.93,0.15,0.32,0.2,0.32,19.8,12,8,-0.47,0.68,-3.6,0.5,1667,0.85,5
"C1948+229","NGC_6830",297.76,23.08,0.1,0.2,0.11,0.3,19.7,11,5,0.07,0.76,-5.86,0.76,1639,0.5,1
"C1956+203","Roslund_3",299.67,20.52,0.1,0.2,"nan",0.09,19.3,16,13,-1.21,0.41,-5.29,0.48,1467,0.35,1
"C2002+438","NGC_6866",300.94,43.99,0.12,0.25,0.13,0.37,19.8,17,6,-4.06,0.65,-8.3,0.39,1450,0.17,1
"C2004+356","NGC_6871",301.47,35.77,0.1,0.25,0.13,0.38,19.6,22,10,-3.68,0.37,-7.82,0.57,1574,0.44,1
"C2005+355","Biurakan_1",301.83,35.68,0.1,0.2,0.03,0.18,19.3,16,6,-3.31,0.57,-6.27,0.7,1667,0.3,5
"C2007+353","Biurakan_2",302.29,35.48,0.1,0.2,"nan",0.2,19.2,16,10,-3.6,0.44,-6.31,0.53,1106,0.36,1
"C2008+336","Roslund_5",302.59,33.8,0.15,0.5,"nan","nan","nan",38,7,2.91,0.93,-2.58,0.49,389,0.03,1
"C2009+357","NGC_6883",302.83,35.85,0.1,0.2,0.13,0.33,19.4,13,7,-2.38,1.02,-7.72,1.29,1380,0.3,3
"C2014+374","IC_4996",304.12,37.66,0.1,0.15,"nan",0.09,19.6,8,5,-1.53,0.56,-5.93,0.72,1732,0.6,1
"C2014+377","Dolidze_39",304.11,37.88,0.13,0.15,"nan",0.18,19.6,7,6,-2.12,0.57,-6.08,0.99,1429,0.4,5
"C2016+405","Collinder_419",304.5,40.72,0.1,0.4,"nan",0.35,19.8,26,5,-2.76,0.3,-6.99,0.16,769,0.3,5
"C2021+406","NGC_6910",305.77,40.77,0.1,0.25,"nan",0.15,19.6,14,7,-3.94,0.37,-4.86,0.49,1139,0.97,1
"C2021+415","Collinder_421",305.82,41.69,0.1,0.4,0.09,0.37,20.0,20,8,-4.22,0.57,-9.86,0.29,1111,0.2,5
"C2022+383","NGC_6913",306.0,38.5,0.08,0.25,0.08,0.18,20.0,14,6,-3.23,0.76,-5.36,0.14,1148,0.74,1
"C2027+392","Roslund_6",307.23,39.19,0.2,0.6,"nan",0.67,20.0,28,8,5.71,0.67,0.33,0.73,500,0.05,5
"C2032+281","NGC_6940",308.62,28.28,0.15,0.5,0.15,0.45,19.3,60,33,-1.74,0.24,-9.11,0.38,770,0.21,1
"C2050+377","Roslund_7",313.09,37.93,0.15,0.25,"nan",0.23,18.0,16,9,0.5,0.92,-0.4,0.38,571,0.15,5
"C2052+458","Barkhatova_1",313.56,46.05,0.12,0.25,0.07,0.22,19.5,10,7,-6.69,0.65,-4.05,0.48,833,0.2,5
"C2101+443","Collinder_428",315.76,44.58,0.1,0.2,"nan","nan","nan",9,5,-0.5,0.78,-0.55,0.92,1000,0.1,5
"C2109+454","NGC_7039",317.8,45.67,0.2,0.3,"nan",0.25,19.4,13,9,-1.87,0.68,-5.14,0.5,951,0.13,1
"C2122+362","NGC_7063",321.1,36.49,0.08,0.3,"nan",0.07,19.7,14,5,1.56,0.52,-2.76,0.55,689,0.09,1
"C2127+468","NGC_7082",322.2,47.1,0.1,0.5,"nan",0.33,19.2,62,17,-1.88,0.48,-2.84,0.46,1442,0.24,1
"C2130+482","NGC_7092",323.04,48.45,0.35,2.3,"nan",0.42,19.3,68,21,-7.36,0.41,-20.67,0.3,310,0.01,2
"C2137+572","IC_1396",324.72,57.49,0.2,0.7,0.25,0.75,19.3,43,18,-3.38,0.44,-3.7,0.62,835,0.47,1
"C2152+623","NGC_7160",328.44,62.6,0.06,0.23,"nan","nan","nan",11,6,-2.84,0.42,-2.35,0.41,789,0.3,1
"C2203+462","NGC_7209",331.27,46.46,0.12,0.3,"nan",0.17,19.2,27,15,2.76,0.41,1.04,0.36,1168,0.17,1
"C2213+496","NGC_7243",333.82,49.88,0.15,0.5,"nan",0.43,19.2,55,22,-0.03,0.34,-2.49,0.24,808,0.22,1
"C2214+538","IC_1442",334.12,54.05,0.12,0.15,"nan",0.1,19.4,9,7,-2.05,0.51,-1.38,0.69,2346,0.54,1
"C2222+575","NGC_7281",336.28,57.84,0.1,0.25,0.09,0.27,19.6,17,7,1.29,1.13,-4.39,0.71,833,0.4,5
"C2309+603","NGC_7510",347.8,60.57,0.07,0.1,"nan",0.13,19.9,5,5,-3.36,0.81,-1.37,1.88,2075,0.85,1
"C2319+714","Berkeley_99",350.38,71.75,0.07,0.15,0.05,0.11,19.7,7,5,-6.26,0.95,-3.83,0.72,4900,0.3,4
"C2322+613","NGC_7654",351.15,61.62,0.1,0.15,0.08,0.2,19.9,12,11,-1.23,0.88,-1.38,0.93,1421,0.65,1
"C2323+610","Czernik_43",351.45,61.3,0.11,0.17,"nan",0.09,19.7,11,5,-2.22,0.6,-1.41,1.08,3333,0.3,5
"C2334+481","Aveni-Hunter_1,Av-Hunter_1",354.33,48.48,0.18,0.22,"nan","nan","nan",7,7,0.78,0.32,-3.56,0.46,500,0.1,5
"C2334+521","Stock_12",353.94,52.62,0.2,0.45,0.22,0.42,19.4,20,12,7.73,0.36,-1.48,0.34,476,0.15,5
"C2350+616","King_12",358.3,61.96,0.08,0.15,"nan",0.11,19.9,8,6,-2.26,1.0,-1.4,0.66,2378,0.59,1
"C2354+564","NGC_7789",359.28,56.7,0.1,0.3,"nan",0.33,19.1,25,10,4.08,0.72,0.21,0.68,2337,0.22,1
"C2354+611","NGC_7788",359.19,61.4,0.1,0.2,"nan",0.12,19.7,15,9,0.79,0.6,-2.4,0.64,2374,0.28,1
"C2355+609","NGC_7790",359.58,61.22,0.07,0.2,"nan",0.23,19.7,10,5,-2.88,1.11,-1.55,1.04,2944,0.53,1
