"IAU","Name","RAJ2000","DEJ2000","r1(ASCC)","r2(ASCC)","r1(USNO)","r2(USNO)","Bc","N(P>61)","Npm","pmRA","e_pmRA","pmDE","e_pmDE","Dist","E(B-V)","Ref"
"C0816-304","NGC_2567",124.65,-30.63,0.1,0.35,"nan",0.14,19.8,32,12,-1.1,0.78,2.5,0.63,1666,0.13,1
"C0816-295","NGC_2571",124.72,-29.76,0.1,0.3,"nan",0.15,19.6,12,8,-5.98,0.55,2.57,0.71,1333,0.11,1
"C0820-360","Collinder_185",125.83,-36.37,0.09,0.15,"nan",0.03,20.1,8,6,-6.84,0.38,2.91,0.58,1486,0.21,4
"C0829-443","VDBH_34,vdB-Hagen_34",127.81,-44.5,0.2,0.2,"nan",0.28,20.4,5,5,-6.66,1.18,2.15,0.84,909,0.1,5
"C0832-441","Pismis_4",128.67,-44.34,0.18,0.35,"nan",0.3,20.3,24,7,-6.53,1.0,5.64,0.37,591,0.01,1
"C0835-399","Ruprecht_64",129.43,-40.07,0.2,0.7,"nan",0.58,20.1,58,11,-5.17,0.6,5.84,0.59,667,0.02,5
"C0835-297","NGC_2627",129.33,-29.95,0.08,0.12,0.08,0.14,20.0,5,5,-1.86,1.23,1.97,1.29,2040,0.09,1
"C0837-438","Ruprecht_65",129.79,-44.03,0.1,0.25,"nan",0.18,20.2,12,5,-6.08,1.02,1.98,0.22,664,0.05,5
"C0837+201","NGC_2632",130.09,19.69,0.6,2.9,0.45,1.25,19.8,105,58,-35.83,0.18,-13.11,0.15,180,0.01,2
"C0838-528","IC_2391",130.05,-53.05,0.35,1.2,"nan",0.75,19.0,27,8,-25.16,0.64,22.23,0.84,153,"nan",2
"C0840-447","NGC_2659",130.66,-44.98,0.1,0.2,0.11,0.21,20.3,6,5,-6.72,0.88,2.94,1.11,1724,0.51,1
"C0840-432","Ruprecht_67",130.41,-43.37,0.09,0.15,0.08,0.17,20.4,6,6,-9.85,0.97,1.92,1.02,1515,0.43,1
"C0841-479","VDBH_47,vdB-Hagen_47",130.63,-48.11,0.15,0.5,"nan",0.18,20.0,35,12,-4.21,0.63,1.73,0.63,833,0.05,5
"C0842-411","Collinder_197",131.19,-41.42,0.3,0.3,"nan",0.3,20.1,8,8,-7.16,0.4,6.98,0.52,840,0.19,1
"C0843-486","NGC_2670",131.38,-48.78,0.07,0.2,0.03,0.1,20.2,9,7,-11.05,0.77,3.98,0.8,1123,0.34,1
"C0845-527","VDBH_52,vdB-Hagen_52",131.61,-52.93,0.1,0.25,0.03,0.19,18.0,13,7,-6.07,1.04,1.79,1.05,667,0.05,5
"C0846-423","Trumpler_10",131.88,-42.48,0.2,0.75,"nan",0.14,20.5,34,7,-11.79,0.5,6.24,0.28,364,0.03,2
"C0847-465","Ruprecht_71",132.36,-46.87,0.08,0.15,"nan",0.12,17.0,10,9,-2.0,0.41,5.94,0.57,1000,0.1,5
"C0847+120","NGC_2682",132.87,11.84,0.12,1.1,0.13,0.43,19.5,49,23,-8.83,0.29,-4.96,0.25,909,0.06,1
