ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_37946,121.0753,0.0017,-32.2543,0.003,0.1931,-2.0862,0.1048,2.7468,0.15,249.4824,0.0038,-0.4625,0.0004,34,33,1,8.9042,0.0316,-0.27836,0.17148,13.57119,0.05288,2.54335,0.00968
CKCWDM_38001,120.9066,0.001,-32.4812,0.0017,0.1967,-2.2805,0.1053,2.7658,0.1279,249.5983,0.0019,-0.704,0.0005,28,27,1,8.8787,0.0296,0.32708,0.18283,13.52703,0.04913,2.78184,0.00989
CKCWDM_38021,123.1128,0.0028,-34.3099,0.0024,0.1297,-1.6292,0.1254,2.2558,0.1843,252.1329,0.0041,-0.1457,0.0002,26,25,1,8.9074,0.0364,0.33463,0.17234,14.4356,0.0507,2.08498,0.00995
CKCWDM_38025,120.9257,0.0008,-31.6464,0.0011,0.1753,-2.06,0.094,2.5995,0.4811,248.9005,0.0011,-0.2455,0.0005,28,27,1,8.9004,0.0253,0.32685,0.1744,13.7821,0.05017,1.89809,0.0104
CKCWDM_38158,122.4305,0.0007,-33.4407,0.001,0.1628,-2.4855,0.1062,3.2198,0.3194,251.0955,0.0013,-0.1437,0.0001,21,21,1,8.8782,0.0338,0.32348,0.18136,13.93971,0.05128,2.6069,0.00987
CKCWDM_40993,186.7722,0.0008,-64.4749,0.0003,0.173,-7.3806,0.1037,0.0298,0.1135,300.3117,0.0001,-1.7271,0.0003,20,20,1,8.9302,0.0182,-0.84766,0.50367,13.80797,0.0527,4.73108,0.00993
CKCWDM_44145,314.4957,0.0005,44.9147,0.0006,0.1433,-2.6592,0.2837,-3.828,0.1047,85.8508,0.0005,-0.4947,0.0003,22,22,1,8.9125,0.0279,-0.85272,0.48496,14.21849,0.0528,6.80654,0.00998
CKCWDM_44263,316.9615,0.0016,46.956,0.0005,0.1954,-3.4971,0.1962,-4.1949,0.0442,88.5156,0.0004,-0.4207,0.0009,20,19,1,8.8727,0.02,0.25803,0.15412,13.54594,0.05202,5.32574,0.01023
CKCWDM_44392,333.3689,0.0031,54.4909,0.0006,0.1817,-2.9804,0.2333,-2.38,0.1133,101.2457,0.0014,-1.5902,0.0003,30,30,1,8.886,0.0374,-0.5876,0.34153,13.70226,0.04853,1.60515,0.00983
CKCWDM_44624,339.9496,0.0017,58.1389,0.0005,0.1953,-2.6097,0.1285,-1.7288,0.1049,106.2652,0.0005,-0.408,0.0004,21,21,1,8.875,0.0381,0.19643,0.12069,13.5458,0.05136,4.09316,0.00983
CKCWDM_45932,114.4298,0.0043,-18.1382,0.0105,0.1971,-1.6097,0.2071,1.7416,0.2668,234.285,0.0143,1.5863,0.0001,22,21,1,8.9232,0.018,-0.85745,0.50083,13.52606,0.05111,2.54713,0.00964
CKCWDM_45936,113.0999,0.0006,-16.2256,0.0035,0.1931,-1.4755,0.0633,1.6361,0.1724,231.9953,0.0037,1.4044,0.0004,20,20,1,8.8704,0.0224,0.27749,0.16819,13.5689,0.05153,2.63196,0.01011
CKCWDM_46099,116.977,0.0009,-24.6568,0.0016,0.1442,-1.2549,0.0932,2.0313,0.2034,241.1207,0.0016,0.4044,0.0007,20,20,1,8.9142,0.0228,-0.18147,0.10554,14.20164,0.0499,1.62672,0.01006
CKCWDM_46137,121.2685,0.003,-29.1056,0.0047,0.1842,-1.9769,0.1497,2.8423,0.2034,246.9104,0.0063,1.3618,0.0008,39,38,1,8.8883,0.0189,0.31897,0.18566,13.67199,0.0503,1.84253,0.01021
CKCWDM_46139,119.7739,0.0009,-27.8612,0.0022,0.1976,-2.0735,0.174,2.6835,0.7369,245.1588,0.0025,0.9068,0.0003,37,35,1,8.9224,0.0178,-0.85772,0.46493,13.51923,0.05209,1.83586,0.0099
CKCWDM_46177,119.9069,0.0009,-27.819,0.0027,0.1777,-1.8711,0.1303,2.0617,0.2493,245.1846,0.0033,1.029,0.0001,28,25,1,8.9087,0.0176,-0.5742,0.33455,13.75211,0.05041,1.67787,0.0101
