ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_54192,113.9114,0.0012,-14.1622,0.0023,0.1888,-1.2226,0.1642,1.0495,0.1908,230.5665,0.0025,3.0874,0.001,27,27,1,8.762,0.027,0.31216,0.19051,13.62022,0.04906,1.66116,0.01
CKCWDM_54209,118.0699,0.0045,-24.7683,0.0081,0.1751,-1.8052,0.3258,2.4092,0.3561,241.7215,0.0114,1.2026,0.0004,52,50,1,8.8931,0.0233,0.31514,0.19356,13.7798,0.05009,1.26505,0.00988
CKCWDM_54275,116.5902,0.0007,-21.3088,0.0024,0.1363,-1.3126,0.1118,1.6858,0.1156,238.0481,0.0027,1.7824,0.0003,24,23,1,8.9043,0.0354,-0.1828,0.11012,14.32789,0.05144,1.81877,0.01056
CKCWDM_54309,117.61,0.0008,-21.6881,0.0009,0.1441,-1.4011,0.2311,1.822,0.0715,238.8551,0.0013,2.4099,0.0003,22,22,1,8.9362,0.0386,0.06836,0.0423,14.20581,0.05156,1.65296,0.00989
CKCWDM_54314,119.1501,0.0003,-24.6963,0.001,0.1812,-1.7249,0.1841,2.7443,0.1968,242.1657,0.0012,2.0804,0.0001,21,21,1,8.7392,0.0258,0.30952,0.17233,13.70814,0.04896,0.97551,0.01047
CKCWDM_54338,118.386,0.0004,-25.134,0.0006,0.1775,-1.7336,0.2044,2.5716,0.1075,242.1826,0.0009,1.2609,0.0001,20,20,1,8.9013,0.0265,0.31945,0.18194,13.75039,0.05161,1.04173,0.00954
CKCWDM_54381,122.0413,0.0015,-28.8204,0.0014,0.1589,-2.3555,0.0828,2.7538,0.2537,247.0339,0.0022,2.0853,0.0004,33,32,1,8.9005,0.0212,0.19005,0.11919,13.99461,0.05043,1.33011,0.00997
CKCWDM_54412,122.4502,0.0009,-29.2207,0.0013,0.1742,-2.0038,0.1035,2.3416,0.1968,247.5645,0.0016,2.1684,0.0004,27,26,1,8.723,0.0258,0.26664,0.15609,13.79246,0.04927,1.42517,0.00989
CKCWDM_54466,121.5542,0.0019,-28.2489,0.0046,0.1853,-2.1105,0.0988,2.7281,0.1341,246.3214,0.0058,2.0328,0.0003,23,21,1,8.8955,0.0361,0.20093,0.12345,13.6583,0.04962,1.48745,0.01001
CKCWDM_54493,119.8871,0.0011,-24.3676,0.0012,0.1768,-1.673,0.1549,1.9304,0.3368,242.2348,0.0019,2.824,0.0002,28,28,1,8.9161,0.0222,-0.56657,0.34812,13.76461,0.05193,0.6996,0.0099
CKCWDM_54497,121.7994,0.0017,-27.0385,0.0021,0.1612,-1.7525,0.1355,2.2638,0.1513,245.4167,0.0031,2.8666,0.0005,33,32,1,8.9221,0.0309,-0.59842,0.34486,13.96215,0.04981,0.93945,0.01027
CKCWDM_54500,119.4548,0.0011,-24.9678,0.0009,0.1474,-1.4292,0.0581,2.1214,0.0957,242.5417,0.0017,2.1754,0.0002,21,20,1,8.9232,0.0373,-0.86573,0.48348,14.15596,0.04932,0.80226,0.01012
CKCWDM_54631,122.4268,0.0023,-31.072,0.008,0.1513,-2.032,0.1315,3.0235,0.2119,249.1072,0.0093,1.1438,0.0003,32,31,1,8.9263,0.0212,-0.88934,0.49103,14.09965,0.05109,1.65312,0.00983
CKCWDM_54642,125.8504,0.0061,-34.2361,0.007,0.1589,-2.6691,0.1718,2.9271,0.3143,253.3425,0.0109,1.7675,0.0002,41,39,1,8.8901,0.0228,0.32481,0.18314,13.98989,0.05007,1.5916,0.01031
CKCWDM_54657,123.6543,0.0028,-30.6146,0.0042,0.1583,-2.111,0.119,2.406,0.3486,249.3038,0.0062,2.2757,0.0001,29,29,1,8.9122,0.0387,-0.03984,0.02452,14.00198,0.05162,1.43286,0.0097
CKCWDM_54683,123.3754,0.0025,-30.7764,0.0025,0.1816,-2.4175,0.072,2.6143,0.1512,249.3061,0.0041,1.9865,0.0002,27,27,1,8.8901,0.0192,0.32573,0.18549,13.70325,0.05061,1.72833,0.01002
CKCWDM_54690,123.9458,0.0022,-32.1754,0.0041,0.156,-2.0688,0.1737,2.8304,0.4363,250.7408,0.0054,1.6161,0.0003,27,26,1,8.9209,0.0322,-0.88433,0.49949,14.03508,0.05113,1.62429,0.00988
CKCWDM_54695,124.9765,0.0032,-32.0592,0.0009,0.1468,-2.4758,0.166,3.0098,0.2192,251.1345,0.0017,2.404,0.0015,27,27,1,8.8918,0.0166,0.12002,0.07204,14.16696,0.05019,1.35483,0.01001
CKCWDM_54723,124.2238,0.0015,-31.9676,0.0026,0.1907,-2.5285,0.1811,3.2749,0.1894,250.6997,0.0032,1.9275,0.0005,25,24,1,8.8719,0.04,-0.58959,0.34051,13.59657,0.05076,1.76467,0.00999
CKCWDM_54747,124.7364,0.0005,-31.8377,0.0008,0.1698,-2.3563,0.1231,2.8867,0.194,250.8363,0.001,2.3607,0.0002,24,24,1,8.8994,0.038,-0.18318,0.11359,13.84977,0.04906,1.51244,0.00999
CKCWDM_54760,125.3191,0.0049,-32.8627,0.0075,0.1413,-2.0923,0.0716,2.3746,0.1328,251.961,0.0106,2.1871,0.0004,23,22,1,8.8973,0.0218,-0.10461,0.06179,14.25076,0.05054,1.20886,0.01001
CKCWDM_54775,123.7174,0.0006,-32.6967,0.0009,0.1801,-2.6886,0.1549,3.3114,0.2665,251.0671,0.0011,1.1661,0.0002,22,20,1,8.7397,0.0266,0.27657,0.15679,13.72297,0.05174,1.75954,0.01005
CKCWDM_54814,124.5483,0.0012,-33.9087,0.0023,0.1535,-2.5605,0.1516,2.9926,0.1371,252.4606,0.003,1.0652,0.0001,21,21,1,8.8126,0.0351,-0.10106,0.05911,14.07138,0.05026,1.37507,0.00987
CKCWDM_54890,127.0852,0.0033,-34.3481,0.0028,0.164,-2.7641,0.1607,2.9358,0.1619,254.0239,0.0045,2.5353,0.0005,31,30,1,8.886,0.0295,0.32448,0.17891,13.92604,0.05196,1.75764,0.01021
CKCWDM_54928,129.9645,0.0011,-37.8817,0.0022,0.1966,-3.0873,0.0934,2.7708,0.149,258.2508,0.0019,2.2961,0.001,24,24,1,8.7578,0.0287,0.1627,0.09346,13.53173,0.05069,2.08565,0.0099
CKCWDM_54944,127.0182,0.0007,-34.0801,0.0008,0.1646,-3.3241,0.0131,4.2439,0.0438,253.7736,0.0007,2.6464,0.0006,23,23,1,8.8835,0.0234,0.30219,0.17824,13.91889,0.05197,1.87866,0.01017
CKCWDM_54946,127.4494,0.002,-33.7093,0.002,0.19,-2.3379,0.2039,2.6897,0.355,253.6816,0.0022,3.1536,0.0012,49,49,1,8.9287,0.0362,-0.38177,0.24211,13.60399,0.05009,1.34388,0.01002
CKCWDM_54967,128.0782,0.0027,-34.5768,0.0031,0.1455,-2.6592,0.117,2.5774,0.1393,254.6907,0.0047,3.0637,0.0003,25,24,1,8.9297,0.0296,-0.85877,0.49141,14.18374,0.051,1.74557,0.01047
CKCWDM_55081,130.3839,0.0024,-38.1887,0.0012,0.127,-2.9099,0.0924,3.3592,0.1452,258.696,0.0017,2.3698,0.001,21,20,1,8.9004,0.0204,-0.09773,0.05895,14.48125,0.05147,1.94165,0.0098
CKCWDM_55138,138.9915,0.0016,-44.8736,0.0009,0.1653,-3.6687,0.305,3.0922,0.1852,267.9665,0.0012,2.876,0.0004,22,21,1,8.914,0.0206,-0.8765,0.48439,13.90979,0.04862,3.34595,0.00999
CKCWDM_55226,147.6786,0.0049,-50.0313,0.0022,0.1619,-4.3875,0.242,3.5585,0.2374,275.7827,0.0039,3.0674,0.0004,34,34,1,8.9106,0.0287,0.15838,0.09706,13.95501,0.05004,1.53388,0.01026
CKCWDM_55291,147.1333,0.0028,-50.5018,0.0009,0.1543,-3.6369,0.1111,2.5976,0.0599,275.8123,0.0019,2.4826,0.0001,23,21,1,8.9261,0.0162,-0.84532,0.47941,14.0542,0.04934,2.49777,0.01012
CKCWDM_55339,146.9036,0.0021,-50.155,0.0007,0.1913,-4.6245,0.1412,3.221,0.101,275.4775,0.0013,2.6557,0.0003,22,22,1,8.928,0.0347,-0.85373,0.49135,13.59069,0.05082,1.82789,0.00954
CKCWDM_55350,143.4052,0.0022,-48.4147,0.0012,0.154,-4.0739,0.5417,3.061,0.1049,272.6119,0.0018,2.4607,0.0004,20,18,1,8.9288,0.0204,0.22724,0.14096,14.06007,0.0511,3.49305,0.0101
CKCWDM_55356,148.935,0.0015,-52.0989,0.0005,0.1706,-4.4603,0.211,3.2145,0.227,277.6931,0.0009,1.9469,0.0002,42,38,1,8.9218,0.0162,-0.57565,0.33128,13.83827,0.05035,2.55237,0.00968
CKCWDM_55361,149.1526,0.007,-52.3852,0.0005,0.1855,-4.2027,0.1929,3.0617,0.1938,277.9747,0.0023,1.8036,0.0009,34,34,1,8.9234,0.0285,-0.57162,0.33267,13.65627,0.05076,2.69692,0.00991
CKCWDM_55362,148.2482,0.0028,-51.1583,0.0004,0.1334,-4.5221,0.3316,3.3644,0.2429,276.7737,0.0012,2.4186,0.0003,34,34,1,8.9107,0.0183,-0.29074,0.17256,14.3741,0.05012,2.04902,0.01013
CKCWDM_55371,149.622,0.001,-52.1368,0.0006,0.1595,-5.1622,0.3034,3.3914,0.2063,278.0496,0.0007,2.176,0.0002,30,30,1,8.9125,0.0288,-0.10382,0.0591,13.98576,0.04892,2.1916,0.00986
CKCWDM_55382,149.2208,0.0021,-51.8712,0.0006,0.1449,-5.3969,0.2575,3.3305,0.3769,277.6914,0.0013,2.2347,0.0002,25,25,1,8.9307,0.0355,0.20258,0.12031,14.19363,0.05249,2.02736,0.01004
CKCWDM_55384,149.455,0.0033,-52.4905,0.001,0.1865,-4.3568,0.2661,2.6372,0.21,278.185,0.0021,1.8336,0.0001,25,24,1,8.9187,0.0281,0.32945,0.1827,13.64668,0.04882,2.31731,0.01011
CKCWDM_55399,148.5268,0.0014,-51.1901,0.0006,0.1917,-4.0799,0.1642,3.113,0.1632,276.9302,0.001,2.5027,0.0002,23,23,1,8.9177,0.0277,-0.57389,0.34072,13.58452,0.0514,1.77996,0.01
CKCWDM_55406,148.0948,0.0012,-50.7015,0.0008,0.1901,-4.2943,0.5948,2.9151,0.1186,276.4119,0.001,2.7141,0.0003,26,26,1,8.7563,0.0159,0.2786,0.16122,13.6079,0.04953,1.77596,0.01018
CKCWDM_55449,153.7246,0.0036,-54.2859,0.0005,0.1761,-6.0805,0.1588,3.6275,0.1438,281.3011,0.0014,1.8763,0.0004,34,34,1,8.9315,0.0227,-0.86284,0.49669,13.77021,0.05153,2.69713,0.00991
CKCWDM_55459,153.8591,0.0049,-53.1445,0.001,0.1526,-4.8885,0.3855,2.8799,0.1334,280.7257,0.0024,2.8656,0.0004,36,36,1,8.921,0.0164,-0.59605,0.34844,14.08312,0.04938,1.61591,0.01
CKCWDM_55461,151.282,0.0013,-52.657,0.0002,0.1341,-4.4378,0.1462,2.6081,0.2103,279.1728,0.0006,2.3685,0.0001,26,24,1,8.9337,0.0227,0.07174,0.04298,14.36126,0.0499,2.21377,0.01013
CKCWDM_55476,153.874,0.001,-53.8446,0.0007,0.1552,-4.6246,0.0912,2.6094,0.2298,281.1259,0.0007,2.2908,0.0003,22,21,1,8.9241,0.0372,-0.57155,0.34599,14.04488,0.0508,2.60025,0.00982
CKCWDM_55486,153.4863,0.0054,-53.0061,0.0002,0.1871,-5.1455,0.1718,2.8607,0.0868,280.4624,0.0013,2.8539,0.0008,30,29,1,8.9184,0.0167,-0.27515,0.16762,13.63582,0.05075,1.6769,0.01021
CKCWDM_55554,156.8044,0.0013,-54.5275,0.0005,0.1532,-5.8998,0.1435,3.2353,0.148,282.9383,0.0004,2.6474,0.0005,20,20,1,8.9386,0.0302,0.33963,0.17953,14.07025,0.05143,2.15737,0.01007
CKCWDM_55743,165.4729,0.0027,-57.5579,0.0003,0.1672,-6.2335,0.1352,2.402,0.1278,288.6348,0.0009,2.2409,0.0002,27,27,1,8.9213,0.0198,-0.83627,0.49405,13.88304,0.05143,2.18862,0.01004
CKCWDM_55745,167.9579,0.0014,-57.9556,0.0004,0.1819,-5.4498,0.2243,1.7658,0.0742,290.0113,0.0005,2.3955,0.0003,27,27,1,8.92,0.0273,-0.59287,0.33864,13.69841,0.05101,1.97676,0.0102
CKCWDM_55752,163.2439,0.0012,-56.9269,0.0004,0.1292,-5.8985,0.1322,2.4387,0.14,287.274,0.0005,2.2995,0.0003,26,26,1,8.9268,0.0402,-0.8773,0.49815,14.44207,0.05081,1.78325,0.01033
CKCWDM_55864,169.763,0.0014,-59.3222,0.0003,0.1866,-5.9376,0.4011,1.7212,0.137,291.3827,0.0005,1.4621,0.0002,38,37,1,8.8966,0.0287,0.1224,0.07592,13.64406,0.0517,2.21301,0.01008
CKCWDM_55904,168.456,0.0028,-57.8647,0.0008,0.1687,-6.0851,0.0995,1.792,0.3361,290.2235,0.0007,2.5782,0.0009,39,39,1,8.9259,0.0246,-0.82348,0.49574,13.86298,0.04989,1.75377,0.00979
CKCWDM_55913,169.8755,0.0008,-59.0452,0.0012,0.1526,-5.3761,0.0627,1.7687,0.1669,291.3401,0.0001,1.7418,0.0013,24,24,1,8.9272,0.0194,-0.39215,0.23489,14.07989,0.05123,2.39224,0.0097
CKCWDM_55920,169.055,0.0006,-59.1186,0.0003,0.1629,-6.5472,0.1691,2.3094,0.2765,290.9716,0.0001,1.5241,0.0004,22,22,1,8.8997,0.0237,0.32485,0.18637,13.939,0.05163,2.37227,0.01029
CKCWDM_55921,169.2857,0.001,-58.9464,0.0004,0.1371,-6.1438,0.1956,1.9652,0.1132,291.0209,0.0003,1.7273,0.0004,22,22,1,8.9117,0.0249,-0.4091,0.23576,14.31276,0.0505,3.12231,0.00983
CKCWDM_55922,169.6148,0.0016,-59.1508,0.0002,0.1651,-5.6513,0.0564,1.7329,0.1336,291.2516,0.0003,1.596,0.0002,22,22,1,8.9148,0.0181,-0.84336,0.48756,13.91091,0.05024,2.17391,0.00992
CKCWDM_55925,169.5667,0.0009,-59.2692,0.0002,0.1491,-6.1748,0.3438,1.8787,0.0854,291.2702,0.0002,1.4766,0.0002,22,22,1,8.9162,0.0257,-0.83777,0.48056,14.13236,0.0502,2.0829,0.01021
CKCWDM_55937,168.3524,0.0004,-59.4304,0.0002,0.184,-5.4649,0.1617,1.9056,0.1964,290.7508,0.0001,1.103,0.0001,21,21,1,8.9266,0.0356,-0.88002,0.47817,13.67422,0.05107,2.99539,0.0101
CKCWDM_55949,169.429,0.0022,-59.098,0.0003,0.1686,-5.8983,0.6847,1.9437,0.1058,291.1437,0.0007,1.6118,0.0002,20,20,1,8.9275,0.0339,-0.85848,0.5021,13.86452,0.05025,2.19597,0.01017
CKCWDM_55968,172.0461,0.001,-59.7788,0.0009,0.1647,-6.8163,0.2079,1.7603,0.1294,292.626,0.0002,1.4167,0.0009,34,32,1,8.9111,0.0313,-0.28274,0.1616,13.91339,0.05018,2.82075,0.01037
CKCWDM_55986,171.3951,0.0019,-59.6626,0.0002,0.164,-6.936,0.1909,2.0212,0.1226,292.2777,0.0006,1.4213,0.0002,25,25,1,8.911,0.0205,-0.59932,0.32506,13.92498,0.05027,2.54728,0.00974
CKCWDM_56003,171.551,0.0023,-59.4446,0.0003,0.1516,-5.7085,0.0967,1.439,0.1211,292.2816,0.0007,1.6531,0.0003,22,22,1,8.9201,0.0257,-0.28464,0.16967,14.09534,0.04978,2.05296,0.00998
CKCWDM_56007,171.0555,0.0012,-59.7754,0.0008,0.1857,-6.2895,0.1058,1.961,0.2503,292.1529,0.0005,1.2586,0.0006,21,21,1,8.9124,0.0191,-0.89264,0.48185,13.65557,0.04894,2.69094,0.01026
CKCWDM_56015,171.2124,0.0004,-59.3675,0.0002,0.1381,-6.4068,0.2795,2.0118,0.1,292.0935,0.0001,1.6699,0.0002,21,20,1,8.9156,0.0315,-0.26826,0.17095,14.29882,0.04989,2.30229,0.01036
CKCWDM_56049,173.0043,0.0015,-60.1388,0.0002,0.1513,-6.2883,0.4266,1.3323,0.1115,293.1937,0.0003,1.2227,0.0002,30,29,1,8.9163,0.0274,-0.58609,0.34066,14.099,0.04815,2.39768,0.00969
CKCWDM_56074,174.8453,0.0015,-59.9901,0.0003,0.1869,-5.7903,0.1493,0.9813,0.1533,294.0305,0.0004,1.6304,0.0003,30,27,1,8.9324,0.033,0.06882,0.04073,13.64121,0.0514,2.73579,0.01009
CKCWDM_56080,173.8471,0.0008,-59.6172,0.0002,0.1628,-5.9985,0.3843,1.4832,0.1297,293.4432,0.0001,1.8462,0.0002,22,21,1,8.921,0.02,-0.17738,0.10873,13.93688,0.05031,2.50855,0.00993
CKCWDM_56088,174.3585,0.0007,-59.7832,0.0007,0.1858,-6.6206,0.6736,1.564,0.0829,293.7381,0.0003,1.761,0.0006,21,19,1,8.9268,0.0395,-0.59009,0.33605,13.65435,0.05083,2.31733,0.01026
CKCWDM_56098,174.7876,0.0012,-60.4084,0.0001,0.1232,-6.082,0.146,1.3353,0.1175,294.1183,0.0003,1.2205,0.0001,20,20,1,8.9193,0.0208,-0.40669,0.24545,14.54618,0.05003,3.66523,0.00943
CKCWDM_56196,179.6056,0.001,-60.2261,0.0006,0.15,-6.2335,0.2462,0.8377,0.1343,296.3908,0.0001,1.9706,0.0007,23,23,1,8.9275,0.0381,-0.57674,0.33858,14.11929,0.05023,2.95376,0.00997
CKCWDM_56860,294.8955,0.0003,28.2211,0.0007,0.1859,-2.5396,0.1294,-4.8445,0.3646,63.2846,0.0007,2.9863,0.0002,31,31,1,8.9277,0.0313,-0.17927,0.10474,13.65121,0.04955,2.72504,0.00995
CKCWDM_56861,294.5349,0.0003,27.8446,0.0017,0.1853,-2.6905,0.0817,-4.8906,0.0836,62.7999,0.001,3.0798,0.0009,31,31,1,8.9227,0.0223,0.06841,0.04284,13.66051,0.05049,3.27066,0.01023
CKCWDM_56862,294.6795,0.0007,28.2157,0.0004,0.1444,-2.6485,0.1736,-5.0767,0.4111,63.1866,0.0004,3.1497,0.0005,45,43,1,8.9219,0.037,-0.57698,0.33478,14.20017,0.05081,2.68985,0.00974
CKCWDM_56931,295.6713,0.0005,27.5387,0.0003,0.1723,-2.6975,0.0955,-5.5491,0.1374,63.0288,0.0004,2.0533,0.0003,20,20,1,8.9279,0.0192,-0.86627,0.47774,13.81526,0.05013,5.13839,0.0098
CKCWDM_57038,297.3465,0.0006,30.1168,0.0009,0.1511,-2.6948,0.115,-5.4662,0.3126,65.9971,0.001,2.0752,0.0004,34,34,1,8.9145,0.0252,-0.2833,0.16811,14.10088,0.05071,4.9614,0.00985
CKCWDM_57046,296.2304,0.0002,29.567,0.0002,0.1284,-2.9447,0.2557,-5.4637,0.2043,65.0344,0.0003,2.6359,0.0001,25,25,1,8.9341,0.0308,-0.03915,0.0244,14.45348,0.0513,3.30679,0.00987
CKCWDM_57051,295.7717,0.0002,29.3524,0.001,0.1631,-2.7465,0.1312,-6.0208,0.2863,64.6492,0.0007,2.8758,0.0004,23,22,1,8.911,0.0271,-0.27586,0.16807,13.93872,0.05027,2.93911,0.01026
CKCWDM_57071,296.316,0.0008,29.5532,0.0001,0.1435,-2.9139,0.1721,-5.8064,0.1142,65.0596,0.0003,2.5645,0.0004,26,25,1,8.9312,0.0389,0.02015,0.01202,14.21297,0.05148,3.38148,0.01
CKCWDM_57079,296.1652,0.0003,30.2171,0.0003,0.1385,-2.8583,0.0946,-5.9245,0.1268,65.5706,0.0001,3.0088,0.0004,20,20,1,8.9252,0.0282,-0.58037,0.33942,14.29117,0.05068,3.01159,0.01008
CKCWDM_57089,296.0741,0.0007,28.9099,0.0006,0.127,-2.4508,0.0806,-5.1592,0.2193,64.3961,0.0008,2.4267,0.0004,20,18,1,8.9273,0.023,-0.84498,0.4891,14.48033,0.05068,3.20375,0.00981
CKCWDM_57130,297.5103,0.0003,31.2603,0.0003,0.1471,-2.6493,0.1884,-4.7429,0.0858,67.0552,0.0004,2.5333,0.0002,22,21,1,8.9087,0.0365,0.27366,0.16374,14.15999,0.05173,3.90874,0.01026
CKCWDM_57147,297.1516,0.0007,31.0081,0.0006,0.1481,-2.5646,0.1809,-4.0077,0.0917,66.6818,0.0009,2.6706,0.0001,20,19,1,8.9143,0.0292,-0.85193,0.47349,14.14653,0.05022,3.49263,0.00978
CKCWDM_57237,297.5127,0.0008,32.087,0.0003,0.1728,-2.4585,0.0827,-4.8272,0.0981,67.7696,0.0004,2.9506,0.0005,28,27,1,8.9314,0.0366,-0.57869,0.32527,13.80938,0.04927,3.83063,0.00968
CKCWDM_57240,298.7611,0.0003,32.6705,0.0002,0.1664,-2.1835,0.1113,-4.1498,0.1546,68.8112,0.0001,2.3428,0.0002,20,20,1,8.9162,0.0314,0.31006,0.1867,13.89364,0.05033,3.81707,0.01001
CKCWDM_57325,298.7492,0.0007,32.6478,0.0003,0.1456,-2.9025,0.3537,-5.4177,0.4581,68.7866,0.0002,2.3396,0.0006,25,24,1,8.914,0.0235,-0.58191,0.33632,14.18142,0.05098,3.83451,0.00994
CKCWDM_57380,298.7444,0.0003,32.7758,0.0003,0.185,-2.6171,0.1484,-5.1584,0.1814,68.8943,0.0002,2.4091,0.0003,20,20,1,8.7619,0.0188,0.31635,0.18046,13.6626,0.04966,3.97008,0.00996
CKCWDM_57518,299.3183,0.0006,33.9205,0.0004,0.1876,-3.0623,0.2394,-5.3057,0.1692,70.123,0.0006,2.5915,0.0002,21,19,1,8.939,0.0348,0.33524,0.1855,13.63243,0.05212,2.55849,0.01019
CKCWDM_57570,302.1901,0.0014,37.3382,0.0016,0.1488,-2.6574,0.0659,-5.2911,0.1912,74.2618,0.0023,2.4262,0.0002,29,29,1,8.9078,0.021,-0.18022,0.11418,14.13707,0.04798,4.2581,0.01015
CKCWDM_58017,328.6268,0.01,56.3282,0.0016,0.1885,-2.2453,0.054,-2.23,0.1527,100.1709,0.0043,1.4857,0.0003,23,22,1,8.9055,0.0266,-0.40285,0.23303,13.62382,0.04922,4.77291,0.00997
CKCWDM_58214,331.6687,0.0012,57.397,0.0004,0.1729,-2.894,0.2177,-2.4614,0.457,102.142,0.0006,1.3334,0.0001,21,21,1,8.8997,0.0192,0.31799,0.18911,13.8118,0.05167,5.11063,0.00991
CKCWDM_58488,0.6909,0.0034,64.4374,0.0002,0.1981,-2.3566,0.1471,-0.6631,0.1544,117.71,0.0007,2.0603,0.0001,21,19,1,8.8906,0.0386,0.25337,0.15689,13.51335,0.04995,4.49925,0.00986
CKCWDM_58966,36.1914,0.0084,63.5296,0.0013,0.156,-0.414,0.0748,0.2383,0.2682,133.11,0.0023,2.5174,0.0007,20,18,1,8.893,0.0271,0.32011,0.17915,14.03219,0.05026,2.26282,0.00996
CKCWDM_59330,77.8016,0.0068,42.8212,0.0053,0.1917,0.791,0.0867,-1.909,0.1061,164.6001,0.0088,1.9176,0.0002,23,23,1,8.8637,0.0273,0.27873,0.16288,13.58811,0.04855,1.98053,0.00994
CKCWDM_59353,78.297,0.0048,42.1942,0.0067,0.1911,0.4791,0.1094,-1.2377,0.2655,165.3224,0.0092,1.8435,0.0002,21,21,1,8.8924,0.0306,0.33027,0.18085,13.5957,0.05147,2.11139,0.01006
CKCWDM_59471,100.7383,0.0034,12.2188,0.0113,0.1907,0.0695,0.1837,-0.7179,0.0815,201.086,0.0144,3.6874,0.0001,23,23,1,8.8908,0.0198,0.16006,0.09775,13.5969,0.05252,1.27121,0.01012
CKCWDM_59667,108.4498,0.0013,-1.4035,0.0043,0.1851,-0.7728,0.1319,0.2834,0.596,216.7388,0.0051,4.3302,0.0006,32,32,1,8.9135,0.0364,-0.38943,0.24008,13.65899,0.05081,0.55188,0.01005
CKCWDM_59703,109.1309,0.002,-2.6768,0.0089,0.1548,-0.6109,0.22,0.3112,0.1349,218.1867,0.0108,4.3483,0.0002,39,39,1,8.9256,0.0296,-0.57137,0.34161,14.05064,0.0515,0.69712,0.01015
CKCWDM_59705,108.0869,0.0026,-3.7989,0.0093,0.1708,-0.7637,0.2318,0.2195,0.0919,218.7027,0.0118,2.9059,0.0002,29,29,1,8.923,0.0184,-0.58455,0.34513,13.83513,0.05117,0.88787,0.00965
CKCWDM_59779,107.2533,0.0018,-2.7546,0.0093,0.1434,-0.8851,0.1818,0.4527,0.1003,217.391,0.0108,2.6474,0.0003,24,24,1,8.9252,0.0295,-0.87255,0.4909,14.21471,0.04989,0.99979,0.01042
CKCWDM_59842,109.5671,0.0014,-3.7313,0.0038,0.1735,-1.0531,0.0824,0.5856,0.1087,219.3263,0.005,4.2471,0.0003,24,24,1,8.8956,0.0293,0.26642,0.15714,13.80001,0.04878,0.83369,0.01001
CKCWDM_59962,111.9049,0.0028,-9.3903,0.0096,0.1599,-0.9036,0.0761,0.6477,0.104,225.4282,0.0119,3.6493,0.0004,28,27,1,8.9102,0.0181,-0.27943,0.16859,13.97894,0.04969,1.00279,0.0099
CKCWDM_59968,113.3752,0.001,-11.8988,0.0017,0.1546,-1.0361,0.1059,1.0868,0.1678,228.3281,0.0025,3.7223,0.0002,25,24,1,8.9108,0.0168,-0.17414,0.10796,14.0536,0.04979,0.99849,0.00991
CKCWDM_59977,112.7576,0.0004,-10.2855,0.0037,0.1944,-1.2129,0.0586,1.0617,0.1025,226.6178,0.0037,3.9629,0.0004,26,26,1,8.9196,0.0305,-0.87371,0.49673,13.55798,0.05103,1.06178,0.0101
CKCWDM_59980,111.7389,0.0012,-9.9501,0.0035,0.1912,-0.9476,0.1731,0.7011,0.0966,225.8444,0.0046,3.24,0.0001,22,22,1,8.8939,0.026,0.33335,0.18479,13.58828,0.05039,1.04968,0.00974
CKCWDM_59986,111.6521,0.0025,-9.1004,0.0039,0.1832,-0.8476,0.1308,0.9573,0.0987,225.054,0.006,3.5667,0.0004,21,21,1,8.9103,0.0373,-0.28037,0.17284,13.6843,0.05121,1.03368,0.01011
CKCWDM_59990,112.1793,0.0006,-8.987,0.0037,0.1565,-1.3829,0.1373,0.8091,0.1777,225.2009,0.0036,4.0789,0.0007,21,21,1,8.9132,0.0295,-0.56466,0.35058,14.02656,0.05029,0.79775,0.00972
CKCWDM_60012,117.0695,0.0027,-18.5026,0.0052,0.1417,-1.5441,0.166,1.7338,0.1968,235.8456,0.0072,3.5817,0.0004,43,42,1,8.8913,0.0299,0.32257,0.17863,14.24467,0.05049,1.23952,0.00999
CKCWDM_60019,117.1604,0.0011,-17.6096,0.0018,0.1927,-1.4205,0.2842,1.6162,0.2625,235.1154,0.0027,4.1052,0.0001,37,36,1,8.7378,0.0329,0.31065,0.17164,13.57452,0.05077,0.87562,0.00986
CKCWDM_60027,115.9889,0.0016,-17.1295,0.0025,0.1487,-1.2993,0.0868,1.1937,0.4294,234.139,0.0037,3.3762,0.0003,29,29,1,8.7574,0.0185,0.27235,0.16504,14.13615,0.05003,0.97642,0.00998
CKCWDM_60029,116.8054,0.0016,-18.0742,0.004,0.1947,-1.5592,0.25,1.8193,0.1092,235.3483,0.0053,3.5799,0.0002,28,28,1,8.9206,0.0358,-0.89915,0.46577,13.5508,0.05122,1.12696,0.00982
CKCWDM_60035,115.6376,0.0007,-14.9163,0.0022,0.1922,-1.1491,0.2242,0.9521,0.1418,232.0438,0.0025,4.177,0.0004,27,27,1,8.7245,0.0396,0.22775,0.14167,13.58022,0.05238,0.91443,0.00977
CKCWDM_60050,117.6202,0.0006,-17.7544,0.0018,0.1888,-1.4838,0.2623,1.7277,0.2023,235.4621,0.002,4.4108,0.0004,23,23,1,8.9053,0.0256,-0.59989,0.33533,13.61847,0.05077,0.88138,0.00967
