"Seq","n_Seq","Name","OName","RAdeg","DEJ2000","GLON","GLAT","Rco","Rcl","RV","e_RV","n_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","V-Mv","r_Dist","logt","o_logt","RVref","e_RVref","r_RVref","logtref","r_logtref"
500,0,"IC 1396","Trumpler 37",324.73,57.49,99.28,3.74,0.25,0.65,-15.35,3.41,4.0,-2.21,0.54,-4.06,0.49,-4.35,-1.57,21,835,0.47,11.06,3,6.69,-1,-22.3,0.2,1.0,7.05,3.0
501,1,"NGC 7160","nan",328.41,62.6,104.0,6.46,0.05,0.23,-26.28,3.88,6.0,-3.01,0.41,-1.77,0.48,-3.45,0.51,7,794,0.35,10.58,3,7.66,1,-23.6,1.8,1.0,7.28,3.0
502,0,"NGC 7209","nan",331.32,46.48,95.51,-7.36,0.12,0.25,"nan","nan","nan",2.49,0.29,1.62,0.33,2.97,-0.18,23,1167,0.16,10.83,3,8.65,16,"nan","nan","nan",8.62,3.0
503,0,"NGC 7235","nan",333.1,57.27,102.7,0.78,0.05,0.08,"nan","nan","nan",-2.48,0.88,-1.74,1.15,-3.03,-0.02,4,2823,0.93,15.14,3,6.76,1,-52.0,4.0,1.0,7.07,3.0
504,0,"NGC 7243","nan",333.78,49.9,98.85,-5.52,0.17,0.52,-12.61,2.47,28.0,0.37,0.25,-2.1,0.23,-0.88,-1.94,43,808,0.22,10.22,3,8.09,7,-11.6,1.1,1.0,8.06,3.0
505,0,"IC 1442","nan",334.12,54.05,101.36,-2.2,0.07,0.16,"nan","nan","nan",-1.77,0.45,-2.13,0.41,-2.66,-0.78,6,2346,0.54,13.53,3,7.71,1,-25.3,"nan",1.0,6.98,3.0
506,0,"Pismis-Moreno 1","nan",334.69,63.27,106.72,5.31,0.07,0.16,-23.25,0.25,2.0,0.31,0.46,-0.39,0.99,0.04,-0.5,7,900,0.5,11.32,1,7.55,1,"nan","nan","nan","nan","nan"
507,0,"NGC 7281","nan",336.33,57.82,104.44,0.29,0.09,0.2,"nan","nan","nan",-0.46,0.51,-2.41,0.93,-1.67,-1.8,11,1620,0.5,12.6,2,7.86,3,"nan","nan","nan","nan","nan"
508,0,"NGC 7380","nan",341.77,58.12,107.1,-0.88,0.1,0.25,-34.13,6.09,3.0,-3.08,0.88,-1.66,0.86,-3.5,-0.06,8,2222,0.6,13.59,3,6.72,-1,-45.6,15.4,1.0,7.08,3.0
509,0,"NGC 7438","nan",344.34,54.34,106.7,-4.9,0.08,0.23,"nan","nan","nan",1.53,0.57,-1.18,0.38,0.88,-1.72,17,600,0.4,10.13,2,8.93,4,"nan","nan","nan","nan","nan"
510,0,"Cep OB3","nan",346.05,63.4,111.26,2.98,0.3,1.0,-15.12,3.18,13.0,-1.46,0.32,-1.98,0.37,-2.13,-1.23,43,700,0.55,10.93,6,7.44,2,-21.1,"nan",6.0,"nan","nan"
511,1,"NGC 7510","nan",347.76,60.57,110.9,0.06,0.05,0.09,"nan","nan","nan",-3.63,0.89,-0.92,2.0,-3.71,0.52,4,2075,0.9,14.38,3,7.22,2,"nan","nan","nan",7.58,3.0
512,0,"NGC 7654","M 52",351.19,61.59,112.81,0.43,0.08,0.17,-40.0,"nan",1.0,-1.72,0.77,-2.16,1.0,-2.33,-1.47,10,1421,0.65,12.78,3,7.84,4,-35.5,1.0,1.0,7.76,3.0
513,0,"Czernik 43","nan",351.45,61.32,112.84,0.13,0.08,0.17,-58.05,2.95,2.0,-2.77,1.01,-2.2,0.76,-3.33,-1.18,9,2500,0.7,14.16,2,7.7,1,"nan","nan","nan","nan","nan"
514,1,"Stock 12","nan",353.89,52.69,111.44,-8.48,0.12,0.37,"nan","nan","nan",7.92,0.39,-1.81,0.31,7.04,-4.05,15,400,0.05,8.16,2,8.45,2,"nan","nan","nan","nan","nan"
515,0,"Aveni-Hunter 1","nan",354.45,48.52,110.55,-12.58,0.15,0.5,"nan","nan","nan",1.56,0.83,-2.77,0.53,0.7,-3.1,7,500,0.1,8.81,2,8.26,1,"nan","nan","nan","nan","nan"
516,0,"King 12","nan",358.24,61.97,116.12,-0.13,0.07,0.16,-38.0,"nan",1.0,-3.6,0.97,-1.25,0.4,-3.79,-0.41,9,2378,0.59,13.71,3,7.12,2,"nan","nan","nan",7.04,3.0
517,1,"NGC 7788","nan",359.19,61.4,116.43,-0.78,0.05,0.12,-24.0,"nan",1.0,0.29,0.67,-2.36,0.76,-0.21,-2.37,7,2374,0.48,13.36,3,7.48,4,"nan","nan","nan",7.59,3.0
518,1,"NGC 7789","nan",359.31,56.71,115.51,-5.38,0.1,0.27,"nan","nan","nan",3.03,0.56,-0.58,0.54,2.84,-1.2,26,2337,0.22,12.52,3,9.23,-3,-64.0,9.0,1.0,9.23,3.0
519,0,"Frolov 1","nan",359.35,61.63,116.56,-0.57,0.06,0.15,"nan","nan","nan",-5.91,0.65,-1.35,1.22,-6.06,-0.09,6,2560,0.6,13.9,2,7.66,2,"nan","nan","nan","nan","nan"
520,0,"NGC 7790","nan",359.59,61.21,116.58,-1.01,0.05,0.1,-81.44,1.86,2.0,-2.13,0.99,-1.4,0.93,-2.37,-0.94,5,2944,0.53,13.99,3,7.91,1,-78.0,0.5,1.0,7.75,3.0
