"Seq","n_Seq","Name","OName","RAdeg","DEJ2000","GLON","GLAT","Rco","Rcl","RV","e_RV","n_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","V-Mv","r_Dist","logt","o_logt","RVref","e_RVref","r_RVref","logtref","r_logtref"
417,0,"Basel 5","nan",268.11,-30.1,359.76,-1.86,0.08,0.15,"nan","nan","nan",3.17,0.55,1.76,1.08,3.13,-1.83,5,766,0.32,10.41,4,8.54,1,"nan","nan","nan",8.87,4.0
418,0,"Sco OB5","nan",268.14,-38.64,352.38,-6.2,0.15,0.58,"nan","nan","nan",2.46,0.37,-1.8,0.32,-0.33,-3.03,29,3310,0.23,13.31,6,6.86,2,"nan","nan","nan","nan","nan"
419,0,"NGC 6469","nan",268.3,-22.32,6.55,1.94,0.09,0.15,"nan","nan","nan",3.04,3.24,-1.2,1.2,0.51,-3.23,5,550,0.3,9.63,2,8.36,1,"nan","nan","nan","nan","nan"
420,0,"NGC 6475","M 7",268.45,-34.79,355.86,-4.49,0.2,1.2,-14.21,1.39,31.0,2.83,0.15,-5.14,0.15,-3.02,-5.03,119,300,0.1,7.7,5,8.22,8,-14.7,0.2,1.0,8.48,3.0
421,0,"Trumpler 30","nan",269.19,-35.27,355.74,-5.25,0.08,0.13,"nan","nan","nan",3.82,0.58,-0.13,0.34,1.78,-3.38,7,1000,0.22,10.68,2,8.31,1,"nan","nan","nan","nan","nan"
422,0,"NGC 6494","M 23",269.26,-18.99,9.88,2.84,0.15,0.58,"nan","nan","nan",0.65,0.18,-1.14,0.19,-0.66,-1.13,93,628,0.36,10.11,3,8.52,27,-8.6,0.4,1.0,8.48,3.0
423,1,"Collinder 359","Melotte 186",270.16,2.93,29.72,12.63,0.4,1.1,-4.45,0.25,2.0,0.22,0.28,-8.9,0.26,-7.82,-4.26,21,640,0.16,9.53,2,7.45,1,-4.4,0.4,1.0,7.51,3.0
424,0,"Ruprecht 139","nan",270.25,-23.53,6.41,-0.22,0.06,0.13,"nan","nan","nan",-1.1,1.03,-2.19,0.56,-2.45,-0.13,7,550,0.15,9.17,2,9.05,2,"nan","nan","nan","nan","nan"
425,0,"NGC 6514","nan",270.67,-22.97,7.08,-0.28,0.12,0.23,-2.13,1.62,3.0,2.63,0.61,-1.01,0.92,0.42,-2.79,5,816,0.19,10.15,3,7.28,-1,-10.0,8.6,1.0,7.37,3.0
426,1,"NGC 6520","nan",270.85,-27.89,2.88,-2.84,0.05,0.11,-26.0,2.65,3.0,3.54,0.81,-1.74,1.03,0.22,-3.94,5,1577,0.42,12.29,3,7.75,1,27.6,0.9,1.0,7.72,3.0
