"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
209,"NGC 2669",270.82,-6.07,10.656,0.18,1046,7.97,6.8,1.6,2.053,0.311,10.4,2.2,2.615,0.28,131.6054,-52.9225
210,"Trumpler 10",262.76,0.64,8.194,0.03,417,7.38,12.7,2.7,2.873,0.28,11.0,1.4,2.685,0.171,131.9131,-42.4476
211,"Ruprecht 71",266.37,-1.9,10.725,0.05,1300,8.78,"nan","nan","nan","nan",6.6,1.4,2.011,0.283,132.3378,-46.8508
212,"NGC 2682",215.7,31.92,9.976,0.06,908,9.41,9.6,1.9,2.446,0.259,7.5,1.1,2.132,0.186,132.8485,11.8069
213,"VDBH 56, vdBergh-Hagen 56",264.48,1.46,9.783,0.2,680,7.24,6.4,1.9,1.983,0.389,7.4,1.4,2.165,0.244,134.2725,-43.246
214,"Collinder 205",269.21,-1.85,13.267,0.77,1500,7.03,"nan","nan","nan","nan",9.1,2.4,2.432,0.346,135.1267,-48.9882
215,"ESO 165-09",274.92,-5.93,8.421,0.05,450,8.96,"nan","nan","nan","nan",2.4,0.7,0.693,0.384,136.2971,-55.9583
216,"Platais 8",277.54,-7.79,5.88,0.0,150,7.75,12.3,1.6,2.844,0.177,14.8,1.2,3.081,0.115,136.9461,-59.1371
217,"ESO 166-04",273.9,-3.97,10.2,0.15,885,8.45,"nan","nan","nan","nan",5.4,1.3,1.778,0.309,137.6303,-53.8877
218,"Platais 9",267.21,3.15,6.505,0.0,200,8.09,16.4,3.5,3.216,0.283,19.5,2.5,3.436,0.173,138.5358,-44.1387
219,"VDBH 66, vdBergh-Hagen 66",276.0,-3.01,15.155,0.3,7000,7.48,"nan","nan","nan","nan",57.5,18.2,4.618,0.415,141.3172,-54.7175
220,"IC 2488",277.83,-4.42,10.986,0.23,1134,8.53,10.3,1.3,2.613,0.175,13.9,2.1,3.008,0.201,141.9076,-57.0007
221,"Ruprecht 78",275.7,-1.88,12.161,0.35,1641,7.14,"nan","nan","nan","nan",14.3,3.9,3.037,0.361,142.2863,-53.695
222,"NGC 2910",275.31,-1.18,13.135,0.34,2607,7.46,"nan","nan","nan","nan",11.1,2.6,2.687,0.31,142.6154,-52.9182
223,"Turner 5",264.23,11.05,8.32,0.1,400,8.49,16.1,1.4,3.188,0.12,22.3,2.6,3.609,0.157,143.1269,-36.4615
224,"NGC 2925",275.91,-1.23,9.692,0.08,774,8.05,6.8,0.9,2.066,0.182,8.4,1.3,2.354,0.199,143.2909,-53.3634
225,"Ruprecht 79",277.09,-0.82,13.776,0.74,1979,7.84,"nan","nan","nan","nan",23.3,6.6,3.672,0.37,145.2326,-53.8459
226,"Ruprecht 80",270.75,6.71,12.92,0.3,2500,8.33,"nan","nan","nan","nan",10.1,3.0,2.554,0.381,145.5104,-44.0123
227,"Ruprecht 82",277.73,-0.47,12.849,0.29,2455,8.5,"nan","nan","nan","nan",12.8,4.2,2.891,0.432,146.4444,-53.997
228,"NGC 3033",279.59,-2.07,10.847,0.33,922,8.62,"nan","nan","nan","nan",6.5,1.8,2.022,0.367,147.148,-56.417
229,"Ruprecht 84",285.32,-8.82,11.586,0.1,1800,8.56,"nan","nan","nan","nan",8.0,2.1,2.311,0.344,147.2806,-65.252
230,"NGC 3036",283.66,-6.83,11.636,0.4,1200,8.61,"nan","nan","nan","nan",6.2,1.5,1.969,0.312,147.3147,-62.6705
231,"Pismis 16",277.82,0.68,13.196,0.61,1824,7.72,"nan","nan","nan","nan",6.6,2.3,2.042,0.455,147.7959,-53.1682
232,"Collinder 213",276.82,2.76,10.948,0.07,1400,8.84,"nan","nan","nan","nan",7.7,1.9,2.227,0.32,148.6441,-50.9202
233,"Ruprecht 85",280.15,0.16,11.382,0.21,1400,8.7,"nan","nan","nan","nan",6.6,1.7,2.047,0.337,150.3807,-55.0127
234,"NGC 3114",283.25,-3.87,10.046,0.08,911,8.24,16.6,1.9,3.247,0.158,15.5,1.5,3.159,0.13,150.4825,-60.0954
235,"Loden 28",282.21,-2.21,14.905,0.62,3950,7.3,32.7,8.9,4.103,0.358,41.5,12.0,4.415,0.378,150.7992,-58.1441
236,"Loden 1",281.02,-0.17,8.092,0.1,360,9.29,"nan","nan","nan","nan",2.6,0.5,0.823,0.272,151.2648,-55.7962
237,"Trumpler 12",283.82,-3.7,10.725,0.05,1300,8.81,"nan","nan","nan","nan",6.9,1.5,2.109,0.284,151.6059,-60.297
238,"Hogg 6",283.95,-3.85,11.176,0.05,1600,8.61,"nan","nan","nan","nan",6.1,1.9,1.939,0.401,151.6398,-60.4946
239,"Ruprecht 161",284.63,-4.34,10.145,0.09,940,8.39,9.5,1.9,2.526,0.267,12.2,2.2,2.85,0.237,152.1818,-61.2887
240,"VDBH 91, vdBergh-Hagen 91",284.03,-1.6,9.594,0.08,740,8.21,"nan","nan","nan","nan",4.8,1.3,1.638,0.354,154.3097,-58.6934
241,"NGC 3228",280.69,4.54,8.584,0.03,499,8.43,"nan","nan","nan","nan",2.6,0.6,0.832,0.301,155.3275,-51.7289
242,"Loden 46",282.6,2.07,9.096,0.14,540,9.03,8.6,4.2,2.386,0.636,6.9,1.1,2.1,0.217,155.7787,-54.8376
243,"IC 2581",284.59,0.02,13.337,0.45,2446,7.22,"nan","nan","nan","nan",17.6,4.9,3.331,0.365,156.8594,-57.6305
244,"Ruprecht 89",284.97,-0.34,9.499,0.04,750,8.98,"nan","nan","nan","nan",3.5,0.9,1.232,0.337,157.1161,-58.1359
245,"Loden 143",285.3,-0.89,9.201,0.1,600,8.45,"nan","nan","nan","nan",10.1,1.7,2.595,0.222,157.1083,-58.7773
246,"Loden 89",284.35,0.87,8.054,0.05,380,8.47,"nan","nan","nan","nan",4.5,0.8,1.551,0.228,157.2977,-56.7798
247,"Loden 59",283.08,3.28,9.127,0.02,650,8.45,"nan","nan","nan","nan",4.4,1.2,1.512,0.35,157.5747,-54.0606
248,"Collinder 223",286.05,-1.65,11.692,0.18,1686,8.41,"nan","nan","nan","nan",12.6,3.8,2.902,0.39,157.5956,-59.8155
249,"Ruprecht 90",285.4,-0.2,14.883,0.32,6000,7.1,"nan","nan","nan","nan",62.2,13.7,4.896,0.29,157.9522,-58.2371
250,"Loden 112",284.68,1.17,13.85,0.6,2500,6.96,"nan","nan","nan","nan",19.3,7.5,3.456,0.508,158.0946,-56.6914
251,"Loden 153",285.67,0.09,13.001,0.28,2670,6.74,"nan","nan","nan","nan",15.6,5.2,3.181,0.438,158.6719,-58.123
252,"Bochum 9",286.78,-1.57,9.597,0.11,710,8.38,"nan","nan","nan","nan",5.6,0.9,1.823,0.226,158.9344,-60.1153
253,"NGC 3293",285.85,0.07,12.739,0.25,2471,6.94,"nan","nan","nan","nan",7.8,1.8,2.28,0.301,158.9489,-58.2301
254,"NGC 3324",286.22,-0.19,13.236,0.46,2301,6.72,"nan","nan","nan","nan",18.8,6.4,3.427,0.443,159.318,-58.639
255,"VDBH 99, vdBergh-Hagen 99",286.52,-0.58,8.811,0.06,531,7.86,"nan","nan","nan","nan",6.3,1.0,1.984,0.207,159.4533,-59.126
256,"NGC 3330",284.19,3.86,9.912,0.05,894,8.3,"nan","nan","nan","nan",6.0,1.2,1.911,0.258,159.7047,-54.1144
257,"ESO 062-11",291.5,-9.15,11.097,0.42,910,8.53,"nan","nan","nan","nan",2.7,1.0,0.916,0.454,159.7202,-69.0258
258,"Melotte 101",289.86,-5.56,12.926,0.46,1995,8.35,16.3,13.2,3.255,1.056,16.4,3.2,3.262,0.258,160.5421,-65.0976
259,"IC 2602",289.54,-4.94,6.114,0.03,160,7.83,13.9,1.4,3.005,0.134,12.2,0.9,2.829,0.109,160.5798,-64.4007
260,"Bochum 10",287.04,-0.3,12.464,0.3,2027,6.93,"nan","nan","nan","nan",17.6,3.5,3.345,0.258,160.6042,-59.1317
261,"Alessi 5",288.08,-2.05,8.464,0.15,398,7.71,3.6,0.8,1.26,0.277,4.6,0.7,1.568,0.208,160.7772,-61.1654
262,"Collinder 228",287.64,-1.06,12.21,0.26,1909,6.68,"nan","nan","nan","nan",24.0,3.9,3.746,0.218,160.9389,-60.085
263,"Trumpler 14",287.4,-0.58,13.594,0.45,2753,6.67,"nan","nan","nan","nan",11.4,3.7,2.777,0.426,160.9669,-59.5485
264,"Trumpler 15",287.41,-0.37,13.024,0.45,2117,7.08,"nan","nan","nan","nan",8.2,2.3,2.345,0.372,161.178,-59.3677
265,"Trumpler 16",287.62,-0.65,13.88,0.52,2842,6.9,"nan","nan","nan","nan",14.0,5.3,3.05,0.496,161.2866,-59.7134
266,"Ruprecht 91",286.87,1.49,9.802,0.01,900,8.63,"nan","nan","nan","nan",5.5,1.3,1.82,0.31,161.9071,-57.4689
267,"Loden 189",286.72,2.59,9.69,0.13,720,8.64,7.8,0.9,2.265,0.156,9.1,1.7,2.459,0.248,162.5768,-56.4206
268,"Ruprecht 92",289.39,-1.98,13.292,0.46,2362,7.53,"nan","nan","nan","nan",19.9,3.9,3.512,0.26,163.2803,-61.7007
269,"ESO 128-16",287.93,1.16,9.864,0.03,900,8.92,"nan","nan","nan","nan",5.7,1.0,1.86,0.233,163.4101,-58.2386
270,"Trumpler 17",288.66,0.45,13.561,0.6,2189,7.51,"nan","nan","nan","nan",11.3,3.7,2.775,0.426,164.0851,-59.1947
271,"Collinder 236",289.58,-1.23,9.732,0.07,800,8.37,5.3,0.8,1.778,0.196,6.4,1.1,2.019,0.223,164.3157,-61.1066
272,"Bochum 12",289.85,-1.78,12.474,0.24,2218,7.68,"nan","nan","nan","nan",11.8,3.5,2.83,0.387,164.3375,-61.7192
273,"NGC 3496",289.53,-0.46,11.435,0.47,990,8.62,"nan","nan","nan","nan",7.9,1.7,2.298,0.287,164.887,-60.3872
274,"Pismis 17",289.48,0.09,14.18,0.47,3504,7.32,"nan","nan","nan","nan",28.7,6.0,3.991,0.273,165.2538,-59.8661
275,"Ruprecht 93",290.46,-1.11,11.5,0.23,1437,8.64,"nan","nan","nan","nan",6.8,1.1,2.101,0.215,166.0837,-61.3609
276,"NGC 3532",289.6,1.39,8.606,0.04,497,8.45,11.9,2.5,2.815,0.277,9.8,0.8,2.56,0.117,166.4971,-58.7252
277,"Loden 306",290.55,-0.82,12.249,0.24,2000,6.76,"nan","nan","nan","nan",17.8,3.6,3.369,0.267,166.4953,-61.1307
278,"Feinstein 1",290.15,0.44,11.622,0.42,1159,6.97,"nan","nan","nan","nan",21.7,3.0,3.611,0.182,166.755,-59.815
279,"VDBH 111, vdBergh-Hagen 111",291.95,-3.16,12.932,0.25,2700,8.35,"nan","nan","nan","nan",16.3,5.5,3.267,0.44,167.3097,-63.831
280,"Loden 309",290.74,-0.14,9.666,0.25,600,8.63,"nan","nan","nan","nan",2.8,0.7,0.913,0.322,167.3978,-60.5782
281,"NGC 3572",290.71,0.21,12.563,0.34,2004,6.88,"nan","nan","nan","nan",10.1,3.3,2.631,0.423,167.6117,-60.2431
282,"Basel 17",290.25,1.34,11.566,0.16,1637,7.88,"nan","nan","nan","nan",6.6,1.7,2.065,0.336,167.6185,-59.0231
283,"Trumpler 18",290.99,-0.13,11.625,0.31,1358,7.77,"nan","nan","nan","nan",8.0,1.4,2.316,0.227,167.877,-60.6637
284,"NGC 3590",291.2,-0.17,12.484,0.45,1651,7.55,"nan","nan","nan","nan",11.8,2.1,2.832,0.232,168.2448,-60.7792
285,"Stock 13",290.5,1.6,11.671,0.22,1577,7.37,10.8,3.2,2.715,0.391,17.0,2.9,3.3,0.23,168.2568,-58.8759
286,"IC 2714",292.4,-1.79,11.518,0.34,1238,8.41,"nan","nan","nan","nan",7.5,1.2,2.235,0.216,169.3652,-62.7242
287,"NGC 3680",286.75,16.92,10.069,0.07,934,9.09,7.0,3.2,2.124,0.603,6.6,1.2,2.04,0.25,171.3916,-43.2373
288,"Ruprecht 94",294.05,-1.98,13.587,0.3,3400,7.19,40.4,20.6,4.463,0.667,39.0,6.1,4.418,0.207,172.6641,-63.4501
289,"Ruprecht 164",293.23,0.62,9.801,0.11,780,9.0,"nan","nan","nan","nan",4.7,1.1,1.623,0.304,172.7025,-60.724
290,"Loden 372",292.55,2.76,11.636,0.4,1200,8.55,"nan","nan","nan","nan",5.1,1.5,1.742,0.388,172.7211,-58.4786
291,"Loden 402",293.44,0.7,12.504,0.18,2450,8.2,"nan","nan","nan","nan",19.7,4.6,3.517,0.305,173.1612,-60.7114
292,"IC 2944",294.49,-1.32,12.261,0.32,1794,6.9,"nan","nan","nan","nan",18.5,3.4,3.43,0.243,174.0308,-62.9507
293,"NGC 3766",294.11,-0.03,11.767,0.18,1745,7.52,10.8,2.2,2.728,0.27,13.8,2.2,3.046,0.209,174.0447,-61.6059
294,"VDBH 121, vdBergh-Hagen 121",294.81,-1.62,13.084,0.29,2735,6.64,25.5,3.5,3.864,0.185,39.8,7.0,4.443,0.232,174.5214,-63.3292
295,"IC 2948",294.99,-1.72,13.005,0.3,2600,6.75,"nan","nan","nan","nan",12.4,3.7,2.92,0.388,174.8454,-63.4752
296,"Stock 14",295.21,-0.66,12.34,0.22,2146,7.0,"nan","nan","nan","nan",11.6,3.1,2.829,0.355,175.936,-62.5125
297,"Ruprecht 96",295.89,-0.1,10.447,0.25,860,9.0,"nan","nan","nan","nan",4.0,1.1,1.425,0.342,177.6519,-62.1372
298,"Loden 481",295.84,0.77,11.653,0.24,1520,8.19,15.8,2.4,3.217,0.205,18.6,2.5,3.432,0.177,177.9734,-61.2792
299,"Loden 480",295.7,3.69,11.326,0.3,1200,8.71,"nan","nan","nan","nan",7.1,1.6,2.166,0.299,178.9876,-58.4005
300,"Ruprecht 98",297.3,-2.28,9.423,0.16,610,8.78,7.9,0.9,2.287,0.154,8.7,1.2,2.418,0.186,179.6576,-64.5728
301,"NGC 4052",297.3,-0.9,10.908,0.16,1209,8.4,"nan","nan","nan","nan",7.6,2.2,2.265,0.373,180.2806,-63.2202
302,"Ruprecht 99",297.66,-1.5,9.253,0.05,660,9.29,"nan","nan","nan","nan",3.6,0.7,1.257,0.256,180.8183,-63.8776
303,"NGC 4103",297.57,1.16,11.974,0.28,1664,7.59,"nan","nan","nan","nan",14.0,1.9,3.072,0.177,181.6611,-61.2446
304,"ESO 130-06",297.37,3.1,12.084,0.12,2200,8.33,"nan","nan","nan","nan",15.5,3.2,3.215,0.276,181.9326,-59.2989
305,"Loden 565",297.65,1.71,9.685,0.2,650,8.05,"nan","nan","nan","nan",5.8,1.6,1.877,0.363,182.0165,-60.7162
306,"ESO 130-08",297.73,2.94,9.515,0.0,800,9.02,"nan","nan","nan","nan",6.0,1.0,1.93,0.212,182.5779,-59.5157
307,"Loden 615",299.65,-2.1,10.155,0.05,1000,8.63,"nan","nan","nan","nan",6.7,1.4,2.088,0.284,185.1447,-64.7749
308,"Melotte 111",222.43,83.4,4.698,0.0,87,8.78,9.5,0.8,2.501,0.111,9.6,1.1,2.516,0.152,185.6227,25.8542
309,"NGC 4349",299.73,0.84,12.866,0.38,2176,8.32,20.3,2.5,3.577,0.167,21.4,2.7,3.644,0.17,186.0581,-61.8625
310,"Collinder 258",299.97,1.97,10.888,0.16,1198,8.05,"nan","nan","nan","nan",8.2,1.6,2.362,0.255,186.7904,-60.7621
311,"NGC 4439",300.06,2.65,12.343,0.35,1785,7.71,"nan","nan","nan","nan",3.5,0.9,1.288,0.328,187.0983,-60.0932
312,"Hogg 23",300.16,1.84,10.702,0.07,1250,8.31,"nan","nan","nan","nan",6.5,2.3,2.071,0.466,187.154,-60.9089
313,"NGC 4463",300.64,-2.01,11.718,0.52,1050,7.97,"nan","nan","nan","nan",5.4,1.5,1.821,0.355,187.4762,-64.7859
314,"Ruprecht 105",300.88,1.24,10.044,0.05,950,9.01,"nan","nan","nan","nan",5.7,1.5,1.889,0.333,188.5483,-61.563
315,"NGC 4609",301.89,-0.13,11.46,0.33,1223,7.78,"nan","nan","nan","nan",5.9,1.3,1.944,0.28,190.5653,-62.9832
316,"Loden 682",302.42,2.22,10.391,0.2,900,8.41,"nan","nan","nan","nan",5.6,1.3,1.858,0.31,191.8159,-60.6476
317,"Loden 694",303.12,2.12,11.896,0.24,1700,7.38,17.4,1.8,3.37,0.143,25.5,4.6,3.866,0.239,193.2442,-60.7512
318,"NGC 4755",303.2,2.51,12.657,0.38,1976,6.98,"nan","nan","nan","nan",19.0,3.6,3.492,0.251,193.4011,-60.3606
319,"NGC 4852",304.03,3.27,11.394,0.25,1330,8.63,8.6,1.3,2.441,0.208,10.6,1.7,2.718,0.21,195.0252,-59.5833
320,"NGC 5045",305.47,-0.63,12.027,0.37,1500,7.11,15.1,2.4,3.187,0.211,24.5,4.0,3.813,0.218,198.533,-63.3899
321,"NGC 5043",306.01,2.66,10.399,0.15,970,8.79,"nan","nan","nan","nan",6.8,1.3,2.12,0.26,199.0299,-60.0642
322,"Stock 16",306.08,0.2,12.562,0.48,1640,6.78,"nan","nan","nan","nan",14.6,3.5,3.151,0.317,199.691,-62.5046
323,"Collinder 269",306.16,-3.51,11.407,0.27,1300,8.52,"nan","nan","nan","nan",8.8,1.9,2.473,0.29,200.8595,-66.181
324,"Loden 821",307.02,2.83,13.786,0.5,2800,7.29,18.0,3.7,3.461,0.269,26.5,5.7,3.968,0.283,200.993,-59.7833
325,"Loden 807",306.75,0.13,10.451,0.2,925,8.3,"nan","nan","nan","nan",6.1,1.3,1.981,0.281,201.1498,-62.4957
326,"NGC 5138",307.53,3.53,12.296,0.26,1986,7.55,"nan","nan","nan","nan",15.9,3.1,3.28,0.257,201.8026,-59.022
327,"Basel 18",307.16,0.22,13.319,0.51,2226,7.92,"nan","nan","nan","nan",15.8,4.1,3.276,0.338,202.0011,-62.3512
328,"Hogg 16",307.47,1.34,12.271,0.41,1585,7.26,"nan","nan","nan","nan",4.0,1.3,1.456,0.414,202.3092,-61.1983
329,"Collinder 272",307.59,1.2,13.01,0.47,2045,7.02,"nan","nan","nan","nan",14.5,3.2,3.156,0.287,202.5992,-61.3189
330,"NGC 5168",307.72,1.57,12.271,0.33,1777,7.74,"nan","nan","nan","nan",9.6,2.8,2.616,0.38,202.7489,-60.9335
331,"Ruprecht 108",308.25,3.98,10.208,0.14,901,8.41,"nan","nan","nan","nan",6.5,1.6,2.055,0.316,203.0436,-58.4705
332,"Trumpler 21",307.57,-0.29,11.148,0.18,1312,7.76,"nan","nan","nan","nan",11.5,2.7,2.824,0.312,203.0467,-62.7942
333,"Loden 915",308.36,3.17,8.96,0.15,500,8.44,"nan","nan","nan","nan",4.6,0.9,1.574,0.261,203.5056,-59.2522
334,"Platais 10",309.33,3.04,7.203,0.08,246,8.2,"nan","nan","nan","nan",15.7,2.4,3.169,0.204,205.4138,-59.2065
335,"Loden 1010",309.51,1.94,9.845,0.2,700,8.69,6.6,1.3,2.077,0.251,7.9,1.4,2.308,0.231,206.1988,-60.2485
336,"NGC 5281",309.15,-0.71,11.06,0.27,1108,7.76,"nan","nan","nan","nan",6.8,1.2,2.135,0.224,206.6205,-62.9153
337,"Platais 12",309.71,-1.3,8.502,0.1,435,8.23,22.8,1.9,3.669,0.113,20.1,1.4,3.507,0.102,208.1198,-63.3656
338,"NGC 5316",310.22,0.12,11.26,0.27,1215,8.19,15.1,2.4,3.178,0.212,13.6,1.7,3.041,0.17,208.4657,-61.8652
339,"Loden 995",309.52,-2.88,12.831,0.3,2400,8.34,"nan","nan","nan","nan",27.1,6.1,3.994,0.295,208.5583,-64.9455
340,"Loden 1171",311.75,3.33,9.115,0.2,500,8.45,"nan","nan","nan","nan",2.1,0.6,0.552,0.368,209.8287,-58.3749
341,"Lynga 1",310.85,-0.33,13.219,0.46,2283,8.15,"nan","nan","nan","nan",14.8,4.1,3.206,0.361,210.0055,-62.1428
342,"NGC 5359",308.67,-8.28,12.3,0.1,2500,8.3,"nan","nan","nan","nan",9.8,2.9,2.673,0.381,209.9998,-70.3841
343,"Ruprecht 110",309.95,-5.61,10.57,0.0,1300,8.74,12.6,2.4,2.947,0.25,9.0,2.0,2.515,0.291,211.3604,-67.4678
344,"Loden 1194",312.17,1.82,8.65,0.05,500,8.53,"nan","nan","nan","nan",3.8,0.9,1.332,0.317,211.4116,-59.7141
345,"NGC 5460",315.74,12.64,9.419,0.09,673,8.31,10.7,3.7,2.703,0.451,7.4,1.1,2.232,0.198,211.8484,-48.3338
346,"Loden 1225",312.58,1.69,11.5,0.2,1500,8.67,"nan","nan","nan","nan",11.0,2.2,2.787,0.26,212.2641,-59.7199
347,"Ruprecht 167",313.91,2.04,11.815,0.1,2000,8.57,11.9,2.6,2.918,0.284,16.3,3.2,3.325,0.257,214.5265,-58.972
348,"Loden 1256",313.11,-0.28,11.661,0.3,1400,8.41,"nan","nan","nan","nan",12.7,2.5,2.964,0.263,214.5413,-61.426
349,"ESO 175-06",314.66,3.95,9.322,0.2,550,8.6,"nan","nan","nan","nan",3.6,1.0,1.259,0.371,214.6706,-56.9219
350,"Lynga 2",313.84,-0.44,10.62,0.2,1000,8.42,7.3,2.1,2.227,0.375,7.2,1.3,2.203,0.244,216.088,-61.3284
351,"NGC 5593",316.3,5.61,9.647,0.0,850,8.77,"nan","nan","nan","nan",4.4,0.9,1.559,0.261,216.3866,-54.8006
352,"NGC 5606",314.84,1.0,12.739,0.47,1805,6.84,"nan","nan","nan","nan",20.8,4.6,3.634,0.292,216.94,-59.6262
353,"NGC 5617",314.67,-0.1,12.416,0.48,1533,8.02,"nan","nan","nan","nan",10.5,1.7,2.732,0.22,217.4328,-60.7119
354,"Trumpler 22",314.64,-0.58,12.515,0.52,1516,8.11,"nan","nan","nan","nan",7.8,2.0,2.34,0.341,217.7434,-61.1686
355,"NGC 5662",316.93,3.4,10.117,0.31,678,7.64,9.4,3.0,2.542,0.416,8.2,1.2,2.36,0.19,218.8881,-56.6154
356,"Alessi 6",313.64,-5.53,8.791,0.19,437,8.3,5.5,0.4,1.809,0.114,5.4,1.0,1.8,0.255,220.0376,-66.1153
357,"VDBH 164, vdBergh-Hagen 164",314.28,-6.07,9.105,0.13,550,7.14,8.3,1.1,2.359,0.177,8.0,1.5,2.315,0.245,222.0351,-66.3358
358,"NGC 5749",319.53,4.55,11.213,0.37,1031,7.41,"nan","nan","nan","nan",3.6,0.9,1.319,0.333,222.2184,-54.4929
359,"Hogg 18",320.76,6.43,12.512,0.51,1535,7.58,"nan","nan","nan","nan",7.1,2.5,2.232,0.463,222.6688,-52.2655
360,"NGC 5822",321.57,3.59,10.277,0.15,917,8.83,19.6,2.6,3.519,0.174,15.9,1.4,3.247,0.124,226.0851,-54.4006
361,"NGC 5823",321.12,2.47,10.66,0.09,1192,8.9,"nan","nan","nan","nan",6.2,1.9,2.036,0.403,226.3592,-55.5971
362,"Alessi 8",326.49,4.27,9.077,0.09,575,7.92,7.5,2.7,2.245,0.461,6.2,1.1,1.997,0.228,232.3838,-51.2237
363,"Loden 2313",327.16,2.24,10.901,0.05,1410,8.74,"nan","nan","nan","nan",11.2,2.8,2.825,0.331,235.1821,-52.4813
364,"Collinder 292",325.04,-2.62,11.19,0.1,1500,8.73,"nan","nan","nan","nan",12.6,2.4,2.988,0.253,237.4531,-57.622
365,"Ruprecht 113",324.62,-4.69,10.007,0.15,810,8.23,"nan","nan","nan","nan",15.3,2.8,3.187,0.24,239.3597,-59.4854
366,"NGC 6025",324.55,-5.88,9.926,0.16,769,7.96,10.2,1.1,2.66,0.15,9.9,1.2,2.621,0.164,240.8142,-60.4292
367,"Nor OB5",332.98,1.86,13.942,0.86,1800,7.11,104.7,16.9,5.778,0.214,97.5,11.5,5.686,0.159,242.629,-49.0405
368,"Lynga 7",328.75,-2.74,10.212,0.27,750,7.11,"nan","nan","nan","nan",6.1,1.7,1.998,0.365,242.6721,-55.2888
369,"NGC 6067",329.74,-2.2,11.997,0.4,1417,8.01,12.3,1.3,2.951,0.144,11.6,1.5,2.874,0.178,243.2834,-54.2185
370,"Harvard 10",329.83,-3.27,11.365,0.25,1312,7.87,24.0,3.0,3.819,0.165,26.4,3.3,3.942,0.17,244.6755,-54.927
371,"NGC 6087",327.72,-5.42,10.332,0.18,901,7.93,12.4,1.1,2.923,0.118,15.4,1.7,3.203,0.149,244.6931,-57.935
372,"Ruprecht 116",332.38,-1.68,10.081,0.1,900,8.95,"nan","nan","nan","nan",3.7,0.8,1.364,0.281,245.8227,-52.0025
373,"NGC 6124",340.74,6.03,10.468,0.68,470,8.34,9.5,2.0,2.546,0.277,8.1,0.9,2.338,0.148,246.3196,-40.6442
374,"NGC 6134",334.92,-0.19,10.98,0.38,913,8.53,"nan","nan","nan","nan",3.8,0.9,1.389,0.313,246.9364,-49.1442
375,"Ruprecht 119",333.27,-1.88,11.669,0.57,956,7.43,"nan","nan","nan","nan",4.9,1.3,1.726,0.35,247.0567,-51.5047
376,"NGC 6152",332.91,-3.15,10.684,0.2,1030,8.65,14.0,1.7,3.097,0.162,13.5,1.6,3.049,0.159,248.1583,-52.6377
377,"NGC 6167",335.22,-1.42,12.672,0.79,1108,8.16,"nan","nan","nan","nan",9.4,2.3,2.582,0.325,248.631,-49.7685
378,"NGC 6178",338.4,1.22,10.712,0.22,1014,7.51,"nan","nan","nan","nan",6.7,2.1,2.136,0.408,248.9314,-45.6406
379,"NGC 6192",340.64,2.13,12.931,0.64,1547,8.13,"nan","nan","nan","nan",10.8,2.9,2.804,0.352,250.0812,-43.367
380,"NGC 6193",336.71,-1.57,11.77,0.47,1155,6.9,9.0,1.4,2.531,0.205,10.8,2.5,2.772,0.31,250.3285,-48.7614
381,"NGC 6200",337.99,-1.06,13.361,0.58,2054,7.0,"nan","nan","nan","nan",15.1,3.9,3.281,0.337,251.0134,-47.4619
382,"NGC 6204",338.55,-1.03,11.51,0.43,1085,8.28,"nan","nan","nan","nan",4.0,1.0,1.459,0.337,251.5176,-47.0179
383,"Hogg 22",338.56,-1.14,12.58,0.65,1297,6.7,"nan","nan","nan","nan",5.6,2.3,1.925,0.537,251.6499,-47.0816
384,"NGC 6208",333.75,-5.76,10.514,0.21,939,9.07,"nan","nan","nan","nan",3.2,0.9,1.149,0.357,252.3555,-53.7287
385,"NGC 6231",343.46,1.18,11.849,0.44,1250,6.81,"nan","nan","nan","nan",11.1,2.6,2.823,0.311,253.5422,-41.831
386,"ESO 332-08",344.39,1.81,11.016,0.2,1200,8.17,"nan","nan","nan","nan",4.8,1.1,1.732,0.303,253.6702,-40.712
387,"NGC 6242",345.47,2.47,11.445,0.38,1131,7.63,11.9,7.4,2.907,0.814,9.8,1.5,2.652,0.206,253.8844,-39.4577
388,"VDBH 205, vdBergh-Hagen 205",344.59,1.62,12.602,0.3,2160,7.12,"nan","nan","nan","nan",5.4,1.8,1.952,0.441,254.0307,-40.6756
389,"NGC 6249",341.53,-1.18,11.322,0.44,981,7.54,8.2,5.2,2.399,0.834,8.4,1.6,2.439,0.247,254.4082,-44.8138
390,"NGC 6250",340.68,-1.92,10.77,0.35,865,7.42,"nan","nan","nan","nan",12.1,2.6,2.9,0.283,254.4808,-45.9394
391,"NGC 6268",346.04,1.31,11.271,0.39,1029,8.24,"nan","nan","nan","nan",5.0,0.9,1.775,0.246,255.5242,-39.7289
392,"NGC 6281",347.72,1.98,8.934,0.15,494,8.51,8.0,3.5,2.331,0.566,7.3,0.8,2.206,0.147,256.1551,-37.9889
393,"Sco OB4",352.39,3.44,10.827,0.2,1100,6.82,88.2,10.6,5.512,0.162,68.2,5.4,5.178,0.11,258.137,-33.3734
394,"Bochum 13",351.2,1.37,12.61,0.79,1077,7.08,"nan","nan","nan","nan",8.6,2.7,2.475,0.416,259.3387,-35.5453
