"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
83,"Basel 11B",187.44,-1.12,11.19,0.1,1500,8.82,"nan","nan","nan","nan",11.6,3.1,2.586,0.357,89.5432,21.9656
84,"NGC 2129",186.59,0.13,13.196,0.74,1515,7.08,"nan","nan","nan","nan",4.9,1.6,1.473,0.43,90.2597,23.3249
85,"NGC 2143",202.19,-8.02,9.515,0.0,800,9.15,"nan","nan","nan","nan",6.4,1.8,1.897,0.368,90.7728,5.776
86,"NGC 2169",195.6,-2.94,10.688,0.2,1032,6.89,"nan","nan","nan","nan",4.7,1.1,1.481,0.303,92.0914,13.969
87,"NGC 2168",186.6,2.24,10.401,0.26,830,8.18,24.7,3.2,3.657,0.171,22.9,1.9,3.558,0.116,92.2766,24.349
88,"NGC 2180",203.84,-7.02,9.795,0.0,910,9.24,"nan","nan","nan","nan",6.6,1.5,1.937,0.298,92.436,4.81
89,"NGC 2184",211.41,-10.52,9.279,0.08,640,8.37,"nan","nan","nan","nan",5.5,1.9,1.721,0.459,92.7974,-3.4405
90,"NGC 2186",203.54,-6.2,11.605,0.26,1445,8.08,"nan","nan","nan","nan",5.1,1.5,1.547,0.388,93.0212,5.4593
91,"Platais 6",205.3,-6.19,7.708,0.0,348,7.79,"nan","nan","nan","nan",19.3,2.3,3.394,0.16,93.8536,3.9188
92,"NGC 2202",203.62,-4.9,9.771,0.0,900,8.74,"nan","nan","nan","nan",3.5,1.0,1.116,0.369,94.2119,6.0003
93,"Collinder 89",188.65,3.83,11.003,0.48,800,7.5,8.2,1.4,2.219,0.229,17.0,3.1,3.171,0.242,94.8703,23.3051
94,"NGC 2215",215.99,-10.1,11.488,0.3,1293,8.43,"nan","nan","nan","nan",12.0,2.5,2.685,0.272,95.205,-7.2794
95,"NGC 2232",214.54,-7.42,7.652,0.03,325,7.49,5.8,0.8,1.839,0.173,6.6,1.0,2.007,0.206,96.9703,-4.7986
96,"Collinder 95",201.81,0.03,9.035,0.1,556,8.36,"nan","nan","nan","nan",3.4,0.9,1.125,0.336,97.7641,9.8992
97,"Collinder 97",205.34,-1.74,8.712,0.07,500,8.32,"nan","nan","nan","nan",6.5,1.8,1.962,0.371,97.8275,5.9513
98,"NGC 2244",206.3,-2.08,12.039,0.4,1445,6.7,17.6,4.4,3.153,0.328,14.8,2.8,2.929,0.248,97.9693,4.9432
99,"NGC 2240",179.21,11.84,8.793,0.17,450,9.5,"nan","nan","nan","nan",4.2,1.0,1.404,0.301,98.2836,35.2493
100,"Basel 8",203.84,-0.16,11.763,0.37,1328,7.68,"nan","nan","nan","nan",14.8,3.4,2.939,0.301,98.5425,8.0109
101,"NGC 2252",206.22,-1.31,10.081,0.1,900,8.84,"nan","nan","nan","nan",4.5,1.2,1.43,0.349,98.6185,5.3689
102,"NGC 2251",203.57,0.1,11.207,0.19,1329,8.43,"nan","nan","nan","nan",9.8,1.8,2.402,0.242,98.65,8.3703
103,"Ruprecht 1",223.99,-9.69,10.672,0.15,1100,8.76,7.6,1.1,2.124,0.189,10.6,2.3,2.554,0.281,99.0989,-14.1829
104,"Collinder 106",206.03,-0.41,11.734,0.23,1600,6.74,"nan","nan","nan","nan",35.1,6.8,4.038,0.256,99.3339,5.9514
105,"Collinder 107",207.34,-0.76,12.047,0.4,1450,7.03,"nan","nan","nan","nan",7.2,2.6,1.988,0.466,99.6253,4.6269
106,"Collinder 110A",209.71,-1.85,9.258,0.32,450,8.19,"nan","nan","nan","nan",4.1,1.1,1.363,0.346,99.7422,2.0215
