"Name","Type","n_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","o_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","dH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Src","SType","[Fe/H]","e_[Fe/H]","o_[Fe/H]"
"NGC_6819, MWSC_3155","nan","nan",295.32,40.195,73.98,8.49,0.02,0.115,0.2,-3.99,-0.3,0.24,1.0,2.0,6,1,112,194,2360.0,0.237,11.941,0.114,0.076,-0.04,9.21,0.024,41.0,1.76,0.12,13.32,0.96,42.68,1.67,"DIAS","nan",0.09,0.03,3
"ASCC_105, MWSC_3157","nan","nan",295.39,27.383,62.766,2.196,0.04,0.225,0.47,0.8,-4.45,0.32,-18.8,5.25,2,4,103,524,494.0,0.104,8.502,0.05,0.033,0.0,7.91,"nan",1.0,1.49,0.58,4.29,0.95,2.59,0.85,"COCD","nan","nan","nan",0
"Skiff_J1942+38.6, MWSC_3159","nan","nan",295.6,38.64,72.707,7.553,0.025,0.095,0.21,-4.54,-4.4,0.34,"nan","nan",0,11,47,138,2642.0,0.125,12.15,0.06,0.04,0.0,9.25,"nan","nan",1.19,0.3,14.53,4.15,4.67,1.01,"DIAS","nan","nan","nan",0
"Czernik_40, MWSC_3161","nan","nan",295.657,21.143,57.465,-1.108,0.012,0.09,0.155,-0.87,-10.1,0.27,"nan","nan",0,3,86,199,3422.0,1.02,13.0,0.49,0.327,0.0,8.93,"nan","nan",3.37,0.49,18.38,2.52,2.35,0.2,"DIAS","nan","nan","nan",0
"Teutsch_43, MWSC_3162","nan","nan",295.692,29.85,65.043,3.185,0.01,0.035,0.07,-4.43,-4.46,0.77,"nan","nan",0,2,11,25,2105.0,1.364,12.055,0.655,0.437,0.025,9.25,"nan","nan",0.47,0.19,4.3,1.77,7.87,2.7,"DIAS","nan","nan","nan",0
"NGC_6823, MWSC_3163","nan","nan",295.785,23.3,59.396,-0.139,0.02,0.1,0.2,-3.0,-4.0,0.3,10.5,6.5,2,5,66,226,1764.0,0.833,11.5,0.4,0.267,-0.04,7.01,"nan","nan",0.69,0.17,10.34,2.94,13.19,2.98,"COCD","nan","nan","nan",0
"ASCC_106, MWSC_3164","nan","nan",295.83,1.62,40.382,-10.76,0.04,0.25,0.52,-1.9,-2.9,0.26,-62.2,0.2,1,4,84,311,525.0,0.312,8.701,0.15,0.1,0.0,8.42,"nan","nan",3.85,2.5,6.19,1.73,8.56,11.51,"COCD","nan","nan","nan",0
"FSR_0160, MWSC_3166","nan","nan",296.182,26.905,62.701,1.347,0.013,0.05,0.1,-3.83,-3.89,0.36,"nan","nan",0,4,34,90,2289.0,0.937,12.1,0.45,0.3,-0.02,8.69,0.032,7.0,0.96,0.13,9.39,1.34,12.79,1.5,"DIAS","irc","nan","nan",0
"Turner_9, MWSC_3168","nan","nan",296.205,29.26,64.753,2.505,0.07,0.435,0.555,0.63,-3.6,0.14,-18.5,6.2,6,9,519,870,852.0,0.15,9.7,0.072,0.048,0.0,8.03,"nan","nan","nan","nan","nan","nan","nan","nan","COCD","nan","nan","nan",0
"Roslund_1, MWSC_3169","nan","nan",296.28,17.51,54.603,-3.424,0.01,0.07,0.135,0.4,-7.21,0.69,"nan","nan",0,2,19,69,788.0,0.05,9.499,0.024,0.016,0.0,8.765,0.019,2.0,0.28,0.1,3.32,1.37,29.36,9.8,"COCD","nan","nan","nan",0
"Kronberger_4, MWSC_3170","nan","nan",296.287,28.167,63.841,1.897,0.011,0.045,0.085,-3.93,-5.63,0.85,"nan","nan",0,3,14,27,3731.0,0.437,13.0,0.21,0.14,0.0,9.1,"nan","nan",0.7,0.17,10.58,2.78,8.22,2.06,"DIAS","nan","nan","nan",0
"Roslund_2, MWSC_3173","nan","nan",296.317,23.9,60.159,-0.262,0.018,0.1,0.18,-3.3,-4.34,0.29,-5.0,6.0,2,7,73,251,1668.0,0.899,11.4,0.432,0.288,-0.03,6.78,"nan",1.0,5.25,0.83,9.02,0.64,5.21,1.35,"COCD","nan","nan","nan",0
"Kronberger_5, MWSC_3174","nan","nan",296.475,27.85,63.649,1.595,0.015,0.06,0.085,-7.84,-4.14,0.62,"nan","nan",0,5,25,46,1112.0,2.082,10.901,1.0,0.667,0.1,8.095,0.111,2.0,0.27,0.09,1.92,0.58,44.81,13.08,"DREM","ast","nan","nan",0
"Dolidze_53, MWSC_3177","nan","nan",296.577,24.632,60.911,-0.1,0.015,0.085,0.125,-2.4,-4.43,0.37,2.8,1.28,2,2,57,123,1392.0,0.874,11.0,0.42,0.28,0.01,7.335,"nan",1.0,1.91,0.52,4.55,0.73,5.01,1.61,"DIAS","ass","nan","nan",0
"Teutsch_7, MWSC_3180","nan","nan",296.925,24.255,60.745,-0.563,0.012,0.06,0.108,-3.19,-5.05,0.4,"nan","nan",0,4,44,119,4929.0,1.666,14.0,0.8,0.534,0.0,8.65,"nan","nan",1.4,0.16,20.05,2.62,12.03,1.27,"DIAS","nan","nan","nan",0
"FSR_0154, MWSC_3181","nan","nan",296.995,23.337,59.985,-1.082,0.018,0.08,0.125,-3.58,-5.33,0.24,"nan","nan",0,10,117,215,4394.0,1.509,13.7,0.725,0.484,0.0,7.0,"nan","nan",3.94,0.5,14.12,1.43,4.28,0.45,"DIAS","irc","nan","nan",0
"FSR_0158, MWSC_3182","nan","nan",297.015,26.04,62.327,0.268,0.011,0.057,0.1,-3.37,-4.79,0.38,"nan","nan",0,5,45,98,2769.0,1.208,12.6,0.58,0.387,0.0,8.505,0.069,5.0,1.55,0.24,7.79,1.08,9.33,0.96,"DIAS","irc","nan","nan",0
"Turner_1, MWSC_3184","nan","nan",297.112,27.295,63.454,0.827,0.011,0.045,0.093,-4.39,-3.22,0.69,"nan","nan",0,3,12,32,2787.0,0.541,12.4,0.26,0.173,0.0,8.74,0.038,3.0,0.66,0.19,9.52,2.87,4.93,1.56,"DIAS","nan","nan","nan",0
"ASCC_107, MWSC_3185","nan","nan",297.105,21.958,58.845,-1.866,0.018,0.08,0.17,0.98,-5.12,0.62,-7.0,3.7,1,2,15,87,672.0,0.2,9.201,0.096,0.064,0.0,8.045,0.116,2.0,0.55,0.09,3.61,0.58,52.09,5.51,"COCD","nan","nan","nan",0
"NGC_6827, MWSC_3186","nan","nan",297.213,21.215,58.255,-2.328,0.01,0.035,0.07,1.4,-12.34,0.64,"nan","nan",0,2,14,41,4192.0,0.895,13.4,0.43,0.287,0.0,9.06,0.1,4.0,1.09,0.35,9.32,3.14,2.49,0.63,"DIAS","nan","nan","nan",0
"BDSB_15, MWSC_3187","nan","nan",297.301,26.835,63.143,0.449,0.01,0.035,0.068,-9.02,-9.79,0.94,"nan","nan",0,1,10,29,2743.0,1.27,12.6,0.61,0.407,0.0,8.59,"nan","nan",0.43,0.22,6.9,3.74,4.32,2.33,"BOPN","irc","nan","nan",0
