"Cluster","Comment"
"Alessi_40","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_43","Classified as open cluster. CMD class: 0.66 (50th percentile)."
"Alessi_50","Classified as open cluster. CMD classes: 0.96 (50th percentile), true positive (human-assigned)."
"Alessi_53","Classified as open cluster. CMD class: 0.75 (50th percentile)."
"Alessi_59","Classified as open cluster. CMD class: 0.98 (50th percentile)."
"Alessi_60","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_62","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_72","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_84","Classified as moving group. CMD class: 1.00 (50th percentile)."
"Alessi_94","Classified as moving group. CMD class: 0.99 (50th percentile)."
"Alessi_96","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_116","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"Alessi_144","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"Alessi_145","Classified as moving group. CMD class: 0.99 (50th percentile)."
"Alessi_161","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_170","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_190","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_191","Classified as moving group. CMD class: 0.48 (50th percentile)."
"Alessi_80B","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"Alessi_J0601.6+3531","Classified as open cluster. CMD classes: 1.00 (50th percentile), true positive (human-assigned)."
"Alessi_J0622.4+2114","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_J1933.7+1147","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi_J2327.0+55","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"Alessi-Teutsch_3","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi-Teutsch_4","Classified as moving group. CMD class: 0.99 (50th percentile)."
"Alessi-Teutsch_5","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi-Teutsch_8","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi-Teutsch_9","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi-Teutsch_10","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi-Teutsch_11","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi-Teutsch_12","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Alessi-Teutsch_21","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Andrews-Lindsay_5","Classified as open cluster. CMD class: 0.04 (50th percentile)."
"Antalova_1","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"Antalova_2","Classified as open cluster. CMD class: 0.80 (50th percentile)."
"Archinal_1","Classified as open cluster. CMD class: 0.77 (50th percentile)."
"Auner_1","Classified as open cluster. CMD class: 0.20 (50th percentile)."
"Aveni-Hunter_1","Classified as open cluster. CMD class: 0.45 (50th percentile)."
"BDSB_30","Classified as open cluster. CMD class: 0.37 (50th percentile)."
"BDSB_82","Classified as open cluster. CMD classes: 0.22 (50th percentile), true positive? (human-assigned)."
"BDSB_91","Classified as open cluster. CMD class: 0.74 (50th percentile)."
"BDSB_93","Classified as open cluster. CMD class: 0.47 (50th percentile)."
"BDSB_96","Classified as open cluster. CMD classes: 0.81 (50th percentile), true positive? (human-assigned)."
"BDSB_124","Classified as open cluster. CMD class: 0.33 (50th percentile)."
"BH_19","Classified as open cluster. CMD class: 0.96 (50th percentile)."
"BH_23","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"BH_37","Classified as open cluster. CMD class: 0.98 (50th percentile)."
"BH_54","Classified as open cluster. CMD class: 0.59 (50th percentile)."
"BH_55","Classified as open cluster. CMD class: 0.31 (50th percentile)."
"BH_56","Classified as open cluster. CMD class: 0.97 (50th percentile)."
"BH_66","Classified as open cluster. CMD class: 0.27 (50th percentile)."
"BH_67","Classified as open cluster. CMD class: 0.97 (50th percentile)."
"BH_72","Classified as open cluster. CMD class: 0.97 (50th percentile)."
"BH_73","Classified as open cluster. CMD class: 0.98 (50th percentile)."
"BH_75","Classified as open cluster. CMD class: 0.94 (50th percentile)."
"BH_78","Classified as open cluster. CMD class: 0.20 (50th percentile)."
"BH_79","Classified as open cluster. CMD class: 0.97 (50th percentile)."
"BH_84","Classified as open cluster. CMD class: 0.73 (50th percentile)."
"BH_85","Classified as open cluster. CMD class: 0.23 (50th percentile)."
"BH_87","Classified as open cluster. CMD class: 0.90 (50th percentile)."
"BH_88","Classified as open cluster. CMD class: 0.67 (50th percentile)."
"BH_90","Classified as open cluster. CMD class: 0.99 (50th percentile)."
