"Cluster","Comment"
"ASCC_79","Tidal & Core radii: r_t=59+/-14.5 [pc], r_c=0.81+/-0.0 [pc]; stars within r_t: N~770"
"ASCC_85","Tidal & Core radii: r_t=38+/-26.6 [pc], r_c=0.3+/-0.01 [pc]; stars within r_t: N~192"
"ASCC_87","Tidal & Core radii: r_t=191+/-33.2 [pc], r_c=0.3+/-0.0 [pc]; stars within r_t: N~90"
"ASCC_88","Tidal & Core radii: r_t=43+/-39.8 [pc], r_c=0.5+/-0.0 [pc]; stars within r_t: N~149"
"ASCC_9","Tidal & Core radii: r_t=138+/-57.1 [pc], r_c=0.79+/-0.0 [pc]; stars within r_t: N~266"
"ASCC_90","Tidal & Core radii: r_t=198+/-11.2 [pc], r_c=0.22+/-0.0 [pc]; stars within r_t: N~119"
"ASCC_99","Tidal & Core radii: r_t=76+/-48.6 [pc], r_c=0.62+/-0.0 [pc]; stars within r_t: N~146"
"Barkhatova_1","Tidal & Core radii: r_t=90+/-68.6 [pc], r_c=0.38+/-0.0 [pc]; stars within r_t: N~128"
"Basel_1","Tidal & Core radii: r_t=28+/-28.7 [pc], r_c=0.37+/-0.01 [pc]; stars within r_t: N~105"
"Basel_10","Tidal & Core radii: r_t=200+/-0.0 [pc], r_c=0.85+/-0.0 [pc]; stars within r_t: N~406"
"Basel_17","Tidal & Core radii: r_t=195+/-22.1 [pc], r_c=0.69+/-0.0 [pc]; stars within r_t: N~167"
"Basel_18","Tidal & Core radii: r_t=200+/-0.0 [pc], r_c=0.44+/-0.0 [pc]; stars within r_t: N~208"
"Basel_4","Tidal & Core radii: r_t=74+/-77.7 [pc], r_c=0.37+/-0.0 [pc]; stars within r_t: N~84"
"Basel_8","Tidal & Core radii: r_t=192+/-28.1 [pc], r_c=0.8+/-0.0 [pc]; stars within r_t: N~110"
"Berkeley_10","Tidal & Core radii: r_t=29+/-28.6 [pc], r_c=0.56+/-0.01 [pc]; stars within r_t: N~168"
"Berkeley_100","Tidal & Core radii: r_t=115+/-84.7 [pc], r_c=0.67+/-0.0 [pc]; stars within r_t: N~56"
"Berkeley_101","Tidal & Core radii: r_t=71+/-76.0 [pc], r_c=0.58+/-0.0 [pc]; stars within r_t: N~79"
"Berkeley_104","Tidal & Core radii: r_t=26+/-39.9 [pc], r_c=0.26+/-0.04 [pc]; stars within r_t: N~56"
"Berkeley_11","Tidal & Core radii: r_t=19+/-24.3 [pc], r_c=0.48+/-0.03 [pc]; stars within r_t: N~80"
"Berkeley_12","Tidal & Core radii: r_t=68+/-64.4 [pc], r_c=0.45+/-0.0 [pc]; stars within r_t: N~116"
"Berkeley_13","Tidal & Core radii: r_t=30+/-42.4 [pc], r_c=0.25+/-0.0 [pc]; stars within r_t: N~88"
"Berkeley_14","Tidal & Core radii: r_t=85+/-76.1 [pc], r_c=0.41+/-0.0 [pc]; stars within r_t: N~101"
"Berkeley_15","Tidal & Core radii: r_t=15+/-13.5 [pc], r_c=0.74+/-0.14 [pc]; stars within r_t: N~97"
"Berkeley_17","Tidal & Core radii: r_t=28+/-44.1 [pc], r_c=0.81+/-0.05 [pc]; stars within r_t: N~92"
"Berkeley_18","Tidal & Core radii: r_t=84+/-61.3 [pc], r_c=0.81+/-0.0 [pc]; stars within r_t: N~186"
"Berkeley_2","Tidal & Core radii: r_t=95+/-78.0 [pc], r_c=0.63+/-0.0 [pc]; stars within r_t: N~90"
"Berkeley_24","Tidal & Core radii: r_t=36+/-38.8 [pc], r_c=0.25+/-0.0 [pc]; stars within r_t: N~119"
"Berkeley_28","Tidal & Core radii: r_t=75+/-82.9 [pc], r_c=0.25+/-0.0 [pc]; stars within r_t: N~50"
"Berkeley_30","Tidal & Core radii: r_t=79+/-82.0 [pc], r_c=0.32+/-0.0 [pc]; stars within r_t: N~59"
"Berkeley_31","Tidal & Core radii: r_t=116+/-77.5 [pc], r_c=0.49+/-0.0 [pc]; stars within r_t: N~55"
"Berkeley_32","Tidal & Core radii: r_t=32+/-28.7 [pc], r_c=0.87+/-0.04 [pc]; stars within r_t: N~291"
"Berkeley_33","Tidal & Core radii: r_t=70+/-67.5 [pc], r_c=0.57+/-0.0 [pc]; stars within r_t: N~111"
"Berkeley_35","Tidal & Core radii: r_t=62+/-62.1 [pc], r_c=0.34+/-0.0 [pc]; stars within r_t: N~94"
"Berkeley_36","Tidal & Core radii: r_t=77+/-64.6 [pc], r_c=0.5+/-0.0 [pc]; stars within r_t: N~101"
"Berkeley_37","Tidal & Core radii: r_t=60+/-51.5 [pc], r_c=0.77+/-0.0 [pc]; stars within r_t: N~114"
"Berkeley_39","Tidal & Core radii: r_t=24+/-9.6 [pc], r_c=0.85+/-0.03 [pc]; stars within r_t: N~276"
"Berkeley_4","Tidal & Core radii: r_t=186+/-35.9 [pc], r_c=0.63+/-0.0 [pc]; stars within r_t: N~247"
