"Cluster","Comment"
"BDSB_150","Classified as cluster candidate (IRCC)."
"BDSB_151","Classified as cluster candidate (IRCC)."
"BDSB_152","Classified as cluster candidate (IRCC)."
"BDSB_153","Classified as cluster candidate (IRCC)."
"BDSB_154","Classified as cluster candidate (IRCC)."
"BDSB_155","Classified as infrared cluster (IRC)."
"BDSB_156","Classified as stellar group (IRGr)."
"BDSB_157","Classified as stellar group (IRGr)."
"BDSB_158","Classified as infrared cluster (IRC)."
"BDSB_159","Classified as cluster candidate (IRCC)."
"BDSB_160","Classified as cluster candidate (IRCC)."
"BDSB_164","Classified as infrared cluster (IRC)."
"BDSB_165","Classified as infrared cluster (IRC)."
"BDSB_166","Classified as infrared cluster (IRC)."
"BDSB_167","Classified as stellar group (IRGr)."
