"Cluster","Comment"
"NGC 188","Membership probabilities according to (2003AJ....126.2922P) and (1972AJ.....77...74U): star 1003, 90%; 1032, 98%; 1043, 98%; 1050, 97%; 1093, 98%; 1102, 98%; 2008, 97%; 2020, 97%; 2024, 97%; 2031, 93%; 2046, 99%; 2069, 98%; 2074, 92%; 2082, 98%; 2105, 98%; 2119, 93%; 2127, 98%; 2138, 94%; 2151, 97%; 3074, 95%; 3115, 98%; 3135, 93%; 3151, 98%. Star 2189 is given 90% in (1972AJ.....77...74U) but 0% in (2003AJ....126.2922P). In the photometric study (1969ApJ...158..669E) the following stars are cited as blue stragglers: 1003, 1005, 1032, 1033, 1043, 1093, 1102, 1103, 1112, and 2046. Star 2127 is a W Ursae Majoris eclipsing binary (2003AJ....126..276K). An hyphothetical relation between the blue stragglers and the apparent lack of bright giants in the cluster nucleus is discussed in (1990AcA....40...61K). In (1989AJ.....97..759T) and (1972AJ.....77...74U) it is suggested that the cluster is somewhat younger than is usually agreed, so several stars that appear as blue stragglers would not be such. In the proper motion study (1996AJ....111.1205D) it is found that the stragglers are not more centrally concentrated than the red giants. In the CCD study (1990AcA....40...61K) the discovery of a probable FK Comae variable (star V8) is reported; this star may be a `red straggler' candidate."
"NGC 1893","The colour-magnitude diagrams in (1995ApJ...454..151M) were also examined. Star 301005=HD 242935 has a spectrum O8V((f)) (ref. 267)."
"NGC 1901","Star 4=HD 35094 has a spectrum A5V (1975MSS...C01....0H), appears to belong to a subgroup of bright stars at about 18' from the cluster centre, and is a cluster member (1969Obs....89..104M)."
"NGC 1907","The diagrams in (1961PUSNO..17..343H), (1964AnWie..26...37P), and (1999AJ....117..937S) were examined. Stars G and 4 have spectra B9V and B3V (1965ApJS...12..215H). Star B is HD 281143. Stars 10, 51, 116, and 132 (WEBDA numbers) appear as stragglers in some diagrams, but as main-sequence stars in others."
"NGC 1912","Only the photoelectric data of (1961PUSNO..17..343H) were examined."
"NGC 1976","= Trapezium. The apparent cluster diameter was taken from (1970PDDO....4....1H). The colour-magnitude diagram of (1952ApJ...116..251S) was dereddened using the reddenings for each star listed in the reference. Star 1891 (WEBDA) = Theta1 Orionis A = HD 37022 (sp. O7Vp,v.sin i=140km/s, var?), appears blueward the ZAMS in the dereddened diagram, but it is a non-member according to (1983A&AS...54..221M)."
"NGC 2099","Star 56=HD 248599. Membership probabilities (1985ChA&A...9..300Z): star 9, 86%, star 56, 12%, and star 342, 27%. Star 204, which also appears as a straggler, has a probability of 9% (1985ChA&A...9..300Z)."
"NGC 2129","Only the photoelectric data of (1961PUSNO..17..343H) were examined."
"NGC 2158","The apparent cluster diameter was taken from (1970PDDO....4....1H). Only stars inside a radius of 3' were considered. Some membership probabilities from (1997AN....318..253K): star 3, 73%, star 14, 32%, star 25, 43%, star 414, 86%. Star 117 (=3347) has a 6% and star 228 (=3142) is not a cluster member (1997AN....318..253K)."
"NGC 2168","Star 218=HD 41940 has a membership probability of 72% (ref. 278) and a spectrum B2V (1965ApJS...12..215H). It is cited as a straggler en (1986AJ.....91..557M)."
"NGC 2175","The dereddened colour-magnitude diagram of (1975A&A....43..259G) was examined."
"NGC 2192","The cluster parameters are from (1999MNRAS.304..883P)."
