"Cluster","Comment"
"BH_202","Ellipticities (core, all): e_core=0.0575, e_all=0.1225."
"BH_211","Ellipticities (core, all): e_core=0.1725, e_all=0.1007."
"BH_217","Ellipticities (core, all): e_core=0.2323, e_all=0.1125."
"BH_221","Ellipticities (core, all): e_core=0.5091, e_all=0.1389."
"BH_23","Ellipticities (core, all): e_core=0.3062, e_all=0.2346."
"BH_37","Ellipticities (core, all): e_core=0.1163, e_all=0.0889."
"BH_54","Ellipticities (core, all): e_core=0.2511, e_all=0.2774."
"BH_55","Ellipticities (core, all): e_core=0.1479, e_all=0.0738."
"BH_56","Ellipticities (core, all): e_core=0.078, e_all=0.1528."
"BH_66","Ellipticities (core, all): e_core=0.1303, e_all=0.0345."
"BH_67","Ellipticities (core, all): e_core=0.0186, e_all=0.0798."
"BH_72","Ellipticities (core, all): e_core=0.194, e_all=0.1867."
"BH_73","Ellipticities (core, all): e_core=0.2171, e_all=0.0886."
"BH_78","Ellipticities (core, all): e_core=0.2196, e_all=0.1745."
"BH_84","Ellipticities (core, all): e_core=0.1182, e_all=0.0639."
"BH_85","Ellipticities (core, all): e_core=0.0634, e_all=0.1542."
"BH_87","Ellipticities (core, all): e_core=0.2095, e_all=0.1126."
"BH_90","Ellipticities (core, all): e_core=0.0505, e_all=0.0852."
"BH_92","Ellipticities (core, all): e_core=0.3532, e_all=0.3208."
"BH_99","Ellipticities (core, all): e_core=0.2539, e_all=0.4283."
"Barkhatova_1","Ellipticities (core, all): e_core=0.0901, e_all=0.0377."
"Basel_1","Ellipticities (core, all): e_core=0.133, e_all=0.1903."
"Basel_10","Ellipticities (core, all): e_core=0.2658, e_all=0.2049."
"Basel_11a","Ellipticities (core, all): e_core=0.3156, e_all=0.048."
"Basel_11b","Ellipticities (core, all): e_core=0.2667, e_all=0.277."
"Basel_17","Ellipticities (core, all): e_core=0.1364, e_all=0.2697."
"Basel_18","Ellipticities (core, all): e_core=0.0754, e_all=0.2355."
"Basel_4","Ellipticities (core, all): e_core=0.208, e_all=0.1216."
"Basel_8","Ellipticities (core, all): e_core=0.3179, e_all=0.1329."
"Berkeley_1","Ellipticities (core, all): e_core=0.185, e_all=0.085."
"Berkeley_10","Ellipticities (core, all): e_core=0.0515, e_all=0.1993."
"Berkeley_101","Ellipticities (core, all): e_core=0.162, e_all=0.0335."
"Berkeley_102","Ellipticities (core, all): e_core=0.3427, e_all=0.1314."
"Berkeley_103","Ellipticities (core, all): e_core=0.1256, e_all=0.2302."
"Berkeley_104","Ellipticities (core, all): e_core=0.3375, e_all=0.0723."
"Berkeley_11","Ellipticities (core, all): e_core=0.2078, e_all=0.0891."
"Berkeley_12","Ellipticities (core, all): e_core=0.1913, e_all=0.0665."
"Berkeley_13","Ellipticities (core, all): e_core=0.1375, e_all=0.055."
"Berkeley_14","Ellipticities (core, all): e_core=0.1586, e_all=0.0676."
"Berkeley_15","Ellipticities (core, all): e_core=0.0783, e_all=0.1158."
"Berkeley_17","Ellipticities (core, all): e_core=0.0124, e_all=0.0438."
"Berkeley_18","Ellipticities (core, all): e_core=0.0159, e_all=0.0575."
"Berkeley_19","Ellipticities (core, all): e_core=0.0366, e_all=0.0788."
"Berkeley_2","Ellipticities (core, all): e_core=0.1611, e_all=0.0262."
"Berkeley_20","Ellipticities (core, all): e_core=0.2337, e_all=0.3363."
"Berkeley_21","Ellipticities (core, all): e_core=0.0773, e_all=0.1266."
"Berkeley_22","Ellipticities (core, all): e_core=0.3394, e_all=0.2086."
"Berkeley_23","Ellipticities (core, all): e_core=0.0625, e_all=0.2275."
"Berkeley_24","Ellipticities (core, all): e_core=0.0514, e_all=0.0637."
"Berkeley_25","Ellipticities (core, all): e_core=0.0441, e_all=0.0502."
"Berkeley_27","Ellipticities (core, all): e_core=0.0882, e_all=0.1224."
"Berkeley_28","Ellipticities (core, all): e_core=0.0825, e_all=0.0255."
"Berkeley_29","Ellipticities (core, all): e_core=0.1333, e_all=0.2058."
"Berkeley_30","Ellipticities (core, all): e_core=0.1503, e_all=0.2941."
"Berkeley_31","Ellipticities (core, all): e_core=0.1184, e_all=0.0085."
"Berkeley_32","Ellipticities (core, all): e_core=0.1087, e_all=0.1474."
"Berkeley_33","Ellipticities (core, all): e_core=0.2248, e_all=0.1056."
"Berkeley_34","Ellipticities (core, all): e_core=0.3478, e_all=0.1666."
"Berkeley_35","Ellipticities (core, all): e_core=0.0175, e_all=0.0544."
"Berkeley_36","Ellipticities (core, all): e_core=0.2231, e_all=0.0852."
"Berkeley_37","Ellipticities (core, all): e_core=0.1527, e_all=0.081."
"Berkeley_39","Ellipticities (core, all): e_core=0.1428, e_all=0.1013."
"Berkeley_4","Ellipticities (core, all): e_core=0.1349, e_all=0.186."
"Berkeley_44","Ellipticities (core, all): e_core=0.2123, e_all=0.1965."
"Berkeley_45","Ellipticities (core, all): e_core=0.1323, e_all=0.1213."
"Berkeley_47","Ellipticities (core, all): e_core=0.0318, e_all=0.3398."
"Berkeley_49","Ellipticities (core, all): e_core=0.1024, e_all=0.2468."
"Berkeley_5","Ellipticities (core, all): e_core=0.1824, e_all=0.5175."
"Berkeley_53","Ellipticities (core, all): e_core=0.0518, e_all=0.2195."
"Berkeley_54","Ellipticities (core, all): e_core=0.0508, e_all=0.0501."
"Berkeley_55","Ellipticities (core, all): e_core=0.1531, e_all=0.2641."
"Berkeley_56","Ellipticities (core, all): e_core=0.1355, e_all=0.2622."
"Berkeley_58","Ellipticities (core, all): e_core=0.2373, e_all=0.0958."
"Berkeley_6","Ellipticities (core, all): e_core=0.0292, e_all=0.1387."
"Berkeley_60","Ellipticities (core, all): e_core=0.0466, e_all=0.1313."
"Berkeley_61","Ellipticities (core, all): e_core=0.17, e_all=0.0637."
"Berkeley_62","Ellipticities (core, all): e_core=0.1843, e_all=0.0402."
"Berkeley_63","Ellipticities (core, all): e_core=0.0892, e_all=0.0236."
"Berkeley_65","Ellipticities (core, all): e_core=0.328, e_all=0.2559."
"Berkeley_66","Ellipticities (core, all): e_core=0.0539, e_all=0.1411."
"Berkeley_67","Ellipticities (core, all): e_core=0.1889, e_all=0.171."
"Berkeley_68","Ellipticities (core, all): e_core=0.2973, e_all=0.0301."
"Berkeley_69","Ellipticities (core, all): e_core=0.0595, e_all=0.0517."
"Berkeley_7","Ellipticities (core, all): e_core=0.2043, e_all=0.1489."
"Berkeley_70","Ellipticities (core, all): e_core=0.1539, e_all=0.1472."
"Berkeley_71","Ellipticities (core, all): e_core=0.1379, e_all=0.0689."
"Berkeley_72","Ellipticities (core, all): e_core=0.1312, e_all=0.1901."
"Berkeley_73","Ellipticities (core, all): e_core=0.2701, e_all=0.4099."
"Berkeley_75","Ellipticities (core, all): e_core=0.0164, e_all=0.3094."
"Berkeley_76","Ellipticities (core, all): e_core=0.2347, e_all=0.236."
"Berkeley_77","Ellipticities (core, all): e_core=0.1134, e_all=0.138."
"Berkeley_78","Ellipticities (core, all): e_core=0.0769, e_all=0.099."
"Berkeley_79","Ellipticities (core, all): e_core=0.1698, e_all=0.0569."
"Berkeley_8","Ellipticities (core, all): e_core=0.0555, e_all=0.0769."
"Berkeley_80","Ellipticities (core, all): e_core=0.2103, e_all=0.1436."
"Berkeley_81","Ellipticities (core, all): e_core=0.0666, e_all=0.0436."
"Berkeley_82","Ellipticities (core, all): e_core=0.1568, e_all=0.2079."
"Berkeley_83","Ellipticities (core, all): e_core=0.2798, e_all=0.3562."
"Berkeley_85","Ellipticities (core, all): e_core=0.1392, e_all=0.1208."
"Berkeley_86","Ellipticities (core, all): e_core=0.4926, e_all=0.1751."
"Berkeley_87","Ellipticities (core, all): e_core=0.1182, e_all=0.1054."
"Berkeley_89","Ellipticities (core, all): e_core=0.1178, e_all=0.139."
"Berkeley_9","Ellipticities (core, all): e_core=0.1032, e_all=0.1659."
"Berkeley_90","Ellipticities (core, all): e_core=0.371, e_all=0.2305."
"Berkeley_91","Ellipticities (core, all): e_core=0.3078, e_all=0.1674."
"Berkeley_92","Ellipticities (core, all): e_core=0.0447, e_all=0.355."
"Berkeley_94","Ellipticities (core, all): e_core=0.276, e_all=0.2765."
"Berkeley_95","Ellipticities (core, all): e_core=0.1243, e_all=0.0661."
"Berkeley_96","Ellipticities (core, all): e_core=0.3251, e_all=0.2758."
"Berkeley_97","Ellipticities (core, all): e_core=0.0859, e_all=0.0881."
"Berkeley_98","Ellipticities (core, all): e_core=0.1567, e_all=0.2384."
"Berkeley_99","Ellipticities (core, all): e_core=0.0996, e_all=0.0339."
"Biurakan_2","Ellipticities (core, all): e_core=0.2397, e_all=0.1216."
"Blanco_1","Ellipticities (core, all): e_core=0.8185, e_all=0.8059."
"Bochum_11","Ellipticities (core, all): e_core=0.3539, e_all=0.1287."
"Bochum_13","Ellipticities (core, all): e_core=0.1414, e_all=0.0712."
"Bochum_3","Ellipticities (core, all): e_core=0.2216, e_all=0.0427."
"Bochum_4","Ellipticities (core, all): e_core=0.2003, e_all=0.3016."
"Bochum_6","Ellipticities (core, all): e_core=0.5129, e_all=0.1771."
"Collinder_106","Ellipticities (core, all): e_core=0.25, e_all=0.2594."
"Collinder_107","Ellipticities (core, all): e_core=0.3395, e_all=0.1791."
"Collinder_110","Ellipticities (core, all): e_core=0.0453, e_all=0.2278."
"Collinder_115","Ellipticities (core, all): e_core=0.0261, e_all=0.0187."
"Collinder_132","Ellipticities (core, all): e_core=0.6088, e_all=0.3363."
"Collinder_135","Ellipticities (core, all): e_core=0.3328, e_all=0.1989."
"Collinder_140","Ellipticities (core, all): e_core=0.1584, e_all=0.1746."
"Collinder_185","Ellipticities (core, all): e_core=0.3355, e_all=0.0266."
"Collinder_197","Ellipticities (core, all): e_core=0.1692, e_all=0.4008."
"Collinder_205","Ellipticities (core, all): e_core=0.1665, e_all=0.103."
"Collinder_220","Ellipticities (core, all): e_core=0.1863, e_all=0.1623."
"Collinder_258","Ellipticities (core, all): e_core=0.1641, e_all=0.1212."
"Collinder_261","Ellipticities (core, all): e_core=0.121, e_all=0.0698."
