"Cluster","Comment"
"FSR 0826","Belongs to cluster aggregate 'Agg33' along with Teutsch 10."
"Teutsch 10","Belongs to cluster aggregate 'Agg33' along with FSR 0826."
"FSR 1207","Belongs to cluster aggregate 'Agg34' along with NGC 2345."
"NGC 2345","Belongs to cluster aggregate 'Agg34' along with FSR 1207."
"FSR 1315","Belongs to cluster aggregate 'Agg35' along with NGC 2453."
"NGC 2453","Belongs to cluster aggregate 'Agg35' along with FSR 1315."
"Feibelman 1","Belongs to cluster aggregate 'Agg36' along with Gulliver 23."
"Gulliver 23","Belongs to cluster aggregate 'Agg36' along with Feibelman 1."
"Gulliver 12","Belongs to cluster aggregate 'Agg37' along with NGC 4103."
"NGC 4103","Belongs to cluster aggregate 'Agg37' along with Gulliver 12."
"Gulliver 15","Belongs to cluster aggregate 'Agg38' along with NGC 6561."
"NGC 6561","Belongs to cluster aggregate 'Agg38' along with Gulliver 15."
"Gulliver 16","Belongs to cluster aggregate 'Agg39' along with NGC 581."
"NGC 581","Belongs to cluster aggregate 'Agg39' along with Gulliver 16."
"Gulliver 3","Belongs to cluster aggregate 'Agg40' along with Gulliver 4."
"Gulliver 4","Belongs to cluster aggregate 'Agg40' along with Gulliver 3."
"Gulliver 52","Belongs to cluster aggregate 'Agg41' along with Trumpler 15."
"Trumpler 15","Belongs to cluster aggregate 'Agg41' along with Gulliver 52."
"Gulliver 56","Belongs to cluster aggregate 'Agg42' along with UBC 73."
"UBC 73","Belongs to cluster aggregate 'Agg42' along with Gulliver 56."
"Haffner 18","Belongs to cluster aggregate 'Agg43' along with Haffner 19."
"Haffner 19","Belongs to cluster aggregate 'Agg43' along with Haffner 18."
"Hogg 10","Belongs to cluster aggregate 'Agg44' along with NGC 3572."
"NGC 3572","Belongs to cluster aggregate 'Agg44' along with Hogg 10."
"Hogg 17","Belongs to cluster aggregate 'Agg45' along with NGC 5617, Pismis 19 and Trumpler 22."
"NGC 5617","Belongs to cluster aggregate 'Agg45' along with Hogg 17, Pismis 19 and Trumpler 22."
"Pismis 19","Belongs to cluster aggregate 'Agg45' along with Hogg 17, NGC 5617 and Trumpler 22."
"Trumpler 22","Belongs to cluster aggregate 'Agg45' along with Hogg 17, NGC 5617 and Pismis 19."
"Kharchenko 1","Belongs to cluster aggregate 'Agg46' along with Koposov 63."
"Koposov 63","Belongs to cluster aggregate 'Agg46' along with Kharchenko 1."
"King 14","Belongs to cluster aggregate 'Agg47' along with NGC 146."
"NGC 146","Belongs to cluster aggregate 'Agg47' along with King 14."
"NGC 2194","Belongs to cluster aggregate 'Agg48' along with Skiff J0614+12.9."
"Skiff J0614+12.9","cluster aggregate 'Belongs' to Agg48 along with NGC 2194."
"NGC 2318","Belongs to cluster aggregate 'Agg49' along with Ruprecht 8."
"Ruprecht 8","Belongs to cluster aggregate 'Agg49' along with NGC 2318."
"NGC 436","Belongs to cluster aggregate 'Agg50' along with NGC 457."
"NGC 457","Belongs to cluster aggregate 'Agg50' along with NGC 436."
"NGC 5269","Belongs to cluster aggregate 'Agg51' along with SAI 118."
"SAI 118","Belongs to cluster aggregate 'Agg51' along with NGC 5269."
"NGC 659","Belongs to cluster aggregate 'Agg52' along with NGC 663."
"NGC 663","Belongs to cluster aggregate 'Agg52' along with NGC 659."
"RSG 7","Belongs to cluster aggregate 'Agg53' along with RSG 8."
"RSG 8","Belongs to cluster aggregate 'Agg53' along with RSG 7."
"Ruprecht 100","Belongs to cluster aggregate 'Agg54' along with Ruprecht 101."
"Ruprecht 101","Belongs to cluster aggregate 'Agg54' along with Ruprecht 100."
"Ruprecht 43","Belongs to cluster aggregate 'Agg55' along with Ruprecht 44."
"Ruprecht 44","Belongs to cluster aggregate 'Agg55' along with Ruprecht 43."
"SAI 4","Belongs to cluster aggregate 'Agg56' along with Stock 20."
"Stock 20","Belongs to cluster aggregate 'Agg56' along with SAI 4."
"Teutsch 11","Belongs to cluster aggregate 'Agg57' along with Teutsch 12."
"Teutsch 12","Belongs to cluster aggregate 'Agg57' along with Teutsch 11."
"UBC 10a","Belongs to cluster aggregate 'Agg58' along with UPK 169."
"UPK 169","Belongs to cluster aggregate 'Agg58' along with UBC 10a."
"UPK 219","Belongs to cluster aggregate 'Agg59' along with UPK 220."
"UPK 220","Belongs to cluster aggregate 'Agg59' along with UPK 219."
"UPK 429","Belongs to cluster aggregate 'Agg60' along with UPK 431."
"UPK 431","Belongs to cluster aggregate 'Agg60' along with UPK 42.9"
