"Cluster","Comment"
"Dutra-Bica 59","Resolved cluster or dust window, related to ldn74? partly optical"
"Dutra-Bica 60","Resolved stellar group, related to ldn114? partly optical"
"DB2001_3","Mostly a resolved cluster in nebula ic 4955=bfs2c, in complex ic4954"
"DB2001_5","Cluster and/or ir nebula in radio hii region g75.8+0.4, rel. to oh maser on2, backgr. of cluster be87"
"DB2001_6","Partly resolved cluster in radio hii region dr9"
"DB2001_7","Resolved cluster in radio hii region dr6"
"DB2001_8","Partly resolved cluster in radio hii region dr13"
"DB2001_9","Partly resolved cluster related to iras 20306+3841, in radio complex w69"
"DB2001_10","Mostly a resolved cluster in radio hii region g79.306+0.282 in dr15, related to iras20306+4005"
"DB2001_11","Mostly a resolved cluster in radio hii region dr7, related to iras 20264+4042"
"DB2001_15","Resolved cluster in radio hii region dr17"
"DB2001_16","Mostly a resolved cluster, in radio complex w75, related to radio hii region g81.5+0.6?"
"DB2001_17","Resolved cluster in radio hii region dr23"
"DB2001_18","Resolved stellar group at the edge of radio hii region dr23, related to dr23?"
"DB2001_20","Mostly a resolved cluster in radio hii region w75n, pair with w75n ir cluster"
"DB2001_21","Resolved cluster in radio hii region g82.0+2.3, related to radio hii region dr16?"
"DB2001_22","Partly resolved cluster in radio hii region g82.6+0.4"
"DB2001_24","Partly resolved cluster in hii region sh2-233se, pair with sh2-233se ir cluster"
"DB2001_25","Resolved cluster or dust window, related to iras 05489+2723?, partly optical"
"DB2001_29","Resolved cluster in nebula bfs52, related to iras 06117+1901"
"DB2001_30","Partly resolved cluster in hii region sh2-254"
"DB2001_31","Mostly a resolved cluster in hii region sh2-256"
"DB2001_32","Partly resolved cluster in hii region sh2-258"
"DB2001_35","Mostly unresolved cluster in hii region ic 466=sh2-288"
"DB2001_36","Partly resolved cluster in reflection nebula vdbh-rn26, in rcw38?"
"DB2001_37","Partly resolved cluster in reflection nebula vdbh-rn43, in eta carinae complex?"
"DB2001_38","Mostly unresolved cluster in radio hii region g351.6+0.2"
"DB2001_39","Mostly unresolved cluster candidate in g352.866-0.199"
"DB2001_40","Mostly unresolved cluster in radio hii region g353.4-0.4"
"DB2001_41","Partly resolved cluster in radio hii region g354.664+0.470"
"DB2001_42","Resolved cluster in radio hii region g359.3-0.3, dust window?"
