"Cluster","Comment"
"AM 0430-392","Asterism (Alessi, B. S. 2005, private communication); cat V3.5 (Jan 2016)"
"AM 1353-265","Globular Cluster (= AM-4) (Alessi, B. S. 2005, private communication); cat V3.5 (Jan 2016)"
"Alessi 11","Asterism (Alessi, B. S. 2005, private communication); cat V3.5 (Jan 2016)"
"Alessi 14","Asterism (Kronberger, M. 2005, private communication); cat V3.5 (Jan 2016)"
"Alessi 17","Asterism (Kronberger, M. 2005, private communication); cat V3.5 (Jan 2016)"
"Alessi 4","Asterism (Alessi, B. S. et al. 2003, A&A 410, 565); cat V3.5 (Jan 2016)"
"Alessi 42A","Asterism (Alessi, B. S. 2005, private communication); cat V3.5 (Jan 2016)"
"Alessi 43","Part of OB association incl. Tr 10 (Alessi, B. S. 2005, private communication); cat V3.5 (Jan 2016)"
"Alessi 6","Asterism (Alessi, B. S. 2005, private communication); cat V3.5 (Jan 2016)"
"BH 79","Asterism (Bica, E.; Bonatto, C. 2011, A&A 530, 32); cat V3.5 (Jan 2016)"
"BH 155","Not found (Archinal, B. A. & Hynes, S. J. 2003); cat V3.5 (Jan 2016)"
"BH 150","No cluster (Carraro, G.; Janes, K. A.; Eastman, J. D. 2005, MNRAS 364, 179); cat V3.5 (Jan 2016)"
"BH 176","Globular cluster (Archinal, B. A. & Hynes, S. J. 2003); cat V3.5 (Jan 2016)"
"BH 261","(Carraro, G.; Janes, K. A.; Eastman, J. D. 2005, MNRAS 364, 179); cat V3.5 (Jan 2016)"
"Berkeley 42","Globular cluster (= NGC 6749) (Archinal, B. A. & Hynes, S. J. 2003); cat V3.5 (Jan 2016)"
"Briceno 1","Same as ASCC 16 (Mamajek, E. 2006, private communication); cat V3.5 (Jan 2016)"
"Brosch 1","Asterism (Archinal, B. A. & Hynes, S. J. 2003); cat V3.5 (Jan 2016)"
"Chereul 1","Moving group (Chereul, E. et al. 1999, A&AS 135, 5); cat V3.5 (Jan 2016)"
