"Cluster","Comment"
"Haffner_21","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.478, Av=0.686, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=2409.5 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"IC_1311","This object probably suffers from differential reddening. We suggest exploring this effect in future works."
"IC_1369","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.462, Av=2.050, [Fe/H]=0.090 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"IC_166","[Fe/H]=-0.08 selected from Schiappacasse-Ulloa et al. (2018AJ....156...94S, J/AJ/156/94). This object probably suffers from differential reddening, we suggest exploring this effect in future works."
"IC_2157","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.618, Av=1.507, [Fe/H]=0.00  were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"IC_2391","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.561, Av=0.093, [Fe/H]=0.000 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"IC_2488","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.200, Av=0.702, [Fe/H]=0.080 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star DR2 5306633687113120000=HD 302225 as a blue straggler, the star is a member according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) however, it is located in the turnoff of the cluster and therefore was not included in our catalogue."
"IC_2602","Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star Gaia DR2 5239828735008608896=HD 93030=Theta Carinae as a genuine blue straggler, which, however, does not appear in Gaia DR2."
"IC_2714","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.550, Av=0.991, [Fe/H]=0.020 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite stars DR2 5336823493269686016=TYC 8963-1435-1 and DR2 5336825829732014720=HD 308349 as blue straggler candidates. According to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) star TYC 8963-1435-1 is a member; however, it is located in the blue-hook, and we decide not considered it as a straggler. On the other hand, star HD 308349 it is not a proper motion member."
"IC_4665","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.581, Av=0.397, [Fe/H]=-0.030 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"IC_4725","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.984, Av=7.984, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite stars DR2 4092873695966184320=HD 170475, DR2 4092906509511384064=HD 170682, DR2 4092908360541000320= HD 170719, DR2 4092856790967940608=HD 170835, DR2 4092855416578333952= HD 170836  as possible blue stragglers. HD 170682 and HD 170719 are not members according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93). HD 170475, HD 170835, HD 170836 are members but located in the turnoff."
"King_11","The red limit of the straggler area is BP-RP=1.8. This object probably suffers from differential reddening. We suggest exploring this effect in future works. An important number of binaries around the turnoff is present. Apparently,  star Gaia DR2 2214223011673276288  is a massive straggler."
"King_2","The isochrone was move in 0.05 to the red and a distance modulus of m-M=13.8 was used to fit it."
"King_4","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.646, Av=2.411, [Fe/H]=0.000 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"Lynga_2","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.933, Av=0.691, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=859.5 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"Melotte_66","This object probably suffers from differential reddening. We suggest exploring this effect in future works."
