"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"Alessi 158","alessi158",23.0,4.7,278.14609,18.84552,47.88753,12.50175,0.1807,-2.8298,-7.4057,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"Alessi 16;MWSC 968","alessi16",21.0,4.5,100.82552,2.15035,210.09333,-0.85022,0.328,-0.258,1.5018,70.8336,1.0,2.09,0.5196,1.94,0.6351,"nan","nan",447.0,338.0,"nan","nan",16.0,"nan","nan","nan","nan","DB",0.0,0.23,"y"
"Alessi 161;UBC 3","alessi161",117.0,7.4,283.78664,12.31258,44.33986,4.77065,0.5706,-0.5723,-1.383,2.32055,10.0,1.71,0.0973,1.09,0.1431,0.59,"nan",226.0,136.0,0.0875,0.3147,569.0,"nan","nan","nan","nan","AA",0.0,0.75,"n"
"Alessi 162","alessi162",28.0,6.2,311.45522,-43.2756,357.71563,-38.51756,0.2198,0.2156,-5.2831,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.15,"y"
"Alessi 165;AT 17;Alessi-Teutsch 17;HD 67425 Group","alessi165",25.0,3.0,122.25978,12.84214,209.82662,22.92243,0.558,-3.2966,-3.9283,70.929,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CD",0.0,0.28,"n"
"Alessi 167","alessi167",28.0,7.5,237.40918,-3.4403,4.55271,37.24675,0.4408,-8.6714,-2.0756,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DD",0.0,0.1,"y"
"Alessi 168","alessi168",4.0,7.2,295.04052,12.27352,49.44858,-4.95369,0.2235,-2.7702,-6.3328,13.2497,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"Alessi 169","alessi169",24.0,5.5,331.45205,44.86635,94.60105,-8.71736,0.244,-4.1483,-4.2064,-63.90655,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"Alessi 17;MWSC 1271","alessi17",35.0,1.3,113.8527,-15.09678,231.35655,2.58556,0.231,-1.4916,1.5516,66.0264,1.0,3.72,0.537,1.26,0.2656,0.87,"nan",261.0,317.0,-0.138,0.2295,327.0,150.0,"nan","nan","nan","AB",0.0,0.74,"n"
"Alessi 170","alessi170",146.0,10.7,100.4544,-5.23356,216.52353,-4.49844,0.7012,-0.116,-3.1166,0.1375,19.0,1.38,0.0707,0.775,0.0495,0.62,"nan",625.0,117.0,-0.14,0.389,573.0,"nan","nan","nan","nan","AB",0.0,0.65,"n"
"Alessi 173","alessi173",16.0,6.8,102.32245,-0.65595,213.26978,-0.74778,0.2056,-0.391,0.4543,67.9267,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"Alessi 175","alessi175",18.0,4.3,108.95288,-0.70144,216.35068,5.08575,0.2395,-0.8218,0.4247,86.771,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.1,"y"
"Alessi 176","alessi176",39.0,7.4,111.32328,-0.75475,217.47778,7.17097,0.2547,-1.4351,-0.9151,68.01575,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.12,"y"
"Alessi 177","alessi177",16.0,8.1,111.93483,-1.47039,218.4437,7.38397,0.1526,-0.9722,0.0614,92.7802,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
