"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"CWNU 2762","cwnu2762",14.0,8.1,230.6853,-54.3084,323.90519,2.26887,0.2596,-5.4295,-3.6946,-80.40675,4.0,3.98,"nan",4.65,"nan","nan","nan",447.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.06,"y"
"CWNU 2763","cwnu2763",31.0,3.5,178.89182,-59.93866,295.98211,2.17702,0.2096,-6.7025,1.1032,"nan",0.0,4.17,"nan",1.55,"nan","nan","nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","BA",0.0,0.26,"n"
"CWNU 2764","cwnu2764",70.0,5.9,207.45116,-61.89258,309.7475,0.20822,0.2887,-6.0492,-1.8395,-16.78925,6.0,3.29,0.3057,5.45,1.0407,2.98,"nan",13.0,95.0,0.86,"nan",791.0,"nan","nan","nan","nan","AA",0.0,0.5,"n"
"CWNU 2765","cwnu2765",87.0,3.8,261.15589,-38.57196,349.53652,-1.54442,0.3643,-0.3153,-2.719,-33.83115,12.0,2.34,0.2676,4.21,0.8547,2.69,"nan",214.0,728.0,-0.04,"nan",1603.0,"nan","nan","nan","nan","AA",0.0,0.64,"n"
"CWNU 2766","cwnu2766",15.0,7.3,230.87998,-54.01593,324.16834,2.45227,0.3276,-4.6454,-3.5031,-84.9592,1.0,3.47,"nan",2.8,"nan","nan","nan",1259.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.09,"y"
"CWNU 2767","cwnu2767",21.0,2.2,223.7419,-60.21383,317.70544,-0.93903,0.3393,-3.3634,-2.93,-43.7677,2.0,2.69,0.378,5.39,0.7184,2.83,"nan",178.0,171.0,0.54,"nan",813.0,"nan","nan","nan","nan","CB",0.0,0.38,"n"
"CWNU 2768","cwnu2768",20.0,4.3,58.63181,56.74903,146.0754,2.37185,0.2458,0.1309,-0.6145,-40.0849,1.0,3.24,"nan",1.85,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.08,"y"
"CWNU 2769","cwnu2769",24.0,1.8,221.70694,-60.0976,316.84635,-0.37994,0.3461,-5.0046,-2.6992,57.7405,3.0,2.57,"nan",7.15,"nan","nan","nan",71.0,"nan","nan","nan","nan","nan","nan","nan","nan","AA",0.0,0.4,"n"
"CWNU 277","cwnu277",23.0,2.4,192.23216,-60.57247,302.62316,2.29823,0.4674,-4.1265,0.104,"nan",0.0,1.87,0.2419,1.43,0.2421,0.64,"nan",76.0,74.0,-1.019,1.4269,174.0,"nan","nan","nan","nan","AB",0.0,0.45,"n"
"CWNU 2770","cwnu2770",32.0,3.4,106.55968,-13.19512,226.35172,-2.75727,0.1038,-0.314,0.9506,"nan",0.0,8.81,6.3431,2.08,0.7222,2.22,"nan",23.0,66.0,0.19,"nan",821.0,"nan","nan","nan","nan","BB",0.0,0.28,"n"
"CWNU 2771","cwnu2771",19.0,6.2,256.26674,-35.2574,349.96086,3.55907,0.2986,-1.4895,-3.5027,-16.385,1.0,2.4,"nan",2.6,"nan","nan","nan",3162.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.07,"y"
"CWNU 2772","cwnu2772",19.0,4.8,200.45147,-62.2755,306.44538,0.38828,0.2647,-6.7973,-0.8214,-74.1734,1.0,3.24,"nan",3.55,"nan","nan","nan",178.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.08,"y"
"CWNU 2773","cwnu2773",13.0,6.8,202.42674,-61.95448,307.4253,0.59269,0.3072,-6.7688,-1.5152,-12.1518,3.0,3.47,"nan",2.35,"nan","nan","nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.06,"y"
"CWNU 2774","cwnu2774",15.0,10.6,301.93751,42.50765,78.51687,5.36951,0.3162,-2.8714,-6.0569,4.0569,1.0,3.8,"nan",2.5,"nan","nan","nan",1259.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 2775","cwnu2775",24.0,1.3,321.40464,48.99374,92.04994,-1.13366,0.3484,-4.4123,-4.1648,"nan",0.0,3.16,"nan",4.9,"nan","nan","nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.3,"n"
"CWNU 2776","cwnu2776",17.0,9.2,23.91378,60.03429,128.411,-2.35431,0.2485,-2.1319,-0.2406,-70.5143,1.0,4.37,"nan",2.25,"nan","nan","nan",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWNU 2777","cwnu2777",16.0,5.9,100.19462,-0.73186,212.36517,-2.70332,0.2361,-0.4508,0.6396,"nan",0.0,5.5,"nan",2.4,"nan","nan","nan",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWNU 2778","cwnu2778",22.0,2.0,252.65367,-41.81961,343.05446,1.69491,0.346,-2.331,-3.7438,-27.90585,4.0,2.34,0.1905,4.27,0.4067,2.71,"nan",324.0,497.0,-0.07,"nan",1902.0,"nan","nan","nan","nan","BB",0.0,0.4,"n"
"CWNU 2779","cwnu2779",20.0,7.0,116.50377,-18.11743,235.2396,3.32534,0.2769,-2.3357,2.9593,155.4403,1.0,4.37,"nan",1.05,"nan","nan","nan",1122.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWNU 278","cwnu278",26.0,2.5,198.22118,-64.2628,305.25784,-1.49123,0.447,-4.3482,-0.5339,-15.137,2.0,1.95,"nan",1.26,"nan","nan","nan",794.0,"nan",0.862,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWNU 2780","cwnu2780",16.0,10.0,212.11451,-61.7263,311.91887,-0.20055,0.3149,-7.4213,-2.9149,-45.288,3.0,2.69,"nan",2.6,"nan","nan","nan",1778.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWNU 2781","cwnu2781",22.0,2.1,112.09767,-22.67909,237.20702,-2.51729,0.3243,-1.5523,2.5594,48.91175,2.0,3.31,"nan",1.55,"nan","nan","nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","CA",0.0,0.32,"n"
"CWNU 2782","cwnu2782",14.0,8.5,308.77739,35.38698,75.66713,-3.01437,0.3527,-2.5792,-4.2083,4.1167,1.0,2.88,"nan",3.3,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2783","cwnu2783",22.0,4.0,39.44552,63.09399,134.63149,2.66389,0.1723,-0.5536,0.0544,"nan",0.0,5.25,"nan",3.2,"nan","nan","nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"CWNU 2784","cwnu2784",11.0,9.7,303.9927,30.54708,69.4012,-2.53718,0.252,-3.0072,-4.8015,-3.99875,2.0,2.95,"nan",4.65,"nan","nan","nan",251.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 2785","cwnu2785",24.0,1.3,244.86921,-46.58603,335.76642,2.59665,0.5383,-1.3731,-1.55,-61.3791,1.0,1.86,"nan",4.85,"nan","nan","nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","CA",0.64,0.12,"n"
"CWNU 2786","cwnu2786",18.0,2.4,242.12763,-52.65964,330.29643,-0.58926,0.3095,-4.2575,-4.4178,"nan",0.0,3.39,"nan",3.45,"nan","nan","nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.22,"y"
"CWNU 2787","cwnu2787",11.0,7.4,279.33582,-10.45677,22.04138,-1.6797,0.3784,-0.6343,-2.7245,8.9162,3.0,2.57,"nan",4.05,"nan","nan","nan",1122.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.06,"y"
"CWNU 2788","cwnu2788",20.0,8.2,261.34037,-38.95349,349.32042,-1.90328,0.3794,0.2262,-1.3686,4.8267,5.0,2.45,"nan",3.4,"nan","nan","nan",891.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.12,"y"
"CWNU 2789","cwnu2789",16.0,8.1,111.56865,-18.97272,233.70913,-1.15768,0.294,-1.0361,1.963,"nan",0.0,3.55,"nan",1.7,"nan","nan","nan",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 279","cwnu279",22.0,5.2,103.83149,-2.13403,215.29299,-0.11269,0.5367,-1.4158,1.0925,80.1898,1.0,1.71,0.1422,0.29,0.2207,0.78,"nan",111.0,80.0,0.049,0.9772,91.0,"nan","nan","nan","nan","CB",0.0,0.29,"n"
"CWNU 2790","cwnu2790",14.0,6.0,123.58119,-30.63466,249.27886,2.19379,0.2909,-1.9949,2.3174,70.7092,2.0,3.39,"nan",0.35,"nan","nan","nan",3162.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2791","cwnu2791",9.0,4.6,172.63916,-61.14732,293.34441,0.20211,0.1828,-5.6035,1.4827,"nan",0.0,7.24,"nan",4.35,"nan","nan","nan",224.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.06,"y"
"CWNU 2792","cwnu2792",34.0,3.7,225.07988,-58.37897,319.17006,0.37287,0.4081,-4.4741,-2.8064,-26.8289,3.0,2.24,0.162,4.29,0.2406,2.41,"nan",219.0,70.0,0.24,"nan",651.0,"nan","nan","nan","nan","BA",0.0,0.51,"n"
"CWNU 2793","cwnu2793",5.0,6.5,188.21622,-64.16967,300.90983,-1.36814,0.2032,-5.9953,0.1351,-27.813,3.0,3.63,"nan",2.35,"nan","nan","nan",2239.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
"CWNU 2794","cwnu2794",76.0,5.7,107.55112,-10.41133,224.31966,-0.63087,0.2936,-0.8078,1.473,77.1687,6.0,3.55,1.5138,2.92,0.2747,2.56,"nan",355.0,225.0,0.53,"nan",375.0,"nan","nan","nan","nan","CB",0.0,0.4,"n"
"CWNU 2795","cwnu2795",109.0,4.1,240.19236,-53.12608,329.11556,-0.15725,0.3367,-2.497,-3.8643,-32.6108,11.0,2.75,0.5074,4.8,0.477,3.07,"nan",435.0,277.0,0.55,"nan",2399.0,"nan","nan","nan","nan","AA",0.0,0.65,"n"
"CWNU 2796","cwnu2796",13.0,8.4,94.92569,5.03043,204.7982,-4.75141,0.2472,0.2347,0.0605,78.0422,1.0,3.98,"nan",0.95,"nan","nan","nan",2239.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWNU 2797","cwnu2797",68.0,4.2,216.3198,-60.93476,314.08232,-0.11183,0.3094,-5.2862,-2.9376,-69.0918,9.0,2.82,0.4236,5.49,1.1701,1.22,"nan",49.0,133.0,0.64,"nan",1658.0,"nan","nan","nan","nan","AB",0.0,0.54,"n"
"CWNU 2798","cwnu2798",131.0,6.8,274.01407,-16.47088,14.29522,0.11838,0.3249,-0.7665,-2.5455,30.1494,13.0,3.89,"nan",6.1,"nan","nan","nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.01,0.44,"n"
"CWNU 2799","cwnu2799",16.0,7.1,102.44913,-11.01667,222.57373,-5.34483,0.2767,-0.2793,1.1124,53.3807,2.0,2.75,"nan",1.75,"nan","nan","nan",1122.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 28","cwnu28",31.0,1.9,280.38953,-6.00611,26.46092,-0.54388,0.3622,-1.5126,-4.0817,-10.1298,11.0,2.19,"nan",1.8,"nan","nan","nan",1000.0,"nan",0.968,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"CWNU 280","cwnu280",30.0,3.0,110.92376,-11.19197,226.57484,1.94752,0.3222,-1.3068,1.453,"nan",0.0,2.75,"nan",1.8,"nan","nan","nan",25.0,"nan",-1.335,"nan","nan","nan","nan","nan","nan","AB",0.8,0.07,"n"
"CWNU 2800","cwnu2800",20.0,6.6,113.93448,-16.03889,232.20823,2.18501,0.1963,-1.3153,1.4828,"nan",0.0,4.17,"nan",1.3,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.11,"y"
"CWNU 2801","cwnu2801",53.0,2.6,212.89309,-61.70708,312.27926,-0.29914,0.3112,-5.5336,-2.1648,-68.2924,8.0,2.73,0.168,4.28,0.7774,2.88,"nan",490.0,1549.0,-0.22,"nan",468.0,"nan","nan","nan","nan","AB",0.0,0.55,"n"
"CWNU 2802","cwnu2802",15.0,6.0,294.97586,23.7961,59.47696,0.74061,0.4329,-1.2685,-3.1873,-8.41845,2.0,2.19,"nan",1.45,"nan","nan","nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.06,"y"
"CWNU 2803","cwnu2803",18.0,5.3,235.58408,-55.44641,325.59316,-0.26066,0.3332,-4.5236,-4.3213,-68.1625,5.0,2.19,"nan",5.1,"nan","nan","nan",562.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.06,"y"
"CWNU 2804","cwnu2804",19.0,6.6,218.52287,-61.10137,315.01708,-0.67668,0.3071,-6.1494,-3.3439,-51.3711,3.0,3.98,"nan",3.4,"nan","nan","nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.09,"y"
"CWNU 2805","cwnu2805",17.0,7.7,254.76544,-41.85434,344.01535,0.44636,0.3846,-1.3318,-2.4332,-4.27605,2.0,3.02,"nan",3.5,"nan","nan","nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.05,"y"
"CWNU 2806","cwnu2806",17.0,5.8,311.91838,41.94555,82.37306,-0.98001,0.2801,-3.3214,-4.4257,-36.0376,2.0,3.09,"nan",5.85,"nan","nan","nan",158.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.07,"y"
"CWNU 2807","cwnu2807",30.0,1.8,279.24375,-10.52276,21.93126,-1.61219,0.281,-0.2009,-1.9973,40.8824,3.0,2.75,"nan",3.75,"nan","nan","nan",1122.0,"nan","nan","nan","nan","nan","nan","nan","nan","CA",0.0,0.38,"n"
"CWNU 2808","cwnu2808",18.0,2.3,303.59687,33.56363,71.73434,-0.59707,0.2109,-2.5025,-5.3692,-13.8989,3.0,4.07,"nan",2.7,"nan","nan","nan",1259.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.12,"y"
"CWNU 2809","cwnu2809",10.0,10.5,101.48633,-4.81684,216.62996,-3.40869,0.2474,-0.3675,0.7286,"nan",0.0,3.47,"nan",1.4,"nan","nan","nan",1413.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
"CWNU 281","cwnu281",34.0,4.6,106.02222,-16.32478,228.90924,-4.65636,0.7214,-2.7753,1.3772,42.0701,4.0,1.255,0.0778,1.21,0.1838,0.59,"nan",9.0,1.0,-2.028,"nan",72.0,"nan","nan","nan","nan","AC",0.0,0.39,"n"
"CWNU 2810","cwnu2810",61.0,3.7,284.67535,0.69946,34.38243,-1.30747,0.6066,0.3911,-4.5919,5.2757,7.0,1.53,0.5462,5.0,0.852,3.09,"nan",282.0,946.0,0.27,"nan",764.0,"nan","nan","nan","nan","AB",0.0,0.56,"n"
"CWNU 2811","cwnu2811",11.0,5.9,194.42448,-63.6593,303.62508,-0.79829,0.2139,-6.1364,-0.3116,-29.357,3.0,6.46,"nan",2.95,"nan","nan","nan",891.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWNU 2812","cwnu2812",35.0,2.2,228.48501,-55.52853,322.18835,1.92268,0.2769,-4.938,-3.732,-73.4844,1.0,2.89,0.9721,5.37,0.6086,1.76,"nan",627.0,1101.0,0.15,"nan",1728.0,"nan","nan","nan","nan","AB",0.0,0.52,"n"
"CWNU 2813","cwnu2813",37.0,9.2,263.92788,-33.17292,355.2951,-0.42494,0.3468,-0.6692,-1.98,-32.3686,5.0,2.29,"nan",4.15,"nan","nan","nan",447.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.15,"y"
"CWNU 2814","cwnu2814",34.0,6.7,123.0922,-44.20018,260.42718,-5.57493,0.233,-2.5236,4.2439,85.99615,2.0,4.27,"nan",2.45,"nan","nan","nan",1000.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.14,"y"
"CWNU 2815","cwnu2815",21.0,3.4,316.46453,51.34508,91.55295,2.76428,0.5676,-2.9675,-3.929,-5.3042,2.0,1.72,0.1474,4.38,0.7279,2.62,"nan",5.0,1.0,0.3,"nan",286.0,"nan","nan","nan","nan","DB",0.0,0.35,"n"
"CWNU 2816","cwnu2816",17.0,5.0,244.07343,-51.47513,331.9834,-0.53935,0.3678,-2.9296,-3.8856,-36.3263,4.0,2.57,"nan",2.85,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.09,"y"
"CWNU 2817","cwnu2817",20.0,12.2,137.29023,-46.79891,268.54264,0.74585,0.6368,-5.7879,4.2455,-11.7442,3.0,1.51,"nan",2.85,"nan","nan","nan",355.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.08,"y"
"CWNU 2818","cwnu2818",13.0,9.2,96.73404,3.89049,206.63962,-3.65887,0.2691,0.2848,0.0062,35.9628,3.0,3.8,"nan",1.8,"nan","nan","nan",1413.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 2819","cwnu2819",31.0,1.3,118.34932,-32.55169,248.52992,-2.57878,0.277,-1.9211,2.3223,"nan",0.0,3.16,"nan",2.95,"nan","nan","nan",891.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.81,0.07,"n"
"CWNU 282","cwnu282",45.0,9.0,245.37354,-54.02361,330.79494,-2.89412,0.7694,-2.8524,-2.9522,-35.9409,9.0,1.25,0.129,0.77,0.3573,0.97,"nan",136.0,210.0,-0.5875,1.0571,155.0,"nan","nan","nan","nan","AB",0.0,0.5,"n"
"CWNU 2820","cwnu2820",13.0,8.0,277.7441,-9.11021,22.50493,0.33639,0.4628,-0.2145,-2.7892,34.2909,2.0,2.29,"nan",4.3,"nan","nan","nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.05,"y"
"CWNU 2821","cwnu2821",19.0,8.4,198.66484,-61.89204,305.65405,0.85246,0.3026,-6.7296,-1.1603,-56.6981,1.0,3.89,"nan",3.2,"nan","nan","nan",708.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.06,"y"
"CWNU 2822","cwnu2822",20.0,4.6,133.5596,-48.20702,267.93721,-2.12816,0.3442,-4.0609,3.8798,21.555,1.0,3.16,"nan",2.1,"nan","nan","nan",2818.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.15,"y"
"CWNU 2823","cwnu2823",34.0,1.6,204.86509,-63.08113,308.33661,-0.71409,0.3458,-5.8929,-1.7955,-0.7684,1.0,2.45,"nan",3.55,"nan","nan","nan",631.0,"nan","nan","nan","nan","nan","nan","nan","nan","CA",0.0,0.39,"n"
"CWNU 2824","cwnu2824",7.0,6.5,251.13873,-45.0985,339.81069,0.4299,0.3239,-1.7863,-3.0425,-10.40225,4.0,2.69,"nan",4.85,"nan","nan","nan",22.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.11,"y"
"CWNU 2825","cwnu2825",48.0,2.9,272.08564,-21.03836,9.40805,-0.48189,0.3323,0.5092,-1.161,18.6225,7.0,2.61,0.1457,5.08,0.1102,2.92,"nan",240.0,165.0,-0.01,"nan",1614.0,"nan","nan","nan","nan","AB",0.0,0.55,"n"
"CWNU 2826","cwnu2826",38.0,1.4,207.87805,-63.52086,309.56789,-1.42423,0.1758,-6.9127,-1.7614,-69.52195,2.0,3.98,"nan",3.75,"nan","nan","nan",891.0,"nan","nan","nan","nan","nan","nan","nan","nan","BA",0.0,0.43,"n"
"CWNU 2827","cwnu2827",21.0,5.7,126.95379,-46.55818,263.90385,-4.65604,0.2543,-3.0445,3.6459,47.1432,3.0,3.63,"nan",1.6,"nan","nan","nan",1778.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"CWNU 2828","cwnu2828",13.0,7.8,1.17062,68.16689,118.58313,5.71624,0.233,-2.0578,-0.35,-78.0961,1.0,3.47,"nan",3.3,"nan","nan","nan",1122.0,"nan","nan","nan","nan","nan","nan","nan","nan","AC",0.0,0.13,"y"
"CWNU 2829","cwnu2829",19.0,6.8,271.51741,-17.92617,11.86722,1.52739,0.6611,-0.2738,-1.3245,"nan",0.0,1.35,"nan",1.35,"nan","nan","nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.13,"y"
"CWNU 283","cwnu283",26.0,17.9,113.82746,-42.88291,255.866,-10.7321,0.8686,-4.3194,4.3712,36.1481,1.0,1.08,0.0458,1.32,0.3253,1.16,"nan",52.0,18.0,-0.51,0.594,71.0,"nan","nan","nan","nan","AC",0.0,0.31,"n"
"CWNU 2830","cwnu2830",37.0,7.0,313.49041,44.89746,85.36866,0.05121,0.3767,-2.8001,-3.5393,-21.1702,1.0,2.45,"nan",2.85,"nan","nan","nan",562.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.95,0.01,"n"
"CWNU 2831","cwnu2831",17.0,9.0,203.16123,-51.30763,309.46915,11.02918,0.3055,-5.8152,-2.163,-34.3807,3.0,3.09,"nan",1.15,"nan","nan","nan",1995.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWNU 2832","cwnu2832",19.0,8.2,222.75816,-58.29447,318.13044,1.01829,0.3716,-5.5685,-3.3147,-56.9516,3.0,2.95,"nan",5.1,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWNU 2833","cwnu2833",17.0,11.8,105.72128,-9.49412,222.65445,-1.79406,0.3737,-0.6914,-0.5391,57.0972,1.0,2.63,"nan",2.35,"nan","nan","nan",891.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 2834","cwnu2834",21.0,9.9,89.10055,17.99105,190.69395,-3.48534,0.3551,0.5424,-1.5234,-29.659,3.0,2.4,"nan",1.75,"nan","nan","nan",1413.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2835","cwnu2835",21.0,4.4,278.35848,-10.32478,21.70697,-0.75342,0.4343,0.2437,-0.7024,26.0465,3.0,2.0,"nan",4.55,"nan","nan","nan",1413.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.24,0.11,"y"
"CWNU 2836","cwnu2836",17.0,5.5,213.48512,-63.68864,311.90113,-2.25445,0.3212,-5.8338,-2.6058,-41.0027,3.0,3.55,"nan",3.25,"nan","nan","nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.13,"y"
"CWNU 2837","cwnu2837",19.0,5.5,207.39115,-60.80648,309.9738,1.26015,0.3258,-6.6508,-1.7928,-20.17235,2.0,2.82,"nan",2.8,"nan","nan","nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.13,"y"
"CWNU 2838","cwnu2838",18.0,7.3,50.07152,59.97024,140.53885,2.29596,0.2896,-0.3879,-0.1791,-31.1915,1.0,2.57,"nan",3.7,"nan","nan","nan",282.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.08,0.04,"y"
"CWNU 2839","cwnu2839",11.0,9.7,110.84007,-14.02195,229.00861,0.56759,0.3095,-1.1962,1.2996,"nan",0.0,4.37,"nan",2.0,"nan","nan","nan",251.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 284","cwnu284",24.0,5.3,211.80354,-61.70758,311.79157,-0.14171,0.5519,-4.849,-2.0367,-28.3444,1.0,1.78,0.1153,1.3,0.2501,0.8,"nan",57.0,44.0,0.53,0.2263,445.0,"nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWNU 2840","cwnu2840",16.0,8.6,106.60767,-9.42029,222.98926,-0.97265,0.2869,-1.2419,1.5762,82.0314,3.0,2.4,"nan",1.3,"nan","nan","nan",708.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 2841","cwnu2841",23.0,5.7,245.31719,-49.44067,333.97067,0.35824,0.449,-2.594,-3.4905,-44.6415,1.0,2.0,"nan",2.7,"nan","nan","nan",562.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.12,"y"
"CWNU 2842","cwnu2842",24.0,2.8,63.67972,50.36695,152.5736,-0.43305,0.3103,0.7564,-1.0273,"nan",0.0,3.39,0.2787,3.2,0.2301,1.44,"nan",208.0,368.0,0.1,"nan",230.0,"nan","nan","nan","nan","DB",0.0,0.29,"n"
"CWNU 2843","cwnu2843",22.0,7.7,70.31846,43.10383,160.96078,-2.16022,0.3268,0.055,-1.1755,"nan",0.0,2.69,"nan",2.2,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","AC",0.0,0.14,"y"
"CWNU 2844","cwnu2844",25.0,6.1,308.67213,41.45544,80.50097,0.63461,0.7336,0.3894,-3.1397,-63.6957,3.0,1.38,"nan",2.45,"nan","nan","nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.3,"n"
"CWNU 2845","cwnu2845",13.0,9.9,113.69402,-32.92805,246.90739,-6.14614,0.2696,-1.1856,2.22,"nan",0.0,3.16,"nan",1.05,"nan","nan","nan",891.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWNU 2846","cwnu2846",17.0,4.5,185.56706,-64.94332,299.84241,-2.24635,0.2328,-6.4865,0.3001,-13.94475,2.0,4.37,"nan",1.9,"nan","nan","nan",891.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.1,"y"
"CWNU 2847","cwnu2847",33.0,5.0,280.39954,-4.20928,28.06622,0.26701,0.4441,-0.8251,-0.6168,-26.891,10.0,2.04,0.2329,4.09,0.2654,1.79,"nan",288.0,193.0,0.12,"nan",464.0,"nan","nan","nan","nan","AB",0.0,0.44,"n"
"CWNU 2848","cwnu2848",19.0,2.5,274.07609,-19.3875,11.75872,-1.33062,0.5048,0.4551,-1.8819,"nan",0.0,1.86,0.2254,1.6,0.0751,1.91,"nan",104.0,238.0,0.23,"nan",130.0,"nan","nan","nan","nan","DB",0.0,0.35,"n"
"CWNU 2849","cwnu2849",10.0,12.2,76.63157,47.16196,160.66118,3.83875,0.3103,0.6359,-1.1483,-34.84235,2.0,3.02,"nan",1.55,"nan","nan","nan",1122.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 285","cwnu285",29.0,4.6,255.626,-42.87991,343.5794,-0.67867,0.9331,0.4862,-2.481,5.80325,6.0,0.81,"nan",2.66,0.198,"nan","nan",266.0,332.0,-1.335,"nan","nan","nan","nan","nan","nan","BB",0.0,0.36,"n"
"CWNU 2850","cwnu2850",17.0,6.9,276.32921,-3.65508,26.65294,4.12491,0.5994,0.5235,-4.3861,21.6223,1.0,1.78,"nan",5.35,"nan","nan","nan",1122.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.14,"y"
