"fname","plot_used","process","N_clust","N_clust_max","N_box","frame_limit","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","e_Plx_m","pmRA_m","e_pmRA_m","pmDE_m","e_pmDE_m","Rv_m","e_Rv_m","N_Rv","X_GC","Y_GC","Z_GC","R_GC","shared_members","shared_members_p","C_N","C_dens","C_C3","C_lit","C_dup","C_dup_same_db","UTI","bad_oc"
"alessi14","y","n","nan","nan","nan","nan",6.4,0.2,0.33,"CC",76.0,201.8897,-0.19638,97.59994,9.72255,0.2268,0.09515,-0.4836,0.106,-1.1072,0.09135,67.3405,2.2559,7.0,-11.8824,-1.511,0.0166,11.9781,"nan","nan",0.63,0.23,0.25,0.25,1.0,1.0,0.32,"y"
"alessi144","y","n","nan","nan","nan","nan",15.3,0.77,0.62,"BB",24.0,212.29184,11.27136,112.61461,5.64218,1.1795,0.0408,-2.6671,0.0403,-1.5626,0.0319,10.814,7.9719,12.0,-8.8126,-0.4371,0.185,8.8254,"nan","nan",0.0,0.34,0.5,0.31,1.0,1.0,0.29,"n"
"alessi145","y","n",100.0,"nan","nan","nan",54.3,0.92,0.61,"AB",96.0,218.20309,17.6103,120.85018,3.46538,1.6001,0.04835,-7.8536,0.04995,-1.2454,0.03295,25.0426,3.3904,39.0,-8.5842,-0.3635,0.2084,8.5944,"nan","nan",0.73,0.2,0.75,0.38,1.0,1.0,0.49,"n"
"alessi146","y","n","nan","nan","nan","nan",6.7,0.19,0.24,"DC",15.0,284.11394,-3.05387,152.81995,-59.91239,0.1941,0.065,-5.0467,0.0786,2.4467,0.0709,2.7193,1.399,1.0,-6.9872,-4.5238,-0.2294,8.327,"nan","nan",0.0,0.03,0.12,0.0,1.0,1.0,0.03,"y"
"alessi147","y","n","nan","nan","nan","nan",4.7,0.86,0.41,"CC",16.0,202.83664,7.3694,104.89246,12.29795,0.1784,0.0719,-0.0632,0.0824,-0.6229,0.0745,"nan","nan",0.0,-12.7272,-1.9405,0.6776,12.8921,"nan","nan",0.0,0.05,0.25,0.0,1.0,1.0,0.06,"y"
"alessi15","y","n","nan","nan","nan","nan",0.3,0.77,0.44,"DB",25.0,210.49094,-1.10083,100.76414,1.67038,0.153,0.1171,-0.1693,0.114,0.53,0.087,"nan","nan",0.0,-13.1024,-2.9323,-0.0776,13.4267,"nan","nan",0.25,1.0,0.25,0.56,1.0,1.0,0.52,"n"
"alessi158","y","n","nan","nan","nan","nan",4.7,0.6,0.44,"CC",23.0,47.88753,12.50175,278.14609,18.84552,0.1807,0.1266,-2.8298,0.0936,-7.4057,0.1154,"nan","nan",0.0,-4.8575,3.6088,1.0912,6.1489,"nan","nan",0.0,0.08,0.25,0.0,1.0,1.0,0.07,"y"
"alessi16","y","n","nan","nan","nan","nan",4.5,0.31,0.36,"DB",21.0,210.09333,-0.85022,100.82552,2.15035,0.328,0.0663,-0.258,0.0701,1.5018,0.0595,70.8336,0.4956,1.0,-10.6081,-1.4406,-0.0144,10.7055,"hsc1659","80.0",0.0,0.26,0.25,0.38,1.0,1.0,0.25,"y"
"alessi161","y","n","nan","nan","nan","nan",7.4,1.0,0.86,"AA",117.0,44.33986,4.77065,283.78664,12.31258,0.5706,0.0316,-0.5723,0.0317,-1.383,0.0328,2.32055,6.04405,10.0,-6.9147,1.1792,0.1585,7.0163,"cwwdl12632","70.9",0.76,1.0,1.0,0.44,1.0,1.0,0.73,"n"
"alessi162","y","n","nan","nan","nan","nan",6.2,0.24,0.34,"BC",28.0,357.71563,-38.51756,311.45522,-43.2756,0.2198,0.19055,0.2156,0.1763,-5.2831,0.1479,"nan","nan",0.0,-4.8683,-0.13,-2.5844,5.5133,"nan","nan",0.28,0.08,0.38,0.0,1.0,1.0,0.15,"y"
"alessi165","y","n","nan","nan","nan","nan",3.0,0.29,0.42,"CD",25.0,209.82662,22.92243,122.25978,12.84214,0.558,0.1121,-3.2966,0.121,-3.9283,0.0839,70.929,10.0203,1.0,-9.5028,-0.7922,0.6983,9.5613,"nan","nan",0.25,1.0,0.12,0.0,1.0,1.0,0.28,"n"
"alessi167","y","n","nan","nan","nan","nan",7.5,0.06,0.28,"DD",28.0,4.55271,37.24675,237.40918,-3.4403,0.4408,0.24085,-8.6714,0.24235,-2.0756,0.1812,"nan","nan",0.0,-6.3973,0.1381,1.3311,6.5357,"nan","nan",0.28,0.23,0.0,0.0,1.0,1.0,0.1,"y"
"alessi168","y","n","nan","nan","nan","nan",7.2,0.51,0.29,"DC",4.0,49.44858,-4.95369,295.04052,12.27352,0.2235,0.119,-2.7702,0.1179,-6.3328,0.1023,13.2497,2.2357,1.0,-5.4629,3.1087,-0.3415,6.2947,"nan","nan",0.0,0.01,0.12,0.0,1.0,1.0,0.03,"y"
"alessi169","y","n","nan","nan","nan","nan",5.5,0.59,0.44,"CC",24.0,94.60105,-8.71736,331.45205,44.86635,0.244,0.0823,-4.1483,0.0805,-4.2064,0.0736,-63.90655,2.73195,2.0,-8.4251,3.732,-0.552,9.2312,"nan","nan",0.0,0.11,0.25,0.0,1.0,1.0,0.07,"y"
"alessi17","y","n","nan","nan","nan","nan",1.3,0.97,0.77,"AB",35.0,231.35655,2.58556,113.8527,-15.09678,0.231,0.0577,-1.4916,0.0476,1.5516,0.05,66.0264,1.1968,1.0,-10.6069,-3.1086,0.2068,11.0549,"nan","nan",0.35,1.0,0.75,0.79,1.0,1.0,0.74,"n"
"alessi170","y","n",150.0,"nan","nan","nan",10.7,1.0,0.65,"AB",146.0,216.52353,-4.49844,100.4544,-5.23356,0.7012,0.03965,-0.116,0.04145,-3.1166,0.03855,0.1375,9.0353,19.0,-9.2333,-0.8223,-0.0856,9.2703,"ubc215","54.1",0.77,1.0,0.75,0.38,1.0,1.0,0.65,"n"
"alessi173","y","n","nan","nan","nan","nan",6.8,0.09,0.38,"DC",16.0,213.26978,-0.74778,102.32245,-0.65595,0.2056,0.0955,-0.391,0.1,0.4543,0.0869,67.9267,12.3345,1.0,-11.8278,-2.4315,-0.0298,12.0752,"nan","nan",0.0,0.03,0.12,0.0,1.0,1.0,0.03,"y"
"alessi175","y","n","nan","nan","nan","nan",4.3,0.82,0.45,"BC",18.0,216.35068,5.08575,108.95288,-0.70144,0.2395,0.0531,-0.8218,0.0547,0.4247,0.0446,86.771,3.3396,2.0,-11.2127,-2.2747,0.3712,11.4472,"nan","nan",0.0,0.13,0.38,0.0,1.0,1.0,0.1,"y"
"alessi176","y","n","nan","nan","nan","nan",7.4,0.74,0.44,"DC",39.0,217.47778,7.17097,111.32328,-0.75475,0.2547,0.0671,-1.4351,0.0659,-0.9151,0.0579,68.01575,2.19065,2.0,-10.9866,-2.1982,0.4831,11.2148,"nan","nan",0.39,0.11,0.12,0.0,1.0,1.0,0.12,"y"
"alessi177","y","n","nan","nan","nan","nan",8.1,0.39,0.47,"CC",16.0,218.4437,7.38397,111.93483,-1.47039,0.1526,0.0832,-0.9722,0.0853,0.0614,0.0825,92.7802,2.7414,2.0,-12.622,-3.57,0.7776,13.1402,"cwwdl13195","4.0",0.0,0.01,0.25,0.0,1.0,1.0,0.05,"y"
"alessi179","y","n","nan","nan","nan","nan",8.1,0.23,0.4,"DC",19.0,237.87618,6.25865,120.5845,-18.86001,0.262,0.0709,-1.6448,0.067,0.8255,0.0576,109.88395,2.16495,2.0,-9.9959,-2.985,0.4121,10.4402,"nan","nan",0.0,0.05,0.12,0.0,1.0,1.0,0.03,"y"
"alessi18","y","n","nan","nan","nan","nan",0.8,0.51,0.63,"DC",22.0,241.42258,-2.55692,114.2958,-26.38982,0.0995,0.0627,-1.267,0.051,1.8829,0.0704,124.5491,1.2254,1.0,-12.1216,-7.3415,-0.3422,14.1756,"nan","nan",0.0,0.8,0.12,0.75,1.0,1.0,0.49,"n"
