"process","fname","N_clust","N_clust_max","Nbox","frame_limit"
"no",cwnu3322,"nan",54,"nan","nan"
"no",cwnu3323,"nan",62,"nan","nan"
"no",cwnu3324,"nan",73,"nan","nan"
"no",cwnu3325,"nan",113,"nan","nan"
"no",cwnu3326,"nan",71,"nan","nan"
"no",cwnu3327,"nan",119,"nan","nan"
"no",cwnu3328,"nan",109,"nan","nan"
"no",cwnu3329,"nan",26,"nan","nan"
"no",cwnu333,"nan",48,"nan","nan"
"no",cwnu3330,"nan",312,"nan","nan"
"no",cwnu3331,"nan",162,"nan","nan"
"no",cwnu3333,"nan",132,"nan","nan"
"no",cwnu3334,"nan",63,"nan","nan"
"no",cwnu3335,"nan",53,"nan","nan"
"no",cwnu3336,"nan",141,"nan","nan"
"no",cwnu3337,"nan",301,"nan","nan"
"no",cwnu3338,"nan",56,"nan","nan"
"no",cwnu3339,"nan",155,"nan","nan"
"no",cwnu334,"nan",65,"nan","nan"
"no",cwnu3340,"nan",56,"nan","nan"
"no",cwnu3341,"nan",205,"nan","nan"
"no",cwnu3342,"nan",114,"nan","nan"
"no",cwnu3343,"nan",57,"nan","nan"
"no",cwnu3344,"nan",184,"nan","nan"
"no",cwnu3345,"nan",96,"nan","nan"
"no",cwnu3346,"nan",85,"nan","nan"
"no",cwnu3347,"nan",72,"nan","nan"
"no",cwnu3348,"nan",34,"nan","nan"
"no",cwnu3349,"nan",116,"nan","nan"
"no",cwnu335,"nan",92,"nan","nan"
"no",cwnu3350,"nan",148,"nan","nan"
"no",cwnu3351,"nan",169,"nan","nan"
"no",cwnu3352,"nan",268,"nan","nan"
"no",cwnu3353,"nan",147,"nan","nan"
"no",cwnu3354,"nan",51,"nan","nan"
"no",cwnu3355,"nan",133,"nan","nan"
"no",cwnu3356,"nan",91,"nan","nan"
"no",cwnu3357,"nan",91,"nan","nan"
"no",cwnu3358,"nan",89,"nan","nan"
"no",cwnu3359,"nan",215,"nan","nan"
"no",cwnu336,"nan",60,"nan","nan"
"no",cwnu3360,"nan",58,"nan","nan"
"no",cwnu3362,"nan",61,"nan","nan"
"no",cwnu3363,"nan",93,"nan","nan"
"no",cwnu3364,"nan",92,"nan","nan"
"no",cwnu3365,"nan",203,"nan","nan"
"no",cwnu3366,"nan",73,"nan","nan"
"no",cwnu3367,"nan",84,"nan","nan"
"no",cwnu3368,"nan",83,"nan","nan"
"no",cwnu3369,"nan",101,"nan","nan"
"no",cwnu337,"nan",89,"nan","nan"
"no",cwnu3370,"nan",64,"nan","nan"
"no",cwnu3371,"nan",36,"nan","nan"
"no",cwnu3372,"nan",81,"nan","nan"
"no",cwnu3373,"nan",158,"nan","nan"
"no",cwnu3374,"nan",32,"nan","nan"
"no",cwnu3375,"nan",80,"nan","nan"
"no",cwnu3376,"nan",79,"nan","nan"
"no",cwnu3377,"nan",135,"nan","nan"
"no",cwnu3378,"nan",109,"nan","nan"
"no",cwnu3379,"nan",355,"nan","nan"
"no",cwnu338,"nan",70,"nan","nan"
"no",cwnu3380,"nan",98,"nan","nan"
"no",cwnu3381,"nan",101,"nan","nan"
"no",cwnu3382,"nan",61,"nan","nan"
"no",cwnu3384,"nan",71,"nan","nan"
"no",cwnu3385,"nan",142,"nan","nan"
"no",cwnu3386,"nan",113,"nan","nan"
"no",cwnu3387,"nan",230,"nan","nan"
"no",cwnu3388,"nan",118,"nan","nan"
"no",cwnu3389,"nan",33,"nan","nan"
"no",cwnu339,"nan",52,"nan","nan"
"no",cwnu3390,"nan",96,"nan","nan"
"no",cwnu3391,"nan",53,"nan","nan"
"no",cwnu3392,"nan",64,"nan","nan"
"no",cwnu3393,"nan",54,"nan","nan"
"no",cwnu3394,"nan",70,"nan","nan"
"no",cwnu3395,"nan",70,"nan","nan"
"no",cwnu3396,"nan",58,"nan","nan"
"no",cwnu3397,"nan",72,"nan","nan"
"no",cwnu3398,"nan",87,"nan","nan"
"no",cwnu3399,"nan",68,"nan","nan"
"no",cwnu34,"nan",49,"nan","nan"
"no",cwnu340,"nan",49,"nan","nan"
"no",cwnu3400,"nan",97,"nan","nan"
"no",cwnu3401,"nan",35,"nan","nan"
"no",cwnu3402,"nan",65,"nan","nan"
"no",cwnu3403,"nan",109,"nan","nan"
"no",cwnu3404,"nan",79,"nan","nan"
"no",cwnu3405,"nan",209,"nan","nan"
"no",cwnu3406,"nan",178,"nan","nan"
"no",cwnu3407,"nan",130,"nan","nan"
"no",cwnu3408,"nan",57,"nan","nan"
"no",cwnu3409,"nan",92,"nan","nan"
"no",cwnu341,"nan",88,"nan","nan"
"no",cwnu3410,"nan",35,"nan","nan"
"no",cwnu3411,"nan",63,"nan","nan"
"no",cwnu3412,"nan",149,"nan","nan"
"no",cwnu3413,"nan",79,"nan","nan"
"no",cwnu3414,"nan",37,"nan","nan"
"no",cwnu3415,"nan",121,"nan","nan"
"no",cwnu3416,"nan",96,"nan","nan"
"no",cwnu3417,"nan",133,"nan","nan"
"no",cwnu3418,"nan",96,"nan","nan"
"no",cwnu3419,"nan",51,"nan","nan"
"no",cwnu342,"nan",51,"nan","nan"
"no",cwnu3420,"nan",100,"nan","nan"
"no",cwnu3421,"nan",49,"nan","nan"
"no",cwnu3422,"nan",110,"nan","nan"
"no",cwnu3423,"nan",48,"nan","nan"
"no",cwnu3424,"nan",50,"nan","nan"
"no",cwnu3425,"nan",49,"nan","nan"
"no",cwnu3426,"nan",111,"nan","nan"
"no",cwnu3427,"nan",40,"nan","nan"
"no",cwnu3428,"nan",152,"nan","nan"
"no",cwnu3429,"nan",51,"nan","nan"
"no",cwnu343,"nan",67,"nan","nan"
"no",cwnu3430,"nan",112,"nan","nan"
"no",cwnu3431,"nan",53,"nan","nan"
"no",cwnu3432,"nan",42,"nan","nan"
"no",cwnu3433,"nan",49,"nan","nan"
"no",cwnu3434,"nan",67,"nan","nan"
"no",cwnu3435,"nan",35,"nan","nan"
"no",cwnu3436,"nan",59,"nan","nan"
"no",cwnu3437,"nan",36,"nan","nan"
"no",cwnu3438,"nan",65,"nan","nan"
"no",cwnu3439,"nan",36,"nan","nan"
"no",cwnu344,"nan",57,"nan","nan"
"no",cwnu3440,"nan",100,"nan","nan"
"no",cwnu3441,"nan",44,"nan","nan"
"no",cwnu3442,"nan",65,"nan","nan"
"no",cwnu3443,"nan",76,"nan","nan"
"no",cwnu3444,"nan",76,"nan","nan"
"no",cwnu3445,"nan",33,"nan","nan"
"no",cwnu3446,"nan",27,"nan","nan"
"no",cwnu3447,"nan",27,"nan","nan"
"no",cwnu3448,"nan",80,"nan","nan"
"no",cwnu3449,"nan",31,"nan","nan"
"no",cwnu345,"nan",51,"nan","nan"
"no",cwnu3450,"nan",59,"nan","nan"
"no",cwnu3451,"nan",164,"nan","nan"
"no",cwnu3452,"nan",62,"nan","nan"
"no",cwnu3453,"nan",89,"nan","nan"
"no",cwnu3454,"nan",168,"nan","nan"
"no",cwnu3455,"nan",172,"nan","nan"
"no",cwnu3456,"nan",173,"nan","nan"
"no",cwnu3458,"nan",190,"nan","nan"
"no",cwnu3459,"nan",221,"nan","nan"
"no",cwnu346,"nan",84,"nan","nan"
"no",cwnu3460,"nan",142,"nan","nan"
"no",cwnu3461,"nan",242,"nan","nan"
"no",cwnu3462,"nan",137,"nan","nan"
"no",cwnu3463,"nan",124,"nan","nan"
"no",cwnu3464,"nan",126,"nan","nan"
"no",cwnu3465,"nan",127,"nan","nan"
"no",cwnu3466,"nan",43,"nan","nan"
"no",cwnu3467,"nan",127,"nan","nan"
"no",cwnu3468,"nan",128,"nan","nan"
"no",cwnu3469,"nan",128,"nan","nan"
"no",cwnu347,"nan",132,"nan","nan"
"no",cwnu3470,"nan",128,"nan","nan"
"no",cwnu3471,"nan",130,"nan","nan"
"no",cwnu3472,"nan",132,"nan","nan"
"no",cwnu3473,"nan",133,"nan","nan"
"no",cwnu3474,"nan",134,"nan","nan"
"no",cwnu3475,"nan",135,"nan","nan"
"no",cwnu3476,"nan",135,"nan","nan"
"no",cwnu3477,"nan",136,"nan","nan"
"no",cwnu3478,"nan",138,"nan","nan"
"no",cwnu3479,"nan",94,"nan","nan"
"no",cwnu348,"nan",51,"nan","nan"
"no",cwnu3480,"nan",127,"nan","nan"
"no",cwnu3481,"nan",48,"nan","nan"
"no",cwnu3482,"nan",205,"nan","nan"
"no",cwnu3483,"nan",48,"nan","nan"
"no",cwnu3484,"nan",84,"nan","nan"
"no",cwnu3485,"nan",37,"nan","nan"
"no",cwnu3486,"nan",42,"nan","nan"
"no",cwnu3487,"nan",48,"nan","nan"
"no",cwnu3488,"nan",56,"nan","nan"
"no",cwnu3489,"nan",30,"nan","nan"
"no",cwnu349,"nan",52,"nan","nan"
"no",cwnu3491,"nan",120,"nan","nan"
"no",cwnu3492,"nan",609,"nan","nan"
"no",cwnu3493,"nan",59,"nan","nan"
"no",cwnu3494,"nan",188,"nan","nan"
"no",cwnu3495,"nan",120,"nan","nan"
"no",cwnu3496,"nan",71,"nan","nan"
"no",cwnu3497,"nan",66,"nan","nan"
"no",cwnu3498,"nan",59,"nan","nan"
"no",cwnu3499,"nan",50,"nan","nan"
"no",cwnu35,"nan",48,"nan","nan"
"no",cwnu350,"nan",56,"nan","nan"
"no",cwnu3500,"nan",77,"nan","nan"
"no",cwnu3501,"nan",127,"nan","nan"
"no",cwnu3502,"nan",161,"nan","nan"
"no",cwnu3503,"nan",107,"nan","nan"
"no",cwnu3504,"nan",81,"nan","nan"
"no",cwnu3505,"nan",64,"nan","nan"
"no",cwnu3506,"nan",36,"nan","nan"
"no",cwnu3507,"nan",85,"nan","nan"
"no",cwnu3508,"nan",78,"nan","nan"
"no",cwnu3509,"nan",43,"nan","nan"
"no",cwnu351,"nan",148,"nan","nan"
"no",cwnu3510,"nan",60,"nan","nan"
"no",cwnu3511,"nan",90,"nan","nan"
"no",cwnu3512,"nan",99,"nan","nan"
"no",cwnu3513,"nan",72,"nan","nan"
"no",cwnu3514,"nan",75,"nan","nan"
"no",cwnu3515,"nan",53,"nan","nan"
"no",cwnu3516,"nan",109,"nan","nan"
"no",cwnu3517,"nan",111,"nan","nan"
"no",cwnu3518,"nan",174,"nan","nan"
"no",cwnu3519,"nan",44,"nan","nan"
"no",cwnu352,"nan",118,"nan","nan"
"no",cwnu3520,"nan",85,"nan","nan"
"no",cwnu3521,"nan",96,"nan","nan"
"no",cwnu3522,"nan",52,"nan","nan"
"no",cwnu3523,"nan",148,"nan","nan"
"no",cwnu3524,"nan",89,"nan","nan"
"no",cwnu3525,"nan",59,"nan","nan"
"no",cwnu3526,"nan",78,"nan","nan"
"no",cwnu3527,"nan",122,"nan","nan"
"no",cwnu3528,"nan",203,"nan","nan"
"no",cwnu3529,"nan",182,"nan","nan"
"no",cwnu353,"nan",132,"nan","nan"
"no",cwnu3531,"nan",52,"nan","nan"
"no",cwnu3532,"nan",72,"nan","nan"
"no",cwnu3533,"nan",54,"nan","nan"
"no",cwnu3534,"nan",88,"nan","nan"
"no",cwnu3535,"nan",167,"nan","nan"
"no",cwnu3536,"nan",53,"nan","nan"
"no",cwnu3537,"nan",67,"nan","nan"
"no",cwnu3539,"nan",319,"nan","nan"
"no",cwnu354,"nan",75,"nan","nan"
"no",cwnu3540,"nan",156,"nan","nan"
"no",cwnu3541,"nan",173,"nan","nan"
"no",cwnu3542,"nan",188,"nan","nan"
"no",cwnu3543,"nan",60,"nan","nan"
"no",cwnu3544,"nan",166,"nan","nan"
"no",cwnu3545,"nan",157,"nan","nan"
"no",cwnu3546,"nan",153,"nan","nan"
"no",cwnu3547,"nan",50,"nan","nan"
"no",cwnu3548,"nan",30,"nan","nan"
"no",cwnu3549,"nan",37,"nan","nan"
"no",cwnu355,"nan",91,"nan","nan"
"no",cwnu3550,"nan",316,"nan","nan"
"no",cwnu3551,"nan",39,"nan","nan"
"no",cwnu3552,"nan",51,"nan","nan"
"no",cwnu3553,"nan",44,"nan","nan"
"no",cwnu3554,"nan",33,"nan","nan"
"no",cwnu3555,"nan",193,"nan","nan"
"no",cwnu3556,"nan",134,"nan","nan"
"no",cwnu3557,"nan",138,"nan","nan"
"no",cwnu3558,"nan",44,"nan","nan"
"no",cwnu3559,"nan",47,"nan","nan"
"no",cwnu356,"nan",83,"nan","nan"
"no",cwnu3560,"nan",56,"nan","nan"
"no",cwnu3561,"nan",58,"nan","nan"
"no",cwnu3562,"nan",66,"nan","nan"
"no",cwnu3563,"nan",79,"nan","nan"
"no",cwnu3564,"nan",80,"nan","nan"
"no",cwnu3565,"nan",123,"nan","nan"
"no",cwnu3566,"nan",205,"nan","nan"
"no",cwnu3567,"nan",127,"nan","nan"
"no",cwnu3568,"nan",43,"nan","nan"
"no",cwnu3569,"nan",69,"nan","nan"
"no",cwnu357,"nan",64,"nan","nan"
"no",cwnu3570,"nan",121,"nan","nan"
"no",cwnu3571,"nan",119,"nan","nan"
"no",cwnu3572,"nan",321,"nan","nan"
"no",cwnu3573,"nan",86,"nan","nan"
"no",cwnu3574,"nan",159,"nan","nan"
"no",cwnu3575,"nan",32,"nan","nan"
"no",cwnu3576,"nan",117,"nan","nan"
"no",cwnu3577,"nan",69,"nan","nan"
"no",cwnu3578,"nan",193,"nan","nan"
"no",cwnu3579,"nan",332,"nan","nan"
"no",cwnu358,"nan",38,"nan","nan"
"no",cwnu3580,"nan",88,"nan","nan"
"no",cwnu3581,"nan",47,"nan","nan"
"no",cwnu3582,"nan",76,"nan","nan"
"no",cwnu3583,"nan",75,"nan","nan"
"no",cwnu3584,"nan",29,"nan","nan"
"no",cwnu3585,"nan",48,"nan","nan"
"no",cwnu3586,"nan",31,"nan","nan"
"no",cwnu3587,"nan",131,"nan","nan"
"no",cwnu3588,"nan",201,"nan","nan"
"no",cwnu3589,"nan",300,"nan","nan"
"no",cwnu359,"nan",62,"nan","nan"
"no",cwnu3590,"nan",61,"nan","nan"
"no",cwnu3591,"nan",30,"nan","nan"
"no",cwnu3592,"nan",45,"nan","nan"
"no",cwnu3593,"nan",194,"nan","nan"
"no",cwnu3594,"nan",60,"nan","nan"
"no",cwnu3595,"nan",48,"nan","nan"
"no",cwnu3597,"nan",116,"nan","nan"
"no",cwnu3598,"nan",117,"nan","nan"
"no",cwnu3599,"nan",122,"nan","nan"
"no",cwnu36,"nan",48,"nan","nan"
"no",cwnu360,"nan",48,"nan","nan"
"no",cwnu3600,"nan",122,"nan","nan"
"no",cwnu3601,"nan",112,"nan","nan"
"no",cwnu3602,"nan",106,"nan","nan"
"no",cwnu3603,"nan",95,"nan","nan"
"no",cwnu3604,"nan",96,"nan","nan"
"no",cwnu3605,"nan",97,"nan","nan"
"no",cwnu3606,"nan",98,"nan","nan"
"no",cwnu3607,"nan",98,"nan","nan"
"no",cwnu3608,"nan",115,"nan","nan"
"no",cwnu3609,"nan",100,"nan","nan"
"no",cwnu361,"nan",92,"nan","nan"
"no",cwnu3610,"nan",103,"nan","nan"
"no",cwnu3611,"nan",104,"nan","nan"
"no",cwnu3612,"nan",104,"nan","nan"
"no",cwnu3613,"nan",104,"nan","nan"
"no",cwnu3614,"nan",105,"nan","nan"
"no",cwnu3615,"nan",122,"nan","nan"
"no",cwnu3616,"nan",144,"nan","nan"
"no",cwnu3617,"nan",145,"nan","nan"
"no",cwnu3618,"nan",147,"nan","nan"
"no",cwnu3619,"nan",99,"nan","nan"
"no",cwnu362,"nan",67,"nan","nan"
"no",cwnu3620,"nan",112,"nan","nan"
"no",cwnu3621,"nan",112,"nan","nan"
"no",cwnu3622,"nan",108,"nan","nan"
"no",cwnu3623,"nan",138,"nan","nan"
"no",cwnu3624,"nan",135,"nan","nan"
"no",cwnu3625,"nan",101,"nan","nan"
"no",cwnu3626,"nan",179,"nan","nan"
"no",cwnu3627,"nan",139,"nan","nan"
"no",cwnu3628,"nan",110,"nan","nan"
"no",cwnu3629,"nan",121,"nan","nan"
"no",cwnu363,"nan",83,"nan","nan"
"no",cwnu3630,"nan",93,"nan","nan"
"no",cwnu3631,"nan",280,"nan","nan"
"no",cwnu3632,"nan",277,"nan","nan"
"no",cwnu3633,"nan",258,"nan","nan"
"no",cwnu3634,"nan",117,"nan","nan"
"no",cwnu3635,"nan",204,"nan","nan"
"no",cwnu3636,"nan",255,"nan","nan"
"no",cwnu3637,"nan",38,"nan","nan"
"no",cwnu3638,"nan",111,"nan","nan"
"no",cwnu3639,"nan",110,"nan","nan"
"no",cwnu364,"nan",65,"nan","nan"
"no",cwnu3640,"nan",110,"nan","nan"
"no",cwnu3641,"nan",109,"nan","nan"
"no",cwnu3642,"nan",109,"nan","nan"
"no",cwnu3643,"nan",109,"nan","nan"
"no",cwnu3644,"nan",158,"nan","nan"
"no",cwnu3645,"nan",108,"nan","nan"
"no",cwnu3646,"nan",108,"nan","nan"
"no",cwnu3647,"nan",273,"nan","nan"
"no",cwnu3648,"nan",169,"nan","nan"
"no",cwnu3649,"nan",204,"nan","nan"
"no",cwnu365,"nan",56,"nan","nan"
"no",cwnu3650,"nan",80,"nan","nan"
"no",cwnu3651,"nan",378,"nan","nan"
"no",cwnu3652,"nan",108,"nan","nan"
"no",cwnu3653,"nan",56,"nan","nan"
"no",cwnu3654,"nan",77,"nan","nan"
"no",cwnu3655,"nan",44,"nan","nan"
"no",cwnu3656,"nan",62,"nan","nan"
"no",cwnu3657,"nan",67,"nan","nan"
"no",cwnu3658,"nan",67,"nan","nan"
"no",cwnu3659,"nan",67,"nan","nan"
"no",cwnu366,"nan",80,"nan","nan"
"no",cwnu3660,"nan",67,"nan","nan"
"no",cwnu3661,"nan",76,"nan","nan"
"no",cwnu3662,"nan",76,"nan","nan"
"no",cwnu3663,"nan",76,"nan","nan"
"no",cwnu3664,"nan",77,"nan","nan"
"no",cwnu3665,"nan",79,"nan","nan"
"no",cwnu3666,"nan",80,"nan","nan"
"no",cwnu3667,"nan",81,"nan","nan"
"no",cwnu3668,"nan",82,"nan","nan"
"no",cwnu3669,"nan",85,"nan","nan"
"no",cwnu367,"nan",60,"nan","nan"
"no",cwnu3670,"nan",62,"nan","nan"
"no",cwnu3671,"nan",85,"nan","nan"
"no",cwnu3672,"nan",87,"nan","nan"
"no",cwnu3673,"nan",88,"nan","nan"
"no",cwnu3674,"nan",57,"nan","nan"
"no",cwnu3675,"nan",67,"nan","nan"
"no",cwnu3676,"nan",68,"nan","nan"
"no",cwnu3677,"nan",68,"nan","nan"
"no",cwnu3678,"nan",69,"nan","nan"
"no",cwnu3679,"nan",70,"nan","nan"
"no",cwnu368,"nan",49,"nan","nan"
"no",cwnu3680,"nan",71,"nan","nan"
"no",cwnu3681,"nan",71,"nan","nan"
"no",cwnu3682,"nan",71,"nan","nan"
"no",cwnu3683,"nan",62,"nan","nan"
"no",cwnu3684,"nan",61,"nan","nan"
"no",cwnu3685,"nan",39,"nan","nan"
"no",cwnu3686,"nan",63,"nan","nan"
"no",cwnu3687,"nan",63,"nan","nan"
"no",cwnu3688,"nan",64,"nan","nan"
"no",cwnu3689,"nan",64,"nan","nan"
"no",cwnu369,"nan",48,"nan","nan"
"no",cwnu3690,"nan",65,"nan","nan"
"no",cwnu3691,"nan",65,"nan","nan"
"no",cwnu3692,"nan",66,"nan","nan"
"no",cwnu3693,"nan",66,"nan","nan"
"no",cwnu3694,"nan",67,"nan","nan"
"no",cwnu3695,"nan",64,"nan","nan"
"no",cwnu3696,"nan",63,"nan","nan"
"no",cwnu3697,"nan",63,"nan","nan"
"no",cwnu3698,"nan",61,"nan","nan"
"no",cwnu3699,"nan",60,"nan","nan"
"no",cwnu37,"nan",92,"nan","nan"
"no",cwnu370,"nan",80,"nan","nan"
"no",cwnu3700,"nan",60,"nan","nan"
"no",cwnu3701,"nan",72,"nan","nan"
"no",cwnu3702,"nan",59,"nan","nan"
"no",cwnu3703,"nan",58,"nan","nan"
"no",cwnu3704,"nan",58,"nan","nan"
"no",cwnu3705,"nan",57,"nan","nan"
"no",cwnu3706,"nan",59,"nan","nan"
"no",cwnu3707,"nan",38,"nan","nan"
"no",cwnu3708,"nan",73,"nan","nan"
"no",cwnu3709,"nan",73,"nan","nan"
"no",cwnu371,"nan",48,"nan","nan"
"no",cwnu3710,"nan",41,"nan","nan"
"no",cwnu3711,"nan",41,"nan","nan"
"no",cwnu3712,"nan",42,"nan","nan"
"no",cwnu3713,"nan",108,"nan","nan"
"no",cwnu3714,"nan",47,"nan","nan"
"no",cwnu3715,"nan",47,"nan","nan"
"no",cwnu3716,"nan",53,"nan","nan"
"no",cwnu3717,"nan",41,"nan","nan"
"no",cwnu3718,"nan",54,"nan","nan"
"no",cwnu3719,"nan",55,"nan","nan"
"no",cwnu372,"nan",64,"nan","nan"
"no",cwnu3720,"nan",56,"nan","nan"
"no",cwnu3721,"nan",56,"nan","nan"
"no",cwnu3722,"nan",53,"nan","nan"
"no",cwnu3723,"nan",47,"nan","nan"
"no",cwnu3724,"nan",51,"nan","nan"
"no",cwnu3725,"nan",48,"nan","nan"
"no",cwnu3726,"nan",48,"nan","nan"
"no",cwnu3727,"nan",54,"nan","nan"
"no",cwnu3728,"nan",41,"nan","nan"
"no",cwnu3729,"nan",73,"nan","nan"
"no",cwnu373,"nan",60,"nan","nan"
"no",cwnu3730,"nan",74,"nan","nan"
"no",cwnu3731,"nan",57,"nan","nan"
"no",cwnu3732,"nan",57,"nan","nan"
"no",cwnu3733,"nan",43,"nan","nan"
"no",cwnu3734,"nan",44,"nan","nan"
"no",cwnu3735,"nan",44,"nan","nan"
"no",cwnu3736,"nan",44,"nan","nan"
"no",cwnu3737,"nan",44,"nan","nan"
"no",cwnu3738,"nan",44,"nan","nan"
"no",cwnu3739,"nan",45,"nan","nan"
"no",cwnu374,"nan",56,"nan","nan"
"no",cwnu3740,"nan",45,"nan","nan"
"no",cwnu3741,"nan",45,"nan","nan"
"no",cwnu3742,"nan",45,"nan","nan"
"no",cwnu3743,"nan",40,"nan","nan"
"no",cwnu3744,"nan",40,"nan","nan"
"no",cwnu3745,"nan",40,"nan","nan"
"no",cwnu3746,"nan",40,"nan","nan"
"no",cwnu3747,"nan",39,"nan","nan"
"no",cwnu3748,"nan",73,"nan","nan"
"no",cwnu3749,"nan",39,"nan","nan"
"no",cwnu375,"nan",80,"nan","nan"
"no",cwnu3750,"nan",39,"nan","nan"
"no",cwnu3751,"nan",47,"nan","nan"
"no",cwnu3752,"nan",43,"nan","nan"
"no",cwnu3753,"nan",46,"nan","nan"
"no",cwnu3754,"nan",93,"nan","nan"
"no",cwnu3755,"nan",38,"nan","nan"
"no",cwnu3756,"nan",39,"nan","nan"
"no",cwnu3757,"nan",84,"nan","nan"
"no",cwnu3758,"nan",25,"nan","nan"
"no",cwnu3759,"nan",30,"nan","nan"
"no",cwnu376,"nan",48,"nan","nan"
"no",cwnu3760,"nan",34,"nan","nan"
"no",cwnu3761,"nan",35,"nan","nan"
"no",cwnu3762,"nan",35,"nan","nan"
"no",cwnu3763,"nan",35,"nan","nan"
"no",cwnu3764,"nan",35,"nan","nan"
"no",cwnu3765,"nan",35,"nan","nan"
"no",cwnu3766,"nan",35,"nan","nan"
"no",cwnu3767,"nan",35,"nan","nan"
"no",cwnu3768,"nan",25,"nan","nan"
"no",cwnu3769,"nan",36,"nan","nan"
"no",cwnu377,"nan",92,"nan","nan"
"no",cwnu3770,"nan",36,"nan","nan"
"no",cwnu3771,"nan",36,"nan","nan"
"no",cwnu3772,"nan",36,"nan","nan"
"no",cwnu3773,"nan",37,"nan","nan"
"no",cwnu3774,"nan",37,"nan","nan"
"no",cwnu3775,"nan",34,"nan","nan"
"no",cwnu3776,"nan",25,"nan","nan"
"no",cwnu3777,"nan",30,"nan","nan"
"no",cwnu3778,"nan",31,"nan","nan"
"no",cwnu3779,"nan",36,"nan","nan"
"no",cwnu378,"nan",84,"nan","nan"
"no",cwnu3780,"nan",39,"nan","nan"
"no",cwnu3781,"nan",60,"nan","nan"
"no",cwnu3782,"nan",120,"nan","nan"
"no",cwnu3783,"nan",59,"nan","nan"
"no",cwnu3784,"nan",89,"nan","nan"
"no",cwnu3785,"nan",93,"nan","nan"
"no",cwnu3786,"nan",111,"nan","nan"
"no",cwnu3787,"nan",28,"nan","nan"
"no",cwnu3788,"nan",28,"nan","nan"
"no",cwnu3789,"nan",29,"nan","nan"
"no",cwnu379,"nan",65,"nan","nan"
"no",cwnu3790,"nan",28,"nan","nan"
"no",cwnu3791,"nan",122,"nan","nan"
"no",cwnu3792,"nan",30,"nan","nan"
"no",cwnu3793,"nan",32,"nan","nan"
"no",cwnu3794,"nan",32,"nan","nan"
"no",cwnu3795,"nan",110,"nan","nan"
"no",cwnu3796,"nan",124,"nan","nan"
"no",cwnu3797,"nan",84,"nan","nan"
"no",cwnu3798,"nan",104,"nan","nan"
"no",cwnu3799,"nan",56,"nan","nan"
"no",cwnu38,"nan",51,"nan","nan"
"no",cwnu380,"nan",59,"nan","nan"
"no",cwnu3800,"nan",101,"nan","nan"
"no",cwnu3801,"nan",117,"nan","nan"
"no",cwnu3802,"nan",120,"nan","nan"
"no",cwnu3803,"nan",108,"nan","nan"
"no",cwnu3804,"nan",118,"nan","nan"
"no",cwnu3805,"nan",79,"nan","nan"
"no",cwnu3806,"nan",147,"nan","nan"
"no",cwnu3807,"nan",93,"nan","nan"
"no",cwnu3808,"nan",129,"nan","nan"
"no",cwnu3809,"nan",104,"nan","nan"
"no",cwnu381,"nan",123,"nan","nan"
"no",cwnu3810,"nan",83,"nan","nan"
"no",cwnu3811,"nan",78,"nan","nan"
"no",cwnu3812,"nan",150,"nan","nan"
"no",cwnu3813,"nan",106,"nan","nan"
"no",cwnu3814,"nan",157,"nan","nan"
"no",cwnu3815,"nan",106,"nan","nan"
"no",cwnu3816,"nan",125,"nan","nan"
"no",cwnu3817,"nan",38,"nan","nan"
"no",cwnu3818,"nan",162,"nan","nan"
"no",cwnu3819,"nan",34,"nan","nan"
"no",cwnu382,"nan",57,"nan","nan"
"no",cwnu3820,"nan",34,"nan","nan"
"no",cwnu3821,"nan",32,"nan","nan"
"no",cwnu3822,"nan",34,"nan","nan"
"no",cwnu3823,"nan",135,"nan","nan"
"no",cwnu3824,"nan",84,"nan","nan"
"no",cwnu3825,"nan",104,"nan","nan"
"no",cwnu3826,"nan",84,"nan","nan"
"no",cwnu3827,"nan",108,"nan","nan"
"no",cwnu3828,"nan",82,"nan","nan"
"no",cwnu3829,"nan",112,"nan","nan"
"no",cwnu383,"nan",56,"nan","nan"
"no",cwnu3830,"nan",131,"nan","nan"
"no",cwnu3831,"nan",83,"nan","nan"
"no",cwnu3832,"nan",110,"nan","nan"
"no",cwnu3833,"nan",66,"nan","nan"
"no",cwnu3834,"nan",128,"nan","nan"
"no",cwnu3835,"nan",69,"nan","nan"
"no",cwnu3836,"nan",87,"nan","nan"
"no",cwnu3837,"nan",61,"nan","nan"
"no",cwnu3838,"nan",81,"nan","nan"
"no",cwnu3839,"nan",63,"nan","nan"
"no",cwnu384,"nan",52,"nan","nan"
"no",cwnu3840,"nan",458,"nan","nan"
"no",cwnu3841,"nan",113,"nan","nan"
"no",cwnu3842,"nan",280,"nan","nan"
"no",cwnu3843,"nan",61,"nan","nan"
"no",cwnu3844,"nan",70,"nan","nan"
"no",cwnu3845,"nan",222,"nan","nan"
"no",cwnu3846,"nan",60,"nan","nan"
"no",cwnu3847,"nan",60,"nan","nan"
"no",cwnu3848,"nan",73,"nan","nan"
"no",cwnu3849,"nan",73,"nan","nan"
"no",cwnu385,"nan",56,"nan","nan"
"no",cwnu3850,"nan",77,"nan","nan"
"no",cwnu3851,"nan",81,"nan","nan"
"no",cwnu3852,"nan",70,"nan","nan"
"no",cwnu3853,"nan",66,"nan","nan"
"no",cwnu3854,"nan",93,"nan","nan"
"no",cwnu3855,"nan",72,"nan","nan"
