"process","fname","N_clust","N_clust_max","Nbox","frame_limit"
"no",cwnu1072,"nan",46,"nan","nan"
"no",cwnu1073,"nan",32,"nan","nan"
"no",cwnu1074,"nan",35,"nan","nan"
"no",cwnu1075,"nan",81,"nan","nan"
"no",cwnu1076,"nan",48,"nan","nan"
"no",cwnu1077,"nan",51,"nan","nan"
"no",cwnu1078,"nan",57,"nan","nan"
"no",cwnu1079,"nan",41,"nan","nan"
"no",cwnu108,"nan",75,"nan","nan"
"no",cwnu1080,"nan",40,"nan","nan"
"no",cwnu1081,"nan",28,"nan","nan"
"no",cwnu1082,"nan",788,"nan","nan"
"no",cwnu1083,"nan",612,"nan","nan"
"no",cwnu1084,"nan",83,"nan","nan"
"no",cwnu1085,"nan",102,"nan","nan"
"no",cwnu1086,"nan",48,"nan","nan"
"no",cwnu1087,"nan",67,"nan","nan"
"no",cwnu1088,"nan",30,"nan","nan"
"no",cwnu1089,"nan",51,"nan","nan"
"no",cwnu109,"nan",118,"nan","nan"
"no",cwnu1090,"nan",108,"nan","nan"
"no",cwnu1091,"nan",33,"nan","nan"
"no",cwnu1092,"nan",28,"nan","nan"
"no",cwnu1093,"nan",35,"nan","nan"
"no",cwnu1094,"nan",27,"nan","nan"
"no",cwnu1095,"nan",60,"nan","nan"
"no",cwnu1096,"nan",38,"nan","nan"
"no",cwnu1097,"nan",25,"nan","nan"
"no",cwnu1098,"nan",112,"nan","nan"
"no",cwnu1099,"nan",32,"nan","nan"
"no",cwnu11,"nan",51,"nan","nan"
"no",cwnu110,"nan",123,"nan","nan"
"no",cwnu1100,"nan",48,"nan","nan"
"no",cwnu1101,"nan",107,"nan","nan"
"no",cwnu1102,"nan",62,"nan","nan"
"no",cwnu1103,"nan",32,"nan","nan"
"no",cwnu1104,"nan",52,"nan","nan"
"no",cwnu1105,"nan",49,"nan","nan"
"no",cwnu1106,"nan",33,"nan","nan"
"no",cwnu1107,"nan",33,"nan","nan"
"no",cwnu1108,"nan",25,"nan","nan"
"no",cwnu1109,"nan",25,"nan","nan"
"no",cwnu111,"nan",41,"nan","nan"
"no",cwnu1110,"nan",28,"nan","nan"
"no",cwnu1111,"nan",59,"nan","nan"
"no",cwnu1112,"nan",118,"nan","nan"
"no",cwnu1113,"nan",49,"nan","nan"
"no",cwnu1114,"nan",70,"nan","nan"
"no",cwnu1115,"nan",107,"nan","nan"
"no",cwnu1116,"nan",43,"nan","nan"
"no",cwnu1117,"nan",41,"nan","nan"
"no",cwnu1118,"nan",70,"nan","nan"
"no",cwnu1119,"nan",54,"nan","nan"
"no",cwnu112,"nan",76,"nan","nan"
"no",cwnu1120,"nan",28,"nan","nan"
"no",cwnu1121,"nan",65,"nan","nan"
"no",cwnu1122,"nan",198,"nan","nan"
"no",cwnu1123,"nan",203,"nan","nan"
"no",cwnu1124,"nan",89,"nan","nan"
"no",cwnu1125,"nan",60,"nan","nan"
"no",cwnu1126,"nan",41,"nan","nan"
"no",cwnu1127,"nan",44,"nan","nan"
"no",cwnu1128,"nan",115,"nan","nan"
"no",cwnu1129,"nan",40,"nan","nan"
"no",cwnu113,"nan",51,"nan","nan"
"no",cwnu1130,"nan",59,"nan","nan"
"no",cwnu1131,"nan",148,"nan","nan"
"no",cwnu1132,"nan",44,"nan","nan"
"no",cwnu1133,"nan",44,"nan","nan"
"no",cwnu1134,"nan",41,"nan","nan"
"no",cwnu1135,"nan",40,"nan","nan"
"no",cwnu1136,"nan",1000,"nan","nan"
"no",cwnu1137,"nan",38,"nan","nan"
"no",cwnu1138,"nan",76,"nan","nan"
"no",cwnu1139,"nan",57,"nan","nan"
"no",cwnu114,"nan",84,"nan","nan"
"no",cwnu1140,"nan",35,"nan","nan"
"no",cwnu1141,"nan",131,"nan","nan"
"no",cwnu1142,"nan",369,"nan","nan"
"no",cwnu1143,"nan",64,"nan","nan"
"no",cwnu1144,"nan",94,"nan","nan"
"no",cwnu1145,"nan",64,"nan","nan"
"no",cwnu1146,"nan",33,"nan","nan"
"no",cwnu1147,"nan",27,"nan","nan"
"no",cwnu1148,"nan",36,"nan","nan"
"no",cwnu1149,"nan",25,"nan","nan"
"no",cwnu115,"nan",67,"nan","nan"
"no",cwnu1150,"nan",185,"nan","nan"
"no",cwnu1151,"nan",91,"nan","nan"
