"fnames","Names"
"alessi9;mwsc2670;ocsn139","Alessi 9;MWSC 2670;OCSN 139"
"alessi90","Alessi 90"
"alessi94;ubc2","Alessi 94;UBC 2"
"alessij06016p3531;alessij06016p3531a","Alessi J0601.6+3531;Alessi J0601.6+3531a"
"alessij06224p2114","Alessi J0622.4+2114"
"alessij19337p1147","Alessi J1933.7+1147"
"alessij23270p55;alessij2327p55;ascc129;mwsc3730;alessi70","Alessi J2327.0+55;Alessi J2327+55;ASCC 129;MWSC 3730;Alessi 70"
"alessiteutsch10","Alessi Teutsch 10"
"alessiteutsch11;ascc112;mwsc3295;at11;alessi46;alessij20165p5204;fof2358","Alessi Teutsch 11;ASCC 112;MWSC 3295;AT 11;Alessi 46;Alessi J2016.5+5204;FoF 2358"
"alessiteutsch12;ascc86;at12;alessij170175857;mwsc2513","Alessi Teutsch 12;ASCC 86;AT 12;Alessi J1701.7-5857;MWSC 2513"
"alessiteutsch3;ascc42;mwsc1373;at3;alessi30","Alessi Teutsch 3;ASCC 42;MWSC 1373;AT 3;Alessi 30"
"alessiteutsch5;ascc118;at5;alessi27;mwsc3589","Alessi Teutsch 5;ASCC 118;AT 5;Alessi 27;MWSC 3589"
"alessiteutsch7;ascc47;mwsc1500;at7","Alessi Teutsch 7;ASCC 47;MWSC 1500;AT 7"
"alessiteutsch8;ascc68;mwsc1993;at8;fof2239","Alessi Teutsch 8;ASCC 68;MWSC 1993;AT 8;FoF 2239"
"alessiteutsch9;ascc10;mwsc275;at9","Alessi Teutsch 9;ASCC 10;MWSC 275;AT 9"
"alicante1;mwsc323","Alicante 1;MWSC 323"
"alicante10","Alicante 10"
"alicante7;rsgc5","Alicante 7;RSGC 5"
"alicante8;rsgc4","Alicante 8;RSGC 4"
"am0430392","AM 0430-392"
"am1353265","AM 1353-265"
"andrewslindsay5;mwsc2985","Andrews Lindsay 5;MWSC 2985"
"antalova1;mwsc2605;ocl10271","Antalova 1;MWSC 2605;OCL 1027.1"
"antalova2;mwsc2610;ocl10211","Antalova 2;MWSC 2610;OCL 1021.1"
"antalova3;mwsc2613;scoob6;assoc691","Antalova 3;MWSC 2613;ScoOB6;Assoc 69.1"
"antalova4;mwsc2624","Antalova 4;MWSC 2624"
"arches;bdb2003g00012p0001","Arches;BDB2003 G000.12+00.01"
"archinal1;mwsc3021","Archinal 1;MWSC 3021"
"arpmadore2;arpmado2;mwsc1294;am2;eso36807","Arp Madore 2;Arp-Mado. 2;MWSC 1294;AM 2;ESO 368 07"
"ascc1;mwsc19","ASCC 1;MWSC 19"
"ascc100;mwsc3038","ASCC 100;MWSC 3038"
"ascc101;mwsc3070;ledrew6;alessij19136p3619;ocsn133","ASCC 101;MWSC 3070;LeDrew 6;Alessi J1913.6+3619;OCSN 133"
"ascc102;mwsc3115","ASCC 102;MWSC 3115"
"ascc104;mwsc3147","ASCC 104;MWSC 3147"
"ascc105;mwsc3157;fof2423","ASCC 105;MWSC 3157;FoF 2423"
"ascc107;mwsc3185;teutschj19485p2157","ASCC 107;MWSC 3185;Teutsch J1948.5+2157"
"ascc108;mwsc3201;fof2349","ASCC 108;MWSC 3201;FoF 2349"
"ascc109;mwsc3202","ASCC 109;MWSC 3202"
"ascc11;mwsc284;teutschj03322p4450;fof2205;lisc3313","ASCC 11;MWSC 284;Teutsch J0332.2+4450;FoF 2205;LISC 3313"
"ascc110;mwsc3234","ASCC 110;MWSC 3234"
"ascc111;mwsc3274","ASCC 111;MWSC 3274"
"ascc113;mwsc3480;fof2406;lisc3405","ASCC 113;MWSC 3480;FoF 2406;LISC 3405"
"ascc114;mwsc3542;fof2248","ASCC 114;MWSC 3542;FoF 2248"
"ascc115;mwsc3575","ASCC 115;MWSC 3575"
"ascc116;mwsc3576","ASCC 116;MWSC 3576"
"ascc117;mwsc3584","ASCC 117;MWSC 3584"
"ascc119;mwsc3614","ASCC 119;MWSC 3614"
"ascc12;mwsc427;fof2323","ASCC 12;MWSC 427;FoF 2323"
"ascc120;mwsc3631","ASCC 120;MWSC 3631"
"ascc121;mwsc3632","ASCC 121;MWSC 3632"
"ascc122;mwsc3637","ASCC 122;MWSC 3637"
