"Name","Type"
"Berkeley_69         ","o"
"Berkeley_70         ","o"
"Berkeley_71         ","o"
"Berkeley_72         ","o"
"Berkeley_73         ","o"
"Berkeley_75         ","o"
"Berkeley_76         ","o"
"Berkeley_77         ","o"
"Berkeley_78         ","o"
"Berkeley_79         ","o"
"Berkeley_80         ","o"
"Berkeley_81         ","o"
"Berkeley_82         ","o"
"Berkeley_83         ","o"
"Berkeley_84         ","o"
"Berkeley_85         ","o"
"Berkeley_86         ","o"
"Berkeley_87         ","o"
"Berkeley_89         ","o"
"Berkeley_90         ","o"
"Berkeley_91         ","o"
"Berkeley_92         ","o"
"Berkeley_93         ","o"
"Berkeley_94         ","o"
"Berkeley_95         ","o"
"Berkeley_96         ","o"
"Berkeley_97         ","o"
"Berkeley_98         ","o"
"Berkeley_99         ","o"
"Berkeley_100        ","o"
"Berkeley_101        ","o"
"Berkeley_102        ","o"
"Berkeley_103        ","o"
"Berkeley_104        ","o"
"Berkeley_14A        ","o"
"Bica_2              ","o"
"Bica_3              ","o"
"Bica_631            ","o"
"Biurakan_2          ","o"
"Blanco_1            ","o"
"Bochum_1            ","o"
"Bochum_2            ","o"
"Bochum_3            ","o"
"Bochum_4            ","o"
"Bochum_10           ","o"
"Bochum_13           ","o"
"Bochum_14           ","o"
"Bochum_15           ","o"
"Briceno_1           ","o"
"CBJC_8              ","o"
"CMa_2               ","o"
"COIN-Gaia_3         ","o"
"COIN-Gaia_4         ","o"
"COIN-Gaia_5         ","o"
"COIN-Gaia_6         ","o"
"COIN-Gaia_7         ","o"
"COIN-Gaia_8         ","o"
"COIN-Gaia_9         ","o"
"COIN-Gaia_10        ","o"
"COIN-Gaia_11        ","o"
"COIN-Gaia_12        ","o"
"COIN-Gaia_13        ","m"
"COIN-Gaia_14        ","o"
"COIN-Gaia_15        ","o"
"COIN-Gaia_16        ","o"
"COIN-Gaia_18        ","o"
"COIN-Gaia_19        ","o"
"COIN-Gaia_20        ","o"
"COIN-Gaia_21        ","o"
"COIN-Gaia_23        ","o"
"COIN-Gaia_24        ","o"
"COIN-Gaia_25        ","o"
"COIN-Gaia_26        ","o"
"COIN-Gaia_28        ","o"
"COIN-Gaia_29        ","o"
"COIN-Gaia_30        ","o"
"COIN-Gaia_31        ","o"
"COIN-Gaia_32        ","o"
"COIN-Gaia_33        ","o"
"COIN-Gaia_34        ","o"
"COIN-Gaia_35        ","o"
"COIN-Gaia_36        ","o"
"COIN-Gaia_37        ","o"
"COIN-Gaia_38        ","o"
"COIN-Gaia_39        ","o"
"COIN-Gaia_40        ","o"
"COIN-Gaia_41        ","o"
"CWNU_2              ","o"
"CWNU_3              ","o"
"CWNU_6              ","o"
"CWNU_7              ","o"
"CWNU_10             ","o"
"CWNU_11             ","o"
"CWNU_14             ","o"
"CWNU_15             ","o"
"CWNU_19             ","o"
"CWNU_23             ","o"
"CWNU_26             ","o"
"CWNU_29             ","o"
"CWNU_32             ","o"
"CWNU_35             ","o"
"CWNU_37             ","o"
"CWNU_38             ","o"
"CWNU_39             ","o"
"CWNU_41             ","o"
"CWNU_42             ","o"
"CWNU_45             ","o"
"CWNU_47             ","o"
"CWNU_50             ","o"
"CWNU_52             ","o"
"CWNU_56             ","o"
"CWNU_58             ","o"
"CWNU_61             ","o"
"CWNU_62             ","o"
"CWNU_65             ","o"
"CWNU_66             ","o"
"CWNU_70             ","o"
"CWNU_72             ","o"
"CWNU_73             ","o"
"CWNU_77             ","o"
"CWNU_80             ","o"
"CWNU_85             ","o"
"CWNU_86             ","o"
"CWNU_87             ","o"
"CWNU_88             ","o"
"CWNU_89             ","o"
"CWNU_92             ","o"
"CWNU_95             ","o"
"CWNU_96             ","o"
"CWNU_98             ","o"
"CWNU_101            ","o"
"CWNU_102            ","o"
"CWNU_105            ","o"
"CWNU_110            ","o"
"CWNU_111            ","o"
"CWNU_112            ","o"
"CWNU_114            ","o"
"CWNU_117            ","o"
"CWNU_119            ","o"
"CWNU_120            ","o"
"CWNU_121            ","o"
"CWNU_124            ","o"
"CWNU_128            ","o"
"CWNU_129            ","o"
"CWNU_132            ","o"
"CWNU_133            ","o"
"CWNU_134            ","o"
"CWNU_135            ","o"
"CWNU_136            ","o"
"CWNU_141            ","o"
"CWNU_144            ","o"
"CWNU_147            ","o"
"CWNU_148            ","o"
"CWNU_151            ","o"
"CWNU_152            ","o"
"CWNU_153            ","o"
"CWNU_154            ","o"
"CWNU_155            ","o"
"CWNU_158            ","o"
"CWNU_161            ","o"
"CWNU_162            ","o"
"CWNU_164            ","o"
"CWNU_165            ","o"
"CWNU_168            ","o"
"CWNU_170            ","o"
