"Cluster","RA_ICRS","DE_ICRS","logA","e_logA","E_logA","elogA","Dist","e_Dist","E_Dist","eDist","AV","e_AV","E_AV","eAV","AGTO","e_AGTO","E_AGTO","Fe/H","r_Fe/H"
"Stock12             ",353.923,52.685,8.188,8.514,8.095,0.163,8.07,8.098,8.04,0.029,0.27,0.296,0.244,0.026,0.264,0.289,0.238,0.0,"        NC"
"Stock23             ",49.075,60.377,7.973,8.011,7.912,0.019,8.903,8.934,8.872,0.031,0.751,0.779,0.72,0.03,0.733,0.76,0.703,0.0,"        NC"
"Teutsch35           ",294.091,35.742,7.9,7.937,7.888,0.019,8.38,8.406,8.35,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"        NC"
"Teutsch61           ",113.661,-19.793,7.686,7.906,7.454,0.11,12.555,12.594,12.518,0.038,1.765,1.801,1.728,0.037,1.723,1.758,1.687,0.0,"        NC"
"Tombaugh1           ",105.126,-20.569,8.991,9.008,8.967,0.008,12.191,12.214,12.169,0.023,0.791,0.812,0.766,0.023,0.772,0.793,0.748,0.0,"        NC"
"Trumpler1           ",23.915,61.283,7.513,7.642,7.268,0.065,12.595,12.624,12.568,0.028,1.785,1.812,1.757,0.028,1.742,1.769,1.715,0.0,"        NC"
"Trumpler2           ",39.232,55.905,7.962,8.023,7.929,0.031,9.335,9.356,9.314,0.021,0.954,0.975,0.936,0.02,0.931,0.952,0.914,0.0,"        NC"
"Trumpler7           ",111.849,-23.949,7.692,7.706,7.674,0.007,11.172,11.199,11.149,0.025,0.841,0.865,0.819,0.023,0.821,0.844,0.799,0.0,"        NC"
"Trumpler9           ",118.911,-25.888,7.486,7.504,7.479,0.009,12.309,12.338,12.291,0.023,0.868,0.884,0.845,0.02,0.847,0.863,0.825,0.0,"        NC"
"Trumpler11          ",151.248,-61.619,7.325,7.326,7.325,0.0,12.941,12.964,12.919,0.023,0.752,0.773,0.73,0.022,0.734,0.755,0.713,0.0,"        NC"
"Trumpler12          ",151.621,-60.29,8.898,8.901,8.885,0.002,12.567,12.591,12.546,0.023,0.567,0.587,0.545,0.021,0.553,0.573,0.532,0.0,"        NC"
"Trumpler18          ",167.826,-60.656,7.665,7.695,7.638,0.015,11.085,11.11,11.061,0.024,0.908,0.931,0.883,0.024,0.886,0.909,0.862,0.0,"        NC"
"Trumpler21          ",203.068,-62.787,7.69,7.699,7.669,0.004,10.559,10.581,10.534,0.023,0.723,0.745,0.699,0.023,0.706,0.727,0.682,0.0,"        NC"
"Trumpler26          ",262.126,-29.487,8.561,8.661,8.417,0.05,10.57,10.606,10.532,0.037,1.512,1.547,1.477,0.035,1.476,1.51,1.442,0.0,"        NC"
"Trumpler29          ",265.347,-40.158,7.762,7.795,7.72,0.017,10.671,10.694,10.648,0.023,0.751,0.769,0.732,0.019,0.733,0.751,0.715,0.0,"        NC"
"Trumpler30          ",269.182,-35.298,8.566,8.621,8.494,0.027,10.501,10.526,10.475,0.026,0.931,0.955,0.907,0.024,0.909,0.932,0.885,0.0,"        NC"
"Waterloo7           ",111.532,-15.09,7.653,7.877,7.343,0.112,12.831,12.871,12.786,0.043,1.321,1.36,1.282,0.039,1.289,1.327,1.251,0.0,"        NC"
"ASCC124,Alessi37",341.9425,46.3365,8.0495,8.144,8.002,0.0475,9.1905,9.217,9.1645,0.026,0.5255,0.549,0.502,0.024,0.513,0.536,0.49,0.0,"        NC"
"ASCC22,Ferrero11",93.651,0.637,8.5555,8.61,8.495,0.0275,9.529,9.5645,9.492,0.036,0.56,0.5945,0.528,0.0335,0.5465,0.5805,0.5155,0.0,"        NC"
"ASCC112,AlessiTeutsch11",304.11,52.056,8.1805,8.194,8.1635,0.0065,8.982,9.005,8.958,0.0235,0.3095,0.332,0.2885,0.022,0.3025,0.324,0.2815,0.0,"        NC"
"Harvard5,Collinder258",186.8075,-60.7685,7.823,7.929,7.784,0.053,10.488,10.512,10.4635,0.0245,0.666,0.6885,0.6415,0.024,0.65,0.672,0.626,-0.045,"PHC,NC"
