"ID","RAdeg","e_RAdeg","DEdeg","e_DEdeg","GLON","e_GLON","GLAT","e_GLAT","Num","NCore","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","m-M","A0","logA","RVel","e_Rvel","o_Rvel","Type"
"CWNU 3384",129.1239,0.038,-37.7244,0.026,257.7219,0.028,1.8543,0.032,71,23,0.153,0.03,-2.902,0.082,3.241,0.077,13.8,0.05,6.3,"nan","nan",0,1
"CWNU 3385",28.9656,0.052,62.1089,0.019,130.3897,0.027,0.1734,0.018,142,35,0.197,0.103,-1.489,0.098,0.229,0.103,14.8,3.4,7.0,"nan","nan",0,1
"CWNU 3386",115.0359,0.023,-30.657,0.042,245.4644,0.047,-4.0719,0.023,113,33,0.13,0.056,-1.281,0.056,2.081,0.071,13.7,0.25,9.2,"nan","nan",0,1
"CWNU 3387",258.9427,0.029,-38.3544,0.023,348.7291,0.019,-0.0019,0.028,230,100,0.168,0.102,-1.326,0.192,-1.768,0.139,13.7,6.95,8.4,-42.61,0.73,2,1
"CWNU 3388",96.0918,0.032,5.8204,0.041,204.6595,0.04,-3.3283,0.035,118,39,0.133,0.108,0.044,0.095,-0.057,0.082,15.05,2.3,7.0,"nan","nan",0,1
"CWNU 3389",115.0662,0.013,-21.4554,0.01,237.4671,0.012,0.4769,0.01,33,20,0.094,0.067,-1.161,0.064,1.562,0.088,14.35,2.4,8.6,"nan","nan",0,1
"CWNU 3390",339.5733,0.074,57.6283,0.028,105.8441,0.038,-0.7544,0.02,96,36,0.241,0.076,-4.209,0.097,-3.6,0.08,12.95,2.65,9.3,-75.32,4.75,1,1
"CWNU 3391",110.0221,0.035,-13.391,0.051,228.0872,0.046,0.1388,0.016,53,22,0.244,0.02,-0.635,0.079,0.747,0.073,12.95,1.3,8.7,48.73,1.24,1,1
"NGC 2447",116.2649,0.103,-23.6705,0.175,239.9435,0.208,0.3297,0.057,38,23,0.602,0.017,-3.181,0.052,2.802,0.034,11.15,0.45,8.0,33.96,3.15,2,1
"CWNU 3392",133.6622,0.026,-58.2621,0.033,275.7517,0.025,-8.5212,0.023,64,20,0.075,0.076,-2.549,0.176,3.323,0.086,15.0,0.35,9.6,19.12,0.84,1,1
"CWNU 3393",110.4523,0.018,-15.7366,0.014,230.3534,0.015,-0.6007,0.017,54,18,0.177,0.061,-1.1,0.079,1.506,0.091,14.05,3.1,7.8,"nan","nan",0,1
"CWNU 3394",295.8344,0.014,19.479,0.011,56.1089,0.008,-2.0811,0.014,70,33,0.174,0.057,-2.108,0.066,-5.184,0.069,13.0,4.3,8.8,"nan","nan",0,1
"CWNU 3395",130.1949,0.045,-35.6227,0.051,256.5705,0.057,3.8084,0.029,70,26,0.138,0.038,-2.839,0.09,4.08,0.049,13.7,1.3,9.0,92.25,2.14,1,1
"CWNU 3396",84.342,0.036,39.0191,0.044,170.5225,0.057,3.8715,0.04,58,15,0.303,0.025,-0.29,0.104,-2.499,0.037,12.4,2.4,8.8,35.87,2.19,1,1
"CWNU 3397",63.6865,0.049,45.5371,0.041,155.9213,0.046,-3.9156,0.051,72,20,0.342,0.03,0.952,0.046,-2.458,0.134,12.1,2.25,8.2,"nan","nan",0,1
"CWNU 3398",55.724,0.152,53.4724,0.11,146.8375,0.136,-1.2572,0.046,87,32,0.428,0.077,1.741,0.057,-1.833,0.129,11.55,4.2,9.2,-6.94,8.87,2,1
"CWNU 3399",331.2718,0.017,56.3334,0.012,101.3395,0.005,0.6016,0.014,68,18,0.226,0.024,-3.642,0.071,-2.899,0.043,13.1,3.85,8.2,-69.73,1.3,1,1
"ESO 392 13",261.6913,0.128,-34.7301,0.092,352.9471,0.095,0.2652,0.085,51,28,0.927,0.031,1.648,0.045,-2.843,0.1,10.1,2.5,8.0,-55.78,49.82,2,1
"CWNU 3400",282.9904,0.029,-0.443,0.022,32.5991,0.021,-0.3175,0.021,97,36,0.233,0.046,-0.98,0.086,-1.686,0.051,12.6,5.35,8.3,46.23,2.72,6,1
"CWNU 3401",62.5371,0.026,55.0168,0.01,148.8799,0.014,2.4915,0.007,35,22,0.236,0.079,-0.117,0.07,-0.193,0.097,13.85,4.65,6.7,"nan","nan",0,1
"CWNU 3402",92.0936,0.018,24.1718,0.039,186.6735,0.049,2.0125,0.023,65,19,0.204,0.06,0.462,0.066,-0.44,0.051,13.15,1.25,8.8,70.42,8.3,1,1
"CWNU 3403",103.0812,0.018,1.5437,0.04,211.6531,0.041,0.895,0.026,109,40,0.206,0.061,-0.417,0.062,-1.32,0.082,12.9,2.1,8.8,50.35,11.7,2,1
"CWNU 3404",117.0996,0.025,-31.6543,0.024,247.214,0.024,-3.0416,0.023,79,29,0.236,0.052,-2.448,0.09,4.146,0.124,13.0,2.85,8.8,"nan","nan",0,1
"CWNU 3405",119.6551,0.067,-26.6166,0.06,244.0438,0.043,1.4788,0.074,209,50,0.193,0.032,-2.327,0.106,2.639,0.08,13.25,1.6,7.6,77.03,1.9,1,1
"CWNU 3406",30.2664,0.103,60.2564,0.05,131.4697,0.061,-1.4559,0.046,178,107,0.281,0.069,-1.701,0.109,-0.385,0.08,12.15,3.3,8.8,-65.29,6.0,6,1
"CWNU 3407",115.0243,0.05,-19.0814,0.056,235.3897,0.054,1.6211,0.05,130,50,0.306,0.042,-2.089,0.061,2.979,0.065,12.35,1.1,7.3,63.03,0.24,1,1
"FSR 0799",85.5539,0.05,33.6665,0.043,175.5854,0.033,1.8645,0.035,163,46,0.232,0.095,0.235,0.052,-1.769,0.084,12.9,1.05,8.9,12.14,1.46,3,1
"CWNU 3408",295.0983,0.045,17.7775,0.048,54.2889,0.049,-2.3239,0.023,57,25,0.289,0.034,-1.97,0.048,-2.554,0.068,12.35,2.8,8.4,"nan","nan",0,1
"CWNU 3409",277.6721,0.06,-14.3441,0.027,17.8211,0.036,-2.0127,0.051,92,26,0.262,0.067,-0.965,0.071,-2.724,0.066,12.55,3.35,8.5,46.95,38.74,2,1
"CWNU 3410",65.9165,0.052,51.2387,0.024,152.985,0.034,1.1868,0.023,35,13,0.225,0.063,0.034,0.105,0.474,0.081,13.4,3.35,9.0,"nan","nan",0,1
"CWNU 3411",249.4802,0.045,-49.5244,0.035,335.7625,0.036,-1.6651,0.04,63,25,0.436,0.033,-0.124,0.067,-2.221,0.052,11.6,2.7,8.4,-54.1,5.54,2,1
"CWNU 3412",290.4874,0.021,19.2622,0.024,53.4815,0.023,2.2288,0.025,149,61,0.184,0.09,-1.297,0.137,-4.676,0.12,13.3,5.15,8.9,30.15,1.38,1,1
"CWNU 3413",14.6836,0.13,60.7244,0.05,123.8241,0.061,-2.1378,0.047,79,25,0.352,0.03,-2.526,0.044,-0.786,0.061,12.05,1.35,7.7,"nan","nan",0,1
"CWNU 3414",62.5652,0.046,47.8445,0.024,153.7638,0.022,-2.766,0.022,37,23,0.226,0.084,-0.381,0.097,-0.892,0.079,12.9,2.95,8.7,-72.04,3.82,1,1
"NGC 2265",100.308,0.032,11.786,0.079,201.2904,0.097,3.1202,0.036,129,34,0.191,0.073,-0.119,0.068,-0.217,0.155,12.85,1.5,8.7,56.63,5.39,1,1
"CWNU 3415",79.848,0.048,33.6506,0.037,172.9928,0.042,-2.1182,0.04,121,36,0.187,0.063,0.882,0.1,-0.008,0.091,13.2,2.1,8.7,-10.55,10.72,3,1
"CWNU 3416",130.7776,0.034,-48.6104,0.02,267.0861,0.019,-3.8144,0.019,96,39,0.221,0.046,-3.169,0.071,3.415,0.099,12.85,2.75,8.8,40.19,1.12,1,1
"CWNU 3417",115.2383,0.026,-25.7434,0.017,241.2784,0.024,-1.4964,0.023,133,49,0.168,0.107,-1.672,0.097,3.564,0.111,13.5,1.65,9.2,102.02,0.08,3,1
"CWNU 3418",119.2179,0.032,-27.2856,0.038,244.4164,0.04,0.7871,0.038,96,29,0.165,0.051,-1.855,0.051,2.224,0.05,14.1,2.2,7.8,84.67,4.99,2,1
"CWNU 3419",341.3217,0.02,64.3376,0.011,109.7977,0.008,4.7343,0.009,51,29,0.117,0.091,-2.949,0.113,-1.566,0.089,13.85,3.75,8.7,"nan","nan",0,1
"CWNU 3420",111.6626,0.02,-20.0285,0.022,234.6794,0.026,-1.6213,0.023,100,38,0.154,0.07,-0.777,0.104,1.596,0.107,13.25,0.75,8.9,121.29,5.31,1,1
"CWNU 3421",310.599,0.024,45.4943,0.012,84.5546,0.019,1.9927,0.015,49,26,0.313,0.032,-3.343,0.056,-5.148,0.067,12.2,3.15,7.5,"nan","nan",0,1
"CWNU 3422",152.0441,0.053,-50.8712,0.017,278.5101,0.032,4.0928,0.016,110,24,0.13,0.048,-5.576,0.115,3.203,0.071,13.95,0.75,9.5,"nan","nan",0,1
"CWNU 3423",128.6232,0.031,-47.7182,0.026,265.525,0.039,-4.4297,0.029,48,11,0.1,0.014,-2.368,0.073,2.912,0.158,14.95,1.15,9.2,"nan","nan",0,1
"CWNU 3424",325.989,0.021,55.1248,0.017,98.2578,0.016,1.503,0.019,50,18,0.132,0.073,-2.292,0.115,-2.206,0.052,15.0,5.1,6.7,"nan","nan",0,1
"CWNU 3425",178.4366,0.127,-55.6709,0.032,294.8113,0.055,6.2838,0.027,49,20,0.137,0.084,-5.635,0.107,1.052,0.07,14.4,1.3,9.4,35.94,1.22,1,1
"CWNU 3426",74.6521,0.031,39.9876,0.032,165.4224,0.036,-1.6818,0.024,111,28,0.129,0.052,0.41,0.091,-0.274,0.11,13.8,2.45,8.6,-15.65,3.92,1,1
"CWNU 3427",209.5608,0.074,-67.1615,0.019,309.3658,0.014,-5.1299,0.023,40,15,0.187,0.062,-7.213,0.167,-2.463,0.114,14.1,1.5,9.4,-13.13,6.94,2,1
"CWNU 3428",296.3934,0.041,34.7245,0.052,69.5979,0.065,5.0642,0.021,152,21,0.081,0.056,-2.264,0.126,-3.947,0.104,17.8,2.75,7.8,"nan","nan",0,1
"CWNU 3429",158.7692,0.085,-55.188,0.029,284.2377,0.054,2.6539,0.034,51,18,0.138,0.053,-6.23,0.128,3.03,0.058,14.05,2.9,8.4,30.22,1.71,1,1
"CWNU 3430",117.3071,0.09,-10.5622,0.141,229.0519,0.177,7.743,0.048,112,37,0.221,0.068,-1.326,0.209,0.887,0.083,13.3,0.1,9.3,67.17,8.6,3,1
"CWNU 3431",130.9341,0.077,-47.1492,0.028,266.0026,0.019,-2.8379,0.062,53,20,0.153,0.017,-3.173,0.119,3.541,0.085,13.35,1.95,8.5,84.45,2.68,1,1
"CWNU 3432",108.394,0.024,-23.9954,0.029,236.7967,0.027,-6.1417,0.034,42,20,0.119,0.024,-0.526,0.087,1.391,0.148,14.75,0.75,8.9,115.88,3.64,1,1
"CWNU 3433",108.7618,0.051,-24.528,0.023,237.4167,0.044,-6.0959,0.034,49,18,0.083,0.034,-0.548,0.089,1.544,0.111,14.55,0.85,8.8,88.17,3.74,1,1
"CWNU 3434",5.3914,0.039,61.4587,0.02,119.3716,0.018,-1.2061,0.021,67,18,0.295,0.044,-2.581,0.062,-0.544,0.06,12.3,2.85,7.4,"nan","nan",0,1
"CWNU 3435",11.092,0.259,63.7806,0.04,122.1511,0.112,0.9202,0.037,35,19,0.27,0.018,0.295,0.059,-0.602,0.075,12.5,3.45,8.4,-29.02,0.15,2,1
"CWNU 3436",115.6902,0.033,-25.4791,0.044,241.2455,0.043,-1.0148,0.013,59,16,0.152,0.096,-1.116,0.063,1.529,0.103,14.65,2.6,8.7,"nan","nan",0,1
"CWNU 3437",85.9699,0.022,40.683,0.021,169.7635,0.019,5.8113,0.017,36,18,0.291,0.077,-0.332,0.111,-1.389,0.095,12.9,1.5,8.5,"nan","nan",0,1
"CWNU 3438",137.8239,0.069,-57.2755,0.03,276.4686,0.034,-6.1788,0.061,65,20,0.109,0.034,-3.27,0.103,3.661,0.079,15.1,1.3,8.8,"nan","nan",0,1
"CWNU 3439",90.6181,0.011,29.8657,0.017,181.0585,0.015,3.6348,0.013,36,17,0.29,0.075,0.443,0.096,-1.043,0.094,12.8,1.5,7.7,"nan","nan",0,1
"CWNU 3440",31.6339,0.055,67.9828,0.015,129.9015,0.02,6.1284,0.017,100,17,0.23,0.091,-0.86,0.131,0.419,0.103,13.75,2.45,9.3,"nan","nan",0,1
"CWNU 3441",116.5091,0.07,-24.1581,0.04,240.4803,0.027,0.2939,0.053,44,19,0.285,0.049,-2.427,0.097,3.446,0.162,12.6,0.85,9.4,"nan","nan",0,1
"CWNU 3442",96.3809,0.054,5.4735,0.047,205.0901,0.055,-3.235,0.045,65,19,0.18,0.042,0.289,0.086,0.394,0.091,13.65,1.8,8.2,32.64,1.19,1,1
"CWNU 3443",112.8711,0.013,-20.4182,0.021,235.565,0.008,-0.8087,0.02,76,19,0.245,0.057,-1.151,0.093,2.181,0.09,13.35,1.4,8.9,"nan","nan",0,1
"CWNU 3444",113.5957,0.063,-13.6202,0.173,229.9477,0.173,3.0486,0.058,76,39,0.2,0.026,-1.374,0.057,1.836,0.111,13.2,0.75,8.7,90.31,19.32,2,1
"CWNU 3445",26.013,0.024,65.1329,0.018,128.4308,0.01,2.8246,0.02,33,18,0.116,0.069,-1.035,0.048,0.523,0.079,14.2,1.95,8.9,-88.95,3.81,1,1
"CWNU 3446",42.9049,0.048,62.6003,0.011,136.2707,0.015,2.88,0.01,27,19,0.176,0.058,-0.793,0.063,0.499,0.135,13.55,2.55,8.1,-53.84,0.56,1,1
"CWNU 3447",304.9512,0.017,38.7013,0.022,76.5992,0.018,1.3631,0.012,27,18,0.243,0.038,-3.902,0.065,-6.082,0.043,12.8,4.55,7.0,"nan","nan",0,1
"CWNU 3448",140.2881,0.027,-52.4144,0.02,273.9457,0.017,-1.8003,0.023,80,40,0.096,0.065,-3.776,0.125,2.86,0.078,13.9,3.0,8.6,50.19,1.93,1,1
"CWNU 3449",93.8891,0.012,2.2143,0.015,206.8347,0.016,-6.9531,0.012,31,18,0.135,0.036,-0.213,0.064,-0.112,0.084,14.25,1.0,9.2,82.8,6.1,1,1
"CWNU 3450",105.3054,0.015,-15.1632,0.042,227.558,0.042,-4.7393,0.02,59,19,0.101,0.024,-0.253,0.043,1.276,0.051,14.1,1.8,8.9,"nan","nan",0,1
"CWNU 3451",21.8455,0.138,62.7885,0.097,127.036,0.062,0.2061,0.094,164,68,0.324,0.038,-1.639,0.055,-0.28,0.1,12.1,2.4,7.8,"nan","nan",0,1
"CWNU 3452",138.0558,0.083,-57.4294,0.038,276.6676,0.032,-6.1954,0.043,62,15,0.094,0.043,-3.031,0.082,3.501,0.101,14.75,0.8,9.4,"nan","nan",0,1
"CWNU 3453",336.2274,0.054,54.9487,0.051,102.8783,0.026,-2.1187,0.042,89,20,0.163,0.036,-2.396,0.266,-1.806,0.075,13.9,2.1,8.9,-95.63,13.79,2,1
"CWNU 3454",29.6231,0.104,59.6068,0.088,131.3216,0.055,-2.1622,0.076,168,41,0.249,0.047,-1.315,0.062,-0.239,0.09,12.75,2.15,7.7,-82.44,2.86,1,1
"CWNU 3455",24.6775,0.069,71.8058,0.021,126.6473,0.025,9.2759,0.021,172,80,0.154,0.08,-0.625,0.103,0.162,0.125,13.45,1.45,9.6,"nan","nan",0,1
"CWNU 3456",201.6381,0.023,-64.1034,0.012,306.755,0.01,-1.4926,0.012,173,85,0.149,0.048,-6.954,0.072,-1.377,0.104,13.35,2.75,8.7,-44.36,1.2,5,1
"FoF 1142",197.6231,0.051,-63.3983,0.014,305.0625,0.023,-0.6053,0.014,182,72,0.24,0.046,-6.406,0.07,-1.23,0.086,12.75,4.4,8.4,-54.39,1.13,6,1
"CWNU 3458",156.8463,0.019,-55.1087,0.012,283.2611,0.009,2.1661,0.014,190,67,0.133,0.081,-4.892,0.106,3.001,0.103,14.65,2.4,8.4,13.29,7.88,1,1
"Ruprecht 120",248.7852,0.089,-48.2683,0.085,336.3963,0.089,-0.4847,0.097,219,50,0.514,0.031,-0.884,0.135,-2.184,0.101,11.4,3.2,7.7,"nan","nan",0,1
"CWNU 3459",76.8121,0.023,41.4781,0.019,165.2429,0.021,0.5286,0.017,221,76,0.151,0.109,0.497,0.143,-0.408,0.124,13.8,1.5,8.7,"nan","nan",0,1
"CWNU 3460",7.2992,0.042,61.127,0.03,120.2492,0.022,-1.6288,0.026,142,52,0.178,0.052,-1.285,0.107,-0.335,0.114,13.15,1.8,8.9,-49.25,5.38,1,1
"CWNU 3461",150.5745,0.03,-54.2328,0.015,279.7699,0.015,0.8524,0.015,242,55,0.136,0.059,-4.473,0.109,2.944,0.117,13.85,2.35,8.5,39.78,25.21,2,1
"CWNU 3462",207.405,0.064,-62.8703,0.031,309.503,0.028,-0.7417,0.03,137,42,0.296,0.04,-6.339,0.046,-2.018,0.048,12.6,1.8,6.0,7.21,7.32,1,1
"CWNU 3463",120.4362,0.054,-28.4004,0.056,245.919,0.069,1.1266,0.044,124,26,0.205,0.024,-2.355,0.056,3.006,0.094,13.45,1.65,7.5,"nan","nan",0,1
"CWNU 3464",8.1166,0.087,60.5661,0.023,120.6031,0.046,-2.2189,0.019,126,17,0.178,0.033,-1.181,0.116,-0.363,0.097,13.35,1.55,8.9,"nan","nan",0,1
"CWNU 3465",268.7469,0.061,-27.0153,0.082,2.7061,0.089,-0.7854,0.046,127,59,0.506,0.055,0.95,0.089,-0.21,0.077,11.2,4.45,8.2,33.63,41.5,4,1
"CWNU 3466",112.7263,0.015,-33.0854,0.013,246.6718,0.023,-6.9553,0.011,43,18,0.061,0.071,-0.955,0.044,1.824,0.058,16.3,1.5,6.8,"nan","nan",0,1
"CWNU 3467",163.263,0.034,-57.4982,0.014,287.5359,0.016,1.7916,0.016,127,37,0.129,0.047,-5.535,0.052,2.454,0.049,13.75,1.6,9.0,15.68,8.93,1,1
"CWNU 3468",279.3475,0.033,-6.2954,0.043,25.7314,0.053,0.2388,0.033,128,56,0.334,0.058,0.775,0.069,-1.016,0.075,11.9,6.05,8.8,6.48,4.13,2,1
"CWNU 3469",178.1306,0.06,-62.0347,0.019,296.0872,0.028,0.0508,0.016,128,34,0.161,0.043,-7.422,0.037,1.39,0.067,13.9,3.3,8.7,-29.15,3.54,4,1
"CWNU 3470",100.8728,0.042,-1.2687,0.069,213.1457,0.064,-2.3468,0.04,128,47,0.194,0.054,-0.509,0.062,0.616,0.047,13.35,2.2,7.4,56.73,10.38,2,1
"CWNU 3471",183.2636,0.017,-62.7057,0.006,298.5475,0.008,-0.1611,0.008,130,58,0.158,0.077,-6.25,0.112,0.62,0.117,15.45,5.05,7.8,12.16,5.09,4,1
"CWNU 3472",128.1353,0.454,-34.3865,0.37,254.5278,0.505,3.2399,0.156,132,49,0.57,0.029,-4.556,0.075,3.284,0.02,11.3,0.9,8.4,"nan","nan",0,1
"Teutsch 48",140.1336,0.018,-52.8541,0.012,274.1908,0.008,-2.176,0.013,133,59,0.14,0.082,-4.144,0.115,3.739,0.071,13.85,3.15,9.0,"nan","nan",0,1
"CWNU 3473",299.0263,0.023,35.9863,0.01,71.7694,0.013,3.8671,0.017,133,47,0.098,0.036,-2.914,0.053,-5.061,0.088,14.1,1.65,8.9,"nan","nan",0,1
"CWNU 3474",269.2195,0.098,-24.3003,0.085,5.2879,0.085,0.2089,0.079,134,41,0.471,0.036,1.132,0.076,-0.101,0.091,11.3,4.65,8.3,-18.92,0.08,3,1
"CWNU 3475",126.8212,0.068,-41.2605,0.075,259.5167,0.089,-1.6664,0.036,135,41,0.16,0.04,-2.53,0.053,3.22,0.096,13.4,2.4,8.8,90.67,2.79,1,1
"CWNU 3476",121.7041,0.086,-33.3816,0.051,250.7249,0.065,-0.5845,0.067,135,21,0.227,0.024,-2.389,0.05,2.632,0.063,12.8,1.35,7.8,"nan","nan",0,1
"CWNU 3477",340.2696,0.155,64.1496,0.031,109.2918,0.044,4.7767,0.032,136,40,0.1,0.051,-2.6,0.058,-1.259,0.06,14.75,3.0,7.0,"nan","nan",0,1
"CWNU 3478",107.7352,0.03,-17.0338,0.023,230.2898,0.014,-3.5097,0.015,138,20,0.107,0.044,-0.599,0.108,1.225,0.071,14.2,1.5,8.8,"nan","nan",0,1
"CWNU 3479",115.4036,0.007,-27.6344,0.012,242.9942,0.015,-2.3072,0.008,94,32,0.128,0.104,-1.331,0.094,2.131,0.082,14.15,2.1,8.3,131.36,2.78,1,1
"CWNU 3480",267.7026,0.089,-28.6309,0.091,0.8513,0.077,-0.8064,0.069,127,30,0.348,0.028,0.204,0.034,-0.169,0.11,12.0,2.1,7.2,-19.67,8.95,4,1
"CWNU 3481",100.3675,0.024,-1.2507,0.044,212.9082,0.05,-2.7888,0.025,48,31,0.168,0.049,-0.658,0.029,1.004,0.067,13.6,1.95,8.0,26.03,7.66,1,1
"CWNU 3482",100.0532,0.044,-5.8381,0.044,216.8644,0.04,-5.1404,0.046,205,56,0.119,0.063,-0.259,0.101,0.855,0.145,13.75,1.2,8.9,80.22,12.6,2,1
"CWNU 3483",82.6038,0.023,27.0983,0.013,179.7602,0.016,-3.8285,0.036,48,25,0.185,0.087,0.336,0.133,-0.692,0.082,13.85,2.3,8.9,7.5,3.59,1,1
"CWNU 3484",115.7969,0.017,-28.4904,0.017,243.9107,0.014,-2.4298,0.017,84,27,0.111,0.045,-1.296,0.04,2.067,0.129,14.75,2.45,7.2,"nan","nan",0,1
"CWNU 3485",113.7648,0.018,-21.6862,0.028,237.0668,0.03,-0.6929,0.022,37,22,0.241,0.044,-1.319,0.08,2.579,0.067,13.05,1.4,8.1,"nan","nan",0,1
"CWNU 3486",163.8725,0.035,-61.0907,0.012,289.3829,0.017,-1.307,0.008,42,22,0.137,0.028,-5.65,0.037,2.408,0.015,14.2,2.8,7.8,29.82,3.22,1,1
"CWNU 3487",88.8209,0.053,30.008,0.022,180.1506,0.021,2.3556,0.012,48,20,0.237,0.04,0.543,0.104,-0.384,0.118,12.95,1.45,8.2,"nan","nan",0,1
"CWNU 3488",105.8934,0.037,-18.5674,0.026,230.8534,0.03,-5.7692,0.017,56,20,0.141,0.032,-0.483,0.042,1.689,0.055,14.05,1.45,7.5,84.42,0.37,1,1
"CWNU 3489",174.6316,0.005,-63.2818,0.002,294.8428,0.002,-1.5612,0.0,30,3,0.236,0.002,-5.653,0.002,0.963,0.034,12.75,2.8,7.5,"nan","nan",0,1
"FoF 2036",81.2453,0.16,40.9737,0.138,167.5979,0.125,2.952,0.144,654,231,0.2,0.054,0.162,0.113,-0.253,0.104,13.4,2.1,7.7,-9.0,17.76,4,1
"CWNU 3491",82.4128,0.043,30.0486,0.038,177.1953,0.048,-2.3322,0.047,120,31,0.239,0.06,0.893,0.078,0.527,0.142,12.8,2.35,9.1,3.73,11.47,3,1
"CWNU 3492",113.995,1.047,-25.5437,1.858,240.5216,2.034,-2.4176,0.341,609,294,0.923,0.06,-4.905,0.173,4.064,0.121,10.2,0.05,7.8,31.61,9.89,42,1
"CWNU 3493",158.4342,0.037,-60.885,0.038,286.9491,0.034,-2.3504,0.041,59,20,0.144,0.064,-4.556,0.05,2.61,0.073,14.6,1.75,9.1,"nan","nan",0,1
"CWNU 3494",173.4637,0.052,-59.421,0.045,293.2028,0.034,1.9825,0.039,188,28,0.143,0.061,-4.959,0.1,1.384,0.118,13.45,2.05,9.6,"nan","nan",0,1
"CWNU 3495",295.6421,0.032,27.9746,0.032,63.3955,0.019,2.2925,0.03,120,23,0.115,0.041,-2.667,0.161,-5.066,0.061,14.8,3.0,8.9,-39.6,13.82,2,1
"CWNU 3496",105.4464,0.034,-17.7038,0.045,229.8849,0.049,-5.7519,0.039,71,20,0.107,0.059,-0.337,0.047,1.214,0.1,14.45,1.1,8.9,"nan","nan",0,1
"CWNU 3497",107.4625,0.039,-20.9797,0.034,233.6879,0.032,-5.5431,0.042,66,21,0.175,0.027,-0.615,0.096,1.66,0.113,14.15,1.85,8.3,"nan","nan",0,1
"CWNU 3498",287.6103,0.012,10.3092,0.01,44.2608,0.008,0.5219,0.01,59,26,0.333,0.059,-1.152,0.093,-3.479,0.162,11.9,5.6,7.7,123.32,6.87,1,1
"CWNU 3499",336.0982,0.123,64.5368,0.038,107.9221,0.059,6.0166,0.038,50,22,0.1,0.045,-1.974,0.158,-1.008,0.102,14.45,3.2,8.9,"nan","nan",0,1
"CWNU 3500",171.2741,0.061,-54.37,0.036,290.477,0.031,6.4082,0.046,77,26,0.123,0.062,-4.883,0.155,1.184,0.188,14.05,0.85,9.7,34.99,22.82,2,1
"CWNU 3501",107.6459,0.018,-22.8223,0.013,235.4191,0.014,-6.2213,0.019,127,24,0.095,0.05,-0.597,0.083,1.479,0.068,14.7,0.9,8.4,89.79,2.2,1,1
"CWNU 3502",285.9776,0.032,0.0404,0.028,34.3943,0.034,-2.7498,0.042,161,25,0.121,0.042,-2.05,0.207,-4.894,0.096,13.9,2.4,9.8,108.96,20.85,2,1
"CWNU 3503",157.8532,0.046,-53.926,0.04,283.163,0.037,3.4797,0.039,107,20,0.143,0.034,-5.431,0.12,2.711,0.1,14.25,1.55,9.2,"nan","nan",0,1
"CWNU 3504",120.4897,0.035,-33.7772,0.023,250.5197,0.025,-1.681,0.04,81,21,0.17,0.061,-2.089,0.075,3.095,0.127,13.3,1.85,8.7,62.2,2.13,1,1
"CWNU 3505",120.7996,0.081,-25.4528,0.073,243.6107,0.035,2.9528,0.11,64,28,0.186,0.024,-2.243,0.102,2.738,0.066,13.3,0.3,8.8,105.22,29.28,2,1
"CWNU 3506",111.3688,0.033,-15.6463,0.057,230.6716,0.055,0.2232,0.033,36,22,0.287,0.028,-1.579,0.057,1.772,0.035,12.4,2.0,8.0,"nan","nan",0,1
"CWNU 3507",94.7127,0.069,9.8333,0.036,200.4684,0.043,-2.6574,0.063,85,29,0.157,0.033,0.083,0.142,-0.119,0.208,13.75,1.75,8.7,61.3,8.26,1,1
"CWNU 3508",155.0906,0.029,-58.6397,0.018,284.3381,0.019,-1.3285,0.017,78,28,0.242,0.028,-5.472,0.063,2.806,0.064,12.7,2.2,8.7,28.65,9.14,1,1
"CWNU 3509",17.5195,0.087,60.8591,0.028,125.1994,0.04,-1.9295,0.026,43,22,0.188,0.04,-0.873,0.033,-0.553,0.053,13.15,1.95,8.7,"nan","nan",0,1
"CWNU 3510",149.8436,0.016,-54.5103,0.01,279.5985,0.01,0.3735,0.012,60,29,0.099,0.077,-4.497,0.096,2.582,0.077,14.3,2.85,9.3,84.64,2.84,1,1
"CWNU 3511",129.2139,0.029,-47.6174,0.043,265.6589,0.04,-4.046,0.027,90,20,0.146,0.046,-2.569,0.053,3.184,0.079,14.85,1.4,9.2,63.3,2.89,1,1
"CWNU 3512",60.2836,0.027,56.9109,0.018,146.6715,0.022,3.0551,0.023,99,22,0.162,0.068,0.305,0.091,-0.116,0.101,13.2,2.0,8.6,"nan","nan",0,1
"CWNU 3513",354.4054,0.029,60.3545,0.017,113.9225,0.016,-1.2165,0.021,72,22,0.255,0.057,-3.117,0.116,-1.638,0.085,13.0,5.5,7.7,-81.47,3.0,1,1
"CWNU 3514",139.3015,0.047,-53.3758,0.017,274.2162,0.016,-2.9032,0.029,75,26,0.146,0.037,-3.258,0.066,2.922,0.048,13.9,1.55,8.7,"nan","nan",0,1
"CWNU 3515",115.5958,0.027,-26.0957,0.024,241.7379,0.021,-1.394,0.02,53,23,0.26,0.029,-1.42,0.07,1.447,0.057,12.75,1.65,7.5,"nan","nan",0,1
"CWNU 3516",125.3881,0.035,-40.1715,0.035,258.0053,0.027,-1.9239,0.036,109,54,0.434,0.116,-3.942,0.105,3.671,0.105,11.45,5.3,8.3,17.87,11.95,2,1
"CWNU 3517",88.3353,0.086,36.1435,0.046,174.6335,0.07,5.0775,0.052,111,34,0.198,0.062,-0.12,0.206,-0.853,0.065,13.5,1.45,7.7,"nan","nan",0,1
