"ID","RAdeg","e_RAdeg","DEdeg","e_DEdeg","GLON","e_GLON","GLAT","e_GLAT","Num","NCore","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","m-M","A0","logA","RVel","e_Rvel","o_Rvel","Type"
"CWNU 2966",117.1166,0.082,-19.3178,0.061,236.5697,0.043,3.208,0.064,154,37,0.221,0.064,-2.073,0.065,2.755,0.105,13.1,1.25,9.2,93.86,1.81,4,1
"CWNU 2967",7.4868,0.104,60.3823,0.04,120.2789,0.046,-2.3778,0.037,85,17,0.16,0.043,-1.081,0.117,-0.547,0.106,13.55,2.65,8.9,-61.91,4.54,1,1
"CWNU 2968",104.2815,0.027,-23.5682,0.034,234.7117,0.026,-9.3281,0.033,122,45,0.139,0.05,-0.421,0.049,2.001,0.083,13.9,0.35,8.8,72.6,0.4,2,1
"CWNU 2969",83.3033,0.025,38.9654,0.023,170.1366,0.017,3.1587,0.029,131,42,0.195,0.102,0.492,0.1,-0.271,0.092,13.6,2.45,8.0,-6.66,3.26,1,1
"CWNU 2970",48.9945,0.975,56.5539,0.374,141.8821,0.705,-0.9276,0.194,56,23,1.024,0.032,3.148,0.075,-2.387,0.109,10.0,2.15,8.1,-17.08,9.81,1,1
"CWNU 2971",200.2229,0.058,-64.286,0.012,306.1204,0.025,-1.5956,0.014,136,31,0.113,0.056,-7.06,0.079,-0.867,0.053,13.95,2.7,9.3,-11.28,0.89,3,1
"CWNU 2972",98.6624,0.028,-8.8664,0.019,218.9664,0.015,-7.7401,0.034,144,62,0.103,0.088,0.163,0.083,0.449,0.087,14.25,1.35,8.9,"nan","nan",0,1
"CWNU 2973",6.1001,0.05,67.2214,0.015,120.3125,0.023,4.4897,0.015,81,39,0.171,0.077,-2.001,0.113,-0.592,0.113,14.95,5.35,6.7,"nan","nan",0,1
"CWNU 2974",122.7979,0.035,-46.5431,0.024,262.277,0.023,-7.0209,0.024,341,125,0.126,0.097,-2.549,0.13,4.4,0.159,13.9,0.9,9.4,78.36,9.97,2,1
"CWNU 2975",160.3069,0.023,-61.5473,0.01,288.0619,0.01,-2.4931,0.011,121,35,0.118,0.054,-5.618,0.057,2.628,0.064,13.8,1.65,7.8,"nan","nan",0,1
"CWNU 2976",296.4774,0.017,24.1802,0.018,60.4828,0.013,-0.2499,0.012,47,31,0.251,0.058,-1.691,0.074,-4.284,0.075,13.55,5.75,6.7,"nan","nan",0,1
"CWNU 2977",118.6164,0.019,-38.2359,0.016,253.5396,0.017,-5.3016,0.015,279,109,0.088,0.089,-1.306,0.101,2.205,0.139,15.0,2.15,8.2,110.01,3.16,4,1
"CWNU 2978",116.7641,0.057,-33.2034,0.049,248.4195,0.066,-4.0547,0.048,200,87,0.256,0.083,-3.223,0.125,3.053,0.102,12.45,4.35,9.3,56.69,2.31,5,1
"Majaess 225",354.7328,0.084,62.0559,0.113,114.5461,0.045,0.3698,0.099,128,47,0.322,0.02,-3.389,0.138,-1.682,0.068,12.3,3.35,7.2,"nan","nan",0,1
"CWNU 2979",8.2918,0.021,65.1194,0.01,121.0102,0.009,2.3161,0.011,119,57,0.191,0.077,-2.51,0.133,-0.341,0.131,14.55,5.2,6.7,-86.84,85.78,2,1
"CWNU 2980",118.0034,0.048,-26.8178,0.038,243.4396,0.03,0.0994,0.032,103,29,0.17,0.039,-1.657,0.06,2.2,0.065,13.35,0.9,9.1,94.06,8.41,3,1
"CWNU 2981",114.9285,0.04,-18.2622,0.039,234.6275,0.037,1.9271,0.044,122,34,0.226,0.051,-2.145,0.055,1.804,0.086,12.9,1.65,8.2,69.01,0.3,1,1
"CWNU 2982",103.4923,0.039,-9.9403,0.054,222.0756,0.064,-3.9603,0.05,131,43,0.313,0.05,-0.276,0.068,-1.125,0.076,12.25,1.7,8.8,53.12,2.14,1,1
"CWNU 2983",30.7601,0.056,63.0017,0.021,130.9529,0.016,1.249,0.024,50,17,0.284,0.045,-0.674,0.054,-0.448,0.04,12.45,1.85,8.5,"nan","nan",0,1
"CWNU 2984",36.3292,0.091,58.2511,0.054,135.048,0.058,-2.3992,0.056,138,62,0.216,0.088,-1.753,0.102,0.729,0.069,13.1,2.75,8.9,-36.19,2.94,2,1
"CWNU 2985",306.5942,0.031,36.4469,0.013,75.5015,0.017,-0.9873,0.023,112,63,0.334,0.08,-1.827,0.152,-2.776,0.138,11.85,5.35,8.8,-10.07,1.87,2,1
"CWNU 2986",111.8007,0.029,-27.1745,0.029,241.0431,0.033,-4.8857,0.017,88,28,0.235,0.061,-1.694,0.061,3.645,0.071,13.6,1.1,9.1,82.88,4.21,1,1
"CWNU 2987",113.0464,0.028,-11.814,0.027,228.0998,0.032,3.4734,0.022,119,45,0.156,0.073,-0.672,0.097,1.439,0.087,13.65,0.6,9.2,105.95,29.96,2,1
"CWNU 2988",5.993,0.087,64.7231,0.02,120.0025,0.04,2.0115,0.025,85,32,0.286,0.036,-2.408,0.082,-0.46,0.065,12.45,3.95,7.2,"nan","nan",0,1
"CWNU 2989",103.3696,0.016,7.6154,0.024,206.3754,0.014,3.9132,0.025,39,20,0.131,0.057,-0.266,0.056,-0.204,0.098,13.7,1.1,8.2,"nan","nan",0,1
"CWNU 2990",301.63,0.009,35.5747,0.006,72.5335,0.006,1.8538,0.007,79,38,0.082,0.067,-2.932,0.118,-4.905,0.085,16.65,5.6,6.7,"nan","nan",0,1
"CWNU 2991",93.4086,0.024,29.6246,0.021,182.4328,0.02,5.6488,0.017,87,44,0.292,0.085,-0.191,0.11,-1.421,0.109,12.25,2.35,7.6,"nan","nan",0,1
"CWNU 2992",9.4922,0.136,61.5278,0.045,121.3262,0.067,-1.3025,0.042,66,36,0.159,0.055,-1.802,0.066,-0.587,0.058,13.35,2.9,8.6,-97.28,10.14,3,1
"CWNU 2993",11.2233,0.075,67.4581,0.013,122.3021,0.03,4.5941,0.011,85,33,0.166,0.06,-2.255,0.089,0.298,0.081,13.35,3.65,8.0,-97.12,0.99,1,1
