"name","lon","lat","plx","d_kpc","pmRA","pmDE","R_arcmin","N","Age_Myr","Rv","Av","Z","RA_ICRS","DE_ICRS"
"Casado 82",72.61,2.59,0.493,2.0,-3.24,-6.24,9.0,39,5.8,-22,1.55,0.015,300.91,36.04
"Casado-Hendy 1",73.31,1.17,0.49,1.99,-3.19,-6.31,8.1,39,5.9,-24,1.55,0.017,302.85,35.85
