"Name","RA_ICRS","DE_ICRS","GLON","GLAT","pmRA","pmDE","Plx","d_pc","RV","logt","Av","diffAV50","CST","N","r50pc","CMDCl50"
"UPK_560             ",158.35990974,-44.50325828,278.56393569,11.74,-12.40880515,4.03095396,1.6706986,590.44910413,9.54524282,8.43064642,0.11093399,0.7336913,14.84999917,162,11.92,0.643
"UPK_562             ",165.95467396,-57.02446614,288.65587895,2.834,-11.66706095,4.83612883,1.19940123,803.87157499,-3.50078228,8.70357752,0.13273825,0.63324982,9.18057875,75,4.32,0.995
"UPK_567             ",160.95097758,-67.51979748,291.16677353,-7.612,-6.4026466,0.19744828,1.56058404,631.6174112,6.94591761,8.61373377,0.43092097,1.03999746,16.45659581,138,8.99,0.914
"UPK_569             ",170.37996059,-72.1139612,296.07383125,-10.45,-25.42415955,-1.04915244,4.02693876,245.60662439,3.93597475,7.43425035,0.61876354,0.70446303,18.30827482,145,6.18,0.993
"UPK_578             ",193.00060099,-57.37408211,303.00836357,5.498,-12.94754464,-4.5745438,1.0601017,916.40203832,-3.24766038,8.74181128,0.72610483,0.56864467,13.62684633,79,2.76,0.965
"UPK_579             ",193.30152018,-50.83242077,303.21739134,12.04,-10.57675138,-3.29939021,1.3668831,708.56539674,-0.8293195,8.22630739,0.14388764,0.50496492,12.17817174,131,11.46,0.997
"UPK_585             ",212.60936327,-75.8519061,307.80951204,-13.73,-6.77778023,-5.60562085,1.39393971,698.14435815,-22.0632354,7.97893286,0.21951802,0.38567859,8.76490521,64,6.43,0.988
"UPK_587             ",201.15033689,-49.92700804,308.39002182,12.59,-8.78817025,-2.62071009,1.10301691,882.46323495,-17.04909246,8.16515541,0.15675582,0.62573513,6.78675053,53,3.28,0.999
"UPK_594             ",218.77576993,-67.93733589,312.45248772,-7.003,-2.05274453,-3.12630079,1.04514928,921.22537876,-0.11113456,8.01678371,0.71989256,1.10655773,7.3343282,95,5.46,0.995
"UPK_595             ",218.12509907,-67.19171908,312.51246876,-6.219,-5.95570734,-4.00643415,1.16574916,829.06245702,-0.29015054,8.10087204,0.98085889,0.99752453,7.41584335,38,3.55,0.989
"UPK_599             ",206.08919717,-38.7697974,314.10485934,22.95,-10.02166597,0.28401382,1.46264219,664.10168737,-8.64785079,7.11724353,0.18915591,0.81567246,15.7991588,150,7.86,0.949
"UPK_604             ",224.52007833,-59.66739171,318.30444098,-0.63,-4.57601159,-3.69454856,1.31970787,735.45147565,-2.11819334,6.89490414,1.09053963,1.51564264,11.24896912,50,2.35,0.566
