"Name","q_Name","GLON","GLAT","Rad","Age","Rgc","pmRA","e_pmRA","pmDE","e_pmDE","HRV","e_HRV","Fe/H","e_Fe/H","N*","SimbadName","RA","DEC"
"Berkeley 43  ",1,45.6843,-0.1391,6.3,"0.61",7.12,-0.92,0.08,-3.27,0.07,30.0,0.1,0.03,0.01,1,"Cl Berkeley 43                 ",288.877,11.265
"SAI 116      ",1,295.7611,-0.2217,3.6,"0.48",7.29,-7.74,0.04,1.28,0.03,-14.1,0.1,0.16,0.01,2,"SAI 116                        ",177.322,-62.225
"ASCC 21      ",0,199.9498,-16.5116,19.2,"0.01",8.34,1.28,0.23,-0.29,0.05,20.0,0.7,-0.18,0.01,3,"[KPR2005] 21                   ",82.26,3.56
"Ruprecht 82  ",1,277.7085,-0.4503,3.1,"0.23",8.01,-6.39,0.04,4.38,0.04,2.1,0.1,-0.03,0.01,1,"Cl Ruprecht 82                 ",146.438,-53.9681
"Collinder 69 ",0,195.1694,-12.0054,15.6,"0.01",8.39,0.94,0.13,-1.99,0.1,28.1,1.9,-0.12,0.04,30,"Cl Collinder 69                ",83.835,9.83
"FSR 0816     ",0,177.0913,0.2039,3.9,"0.06",10.22,0.9,0.06,-3.32,0.3,-18.4,1.9,-0.1,0.02,2,"[FSR2007] 0816                 ",84.832,31.516
"NGC 2355     ",1,203.3897,11.8027,6.0,"0.79",9.95,-3.38,0.06,-1.33,0.06,35.5,0.0,-0.14,0.01,1,"NGC 2355                       ",109.246,13.75
"NGC 1980     ",0,209.5301,-19.5798,9.3,"0",8.43,1.26,0.09,0.76,0.08,26.2,1.0,-0.08,0.04,9,"NGC 1980                       ",83.865,-5.915
"FSR 0494     ",2,120.0882,1.0206,5.7,"2",11.43,-2.52,0.04,-0.86,0.04,-64.0,0.3,-0.01,0.01,4,"[FSR2007] 0494                 ",6.42,63.75
"Berkeley 79  ",0,31.1631,0.9187,3.9,"0.01",6.05,-0.76,0.06,-2.01,0.05,13.4,0.1,0.32,0.01,1,"Cl Berkeley 79                 ",281.235,-1.155
"FSR 0656     ",0,148.5631,0.3661,4.8,"0.79",9.22,1.7,0.06,-0.6,0.05,-43.6,0.0,-0.32,0.01,1,"[FSR2007] 0656                 ",59.7151,53.64
"NGC 358      ",0,124.5435,-0.8071,5.0,"0",11.15,-0.88,0.03,-0.59,0.03,-71.0,0.0,-0.31,0.01,1,"NGC 358                        ",16.2959,62.0216
"Chupina 5    ",0,215.8374,32.3036,5.0,"0",8.58,-11.02,0.05,-3.1,0.03,33.2,0.1,0.09,0.01,1,"Cl Chupina 5                   ",133.2542,11.8617
