"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_2090,NGC_3033","nan",279.567,0.063,-2.035,0.055,0.197,0.528,0.015,-7.535,0.218,4.272,0.209,64,0.576,0.0346,0.25,1,1345.0,798.0,7585.0,0,147.1563,-56.3754
"FoF_2094","n",294.863,0.056,-0.177,0.052,0.164,0.542,0.03,-3.78,0.287,1.257,0.208,80,0.275,0.0165,0.25,1,"nan","nan","nan",0,175.4893,-61.9554
"FoF_2098,SAI_118","nan",308.743,0.047,-0.859,0.039,0.142,0.507,0.033,-4.501,0.284,-2.282,0.226,105,0.021,0.0013,0.0,1,1722.0,1101.0,8685.0,0,205.8098,-63.1448
"FoF_2099,Trumpler_21","nan",307.58,0.07,-0.284,0.049,0.193,0.728,0.041,-4.674,0.209,-2.273,0.202,122,0.033,0.002,0.5,1,1700.0,1201.0,8638.0,0,203.0662,-62.7867
"FoF_2100","n",319.243,0.062,-2.089,0.055,0.168,0.453,0.016,-3.492,0.425,-3.443,0.356,93,0.525,0.0315,0.5,1,"nan","nan","nan",0,227.5882,-60.4843
"FoF_2101,Collinder_292","nan",325.036,0.046,-2.585,0.042,0.123,0.529,0.024,-2.413,0.202,-2.219,0.218,72,0.063,0.0038,-0.25,1,1875.0,235.0,9168.0,0,237.4064,-57.5972
"FoF_2102,NGC_6031","nan",329.274,0.041,-1.501,0.036,0.122,0.547,0.037,-2.171,0.359,-3.049,0.183,90,0.029,0.0017,0.25,1,1894.0,852.0,9316.0,0,241.89,-54.022
"FoF_2107,NGC_6383","nan",355.665,0.057,0.072,0.069,0.282,0.932,0.077,2.545,0.323,-1.642,0.269,150,0.007,0.0004,0.0,1,2116.0,878.0,10764.0,1,263.6534,-32.5707
"FoF_2117","n",28.734,0.064,-1.574,0.094,0.284,0.608,0.028,1.079,0.171,0.068,0.184,120,1.41,0.0846,-0.5,1,"nan","nan","nan",0,282.3468,-4.4535
"FoF_2118","n",28.705,0.116,-1.549,0.087,0.317,0.673,0.029,1.083,0.225,0.148,0.221,161,0.933,0.056,-0.25,1,"nan","nan","nan",0,282.3113,-4.4679
"FoF_2119,NGC_6735","nan",33.537,0.056,-2.279,0.06,0.172,0.462,0.021,0.084,0.242,-1.282,0.218,62,0.676,0.0406,0.25,1,2421.0,911.0,1415.0,0,285.1636,-0.5008
"FoF_2123","n",59.388,0.057,-2.479,0.039,0.147,0.592,0.033,-0.803,0.171,-2.38,0.316,59,0.363,0.0218,-0.25,1,"nan","nan","nan",1,297.9662,22.1113
"FoF_2124,Gulliver_60","nan",68.429,0.102,-2.641,0.101,0.47,0.909,0.04,1.752,0.241,0.191,0.201,133,0.044,0.0026,-0.25,1,"nan",514.0,"nan",0,303.4476,29.6844
"FoF_2126,Gulliver_24","nan",117.613,0.105,0.44,0.058,0.371,0.639,0.045,-3.185,0.286,-1.48,0.272,96,0.209,0.0125,-0.25,1,"nan",474.0,"nan",1,1.1482,62.827
"FoF_2127,NGC_189","nan",121.524,0.09,-1.739,0.053,0.237,0.768,0.027,0.323,0.208,-3.307,0.195,69,0.562,0.0337,0.25,1,49.0,691.0,3698.0,0,9.9465,61.1009
"FoF_2128,NGC_381","nan",124.941,0.098,-1.209,0.075,0.404,0.854,0.039,1.599,0.181,-2.254,0.248,160,0.363,0.0218,0.25,1,83.0,814.0,3783.0,0,17.0852,61.5968
"FoF_2129,NGC_663","nan",129.411,0.196,-1.073,0.12,0.506,0.456,0.021,-1.067,0.346,-0.308,0.256,121,1.1,0.066,0.5,1,115.0,899.0,"nan",1,26.3671,61.1172
"FoF_2131,NGC_581","nan",128.029,0.097,-1.82,0.096,0.452,0.455,0.024,-1.367,0.267,-0.544,0.389,94,0.06,0.0036,0.5,1,101.0,845.0,3852.0,1,23.2934,60.638
"FoF_2134","n",136.009,0.701,-2.08,0.154,1.327,0.454,0.017,-0.235,0.467,-0.793,0.511,252,0.141,0.0085,0.0,1,"nan","nan","nan",0,38.2606,58.1885
"FoF_2138,NGC_1528","nan",152.069,0.207,0.271,0.128,0.734,0.958,0.058,2.161,0.277,-2.232,0.232,304,0.288,0.0173,0.25,1,260.0,672.0,4406.0,0,63.8745,51.2162
"FoF_2139","n",157.327,0.133,-1.408,0.111,0.39,0.888,0.052,0.332,0.258,-4.22,0.24,156,0.331,0.0199,-0.25,1,"nan","nan","nan",1,67.6835,46.2993
"FoF_2141,NGC_1778","nan",168.919,0.097,-2.008,0.088,0.3,0.57,0.039,0.502,0.244,-3.134,0.202,123,0.204,0.0122,-0.25,1,341.0,685.0,4707.0,0,77.036,37.0151
"FoF_2143","n",184.003,0.081,2.323,0.044,0.216,0.519,0.044,0.393,0.213,-0.022,0.167,61,0.955,0.0573,-0.25,1,"nan","nan","nan",0,90.9577,26.6563
"FoF_2145,NGC_2396","nan",227.518,0.15,2.619,0.093,0.378,0.664,0.029,-1.514,0.267,-0.271,0.255,114,0.263,0.0158,0.25,1,926.0,746.0,6257.0,0,111.9901,-11.7159
"FoF_2146,NGC_2571","nan",249.13,0.107,3.517,0.057,0.31,0.716,0.04,-4.928,0.209,4.273,0.212,103,0.02,0.0012,-0.5,1,1141.0,777.0,6806.0,0,124.7344,-29.7783
