fname,N_clust,N_clust_max
hsc763,nan,36
cwnu1352,nan,60
cwnu2055,nan,27
cwnu1790,nan,35
cwwdl1938,nan,67
ubc384,nan,74
cwnu2861,nan,25
ubc1147,nan,81
cwnu4617,nan,154
hsc764,nan,175
cwnu3050,nan,105
cwnu3424,nan,50
hsc765,nan,44
cwnu2056,nan,27
oc0158,nan,25
cwnu1192,nan,25
cwnu1765,nan,35
hsc766,nan,27
cwnu3972,nan,181
cwnu3080,nan,89
hsc759,nan,372
cwnu2125,nan,25
hsc767,nan,25
upk160,nan,76
cwnu144,nan,57
hsc768,nan,25
ubc1148,nan,40
cwnu2117,nan,25
cwnu1989,nan,25
hsc769,nan,37
cwnu3149,nan,219
hsc770,nan,25
ubc385,nan,41
ubc1149,nan,66
hsc771,nan,26
cwnu4752,nan,131
cwnu3349,nan,116
oc0159,nan,27
cwnu2396,nan,78
cwnu2390,nan,80
cwnu3850,nan,77
hsc772,nan,25
hsc773,nan,74
cwnu3652,nan,108
cwnu4728,nan,122
cwnu3608,nan,115
cwnu3661,nan,76
hsc774,nan,25
cwnu1965,nan,28
theia3308,nan,25
ubc1572,nan,25
cwnu1276,nan,70
cwnu125,nan,49
cwnu1376,nan,57
theia990,nan,65
hsc776,nan,25
cwnu309,nan,97
ubc1150,nan,55
oc0160,nan,25
hsc777,nan,75
theia619,nan,74
cwnu1225,nan,49
cwnu4027,nan,139
cwnu295,nan,54
oc0161,nan,25
cwnu2583,nan,112
cwnu4724,nan,175
hsc779,nan,27
ubc592,nan,31
cwnu2613,nan,104
cwnu1748,nan,27
cwnu1110,nan,28
upk164,nan,148
cwwdl14476,nan,70
cwnu3122,nan,76
cwnu4472,nan,45
cwnu2375,nan,83
cwnu4327,nan,64
cwnu1244,nan,70
oc0162,nan,25
oc0163,nan,25
ubc1151,nan,58
cwwdl14026,nan,41
cwnu2256,nan,25
oc0164,nan,41
cwnu1982,nan,28
cwnu3969,nan,92
cwwdl14299,nan,62
upk166,nan,385
cwnu1211,nan,28
cwnu2096,nan,25
cwnu1882,nan,25
hsc782,nan,47
hsc778,nan,50
ubc1152,nan,48
ubc1153,nan,50
hsc784,nan,25
cwnu4707,nan,283
cwwdl14087,nan,43
hsc785,nan,39
cwnu3001,nan,86
ubc386,nan,152
upk167,nan,198
cwnu1987,nan,28
ubc387,nan,75
fof1789,nan,145
cwwdl14069,nan,40
cwnu1524,nan,33
cwnu3964,nan,61
oc0165,nan,25
cwwdl8237,nan,78
ubc163,nan,163
cwwdl14170,nan,72
cwwdl14131,nan,187
cwwdl13945,nan,41
hxhwl28,nan,140
ubc1154,nan,60
fof2295,nan,339
cwnu3572,nan,321
cwwdl14210,nan,68
cwnu214,nan,113
cwnu162,nan,59
cwnu4451,nan,79
cwnu1017,nan,32
cwnu4635,nan,315
cwnu3732,nan,57
ubc1155,nan,25
theia776,nan,25
fof1798,nan,278
hsc786,nan,28
cwnu2074,nan,25
ubc164,nan,152
cwnu1669,nan,28
cwnu3399,nan,68
hsc787,nan,25
cwnu4264,nan,131
oc0166,nan,59
cwnu2207,nan,25
cwwdl14285,nan,35
cwnu2541,nan,54
cwnu3253,nan,77
oc0167,nan,36
cwnu2069,nan,25
ubc166,nan,58
cwnu4774,nan,34
upk168,nan,297
theia5280,nan,47
cwnu4367,nan,93
cwnu2544,nan,54
oc0168,nan,38
upk169,nan,107
ubc1156,nan,27
cwnu4717,nan,87
cwnu4450,nan,80
hsc788,nan,25
cwnu3893,nan,82
cwnu3762,nan,35
cwnu187,nan,59
cwnu3737,nan,44
cwwdl14215,nan,33
cwwdl574,nan,68
ubc1157,nan,58
ubc1158,nan,35
cwnu312,nan,49
hsc789,nan,25
cwnu2658,nan,46
cwnu2447,nan,70
cwnu4594,nan,88
oc0169,nan,25
hsc790,nan,25
cwnu2555,nan,52
cwnu3705,nan,57
hsc791,nan,25
theia4535,nan,121
hxhwl23,nan,60
cwwdl2552,nan,70
cwnu2007,nan,27
cwwdl13357,nan,43
ubc1159,nan,88
cwwdl6027,nan,75
ubc10a,nan,27
cwnu1193,nan,25
theia280,nan,89
cwnu3007,nan,92
oc0170,nan,48
cwnu4703,nan,118
hsc792,nan,46
cwnu4371,nan,45
ubc10b,nan,112
cwnu4378,nan,81
ubc167,nan,62
upk172,nan,193
ubc168,nan,200
cwnu1549,nan,68
cwwdl14213,nan,64
oc0171,nan,70
cwnu3121,nan,96
hsc793,nan,56
theia4560,nan,816
oc0172,nan,44
cwnu4395,nan,114
oc0173,nan,27
hsc794,nan,33
hsc795,nan,25
cwnu3072,nan,117
hsc796,nan,73
hsc797,nan,52
cwnu1175,nan,32
cwnu1221,nan,57
ubc1160,nan,112
cwnu4078,nan,60
hsc798,nan,25
cwnu4409,nan,140
cwnu3453,nan,89
cwnu3238,nan,157
ubc1161,nan,59
cwnu2001,nan,25
cwwdl10380,nan,32
ubc1162,nan,49
hsc800,nan,25
hsc801,nan,51
cwwdl6029,nan,49
theia2665,nan,34
hsc803,nan,32
cwnu2458,nan,67
hsc804,nan,38
oc0174,nan,44
cwnu4555,nan,168
cwnu4670,nan,266
cwnu1235,nan,36
hsc805,nan,33
ubc1163,nan,207
cwnu3010,nan,159
cwnu1027,nan,30
cwwdl10371,nan,35
hsc806,nan,29
cwnu3587,nan,131
theia873,nan,51
ocsn33,nan,259
cwnu1639,nan,41
cwnu4010,nan,152
cwnu2707,nan,43
cwwdl10366,nan,36
cwnu243,nan,96
cwwdl13358,nan,33
fof1807,nan,164
cwnu4118,nan,163
ubc1164,nan,25
hsc807,nan,29
cwnu3742,nan,45
cwnu3224,nan,127
fof1809,nan,153
oc0175,nan,44
cwwdl2547,nan,96
hsc808,nan,25
cwnu1716,nan,38
ubc169,nan,61
cwwdl13287,nan,41
hsc809,nan,25
cwnu1721,nan,41
cwnu2746,nan,75
cwnu1636,nan,41
cwnu1105,nan,49
ubc1165,nan,99
theia6979,nan,33
oc0176,nan,25
cwwdl2551,nan,89
cwnu1872,nan,25
hsc810,nan,51
cwnu4285,nan,99
cwnu3660,nan,67
hsc811,nan,25
oc0177,nan,44
theia5,nan,155
cwnu137,nan,171
ocsn34,nan,126
cwnu4174,nan,224
hsc812,nan,25
cwnu209,nan,51
cwnu4720,nan,88
hsc813,nan,47
cwnu1189,nan,25
cwnu3379,nan,355
ubc388,nan,61
ocsn35,nan,459
theia824,nan,240
hsc814,nan,25
theia1297,nan,75
cwnu4725,nan,124
cwnu1038,nan,174
hsc815,nan,25
cwnu1002,nan,54
oc0178,nan,27
cwnu286,nan,88
hsc816,nan,25
oc0179,nan,32
theia100,nan,125
cwnu4615,nan,67
hsc817,nan,33
ubc1166,nan,38
cwnu2934,nan,81
theia117,nan,77
oc0180,nan,48
upk178,nan,68
cwnu1270,nan,25
cwnu4153,nan,86
cwnu3243,nan,167
hsc818,nan,28
cwnu3221,nan,121
ubc1167,nan,36
cwnu3125,nan,137
hsc821,nan,29
cwwdl3304,nan,315
oc0181,nan,59
upk180,nan,67
hsc823,nan,25
cwnu4508,nan,71
fof1800,nan,267
cwnu3727,nan,54
cwwdl2544,nan,651
cwnu161,nan,54
cwnu1107,nan,33
cwnu4592,nan,147
cwnu1744,nan,38
cwnu348,nan,51
cwnu1156,nan,32
theia3779,nan,42
oc0182,nan,86
oc0183,nan,49
theia5356,nan,51
ubc1168,nan,51
hsc824,nan,25
ubc389,nan,91
cwnu4528,nan,127
cwnu3323,nan,62
ubc390,nan,54
ubc1169,nan,72
oc0184,nan,38
upk185,nan,215
theia1474,nan,69
cwnu3390,nan,96
fof2275,nan,137
cwnu1772,nan,27
cwwdl14300,nan,51
cwnu1055,nan,60
ocsn36,nan,96
cwnu2151,nan,25
theia401,nan,194
oc0185,nan,27
cwnu1115,nan,107
cwnu4523,nan,91
hsc826,nan,45
ubc1170,nan,25
cwwdl228,nan,75
ubc172,nan,137
cwwdl14500,nan,33
ubc391,nan,33
hsc828,nan,25
cwnu4173,nan,150
ubc173,nan,234
cwnu1126,nan,41
cwnu1860,nan,32
cwnu3763,nan,35
cwnu1230,nan,51
hsc829,nan,25
cwnu1650,nan,30
oc0186,nan,44
cwnu2367,nan,25
cwnu117,nan,60
cwwdl1062,nan,492
ubc174,nan,288
cwnu241,nan,54
ubc1171,nan,48
oc0187,nan,33
ubc1172,nan,105
hsc830,nan,25
hsc831,nan,27
hsc825,nan,25
cwnu3334,nan,63
hsc832,nan,63
cwnu3659,nan,67
oc0188,nan,33
ubc175,nan,193
cwnu505,nan,60
oc0189,nan,27
cwnu4246,nan,35
cwnu4219,nan,62
cwnu3829,nan,112
hsc833,nan,59
cwnu4493,nan,53
hsc835,nan,25
lisciii3312,nan,472
cwwdl4532,nan,43
ubc1173,nan,45
upk189,nan,74
hsc836,nan,72
oc0190,nan,25
cwnu4355,nan,42
cwnu1205,nan,27
cwnu4730,nan,293
cwnu1228,nan,201
oc0192,nan,28
oc0191,nan,36
hsc837,nan,59
upk191,nan,90
cwnu1875,nan,25
hsc865,nan,25
cwnu2159,nan,25
hsc838,nan,54
hsc839,nan,39
cwnu3663,nan,76
hsc841,nan,47
cwnu508,nan,72
cwnu4417,nan,274
cwnu3499,nan,50
hsc842,nan,30
fof1816,nan,717
cwnu2204,nan,25
ubc593,nan,43
hsc844,nan,25
ubc392,nan,52
hsc845,nan,27
oc0193,nan,36
upk194,nan,124
cwnu2183,nan,25
hsc859,nan,25
cwnu2155,nan,25
cwnu1141,nan,131
fof1817,nan,341
cwnu58,nan,140
oc0194,nan,84
oc0195,nan,43
ubc393,nan,125
ubc176,nan,168
theia2897,nan,86
hsc846,nan,25
ubc394,nan,49
theia1001,nan,105
hsc848,nan,25
hsc849,nan,62
cwnu1325,nan,62
ubc395,nan,25
cwnu3831,nan,83
theia710,nan,45
cwwdl578,nan,59
hsc852,nan,82
hsc749,nan,146
cwwdl14638,nan,52
cwnu1118,nan,70
hsc853,nan,83
cwnu3963,nan,102
cwwdl14637,nan,51
cwnu463,nan,102
oc0196,nan,28
cwnu297,nan,46
cwnu447,nan,73
ubc1174,nan,26
cwnu1056,nan,56
cwnu3555,nan,193
cwnu2215,nan,25
cwnu2169,nan,25
cwnu2564,nan,52
cwwdl14622,nan,32
cwnu2273,nan,25
ubc1175,nan,76
hsc854,nan,48
theia4401,nan,88
cwnu3754,nan,93
hsc878,nan,88
hsc855,nan,25
oc0197,nan,25
cwnu3726,nan,48
hsc856,nan,45
cwnu1625,nan,41
cwnu23,nan,92
hsc857,nan,33
cwnu83,nan,107
hsc858,nan,25
cwnu3477,nan,136
cwnu3227,nan,48
cwnu1254,nan,28
cwwdl14502,nan,43
ubc396,nan,78
cwnu1546,nan,46
hsc860,nan,28
theia4245,nan,39
hsc861,nan,38
hsc862,nan,28
cwnu2940,nan,101
hsc863,nan,34
oc0198,nan,30
theia164,nan,238
oc0199,nan,30
cwnu1537,nan,46
cwnu415,nan,48
cwwdl6062,nan,56
cwwdl14636,nan,64
cwnu225,nan,78
oc0200,nan,25
cwnu3169,nan,44
upk198,nan,64
cwwl2761,nan,94
cwnu498,nan,62
hsc864,nan,27
cwnu3419,nan,51
cwwdl2577,nan,46
cwnu1774,nan,35
cwnu446,nan,184
cwnu1566,nan,44
cwnu1844,nan,33
cwnu419,nan,59
hsc866,nan,35
theia2902,nan,75
ubc1573,nan,27
cwnu3259,nan,42
ubc1574,nan,32
theia2526,nan,88
cwwdl14151,nan,32
cwnu3365,nan,203
fof1822,nan,274
hsc868,nan,88
cwnu394,nan,153
upk201,nan,47
cwwdl14366,nan,54
hsc869,nan,25
cwnu3839,nan,63
hsc870,nan,31
cwnu1997,nan,28
ubc397,nan,73
hsc872,nan,26
cwnu2651,nan,92
ocsn37,nan,40
cwnu502,nan,86
ubc1176,nan,41
hsc873,nan,47
cwnu4445,nan,81
theia4,nan,85
cwnu369,nan,48
cwnu428,nan,52
ubc177,nan,68
fof2249,nan,690
cwnu1469,nan,88
cwnu1600,nan,43
oc0201,nan,33
cwnu2441,nan,25
cwnu1823,nan,25
hsc875,nan,25
cwnu504,nan,60
cwnu1624,nan,41
cwnu4214,nan,64
cwnu2365,nan,25
hsc876,nan,25
cwwdl2573,nan,76
oc0202,nan,27
cwnu4080,nan,52
fof1821,nan,250
theia1528,nan,25
hsc877,nan,56
hsc879,nan,49
cwnu2203,nan,25
hsc880,nan,25
oc0203,nan,40
cwnu459,nan,75
hsc881,nan,25
cwwdl14172,nan,33
cwnu1240,nan,30
cwnu4129,nan,40
ubc178,nan,65
hsc882,nan,54
cwnu462,nan,121
hxhwl45,nan,94
theia8,nan,75
oc0204,nan,25
cwnu1299,nan,67
hsc883,nan,25
cwnu1793,nan,35
cwnu1241,nan,49
ubc1177,nan,47
theia46,nan,25
hsc884,nan,50
ubc1178,nan,48
cwnu1424,nan,54
ocsn38,nan,96
hsc885,nan,34
hsc886,nan,25
hsc887,nan,65
hsc888,nan,243
hsc889,nan,36
ubc1179,nan,25
cwnu1498,nan,49
cwnu1632,nan,41
hsc890,nan,25
hsc891,nan,29
hsc892,nan,25
hsc893,nan,33
cwnu2262,nan,25
ubc179,nan,178
theia10,nan,145
cwwdl13503,nan,67
theia1232,nan,25
hsc894,nan,25
ubc1180,nan,52
hsc896,nan,54
cwwdl10393,nan,52
cwnu2932,nan,131
cwnu1640,nan,30
cwnu1502,nan,49
cwwdl2581,nan,115
cwwdl14648,nan,59
cwnu2556,nan,52
cwnu3343,nan,57
ubc1181,nan,43
cwnu2141,nan,25
hsc898,nan,25
cwwdl10399,nan,46
oc0205,nan,70
theia2376,nan,39
ubc398,nan,201
hsc899,nan,25
cwnu1754,nan,36
ubc399,nan,345
cwnu523,nan,176
cwnu3040,nan,67
cwnu124,nan,56
theia521,nan,27
cwnu1264,nan,27
cwnu1885,nan,32
oc0206,nan,44
hsc900,nan,36
hsc901,nan,25
cwnu3008,nan,230
hsc913,nan,25
cwnu1416,nan,56
hsc903,nan,29
cwnu108,nan,75
oc0207,nan,27
theia888,nan,27
cwnu2018,nan,27
cwnu3769,nan,36
hsc905,nan,39
upk214,nan,184
theia391,nan,112
ubc400,nan,127
ubc1182,nan,114
cwnu56,nan,116
cwnu92,nan,51
cwnu1724,nan,36
ubc1183,nan,45
cwnu69,nan,68
ubc1184,nan,113
cwnu109,nan,118
hsc907,nan,32
cwwdl10434,nan,43
ubc1185,nan,106
cwnu2614,nan,25
cwnu3326,nan,71
cwnu3513,nan,72
hsc912,nan,25
ubc1186,nan,51
cwnu530,nan,52
cwwdl8311,nan,49
cwnu1165,nan,25
ubc401,nan,44
cwnu3102,nan,80
cwnu174,nan,49
theia667,nan,202
cwnu4275,nan,113
cwnu4131,nan,79
cwnu1260,nan,28
lisciii3373,nan,470
cwnu533,nan,273
oc0208,nan,27
cwwdl14486,nan,33
cwnu1683,nan,40
upk219,nan,37
upk220,nan,323
cwnu2208,nan,25
ubc1602,nan,25
cwnu1454,nan,35
cwnu3362,nan,61
hsc914,nan,69
cwnu1767,nan,35
cwnu1506,nan,33
theia153,nan,59
ocsn39,nan,64
cwnu2508,nan,59
hsc921,nan,90
hsc915,nan,25
hsc916,nan,25
hsc911,nan,25
hsc917,nan,25
oc0209,nan,30
ubc1187,nan,28
cwnu354,nan,75
theia11,nan,88
upk224,nan,79
cwwdl14484,nan,57
ubc180,nan,190
cwwdl580,nan,96
oc0210,nan,38
hsc927,nan,25
cwwdl13504,nan,33
ubc1188,nan,25
fof1843,nan,103
cwnu148,nan,59
ocsn40,nan,180
cwnu3110,nan,93
cwnu1271,nan,72
cwnu1819,nan,33
ubc1189,nan,40
cwwdl2584,nan,366
cwnu3589,nan,300
cwwdl2585,nan,68
cwnu219,nan,91
hsc919,nan,33
cwnu3748,nan,73
hsc920,nan,25
lisciii1293,nan,369
upk226,nan,78
cwwdl14503,nan,59
theia775,nan,85
ubc403,nan,43
oc0211,nan,68
cwnu457,nan,52
hsc922,nan,25
oc0212,nan,25
hsc923,nan,25
ocsn41,nan,105
cwnu1504,nan,48
fof888,nan,179
cwwdl10426,nan,59
ubc1190,nan,52
hxhwl4,nan,51
cwnu4175,nan,85
cwnu1155,nan,30
cwnu2348,nan,25
ubc405,nan,81
hsc924,nan,32
hsc925,nan,82
cwnu2667,nan,88
cwnu1569,nan,44
cwnu1047,nan,30
hsc929,nan,32
oc0213,nan,52
ubc594,nan,93
hsc930,nan,31
hsc931,nan,73
ubc1191,nan,75
cwwdl11769,nan,35
cwwdl10428,nan,153
fof1825,nan,365
hsc932,nan,32
cwnu3711,nan,41
cwnu3730,nan,74
cwnu1217,nan,64
hsc940,nan,25
cwwdl10429,nan,54
fof1831,nan,144
upk230,nan,197
hsc976,nan,235
ubc595,nan,51
hsc934,nan,57
ubc1192,nan,54
ubc406,nan,55
hsc935,nan,25
cwnu3284,nan,152
hsc936,nan,130
cwwdl10461,nan,60
cwnu3294,nan,104
hsc937,nan,155
cwnu2851,nan,38
oc0214,nan,25
ubc1193,nan,41
ubc596,nan,25
hsc938,nan,47
cwwdl13288,nan,32
cwnu4062,nan,42
cwnu1097,nan,25
theia4310,nan,60
cwnu4313,nan,47
ubc181,nan,49
cwwdl10423,nan,70
cwwdl10446,nan,35
cwnu2881,nan,25
ubc182,nan,123
ubc1195,nan,123
cwwdl10422,nan,54
cwnu199,nan,68
cwwdl10420,nan,75
cwnu2585,nan,112
cwwdl10416,nan,115
cwnu1595,nan,32
cwnu3301,nan,61
cwnu1354,nan,36
cwnu3142,nan,117
cwnu1749,nan,36
cwwdl14565,nan,36
ubc1575,nan,38
fof1836,nan,146
ubc1196,nan,57
cwwdl11749,nan,43
cwwdl10415,nan,158
oc0215,nan,30
oc0216,nan,44
oc0217,nan,54
oc0218,nan,25
cwwdl10421,nan,51
cwnu3348,nan,34
hsc941,nan,37
ubc597,nan,25
oc0219,nan,27
upk233,nan,56
cwnu4181,nan,119
cwwdl10432,nan,46
cwnu479,nan,86
cwnu1452,nan,35
hsc942,nan,33
hsc943,nan,25
cwwdl10425,nan,41
ubc1197,nan,27
cwnu1450,nan,52
hsc944,nan,25
cwnu3796,nan,124
cwnu1646,nan,40
theia4244,nan,42
hsc945,nan,25
cwwdl8368,nan,54
cwnu541,nan,27
ubc183,nan,90
oc0220,nan,30
cwnu2828,nan,38
oc0221,nan,28
ubc1198,nan,49
cwnu3621,nan,112
hsc946,nan,31
cwnu4532,nan,53
theia618,nan,25
cwnu4015,nan,50
cwnu4897,nan,156
cwnu272,nan,51
ubc1199,nan,66
cwnu2131,nan,25
cwwdl10487,nan,40
theia2936,nan,82
ubc1200,nan,70
theia3832,nan,59
oc0222,nan,27
theia2330,nan,109
cwwdl10476,nan,52
oc0223,nan,25
theia19,nan,33
ubc1201,nan,72
hsc947,nan,76
ubc1202,nan,81
cwnu4329,nan,51
cwnu177,nan,104
cwwdl10501,nan,134
oc0224,nan,25
cwnu3633,nan,258
hsc948,nan,72
theia974,nan,69
ubc407,nan,66
oc0225,nan,48
cwwdl11732,nan,97
cwwdl10473,nan,56
ubc184,nan,85
ubc1203,nan,40
cwwdl586,nan,78
cwnu3434,nan,67
hsc949,nan,25
hsc926,nan,42
hsc950,nan,25
hsc951,nan,25
cwnu2499,nan,59
cwnu1780,nan,35
hsc952,nan,40
cwnu2463,nan,25
cwnu1077,nan,51
upk237,nan,176
cwnu343,nan,67
ubc1204,nan,62
cwnu196,nan,72
cwnu2988,nan,85
hsc954,nan,47
theia698,nan,59
oc0226,nan,33
cwwdl10464,nan,80
hsc955,nan,243
ubc409,nan,140
hsc956,nan,25
cwwdl1988,nan,100
cwnu1006,nan,41
ubc33,nan,101
cwwdl14133,nan,70
cwnu3460,nan,142
ubc410,nan,57
hsc957,nan,27
cwnu2967,nan,85
hsc959,nan,38
cwnu2973,nan,81
cwnu512,nan,35
cwwdl10495,nan,35
cwnu3772,nan,36
theia1851,nan,25
cwnu3051,nan,38
hsc960,nan,33
hsc961,nan,25
cwnu491,nan,51
hsc962,nan,35
cwnu3464,nan,126
ubc185,nan,76
cwnu1090,nan,108
oc0227,nan,33
cwnu1215,nan,54
cwnu2926,nan,25
cwnu1722,nan,49
hsc964,nan,31
theia713,nan,117
hsc965,nan,25
cwnu2979,nan,119
ubc1205,nan,82
cwwdl3050,nan,89
fof1864,nan,238
theia3716,nan,35
hsc966,nan,43
cwnu2068,nan,25
hsc906,nan,25
cwnu3091,nan,59
cwwdl10480,nan,46
cwnu1298,nan,67
cwnu2992,nan,66
cwnu3945,nan,296
theia2175,nan,46
hsc969,nan,31
hsc970,nan,25
cwnu3378,nan,109
cwnu3330,nan,312
hxhwl39,nan,59
upk241,nan,26
cwwdl14487,nan,51
cwnu4501,nan,59
cwnu2044,nan,27
cwnu203,nan,91
hsc973,nan,36
hsc974,nan,75
lisciii3372,nan,185
oc0228,nan,30
cwnu1040,nan,48
theia6,nan,84
ubc598,nan,25
ubc1206,nan,25
cwnu3435,nan,35
hsc975,nan,27
oc0229,nan,30
oc0230,nan,25
cwnu2993,nan,85
ubc599,nan,25
cwwdl10471,nan,67
cwnu1888,nan,30
hsc977,nan,25
cwwl1384,nan,72
cwwdl11734,nan,88
hsc978,nan,25
cwnu1697,nan,48
cwwdl14581,nan,49
cwwl1382,nan,104
cwnu454,nan,48
theia322,nan,25
cwnu4161,nan,168
ubc1207,nan,77
cwwdl13505,nan,33
cwnu2199,nan,25
cwnu3188,nan,33
cwnu2536,nan,56
ocsn42,nan,193
ubc1603,nan,31
cwnu53,nan,60
cwnu4347,nan,64
cwwdl3252,nan,1000
cwwdl10463,nan,91
ubc1208,nan,36
cwwdl10498,nan,33
cwnu4037,nan,258
cwwdl10477,nan,108
cwnu3844,nan,70
hsc980,nan,125
ubc412,nan,51
ubc1209,nan,304
cwwdl589,nan,64
cwwdl2897,nan,67
cwwdl10490,nan,38
hsc983,nan,36
cwnu38,nan,51
oc0231,nan,25
cwnu3613,nan,104
ubc1210,nan,59
ubc1211,nan,90
hsc985,nan,53
cwwdl8387,nan,65
fof1888,nan,303
cwwdl10631,nan,33
hsc995,nan,25
fof1328,nan,251
hsc986,nan,27
theia2924,nan,118
cwnu3413,nan,79
cwnu3665,nan,79
cwnu3985,nan,138
hsc988,nan,25
cwnu3532,nan,72
cwwdl10539,nan,62
cwnu3924,nan,48
cwwdl10481,nan,43
cwnu14,nan,76
cwnu2004,nan,49
ubc1212,nan,62
cwnu423,nan,51
ubc84,nan,139
cwnu3009,nan,120
hsc990,nan,41
cwnu3161,nan,66
cwwdl3306,nan,68
cwwdl2604,nan,894
hsc991,nan,38
cwnu3543,nan,60
ubc1213,nan,32
theia3739,nan,38
cwnu3303,nan,144
hsc993,nan,28
ubc1604,nan,39
cwnu4115,nan,149
cwnu3623,nan,138
theia4228,nan,76
cwwdl13365,nan,38
cwwdl10630,nan,33
hsc994,nan,78
ubc36,nan,62
cwnu1059,nan,57
cwnu3917,nan,108
cwnu4064,nan,86
cwnu4184,nan,338
hsc996,nan,44
cwnu345,nan,51
cwwdl8488,nan,52
cwwdl14456,nan,56
hsc997,nan,27
ubc1214,nan,33
cwnu1253,nan,54
theia3502,nan,30
hsc998,nan,25
cwnu414,nan,62
cwnu3852,nan,70
cwwdl6145,nan,49
oc0232,nan,27
cwnu3509,nan,43
hsc999,nan,25
ubc1215,nan,53
cwnu3717,nan,41
ubc413,nan,93
cwnu4738,nan,81
hsc1000,nan,29
ocsn43,nan,80
hsc992,nan,89
theia872,nan,58
hsc1001,nan,71
theia446,nan,135
cwwdl13054,nan,76
theia232,nan,152
hsc1002,nan,32
oc0233,nan,27
hsc1003,nan,51
hsc1004,nan,25
cwwdl6160,nan,54
cwnu71,nan,86
upk252,nan,75
cwnu4319,nan,57
hsc1005,nan,44
hsc1006,nan,25
hsc1007,nan,29
cwnu378,nan,84
theia200,nan,53
cwnu3856,nan,386
cwnu3117,nan,320
ubc1216,nan,73
ubc85,nan,75
cwnu3551,nan,39
cwnu3826,nan,84
hsc1008,nan,25
hsc1010,nan,25
cwnu90,nan,62
hsc1011,nan,36
cwnu3042,nan,117
hsc1012,nan,42
oc0234,nan,43
cwwdl12421,nan,36
cwnu55,nan,89
hsc1013,nan,54
cwwdl6218,nan,46
hsc981,nan,25
oc0235,nan,28
theia6599,nan,96
ubc39,nan,116
cwnu3577,nan,69
hsc1014,nan,46
ubc600,nan,134
cwwdl13510,nan,52
ubc1217,nan,28
cwnu4109,nan,118
ubc601,nan,27
cwnu4773,nan,36
cwnu3376,nan,79
oc0236,nan,30
hsc1015,nan,49
cwnu3455,nan,172
cwnu1229,nan,155
hsc1016,nan,25
cwnu389,nan,54
cwwdl10613,nan,49
cwnu4778,nan,34
cwnu4737,nan,241
ocsn44,nan,86
cwnu3451,nan,164
hsc1018,nan,25
cwnu3279,nan,94
hsc1019,nan,25
cwnu3054,nan,149
hsc1021,nan,47
hsc1022,nan,25
cwwdl10556,nan,51
ocsn45,nan,257
cwwdl6159,nan,48
cwwdl10617,nan,35
fof905,nan,144
oc0237,nan,59
cwnu74,nan,59
cwnu3242,nan,109
cwwdl6172,nan,46
cwwdl10541,nan,62
cwnu1871,nan,32
cwwdl1993,nan,1000
cwnu3147,nan,239
ubc40,nan,26
cwwdl4624,nan,35
cwnu87,nan,54
ubc1218,nan,97
fof1342,nan,650
cwwdl6155,nan,43
cwnu3522,nan,52
hsc1025,nan,25
cwwdl10588,nan,41
theia962,nan,25
cwnu3525,nan,59
hsc1026,nan,61
hsc1027,nan,25
ubc1605,nan,29
ubc1219,nan,52
cwwdl13366,nan,36
ubc41,nan,57
ubc1220,nan,46
cwwdl10543,nan,57
oc0238,nan,25
ubc186,nan,852
theia850,nan,121
hsc1028,nan,77
hsc1029,nan,41
cwnu4144,nan,157
cwnu3445,nan,33
hsc1031,nan,46
cwnu3093,nan,51
hsc1032,nan,25
cwnu2776,nan,25
ubc602,nan,108
cwwdl10536,nan,40
cwwdl8420,nan,48
cwwdl8467,nan,35
lisciii1989,nan,244
theia5504,nan,80
cwwdl6156,nan,62
hsc1034,nan,25
cwnu111,nan,41
fof1329,nan,1000
cwnu377,nan,92
hsc1036,nan,32
theia4940,nan,68
hsc1037,nan,25
cwwdl10599,nan,40
hsc1039,nan,25
cwnu4628,nan,59
cwwdl11824,nan,60
cwnu2073,nan,25
hsc1040,nan,25
cwwdl11875,nan,33
cwnu2949,nan,65
hsc1041,nan,39
cwnu3034,nan,124
cwnu3255,nan,50
hsc1042,nan,36
upk260,nan,94
cwnu2878,nan,25
cwwdl8405,nan,54
theia729,nan,38
cwnu3524,nan,89
ubc1221,nan,48
cwnu3734,nan,44
cwwdl3479,nan,44
hsc1043,nan,76
ubc1222,nan,87
hsc1054,nan,29
cwnu1909,nan,30
cwnu103,nan,62
cwwdl10645,nan,32
theia752,nan,28
cwnu3170,nan,150
ubc1223,nan,43
cwnu115,nan,67
theia6066,nan,71
ubc1224,nan,64
cwwdl10622,nan,35
upk262,nan,25
theia5630,nan,33
cwnu4772,nan,34
cwwdl594,nan,56
oc0239,nan,40
cwnu4242,nan,41
cwnu4108,nan,118
cwwdl2617,nan,96
cwnu1166,nan,25
fof1332,nan,676
fof909,nan,140
cwnu3246,nan,65
cwwdl6133,nan,129
cwwdl10585,nan,41
cwwdl11877,nan,72
cwnu3440,nan,100
cwwdl2619,nan,92
hsc1049,nan,25
ubc1225,nan,64
cwwdl10632,nan,33
cwwdl14255,nan,67
cwnu4514,nan,79
oc0240,nan,57
hsc1052,nan,29
cwnu4566,nan,160
ubc414,nan,46
cwnu3033,nan,197
hsc1053,nan,54
cwwdl10553,nan,52
cwnu114,nan,84
ubc1606,nan,25
cwwdl3132,nan,62
cwwdl8417,nan,52
hsc1055,nan,65
cwnu4051,nan,266
ubc1226,nan,74
cwnu3385,nan,142
