fname,N_clust,N_clust_max
cwnu4854,nan,138
fof1211,nan,161
oc0008,nan,25
hsc98,nan,36
hsc99,nan,25
cwnu2213,nan,25
hsc100,nan,76
ryu171,nan,50
cwnu1770,nan,35
theia589,nan,30
ryu609,nan,50
hsc101,nan,25
cwnu4697,nan,85
ubc339,nan,55
cwwdl5684,nan,41
ryu172,nan,50
ryu173,nan,50
cwnu4835,nan,41
cwnu1947,nan,44
cwnu2530,nan,142
ryu174,nan,50
hsc103,nan,25
hsc104,nan,25
cwnu3967,nan,101
hsc105,nan,25
oc0009,nan,25
hsc106,nan,33
cwnu1222,nan,89
oc0010,nan,25
ryu610,nan,50
cwnu1952,nan,35
cwnu3539,nan,319
cwwdl1685,nan,54
ubc340,nan,192
hsc108,nan,158
ryu611,nan,50
ryu612,nan,50
hsc109,nan,25
ryu176,nan,50
hsc110,nan,25
cwnu4602,nan,176
ryu177,nan,50
cwnu1468,nan,51
ryu613,nan,50
ryu614,nan,50
ryu615,nan,50
hsc113,nan,25
cwnu4530,nan,194
ryu178,nan,50
ryu616,nan,50
cwnu4705,nan,120
cwnu4820,nan,49
ryu617,nan,50
cwnu1719,nan,36
ryu618,nan,50
cwnu1605,nan,30
ryu619,nan,50
cwnu2598,nan,107
ryu620,nan,50
cwnu4869,nan,207
cwnu2894,nan,25
oc0011,nan,462
hsc115,nan,25
ryu621,nan,50
ryu179,nan,50
theia1927,nan,25
ryu623,nan,50
cwnu4836,nan,39
cwnu2189,nan,25
cwnu4694,nan,194
ryu625,nan,50
ryu624,nan,50
ryu626,nan,50
cwnu4755,nan,72
hsc118,nan,51
cwnu4845,nan,43
ryu627,nan,50
cwnu4826,nan,35
cwnu482,nan,51
ryu629,nan,50
cwwl2457,nan,75
oc0012,nan,43
theia1854,nan,25
oc0013,nan,28
cwnu1664,nan,40
cwnu1717,nan,36
cwnu4021,nan,152
ryu631,nan,50
oc0014,nan,126
oc0015,nan,36
ryu632,nan,50
cwnu3594,nan,60
ryu633,nan,50
ryu634,nan,50
cwnu2884,nan,25
cwnu4537,nan,53
ryu180,nan,50
cwnu2708,nan,80
ryu635,nan,50
hsc120,nan,25
ryu181,nan,50
ubc1005,nan,49
ubc1006,nan,225
ryu182,nan,50
cwwdl9706,nan,52
ryu637,nan,50
oc0016,nan,25
ryu638,nan,50
ryu183,nan,50
cwnu4341,nan,686
ryu639,nan,50
ryu640,nan,50
ryu641,nan,50
cwnu2825,nan,67
cwnu1284,nan,70
ryu642,nan,50
cwnu2597,nan,25
ryu643,nan,50
cwnu4852,nan,53
ryu644,nan,50
hsc125,nan,25
ryu184,nan,50
cwnu3257,nan,39
cwnu2314,nan,105
ryu645,nan,50
cwnu183,nan,48
ryu646,nan,50
ryu647,nan,50
hsc127,nan,25
cwnu2019,nan,27
hsc129,nan,33
ryu648,nan,50
cwnu1841,nan,72
ryu649,nan,50
ryu186,nan,50
hsc131,nan,65
ryu187,nan,50
ryu650,nan,50
ryu651,nan,50
cwnu4538,nan,81
cwwdl14149,nan,44
cwnu155,nan,70
ryu652,nan,50
hsc133,nan,25
cwnu2143,nan,25
cwnu2385,nan,32
cwnu4419,nan,139
ryu188,nan,50
cwnu4814,nan,84
cwnu4018,nan,100
ryu653,nan,50
ryu654,nan,50
cwwdl14200,nan,51
ubc1007,nan,66
cwnu179,nan,216
cwnu4847,nan,37
ryu189,nan,50
hsc135,nan,84
hsc137,nan,45
cwnu293,nan,59
theia1914,nan,76
hsc138,nan,25
ryu191,nan,50
cwnu1630,nan,41
cwnu2080,nan,25
ryu658,nan,50
oc0017,nan,36
ryu659,nan,50
hsc140,nan,25
oc0018,nan,25
ryu660,nan,50
ryu661,nan,50
hsc142,nan,25
upk4,nan,138
ryu192,nan,50
hsc143,nan,42
hsc144,nan,25
ryu193,nan,50
ryu194,nan,50
hxhwl7,nan,83
cwnu191,nan,198
cwnu3380,nan,98
ryu662,nan,50
hsc145,nan,37
ryu195,nan,50
hsc147,nan,37
oc0019,nan,25
ryu663,nan,50
ryu665,nan,50
cwnu2188,nan,25
ryu666,nan,50
ryu669,nan,50
ryu667,nan,50
ryu668,nan,50
ryu196,nan,50
theia828,nan,56
ryu197,nan,50
cwnu1555,nan,32
ryu670,nan,50
ryu198,nan,50
fof288,nan,233
hsc148,nan,55
hsc149,nan,25
ryu199,nan,50
cwnu2459,nan,67
ryu672,nan,50
cwnu1412,nan,54
cwnu1409,nan,54
ocsn3,nan,369
hsc151,nan,49
cwwdl13670,nan,56
cwwdl13671,nan,65
hsc152,nan,44
cwnu1917,nan,25
cwnu2148,nan,25
cwnu2288,nan,123
hsc153,nan,25
ryu673,nan,50
ubc1008,nan,25
cwnu2848,nan,30
ryu200,nan,50
ryu674,nan,50
ubc1009,nan,73
ryu676,nan,50
ryu201,nan,50
oc0020,nan,25
theia1871,nan,72
cwnu2829,nan,38
ryu677,nan,50
cwnu4684,nan,72
cwnu4420,nan,260
hsc139,nan,25
ryu679,nan,50
ryu680,nan,50
cwnu2041,nan,25
cwnu2693,nan,44
ryu681,nan,50
ryu682,nan,50
cwwdl969,nan,64
cwnu2719,nan,78
theia2045,nan,62
cwnu2480,nan,64
oc0021,nan,52
ryu683,nan,50
cwwdl13293,nan,32
ubc572,nan,62
ryu684,nan,50
hsc155,nan,27
cwnu2669,nan,44
ryu685,nan,50
ryu686,nan,50
upk5,nan,156
cwnu4035,nan,289
cwnu1250,nan,27
cwnu2913,nan,40
ryu202,nan,50
ryu688,nan,50
hsc156,nan,52
ryu689,nan,50
cwnu4878,nan,133
ryu690,nan,50
ryu11,nan,50
hsc158,nan,38
hsc159,nan,25
cwnu4848,nan,33
hsc160,nan,36
ryu691,nan,50
ubc1010,nan,85
hsc161,nan,45
cwnu4204,nan,69
ryu204,nan,50
cwwdl1701,nan,176
fof1218,nan,168
ryu695,nan,50
ryu697,nan,50
oc0022,nan,27
hsc162,nan,25
ubc1011,nan,309
hsc157,nan,52
hsc164,nan,25
ryu698,nan,50
ryu205,nan,50
hsc166,nan,25
ryu699,nan,50
ryu206,nan,50
cwnu4608,nan,240
cwnu4893,nan,460
theia240,nan,47
fof2113,nan,57
ryu207,nan,50
ryu208,nan,50
ryu700,nan,50
ryu701,nan,50
ryu702,nan,50
ocsn4,nan,65
theia227,nan,79
cwnu4133,nan,576
cwnu4556,nan,381
ryu703,nan,50
ryu704,nan,50
ryu705,nan,50
hsc171,nan,25
cwwdl13474,nan,40
ryu706,nan,50
oc0023,nan,62
hsc172,nan,52
cwwdl1705,nan,57
ryu209,nan,50
cwnu4049,nan,333
ryu12,nan,50
hsc174,nan,25
hsc175,nan,130
oc0024,nan,30
oc0025,nan,25
cwnu303,nan,67
ryu707,nan,50
hsc170,nan,50
cwnu2551,nan,70
cwnu484,nan,51
ryu210,nan,50
ryu708,nan,50
ryu709,nan,50
cwnu3886,nan,97
ryu710,nan,50
hsc176,nan,52
cwnu3251,nan,140
ubc1012,nan,102
theia4208,nan,117
cwnu2798,nan,164
ryu211,nan,50
cwnu2723,nan,76
ubc96,nan,84
theia1756,nan,542
cwnu4745,nan,70
hsc177,nan,25
cwnu2083,nan,25
