"Cluster","RA_ICRS","DE_ICRS","MA22","e_MA22","NA22","MA23f","e_MA23f","NA23f","MA23g","e_MA23g","NA23g","MZ23","e_MZ23","NZ23","MK24","e_MK24","NK24","MF24","e_MF24","NF24"
"NGC_7044",318.291,42.4961,-0.13,0.11,580.0,-0.24,0.14,394,-0.03,0.05,98.0,-0.11,0.09,78.0,-0.14,0.07,381.0,-0.19,0.14,388.0
"NGC_7062",320.8399,46.3722,-0.15,0.09,101.0,-0.3,0.12,103,-0.09,0.02,4.0,-0.11,0.1,45.0,-0.14,0.04,65.0,-0.21,0.12,112.0
"NGC_7142",326.2821,65.7901,-0.04,0.11,433.0,-0.19,0.13,345,0.03,0.04,38.0,0.02,0.07,277.0,-0.14,0.05,373.0,-0.09,0.09,346.0
"NGC_7245",333.807,54.3359,-0.11,0.11,111.0,-0.37,0.15,184,-0.14,0.09,10.0,-0.2,0.11,32.0,-0.24,0.07,72.0,-0.25,0.15,130.0
"NGC_7423",343.7958,57.0889,-0.22,0.09,104.0,-0.32,0.1,110,-0.23,0.04,17.0,-0.26,0.07,9.0,-0.23,0.04,50.0,-0.26,0.11,102.0
"NGC_7789",359.3291,56.7263,-0.09,0.11,2970.0,-0.2,0.09,2308,-0.04,0.03,155.0,-0.11,0.1,1538.0,-0.15,0.05,1952.0,-0.11,0.07,2515.0
"OC_0126",304.4446,42.1414,-0.22,0.09,15.0,-0.12,0.07,19,"nan","nan","nan",-0.19,0.05,10.0,-0.06,0.04,20.0,-0.21,0.12,21.0
"OC_0137",318.498,41.9417,-0.14,0.06,9.0,-0.26,0.19,13,"nan","nan","nan",-0.13,0.08,3.0,-0.1,0.03,8.0,-0.23,0.09,21.0
"OC_0175",334.7359,57.4353,-0.15,0.11,15.0,-0.36,0.07,41,"nan","nan","nan","nan","nan","nan",-0.2,0.08,6.0,-0.46,0.17,51.0
"OC_0196",344.6043,59.0538,-0.09,0.12,55.0,-0.14,0.08,44,"nan","nan","nan",-0.01,0.15,39.0,-0.06,0.04,49.0,-0.15,0.12,50.0
"OC_0282",74.9665,38.6598,-0.13,0.06,12.0,-0.25,0.1,15,"nan","nan","nan",-0.23,0.14,6.0,-0.14,0.07,10.0,-0.1,0.06,17.0
"OC_0301",88.3626,25.2177,-0.19,0.17,41.0,-0.38,0.1,65,-0.4,0.1,4.0,-0.41,0.07,8.0,-0.25,0.08,21.0,-0.36,0.15,60.0
"OC_0351",96.2395,-1.3459,-0.22,0.11,18.0,-0.29,0.12,22,-0.06,0.0,3.0,-0.14,0.09,11.0,-0.23,0.05,14.0,-0.16,0.07,24.0
"OC_0369",105.7943,-6.9269,-0.3,0.05,5.0,-0.39,0.1,7,"nan","nan","nan","nan","nan","nan",-0.23,0.05,3.0,-0.36,0.29,6.0
"OC_0381",105.1954,-14.401,-0.17,0.09,21.0,-0.27,0.1,15,"nan","nan","nan",-0.37,0.11,18.0,-0.24,0.07,19.0,-0.3,0.2,22.0
"OC_0382",110.321,-11.7749,-0.14,0.08,32.0,-0.38,0.08,38,"nan","nan","nan",-0.35,0.12,8.0,-0.23,0.05,24.0,-0.22,0.1,30.0
"OC_0413",108.6918,-26.2499,-0.2,0.12,58.0,-0.32,0.11,59,-0.17,0.03,8.0,-0.37,0.04,14.0,-0.31,0.06,36.0,-0.21,0.1,67.0
"OC_0416",110.2061,-27.3918,-0.33,0.08,31.0,-0.4,0.13,24,-0.28,0.06,10.0,-0.51,0.12,11.0,-0.38,0.08,23.0,-0.37,0.08,16.0
"OC_0464",123.5319,-43.0982,-0.26,0.2,16.0,-0.24,0.1,15,"nan","nan","nan",-0.38,0.12,11.0,-0.19,0.07,14.0,-0.08,0.05,15.0
"OC_0477",125.6448,-45.6014,-0.17,0.1,22.0,-0.31,0.12,21,"nan","nan","nan","nan","nan","nan",-0.21,0.05,8.0,-0.28,0.15,25.0
"OC_0506",132.436,-51.5724,-0.27,0.11,25.0,-0.27,0.12,30,-0.09,0.02,7.0,-0.31,0.11,6.0,-0.18,0.06,20.0,-0.25,0.11,39.0
"OC_0558",167.869,-59.5385,-0.2,0.06,8.0,-0.36,0.31,22,0.16,0.05,7.0,"nan","nan","nan",0.03,0.11,8.0,-0.34,0.28,19.0
"OC_0640",240.4155,-52.1257,-0.27,0.17,43.0,-0.12,0.23,32,0.13,0.04,16.0,0.13,0.14,20.0,-0.07,0.07,99.0,0.06,0.09,33.0
"PHOC_1",126.9517,-42.766,-0.22,0.11,20.0,-0.22,0.12,30,"nan","nan","nan",-0.3,0.07,15.0,-0.16,0.04,25.0,-0.12,0.06,25.0
"PHOC_22",144.1202,-56.5889,-0.18,0.19,14.0,-0.32,0.11,33,"nan","nan","nan",-0.11,0.06,3.0,-0.2,0.06,19.0,-0.26,0.1,36.0
"PHOC_25",95.2633,7.318,-0.26,0.14,26.0,-0.33,0.13,26,"nan","nan","nan",-0.31,0.15,17.0,-0.12,0.06,19.0,-0.2,0.14,24.0
"PHOC_32",171.3841,-63.7109,-0.26,0.12,22.0,-0.26,0.06,19,-0.04,0.0,3.0,-0.2,0.09,15.0,-0.25,0.07,18.0,-0.19,0.09,23.0
"PHOC_35",289.4267,8.6957,-0.01,0.13,49.0,-0.21,0.06,37,-0.18,0.05,4.0,0.13,0.07,33.0,-0.1,0.05,36.0,-0.12,0.1,35.0
"PHOC_36",110.4135,-12.9526,-0.27,0.14,24.0,-0.5,0.15,32,"nan","nan","nan",-0.36,0.04,5.0,-0.32,0.04,14.0,-0.38,0.1,21.0
"PTB_9",357.4494,68.0403,0.15,0.13,376.0,-0.13,0.08,499,-0.02,0.04,27.0,0.17,0.11,99.0,-0.12,0.04,432.0,-0.11,0.08,516.0
"Patchick_3",79.0948,45.5855,-0.17,0.1,76.0,-0.26,0.1,82,-0.17,0.03,6.0,-0.3,0.13,51.0,-0.2,0.05,60.0,-0.22,0.09,107.0
"Patchick_12",31.1542,54.3597,-0.16,0.12,60.0,-0.23,0.13,62,-0.1,0.1,6.0,-0.09,0.19,26.0,-0.21,0.05,43.0,-0.11,0.07,59.0
"Patchick_90",101.1734,-0.5275,-0.3,0.1,15.0,-0.51,0.21,10,-0.42,0.09,4.0,"nan","nan","nan",-0.31,0.03,4.0,-0.59,0.2,8.0
"Pfleiderer_3",347.024,60.8793,-0.59,0.08,21.0,-0.26,0.09,18,"nan","nan","nan",-0.44,0.04,4.0,-0.23,0.08,19.0,-0.13,0.06,7.0
