"Cluster","RA_ICRS","DE_ICRS","MA22","e_MA22","NA22","MA23f","e_MA23f","NA23f","MA23g","e_MA23g","NA23g","MZ23","e_MZ23","NZ23","MK24","e_MK24","NK24","MF24","e_MF24","NF24"
"Teutsch_84",256.096,-42.0651,-0.51,0.17,30.0,-0.06,0.2,35,0.12,0.04,16.0,0.03,0.32,11.0,-0.13,0.12,86.0,0.01,0.1,28.0
"HSC_2363",158.8057,-60.6811,-0.46,0.13,36.0,-0.35,0.18,60,-0.31,0.08,19.0,-0.56,0.15,15.0,-0.26,0.11,56.0,-0.25,0.13,48.0
"Teutsch_124",304.5725,31.2125,-0.09,0.11,28.0,-0.13,0.15,19,"nan","nan","nan",-0.07,0.08,8.0,-0.08,0.09,22.0,-0.04,0.04,17.0
"Teutsch_144",320.4611,50.6016,-0.15,0.07,27.0,-0.31,0.11,39,-0.15,0.04,6.0,-0.29,0.12,7.0,-0.15,0.04,19.0,-0.36,0.17,59.0
"Teutsch_187",19.7195,59.4383,-0.15,0.11,9.0,-0.54,0.15,12,"nan","nan","nan",-0.51,0.15,3.0,-0.43,0.09,6.0,-0.4,0.15,10.0
"Teutsch_198",98.0118,16.0972,-0.19,0.09,14.0,-0.54,0.13,21,-0.48,0.15,4.0,-0.33,0.12,3.0,-0.41,0.11,4.0,-0.43,0.12,14.0
"Teutsch_226",157.958,-57.0165,-0.23,0.11,76.0,-0.28,0.08,59,"nan","nan","nan",-0.18,0.1,52.0,-0.24,0.06,64.0,-0.26,0.11,64.0
"Teutsch_143b",167.1441,-60.7424,-0.29,0.3,15.0,-0.2,0.19,36,0.01,0.07,12.0,-0.15,0.08,19.0,-0.24,0.12,55.0,-0.16,0.14,41.0
"UBC_212",100.9661,-0.8788,-0.27,0.08,40.0,-0.42,0.13,42,"nan","nan","nan",-0.3,0.1,11.0,-0.35,0.08,16.0,-0.23,0.09,39.0
"Teutsch_J1037.3-6034",159.3269,-60.5719,-0.35,0.16,13.0,-0.48,0.28,31,0.01,0.1,8.0,-0.44,0.18,5.0,-0.36,0.14,24.0,-0.38,0.22,25.0
"Teutsch_J1209.3-6120",182.3535,-61.3207,-0.22,0.13,39.0,-0.31,0.1,37,-0.18,0.04,7.0,-0.38,0.06,16.0,-0.26,0.06,86.0,-0.27,0.11,35.0
"Theia_73",300.6627,30.7833,-0.19,0.06,15.0,-0.02,0.06,10,"nan","nan","nan",0.05,0.07,14.0,-0.05,0.08,19.0,-0.08,0.11,13.0
"Theia_89",230.9614,-60.2168,-0.2,0.11,68.0,-0.16,0.16,91,0.02,0.01,3.0,-0.2,0.09,30.0,-0.1,0.07,81.0,-0.13,0.08,74.0
"Theia_101",323.4547,53.1548,-0.15,0.11,23.0,-0.02,0.05,28,"nan","nan","nan",0.04,0.07,22.0,-0.01,0.08,32.0,-0.03,0.06,36.0
"Theia_295",152.7512,-61.5528,-0.26,0.09,54.0,-0.15,0.1,63,"nan","nan","nan",-0.12,0.07,48.0,-0.13,0.07,63.0,-0.07,0.06,62.0
"Theia_411",155.3111,-60.691,-0.26,0.07,21.0,-0.15,0.06,20,"nan","nan","nan",-0.27,0.14,15.0,-0.19,0.12,31.0,-0.12,0.05,22.0
"Theia_455",138.8331,-44.0825,-0.34,0.07,21.0,-0.23,0.19,66,"nan","nan","nan",-0.09,0.07,18.0,-0.07,0.05,35.0,-0.49,0.2,104.0
"Theia_502",219.5246,-59.9944,-0.13,0.09,17.0,-0.1,0.09,7,"nan","nan","nan",-0.25,0.1,10.0,-0.08,0.06,18.0,-0.31,0.05,7.0
"Theia_618",4.9921,55.58,-0.1,0.05,6.0,-0.17,0.13,10,"nan","nan","nan",0.01,0.02,6.0,-0.05,0.02,8.0,-0.09,0.05,10.0
"Theia_651",130.8325,-30.7471,-0.27,0.11,22.0,-0.07,0.06,32,"nan","nan","nan",-0.09,0.07,19.0,-0.08,0.06,27.0,-0.03,0.06,27.0
"Theia_669",91.6239,38.8428,-0.03,0.11,6.0,-0.22,0.12,9,"nan","nan","nan",0.01,0.05,4.0,-0.05,0.06,6.0,-0.03,0.03,7.0
"Theia_708",291.1704,53.4573,-0.32,0.08,11.0,-0.04,0.08,18,"nan","nan","nan",-0.04,0.08,11.0,-0.03,0.03,16.0,-0.1,0.13,24.0
"Theia_710",339.9076,64.1741,-0.22,0.09,14.0,-0.05,0.03,16,"nan","nan","nan",0.02,0.09,11.0,0.0,0.04,17.0,-0.08,0.03,19.0
"Theia_771",199.5326,-59.2014,-0.14,0.14,33.0,-0.07,0.07,33,"nan","nan","nan",-0.06,0.11,25.0,-0.08,0.06,35.0,-0.11,0.08,31.0
"Theia_833",297.324,38.6444,-0.13,0.12,8.0,-0.1,0.13,8,"nan","nan","nan",0.02,0.03,4.0,-0.01,0.09,8.0,-0.12,0.16,8.0
"Theia_844",310.4313,42.3045,-0.22,0.11,26.0,-0.08,0.08,36,"nan","nan","nan",-0.01,0.08,27.0,-0.09,0.13,44.0,-0.05,0.08,32.0
"Theia_888",356.2161,55.9758,-0.14,0.12,15.0,-0.13,0.09,18,"nan","nan","nan",0.01,0.11,18.0,-0.04,0.07,18.0,-0.03,0.05,20.0
"Theia_900",37.2881,59.0939,-0.08,0.15,26.0,-0.18,0.09,34,"nan","nan","nan",0.08,0.08,15.0,-0.09,0.05,23.0,-0.12,0.08,29.0
"Theia_903",214.9145,-58.0213,-0.25,0.13,43.0,-0.13,0.06,31,"nan","nan","nan",-0.2,0.12,28.0,-0.09,0.06,37.0,-0.18,0.08,24.0
"Theia_1040",69.1343,56.7193,-0.07,0.14,24.0,-0.09,0.07,37,"nan","nan","nan",0.05,0.09,23.0,-0.07,0.08,33.0,-0.01,0.06,39.0
"Theia_1083",69.5765,48.3084,-0.05,0.08,14.0,-0.14,0.07,15,"nan","nan","nan",-0.02,0.16,8.0,-0.07,0.06,14.0,-0.11,0.06,18.0
"Theia_1147",112.4055,-25.9729,-0.19,0.08,17.0,-0.04,0.04,25,"nan","nan","nan",-0.06,0.09,14.0,-0.09,0.09,26.0,-0.08,0.06,28.0
"Theia_1188",338.1947,29.9387,-0.19,0.05,22.0,-0.03,0.06,33,"nan","nan","nan",0.0,0.08,22.0,-0.04,0.05,31.0,-0.09,0.11,47.0
"Theia_1224",219.4812,-54.9646,-0.21,0.1,16.0,-0.08,0.05,21,"nan","nan","nan",-0.19,0.12,13.0,-0.09,0.05,23.0,-0.07,0.06,30.0
"Theia_1424",81.2347,38.2418,-0.13,0.13,41.0,-0.23,0.11,49,-0.03,0.01,3.0,-0.07,0.1,29.0,-0.12,0.05,35.0,-0.13,0.09,43.0
"Theia_1432",36.32,54.1084,-0.23,0.09,27.0,-0.18,0.07,39,-0.18,0.12,3.0,-0.12,0.09,21.0,-0.15,0.07,28.0,-0.09,0.04,44.0
"Theia_1806",85.4093,27.4579,-0.2,0.11,26.0,-0.23,0.08,35,"nan","nan","nan",-0.24,0.07,22.0,-0.14,0.03,27.0,-0.28,0.15,36.0
"Theia_1813",264.324,-33.8392,-0.41,0.21,25.0,-0.03,0.17,10,"nan","nan","nan",0.34,0.1,12.0,0.04,0.13,33.0,0.08,0.07,8.0
"Theia_1841",281.3419,-2.5858,-0.04,0.11,37.0,-0.21,0.08,9,-0.25,0.01,3.0,-0.03,0.1,15.0,-0.15,0.05,32.0,-0.26,0.19,13.0
"Theia_1976",278.3047,-13.0619,-0.22,0.09,28.0,-0.26,0.1,12,"nan","nan","nan",-0.32,0.22,5.0,-0.11,0.11,17.0,-0.23,0.03,7.0
"Theia_2166",217.0861,-61.3595,-0.27,0.12,15.0,-0.14,0.09,11,-0.08,0.12,3.0,-0.21,0.07,8.0,-0.11,0.03,15.0,-0.21,0.08,12.0
"Theia_2185",160.596,-57.1651,-0.29,0.16,10.0,-0.15,0.08,12,-0.07,0.03,4.0,-0.29,0.08,9.0,-0.24,0.11,15.0,-0.16,0.11,14.0
"Theia_2406",117.419,-26.8419,-0.24,0.1,36.0,-0.42,0.13,62,-0.3,0.05,5.0,-0.46,0.09,7.0,-0.37,0.06,25.0,-0.31,0.12,37.0
"Theia_2488",58.9963,57.1667,-0.14,0.07,14.0,-0.4,0.13,23,"nan","nan","nan",-0.27,0.05,4.0,-0.31,0.04,7.0,-0.36,0.09,17.0
"Theia_2727",175.9351,-62.3705,-0.31,0.04,3.0,-0.46,0.28,22,-0.17,0.04,6.0,"nan","nan","nan",-0.18,0.04,14.0,-0.25,0.16,15.0
"Theia_3144",118.5493,-17.6233,-0.16,0.1,10.0,-0.13,0.1,9,"nan","nan","nan",-0.17,0.07,8.0,-0.15,0.05,10.0,-0.09,0.08,10.0
"Theia_3227",156.3322,-59.0815,-0.35,0.14,9.0,-0.34,0.13,19,"nan","nan","nan","nan","nan","nan",-0.28,0.06,9.0,-0.44,0.16,16.0
"Theia_3455",282.1724,9.458,0.02,0.31,14.0,-0.21,0.12,9,"nan","nan","nan",0.03,0.03,3.0,-0.17,0.05,4.0,-0.03,0.07,11.0
"Theia_3582",84.7323,30.8619,-0.27,0.09,17.0,-0.12,0.14,24,"nan","nan","nan",-0.01,0.07,12.0,-0.03,0.07,21.0,-0.06,0.08,23.0
"Theia_3779",331.3953,62.9545,-0.17,0.1,20.0,-0.16,0.12,25,"nan","nan","nan",-0.09,0.07,10.0,-0.08,0.07,18.0,-0.11,0.08,20.0
"Theia_3886",296.4145,14.7806,-0.1,0.08,16.0,-0.24,0.08,17,"nan","nan","nan",0.08,0.12,13.0,-0.07,0.07,13.0,-0.04,0.04,12.0
"Theia_3922",267.9157,-33.4029,-0.22,0.14,49.0,-0.19,0.13,19,0.04,0.11,3.0,0.08,0.08,9.0,-0.12,0.08,22.0,-0.32,0.13,17.0
"Theia_3967",133.8525,-31.0829,-0.15,0.14,23.0,-0.16,0.07,24,"nan","nan","nan",-0.2,0.08,20.0,-0.15,0.06,23.0,-0.09,0.06,24.0
"Theia_3992",119.1869,-29.5962,-0.19,0.07,11.0,-0.28,0.08,16,"nan","nan","nan",-0.34,0.11,6.0,-0.32,0.06,9.0,-0.21,0.09,18.0
"Theia_4208",280.4406,-19.6444,-0.22,0.12,57.0,-0.3,0.08,54,-0.07,0.05,5.0,-0.14,0.14,25.0,-0.18,0.06,37.0,-0.23,0.08,63.0
"Theia_4244",2.3203,61.0315,-0.1,0.11,29.0,-0.16,0.08,31,"nan","nan","nan",-0.01,0.06,22.0,-0.14,0.05,29.0,-0.1,0.07,29.0
"Theia_4310",0.4894,63.5755,-0.12,0.09,36.0,-0.16,0.11,40,"nan","nan","nan",0.02,0.08,24.0,-0.06,0.04,29.0,-0.16,0.09,39.0
"Theia_4456",138.5912,-42.7339,-0.15,0.15,8.0,0.0,0.08,10,"nan","nan","nan",0.02,0.04,9.0,-0.08,0.05,11.0,0.02,0.05,11.0
"Theia_4482",234.7707,-58.5462,-0.1,0.15,17.0,-0.18,0.1,18,0.16,0.02,6.0,"nan","nan","nan",-0.13,0.09,24.0,-0.22,0.08,18.0
"Theia_4535",335.4469,54.5154,-0.08,0.14,63.0,-0.13,0.1,58,"nan","nan","nan",0.05,0.08,48.0,-0.08,0.07,55.0,-0.07,0.08,66.0
"Theia_4690",120.5825,-27.3759,-0.17,0.1,32.0,-0.35,0.11,32,"nan","nan","nan",0.0,0.02,5.0,-0.25,0.02,22.0,-0.11,0.07,23.0
"Theia_4877",294.1923,45.0869,-0.12,0.14,23.0,0.01,0.06,29,"nan","nan","nan",0.12,0.07,22.0,0.01,0.04,27.0,0.07,0.07,28.0
"Theia_4981",128.3687,-47.4865,-0.14,0.09,39.0,-0.16,0.09,37,"nan","nan","nan",-0.33,0.13,24.0,-0.16,0.08,35.0,-0.12,0.09,32.0
"Theia_5015",267.2287,-23.9824,-0.15,0.11,17.0,-0.33,0.02,3,"nan","nan","nan",-0.43,0.09,7.0,-0.16,0.03,13.0,-0.25,0.05,9.0
"Theia_5292",40.0297,48.8048,-0.12,0.11,36.0,-0.11,0.1,47,"nan","nan","nan",0.05,0.11,32.0,-0.11,0.07,39.0,0.0,0.05,41.0
"Theia_5422",314.2895,46.4392,-0.38,0.18,49.0,-0.38,0.12,91,-0.29,0.06,18.0,-0.37,0.13,12.0,-0.24,0.09,48.0,-0.33,0.16,84.0
"Theia_5496",211.3771,-64.1603,-0.18,0.08,26.0,-0.12,0.13,8,"nan","nan","nan",-0.04,0.07,16.0,-0.06,0.05,17.0,-0.15,0.09,9.0
"Theia_5677",134.75,-54.9266,-0.21,0.07,29.0,-0.37,0.12,37,"nan","nan","nan",-0.23,0.06,15.0,-0.27,0.05,23.0,-0.17,0.12,29.0
"Theia_5705",266.7713,-42.4159,-0.14,0.13,23.0,0.0,0.05,30,"nan","nan","nan",-0.1,0.09,17.0,-0.05,0.07,31.0,-0.05,0.03,29.0
"Theia_5779",115.6515,-39.1221,-0.22,0.14,22.0,-0.3,0.1,28,-0.18,0.06,4.0,-0.32,0.08,17.0,-0.17,0.07,24.0,-0.24,0.11,30.0
"Theia_6242",149.0241,-60.1807,-0.25,0.11,49.0,-0.27,0.08,61,-0.17,0.06,10.0,-0.38,0.08,40.0,-0.3,0.05,94.0,-0.23,0.08,63.0
"Theia_6978",133.9182,-38.5641,-0.19,0.09,84.0,-0.36,0.11,51,-0.28,0.06,4.0,-0.14,0.08,9.0,-0.29,0.06,33.0,-0.2,0.12,49.0
"Theia_7082",84.004,40.1215,-0.19,0.07,31.0,-0.32,0.08,31,-0.25,0.01,3.0,-0.31,0.11,22.0,-0.26,0.08,29.0,-0.25,0.08,31.0
"Theia_7580",319.8282,56.9508,0.24,0.05,27.0,-0.08,0.08,46,0.08,0.03,7.0,0.3,0.11,9.0,-0.04,0.06,39.0,-0.07,0.06,47.0
"Theia_7593",124.7608,-55.6815,-0.24,0.12,45.0,-0.19,0.07,46,"nan","nan","nan",-0.25,0.08,24.0,-0.15,0.06,45.0,-0.14,0.06,52.0
"Theia_7673",126.2102,-29.6043,-0.12,0.09,34.0,-0.12,0.08,35,"nan","nan","nan",-0.11,0.16,24.0,-0.14,0.04,28.0,-0.03,0.06,29.0
"Theia_8068",297.2434,34.077,-0.11,0.08,12.0,-0.5,0.12,20,"nan","nan","nan","nan","nan","nan",-0.21,0.07,4.0,-0.34,0.17,12.0
"Tombaugh_1",105.1254,-20.5883,-0.26,0.12,368.0,-0.39,0.12,304,-0.28,0.04,17.0,-0.46,0.09,182.0,-0.3,0.05,272.0,-0.28,0.1,338.0
"Tombaugh_2",105.778,-20.8136,-0.4,0.11,313.0,-0.55,0.14,136,-0.51,0.06,39.0,-0.72,0.09,57.0,-0.46,0.09,150.0,-0.55,0.2,117.0
"Tombaugh_4",37.3173,61.7908,-0.49,0.12,38.0,-0.31,0.11,78,-0.24,0.06,19.0,-0.45,0.16,4.0,-0.28,0.06,31.0,-0.45,0.2,96.0
"Trumpler_5",99.1265,9.4723,-0.23,0.11,2198.0,-0.45,0.11,1103,-0.41,0.08,182.0,-0.49,0.1,578.0,-0.36,0.05,1077.0,-0.46,0.17,1005.0
"Trumpler_12",151.616,-60.2895,-0.3,0.12,93.0,-0.36,0.13,96,-0.08,0.06,9.0,-0.35,0.08,55.0,-0.34,0.08,130.0,-0.29,0.14,64.0
"Trumpler_19",168.6273,-57.5667,-0.27,0.13,469.0,-0.2,0.11,391,0.01,0.04,44.0,-0.13,0.09,530.0,-0.17,0.06,619.0,-0.1,0.09,353.0
"Trumpler_20",189.8942,-60.6402,-0.19,0.14,494.0,-0.17,0.18,493,0.04,0.05,149.0,-0.16,0.12,229.0,-0.21,0.08,813.0,-0.09,0.13,446.0
"Trumpler_23",240.2219,-53.5398,-0.17,0.14,52.0,-0.15,0.15,57,0.18,0.04,17.0,0.1,0.13,38.0,-0.11,0.06,190.0,-0.21,0.26,58.0
"Trumpler_32",274.3015,-13.343,-0.16,0.14,239.0,-0.23,0.08,92,-0.2,0.05,17.0,-0.33,0.14,197.0,-0.16,0.06,238.0,-0.39,0.18,103.0
"Trumpler_37",324.9548,57.8239,-0.11,0.14,92.0,-0.17,0.1,172,-0.3,0.07,9.0,-0.04,0.13,39.0,-0.14,0.08,197.0,-0.23,0.13,254.0
"Turner_9",296.1848,29.5126,-0.1,0.14,75.0,-0.13,0.12,52,-0.03,0.07,4.0,0.16,0.09,55.0,-0.06,0.06,61.0,0.0,0.08,36.0
"UBC_6",343.9912,51.1776,-0.12,0.09,216.0,-0.14,0.09,215,-0.02,0.01,10.0,0.02,0.09,166.0,-0.07,0.06,186.0,-0.06,0.07,237.0
"UBC_49",60.2243,59.1862,-0.02,0.14,83.0,-0.35,0.12,86,-0.32,0.07,10.0,-0.3,0.08,15.0,-0.27,0.05,43.0,-0.33,0.16,90.0
"UBC_52",64.7558,52.3643,-0.2,0.08,27.0,-0.3,0.11,33,"nan","nan","nan",-0.21,0.08,7.0,-0.23,0.03,16.0,-0.24,0.11,38.0
"UBC_57",62.9339,42.7285,-0.07,0.1,48.0,-0.32,0.07,45,-0.21,0.04,6.0,-0.23,0.14,23.0,-0.21,0.05,34.0,-0.25,0.1,47.0
"UBC_59",82.2466,48.0276,-0.14,0.09,62.0,-0.3,0.11,71,-0.07,0.05,5.0,-0.08,0.07,32.0,-0.22,0.05,43.0,-0.12,0.08,66.0
"UBC_108",281.6156,-5.1866,-0.05,0.1,71.0,-0.21,0.09,7,"nan","nan","nan",-0.02,0.14,14.0,-0.11,0.1,16.0,-0.15,0.04,10.0
"UBC_119",290.6197,8.4102,-0.03,0.12,73.0,-0.17,0.06,68,-0.09,0.07,7.0,0.09,0.07,51.0,-0.09,0.04,74.0,-0.09,0.05,62.0
"UBC_139",302.7326,35.76,-0.18,0.11,39.0,-0.3,0.13,34,"nan","nan","nan",-0.22,0.14,21.0,-0.14,0.05,25.0,-0.13,0.09,22.0
"UBC_141",313.5818,35.6525,-0.09,0.08,51.0,-0.14,0.07,62,-0.08,0.01,4.0,-0.04,0.11,39.0,-0.12,0.06,45.0,-0.1,0.05,62.0
"UBC_153",316.2447,46.2611,-0.13,0.14,24.0,-0.37,0.15,42,"nan","nan","nan",-0.11,0.15,8.0,-0.22,0.06,18.0,-0.24,0.1,29.0
"UBC_157",328.8789,49.7295,-0.12,0.1,90.0,-0.17,0.1,91,"nan","nan","nan",-0.1,0.11,68.0,-0.11,0.06,82.0,-0.08,0.05,86.0
"UBC_175",344.476,54.3536,-0.03,0.11,111.0,-0.06,0.09,118,"nan","nan","nan",0.17,0.08,88.0,-0.03,0.05,100.0,0.01,0.06,118.0
"UBC_184",5.7521,59.4432,-0.02,0.1,50.0,-0.14,0.08,53,-0.01,0.03,4.0,-0.03,0.08,35.0,-0.12,0.05,43.0,-0.06,0.04,61.0
"UBC_199",67.4892,25.4257,-0.08,0.1,55.0,-0.24,0.09,70,-0.12,0.05,4.0,-0.02,0.13,22.0,-0.16,0.06,54.0,-0.18,0.1,76.0
"UBC_203",97.7823,15.0679,-0.12,0.09,53.0,-0.42,0.12,51,-0.48,0.07,6.0,-0.26,0.03,5.0,-0.36,0.04,15.0,-0.33,0.13,48.0
"UBC_210",97.6909,-1.4253,-0.14,0.11,59.0,-0.26,0.14,56,-0.14,0.04,13.0,-0.12,0.09,26.0,-0.21,0.05,32.0,-0.14,0.09,62.0
"UBC_217",108.2098,-4.6874,-0.28,0.1,48.0,-0.49,0.14,19,"nan","nan","nan",-0.4,0.07,14.0,-0.3,0.04,15.0,-0.27,0.17,17.0
"UBC_221",114.3032,-15.6865,-0.21,0.12,99.0,-0.33,0.11,142,"nan","nan","nan",-0.22,0.1,51.0,-0.21,0.07,87.0,-0.19,0.14,116.0
"UBC_228",118.372,-22.3951,-0.16,0.07,17.0,-0.35,0.13,28,"nan","nan","nan",-0.02,0.09,6.0,-0.24,0.05,11.0,-0.14,0.11,20.0
"UBC_232",120.0799,-24.2771,-0.16,0.14,57.0,-0.4,0.11,54,"nan","nan","nan",-0.26,0.18,12.0,-0.31,0.06,39.0,-0.17,0.11,31.0
"UBC_233",112.7941,-28.3647,-0.14,0.14,56.0,-0.28,0.13,65,"nan","nan","nan",-0.16,0.13,18.0,-0.2,0.05,46.0,-0.09,0.06,45.0
"UBC_237",118.594,-29.7201,-0.06,0.09,21.0,-0.25,0.12,28,"nan","nan","nan",-0.06,0.08,15.0,-0.17,0.05,17.0,-0.12,0.07,24.0
"UBC_239",123.7565,-30.1579,-0.14,0.09,66.0,-0.37,0.13,84,"nan","nan","nan",-0.34,0.1,46.0,-0.26,0.05,57.0,-0.18,0.11,64.0
"UBC_241",127.078,-31.0049,-0.2,0.13,44.0,-0.5,0.14,45,"nan","nan","nan",-0.42,0.12,4.0,-0.35,0.07,19.0,-0.35,0.14,17.0
"UBC_247",126.6332,-50.6859,-0.17,0.12,61.0,-0.18,0.08,62,"nan","nan","nan",-0.3,0.1,22.0,-0.2,0.06,52.0,-0.16,0.08,66.0
"UBC_252",139.1601,-54.1455,-0.22,0.1,61.0,-0.31,0.14,117,-0.14,0.04,30.0,-0.2,0.06,27.0,-0.24,0.11,60.0,-0.18,0.1,92.0
"UBC_253",139.4673,-55.9569,-0.22,0.08,36.0,-0.32,0.14,52,"nan","nan","nan",-0.18,0.14,32.0,-0.21,0.05,35.0,-0.14,0.06,37.0
"UBC_255",128.5791,-61.4988,-0.22,0.12,62.0,-0.19,0.07,84,-0.19,0.02,7.0,-0.31,0.11,41.0,-0.18,0.05,85.0,-0.19,0.06,88.0
"UBC_264",163.1638,-60.6028,-0.39,0.15,9.0,-0.32,0.12,19,"nan","nan","nan",-0.38,0.01,5.0,-0.29,0.06,13.0,-0.37,0.27,11.0
"UBC_268",165.3518,-63.6659,-0.21,0.12,40.0,-0.27,0.16,70,0.2,0.03,13.0,-0.17,0.17,11.0,-0.23,0.1,48.0,-0.16,0.1,77.0
"UBC_276",172.8607,-60.7517,-0.07,0.23,9.0,-0.4,0.24,18,0.0,0.1,5.0,"nan","nan","nan",-0.25,0.17,11.0,-0.22,0.19,16.0
"UBC_284",184.2531,-62.9565,-0.31,0.19,119.0,-0.22,0.1,86,-0.11,0.03,11.0,-0.32,0.11,119.0,-0.17,0.05,170.0,-0.21,0.09,75.0
"UBC_294",204.2467,-58.0667,-0.23,0.14,45.0,-0.13,0.12,48,-0.04,0.04,8.0,-0.01,0.11,31.0,-0.13,0.06,53.0,-0.09,0.08,61.0
"UBC_296",216.2442,-61.0367,-0.2,0.07,22.0,-0.41,0.08,11,"nan","nan","nan",-0.28,0.15,20.0,-0.11,0.03,35.0,-0.37,0.05,6.0
"UBC_297",218.0937,-62.2028,-0.03,0.15,18.0,-0.1,0.12,22,0.2,0.04,3.0,0.24,0.02,4.0,-0.1,0.11,22.0,-0.1,0.14,20.0
"UBC_302",220.194,-55.3841,-0.16,0.07,40.0,-0.16,0.08,34,"nan","nan","nan",-0.15,0.17,21.0,-0.13,0.06,34.0,-0.09,0.05,37.0
"UBC_303",221.8558,-56.2454,-0.2,0.11,60.0,-0.14,0.09,51,0.11,0.03,3.0,-0.07,0.13,25.0,-0.13,0.05,54.0,-0.11,0.07,54.0
"UBC_307",239.418,-57.2535,-0.13,0.08,105.0,-0.12,0.12,62,0.18,0.04,13.0,0.07,0.13,11.0,-0.12,0.07,93.0,-0.07,0.11,56.0
"UBC_310",244.4755,-53.5219,-0.2,0.12,61.0,-0.11,0.13,78,0.17,0.05,18.0,0.0,0.12,20.0,-0.1,0.09,118.0,-0.08,0.09,61.0
"UBC_312",244.2215,-50.7234,-0.58,0.18,5.0,-0.02,0.14,13,0.1,0.03,6.0,-0.21,0.1,3.0,-0.05,0.07,33.0,-0.07,0.14,10.0
"UBC_314",243.3888,-50.1468,-0.19,0.12,99.0,-0.09,0.12,55,0.08,0.05,14.0,-0.21,0.12,44.0,-0.07,0.04,111.0,-0.3,0.17,52.0
"UBC_316",248.7536,-47.965,-0.39,0.21,20.0,-0.25,0.06,7,-0.11,0.19,4.0,-0.4,0.06,5.0,-0.14,0.07,24.0,-0.45,0.08,10.0
"UBC_317",250.6494,-47.9036,-0.37,0.14,9.0,-0.3,0.14,13,0.17,0.04,3.0,"nan","nan","nan",-0.05,0.06,13.0,-0.48,0.27,11.0
"UBC_321",251.8942,-44.5298,-0.29,0.18,43.0,0.13,0.12,18,0.19,0.03,10.0,-0.21,0.12,21.0,-0.08,0.09,118.0,0.02,0.12,27.0
"UBC_324",255.9435,-38.4726,-0.1,0.11,127.0,-0.13,0.1,95,0.16,0.03,15.0,0.01,0.11,46.0,-0.12,0.06,176.0,-0.16,0.1,120.0
"UBC_346",276.0571,-10.6342,-0.16,0.14,39.0,-0.18,0.07,16,-0.04,0.02,3.0,-0.39,0.3,14.0,-0.13,0.03,24.0,-0.44,0.16,19.0
"UBC_347",276.7174,-10.9491,-0.04,0.13,32.0,-0.14,0.13,6,0.02,0.03,3.0,-0.21,0.18,18.0,-0.08,0.06,29.0,-0.3,0.17,11.0
"UBC_360",292.518,10.6591,-0.05,0.09,49.0,-0.27,0.11,29,-0.04,0.12,3.0,0.07,0.09,13.0,-0.18,0.04,29.0,-0.17,0.11,24.0
"UBC_366",299.8565,37.2049,-0.05,0.09,34.0,-0.1,0.13,30,"nan","nan","nan",0.09,0.1,23.0,-0.07,0.06,24.0,-0.04,0.07,32.0
"UBC_374",305.6704,38.9058,0.02,0.12,65.0,-0.06,0.09,72,0.1,0.05,8.0,0.26,0.05,42.0,-0.02,0.06,64.0,-0.09,0.07,77.0
"UBC_427",71.7829,49.027,-0.11,0.12,41.0,-0.41,0.22,3,"nan","nan","nan",-0.28,0.12,16.0,-0.24,0.06,21.0,-0.26,0.1,53.0
"UBC_433",87.6853,28.7328,-0.41,0.15,30.0,-0.38,0.1,49,-0.32,0.04,17.0,"nan","nan","nan",-0.33,0.04,19.0,-0.43,0.13,47.0
"UBC_440",113.0967,6.0071,-0.32,0.08,26.0,-0.53,0.09,14,"nan","nan","nan",-0.43,0.29,5.0,-0.26,0.05,9.0,-0.22,0.04,7.0
"UBC_443",98.6298,-6.8042,-0.21,0.14,35.0,-0.34,0.13,20,"nan","nan","nan",-0.02,0.04,3.0,-0.25,0.08,6.0,-0.17,0.07,22.0
"UBC_449",115.2097,-12.8808,-0.14,0.13,21.0,-0.42,0.12,37,"nan","nan","nan",-0.29,0.08,7.0,-0.29,0.07,16.0,-0.16,0.14,20.0
"UBC_452",111.1859,-19.2548,-0.25,0.06,9.0,-0.38,0.12,28,-0.14,0.02,4.0,-0.11,0.04,3.0,-0.24,0.05,8.0,-0.28,0.15,19.0
"UBC_459",115.1005,-19.7644,-0.18,0.11,44.0,-0.3,0.1,53,"nan","nan","nan",-0.15,0.11,8.0,-0.24,0.05,32.0,-0.21,0.06,47.0
"UBC_466",116.3826,-27.227,-0.3,0.08,41.0,-0.5,0.16,59,-0.4,0.08,6.0,-0.42,0.07,4.0,-0.37,0.05,15.0,-0.53,0.2,38.0
"UBC_467",123.1642,-25.656,-0.3,0.12,50.0,-0.41,0.14,54,-0.31,0.05,10.0,-0.39,0.09,13.0,-0.32,0.06,34.0,-0.25,0.11,37.0
"UBC_472",120.7667,-35.0831,-0.08,0.13,31.0,-0.24,0.08,41,-0.17,0.07,7.0,-0.31,0.16,15.0,-0.21,0.05,29.0,-0.21,0.11,52.0
"UBC_478",119.3545,-44.6821,-0.13,0.16,42.0,-0.21,0.1,43,-0.12,0.05,6.0,-0.21,0.11,18.0,-0.24,0.06,37.0,-0.13,0.1,38.0
"UBC_493",141.1907,-57.3553,-0.29,0.11,17.0,-0.21,0.09,29,-0.09,0.03,3.0,-0.33,0.05,12.0,-0.18,0.06,21.0,-0.18,0.08,32.0
"UBC_494",143.883,-57.3225,-0.14,0.09,33.0,-0.41,0.12,56,-0.23,0.11,5.0,"nan","nan","nan",-0.24,0.07,13.0,-0.34,0.13,58.0
