"Name","RAJ2000","DEJ2000","Nc","R","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","Dist","e_Dist","logAge","e_logAge","E(B-V)","e_E(B-V)","Z","e_Z"
"ASCC 88",256.69583,-35.6,1407,22.93,0.89,0.027,1.254,0.013,-2.256,0.018,-3.904,2.149,991,63,7.159,0.068,0.43,0.05,0.01,0.004
"NGC 6322",259.625,-42.93694,70,2.9,0.728,0.093,0.183,0.026,-2.272,0.023,-40.338,1.076,1501,136,6.968,0.097,0.59,0.1,0.017,0.007
"VDBH 231",262.98333,-31.91,96,2.33,0.328,0.027,-0.851,0.011,-1.852,0.006,-11.34,0.32,2643,109,7.075,0.067,0.93,0.07,0.013,0.003
"Trumpler 28",264.22917,-32.46889,143,3.97,0.678,0.077,-0.851,0.021,-2.824,0.018,-15.81,1.31,1380,78,7.503,0.035,0.57,0.02,0.017,0.006
"Trumpler 33",276.175,-19.71667,98,3.03,0.699,0.04,0.458,0.01,0.511,0.005,-4.64,0.38,1491,49,7.435,0.109,0.42,0.04,0.015,0.003
"NGC 6664",279.125,-8.19389,237,4.49,0.468,0.059,-0.089,0.008,-2.561,0.008,-4.44,0.36,1897,265,7.379,0.159,0.7,0.02,0.002,0.007
"Roslund 2",296.35,23.91667,337,6.75,0.458,0.034,-1.789,0.018,-5.094,0.02,107.34,7.11,1371,78,7.1,0.032,0.89,0.05,0.002,0.0
"IC 4996",304.12917,37.65528,143,2.16,0.479,0.029,-2.652,0.02,-5.272,0.013,-34.614,2.477,2124,399,6.999,0.063,0.55,0.05,0.012,0.009
"Berkeley 86",305.1,38.7,143,3.31,0.572,0.041,-3.51,0.022,-5.497,0.027,-3.733,0.671,1861,144,7.192,0.052,0.79,0.11,0.026,0.006
"Teutsch 30",306.92917,36.07556,23,1.77,0.534,0.018,-3.172,0.034,-5.682,0.024,94.08,14.03,2492,207,7.506,0.139,0.95,0.04,0.022,0.003
"NGC 7128",325.99167,53.715,180,1.64,0.261,0.061,-4.026,0.013,-4.111,0.011,-54.93,0.53,4824,908,7.145,0.217,0.92,0.12,0.019,0.011
"Alessi Teutsch 5",332.21667,61.10306,158,15.61,1.111,0.062,-1.895,0.032,-3.207,0.018,-5.04,4.33,804,9,7.118,0.051,0.4,0.04,0.006,0.002
"NGC 7235",333.10417,57.27,245,3.0,0.262,0.036,-3.777,0.012,-3.066,0.022,-57.12,0.19,3737,145,7.309,0.061,0.82,0.06,0.01,0.003
"Pismis Moreno 1",334.7,63.26667,45,3.38,1.057,0.029,-2.286,0.037,-2.25,0.015,1.65,9.84,817,167,7.082,0.227,0.62,0.08,0.007,0.003
"Berkeley 96",337.45417,55.39639,172,2.37,0.242,0.044,-3.511,0.013,-2.976,0.018,1.75,0.6,3196,404,7.268,0.044,0.52,0.05,0.006,0.005
"NGC 7380",341.8375,58.13167,558,8.4,0.304,0.05,-2.624,0.015,-2.044,0.026,-51.118,2.61,1810,497,7.352,0.039,0.52,0.03,0.002,0.01
"NGC 7510",347.76667,60.57889,324,2.36,0.286,0.048,-3.664,0.008,-2.193,0.008,63.74,3.44,3497,99,7.1,0.04,0.86,0.02,0.015,0.002
"Negueruela 1",356.85,63.21778,53,1.48,0.289,0.059,-2.988,0.031,-1.343,0.023,-5.02,2.94,5691,370,6.822,0.035,0.92,0.08,0.036,0.004
