"Name","RAJ2000","DEJ2000","Diam","E(B-V)","e_E(B-V)","Eratio","Dm","e_Dm","Dist","e_Dist","Age","e_Age"
"SAI 27",47.8413,68.9003,5.0,0.62,0.04,0.57,10.48,0.28,1250.0,170.0,9.25,0.1
"SAI 28",54.8196,55.9733,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 29,FSR 634",55.0896,59.4144,5.0,0.84,0.01,0.53,12.24,0.07,2800.0,90.0,9.0,0.05
"SAI 30",55.0925,82.2333,3.0,1.25,0.44,0.82,12.46,0.05,3100.0,80.0,8.0,"nan"
"SAI 31",57.8142,58.7689,6.0,0.16,0.22,0.23,12.12,0.02,2650.0,30.0,9.6,0.05
"SAI 32,FSR 655",59.0492,53.8692,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 33,Juchert 19",60.5842,52.4442,2.0,0.28,0.01,0.56,10.64,0.02,1340.0,50.0,9.3,"nan"
"SAI 34,FSR 660",60.6575,51.9306,5.0,1.2,0.12,0.58,13.78,0.03,5700.0,80.0,9.1,0.05
"SAI 35,Juchert 20",62.6958,46.8669,5.0,0.7,0.18,0.71,11.92,0.02,2420.0,20.0,8.55,"nan"
"SAI 36",64.21,41.0667,3.0,0.55,0.05,0.6,12.36,0.19,3000.0,270.0,9.1,0.05
"SAI 37,FSR 687",69.8629,48.2064,4.0,0.77,0.03,0.57,14.3,0.04,7200.0,130.0,9.15,0.05
"SAI 38,FSR 699",74.0233,47.3903,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 39,FSR 696",74.6317,47.9842,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 40",75.2371,41.2339,8.0,0.35,0.12,0.78,13.29,0.05,4550.0,100.0,8.75,0.05
"SAI 41",76.7725,38.4181,2.0,0.51,0.18,0.39,13.58,0.23,5200.0,580.0,9.3,0.05
"SAI 42,Juchert 23",76.9154,17.6,8.0,0.62,0.18,0.77,11.67,0.09,2160.0,90.0,8.7,0.05
"SAI 43",77.0692,49.8689,2.0,0.18,0.03,0.45,12.92,0.07,3840.0,130.0,8.95,0.05
"SAI 44,FSR 716",77.7808,45.7192,5.0,0.24,0.01,0.55,12.64,0.06,3400.0,70.0,8.95,0.05
