"Name","RA","DEC","GLON","GLAT","HDis","E(B-V)","Age","[Fe/H]","RVel","pmRA","pmDE"
"NGC 6383",263.26013,-33.02979,355.1,0.1,985.0,"nan",0.0,"nan",7.0,3.22,-0.84
"NGC 6405",265.05078,-32.21872,356.595,-0.735,487.0,0.144,0.09,"0.06;0.06",10.4,-1.57,-6.61
"NGC 6425",266.74851,-31.5274,357.94,-1.6,778.0,0.399,0.02,"0.09","nan","nan","nan"
"NGC 6475",268.47642,-34.81229,355.85,-4.52,301.0,0.103,0.29,"0.03","nan","nan","nan"
"NGC 6494",269.2392,-18.96844,9.895,2.865,628.0,0.356,0.29,"0.09;0.22",-8.6,-1.3,-0.67
"NGC 6514",270.64095,-23.05264,7.0,-0.3,816.0,"nan",0.02,"nan",-22.0,-0.42,-3.02
"NGC 6530",271.20411,-24.37701,6.1,-1.4,1330.0,"nan",0.0,"nan",-30.0,0.58,-2.09
"NGC 6531",271.10887,-22.49242,7.7,-0.4,1205.0,"nan",0.01,"nan",-16.0,2.28,-3.05
"NGC 654",26.01896,61.83974,129.1,-0.4,2041.0,"nan",0.01,"nan",-33.8,-1.34,-0.72
"NGC 6604",274.53358,-12.19223,18.3,1.7,1696.0,"nan",0.0,"nan",18.0,-0.02,-2.74
"NGC 6611",274.71636,-13.76304,17.0,0.8,1749.0,"nan",0.0,"nan",23.5,2.09,-0.9
"NGC 6613",274.98983,-17.08115,14.2,-1.0,1296.0,"nan",0.01,"nan",-14.0,-1.02,-1.33
"NGC 663",26.57902,61.16997,129.5,-1.0,1952.0,"nan",0.01,"nan",-32.0,-1.49,-2.3
"NGC 6633",276.87698,6.57446,36.1,8.3,376.0,0.182,0.42,"0.0;-0.01",-29.1,-0.01,-0.51
"NGC 6664",279.20876,-8.17252,24.0,-0.5,1164.0,"nan",0.01,"nan",17.8,-0.31,-2.31
"NGC 6694",281.32258,-9.35814,23.9,-2.9,1600.0,"nan",0.08,"nan",-9.2,-1.73,-0.91
"NGC 6705",282.78247,-6.27817,27.305,-2.79,1877.0,0.426,0.2,"0.14;0.14",34.4,-4.63,-1.1
"NGC 6709",282.87502,10.38238,42.2,4.7,1075.0,"nan",0.15,"nan",-21.0,2.61,-3.07
"NGC 6716",283.63671,-19.90504,15.39,-9.59,789.0,0.22,0.09,"-0.31","nan","nan","nan"
"NGC 6755",286.9663,4.26295,38.6,-1.7,1421.0,"nan",0.05,"nan",18.7,-1.7,-1.87
"NGC 6791",290.23117,37.79117,69.979,10.905,5853.0,0.117,4.39,"0.15;0.4",-57.0,-3.17,-7.74
"NGC 6811",294.46182,46.5469,79.4,12.0,1215.0,"nan",0.62,"nan",7.1,-3.58,-8.19
"NGC 6819",295.31891,40.19728,73.985,8.49,2360.0,0.238,1.49,"0.07;0.15",4.8,-3.14,-3.34
"NGC 6823",295.74492,23.32027,59.4,-0.1,1893.0,"nan",0.0,"nan",11.0,-1.41,-3.04
"NGC 6834",298.04013,29.41558,65.7,1.2,2067.0,"nan",0.07,"nan",-6.8,-0.12,-2.16
"NGC 6871",301.41845,35.76354,72.6,2.1,1574.0,"nan",0.0,"nan",-7.7,-3.23,-6.93
"NGC 6882",302.97759,26.57776,65.6,-4.0,597.0,"nan",1.44,"-0.02",0.7,1.6,-9.8
"NGC 6910",305.82779,40.78491,78.7,2.0,1139.0,"nan",0.01,"nan",-30.0,-3.66,-5.33
"NGC 6913",305.97702,38.50786,76.9,0.6,1148.0,"nan",0.01,"nan",-34.0,-2.95,-6.16
"NGC 6939",307.87911,60.65691,95.9,12.3,1185.0,0.32,2.21,"0.02","nan","nan","nan"
"NGC 6940",308.65574,28.30166,69.9,-7.17,770.0,0.214,0.72,"0.01;0.02",7.7,-2.23,-9.7
"NGC 7082",322.30672,47.12421,91.19,-2.9,1442.0,0.237,0.17,"-0.01","nan","nan","nan"
"NGC 7086",322.62667,51.58095,94.4,0.2,1298.0,"nan",0.13,"nan",-5.6,0.98,0.22
"NGC 7092",323.11694,48.457,92.5,-2.3,326.0,"nan",0.27,"nan",-7.5,-8.0,-19.71
"NGC 7142",326.28303,65.76678,105.34,9.48,1686.0,0.397,1.88,"0.04","nan","nan","nan"
"NGC 7160",328.33854,62.62938,104.0,6.5,789.0,"nan",0.01,"nan",-20.0,-2.71,-1.49
"NGC 7209",331.26455,46.48667,95.49,-7.33,1168.0,0.168,0.41,"-0.12","nan","nan","nan"
"NGC 7235",333.08357,57.28416,102.7,0.8,2823.0,"nan",0.01,"nan",-52.0,-4.03,-2.11
"NGC 7243",333.90491,49.85961,98.9,-5.6,808.0,"nan",0.11,"nan",-16.0,1.61,-2.53
"NGC 7380",341.7827,58.09867,107.1,-0.9,2222.0,"nan",0.01,"nan",-39.0,-1.74,-2.52
"NGC 752",29.45101,37.65239,137.19,-23.375,457.0,0.034,1.12,"-0.08;-0.09",5.5,8.29,-11.34
"NGC 7654",351.11712,61.64897,112.8,0.5,1421.0,"nan",0.05,"nan",-35.5,-2.0,-1.78
"NGC 7789",359.25213,56.71218,115.48,-5.37,2337.0,0.217,1.71,"-0.08","nan","nan","nan"
"NGC 7790",359.6193,61.21897,116.6,-1.0,2944.0,"nan",0.05,"nan",-78.0,-0.73,-2.14
"NGC 869",34.71926,57.17759,134.6,-3.7,2079.0,"nan",0.01,"nan",-53.0,-0.92,-1.66
"NGC 884",35.64697,57.10265,135.1,-3.6,2345.0,"nan",0.01,"nan",-40.5,-1.14,-1.56
"NGC 957",38.39121,57.59675,136.3,-2.6,1815.0,"nan",0.01,"nan",-36.0,1.11,0.28
