Name,OName,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,corr,plx,e_plx,Rscale,Nstar,GLON,GLAT
NGC 6304    ,          ,258.634,-29.462,-4.07,0.029,-1.088,0.028,0.01,0.169,0.011,2.11,105,355.8254,5.3758
NGC 6316    ,          ,259.155,-28.14,-4.969,0.031,-4.592,0.03,0.01,0.113,0.013,1.51,62,357.1752,5.7649
NGC 6341    ,M 92      ,259.281,43.136,-4.935,0.024,-0.625,0.024,0.0,0.112,0.01,3.29,4365,68.3385,34.8588
NGC 6325    ,          ,259.497,-23.766,-8.289,0.03,-9.0,0.029,0.02,0.162,0.013,1.21,106,0.9732,8.0034
NGC 6333    ,M 9       ,259.797,-18.516,-2.18,0.026,-3.222,0.026,0.02,0.135,0.011,3.24,803,5.5435,10.7069
NGC 6342    ,          ,260.292,-19.587,-2.903,0.027,-7.116,0.026,0.0,0.141,0.012,1.54,194,4.899,9.7253
NGC 6356    ,          ,260.896,-17.813,-3.75,0.026,-3.392,0.026,0.0,0.096,0.012,2.32,441,6.7238,10.2196
NGC 6355    ,          ,260.994,-26.353,-4.738,0.031,-0.572,0.03,0.02,0.15,0.012,1.43,63,359.5852,5.4283
NGC 6352    ,          ,261.371,-48.422,-2.158,0.025,-4.447,0.025,-0.01,0.19,0.011,2.99,2335,341.4215,-7.166
IC 1257     ,          ,261.785,-7.093,-1.007,0.04,-1.492,0.032,0.1,0.057,0.027,0.36,64,16.5276,15.1454
Terzan 2    ,HP 3      ,261.888,-30.802,-2.17,0.041,-6.263,0.038,0.05,0.101,0.025,0.65,63,356.3197,2.2983
NGC 6366    ,          ,261.934,-5.08,-0.332,0.025,-5.16,0.024,0.01,0.285,0.011,3.9,1663,18.4083,16.0358
Terzan 4    ,HP 4      ,262.663,-31.596,-5.462,0.06,-3.711,0.048,0.19,0.09,0.041,0.99,59,356.0239,1.3071
BH 229      ,HP 1      ,262.772,-29.982,2.523,0.039,-10.093,0.037,0.04,0.124,0.014,0.93,25,357.4251,2.1146
FSR 1758    ,          ,262.8,-39.808,-2.881,0.026,2.519,0.025,-0.01,0.122,0.011,4.05,296,349.2169,-3.2922
NGC 6362    ,          ,262.979,-67.048,-5.506,0.024,-4.763,0.024,0.0,0.136,0.01,3.02,5678,325.5548,-17.5696
Liller 1    ,          ,263.352,-33.39,-5.403,0.109,-7.431,0.077,0.3,-0.089,0.083,0.64,83,354.8398,-0.1606
NGC 6380    ,Ton 1     ,263.617,-39.069,-2.183,0.031,-3.233,0.03,0.01,0.099,0.014,0.96,109,350.1818,-3.4205
Terzan 1    ,HP 2      ,263.946,-30.481,-2.806,0.055,-4.861,0.055,0.01,0.044,0.022,0.92,34,357.5579,0.992
Ton 2       ,Pismis 26 ,264.044,-38.553,-5.904,0.031,-0.755,0.029,0.03,0.143,0.015,1.12,83,350.7968,-3.4233
NGC 6388    ,          ,264.072,-44.736,-1.316,0.026,-2.709,0.026,-0.01,0.1,0.011,3.34,537,345.5561,-6.7381
NGC 6402    ,M 14      ,264.4,-3.246,-3.59,0.025,-5.059,0.025,0.01,0.129,0.011,3.0,646,21.3235,14.8049
NGC 6401    ,          ,264.652,-23.91,-2.748,0.035,1.444,0.034,0.01,0.149,0.013,1.34,40,3.45,3.9801
NGC 6397    ,          ,265.175,-53.674,3.26,0.023,-17.664,0.022,0.0,0.416,0.01,6.92,12318,338.1652,-11.9592
VVV CL002   ,          ,265.276,-28.845,-8.867,0.142,2.39,0.085,0.17,0.14,0.099,0.41,14,359.5585,0.8891
Palomar 6   ,          ,265.926,-26.223,-9.222,0.038,-5.347,0.036,0.03,0.104,0.017,0.97,29,2.0918,1.7797
NGC 6426    ,          ,266.228,3.17,-1.828,0.026,-2.999,0.026,0.02,0.051,0.012,0.9,130,28.0868,16.2335
Djorg 1     ,          ,266.868,-33.066,-4.693,0.046,-8.468,0.041,0.02,0.094,0.027,0.89,64,356.6746,-2.4823
Terzan 5    ,Terzan 11 ,267.02,-24.779,-1.989,0.068,-5.243,0.066,0.06,0.145,0.022,1.41,45,3.8394,1.687
NGC 6440    ,          ,267.22,-20.36,-1.187,0.036,-4.02,0.035,0.01,0.149,0.013,1.54,86,7.729,3.801
NGC 6441    ,          ,267.554,-37.051,-2.551,0.028,-5.348,0.028,0.03,0.083,0.011,3.02,119,353.5325,-5.0053
Terzan 6    ,HP 5      ,267.693,-31.275,-4.979,0.048,-7.431,0.039,0.14,0.076,0.033,0.71,49,358.5715,-2.1614
NGC 6453    ,          ,267.715,-34.599,0.203,0.036,-5.934,0.037,-0.04,0.098,0.013,1.09,23,355.7174,-3.8721
UKS 1       ,          ,268.613,-24.145,-2.023,0.107,-2.76,0.069,-0.24,0.056,0.091,0.61,112,5.1255,0.7644
VVV CL001   ,          ,268.677,-24.015,-3.486,0.155,-1.675,0.106,0.08,0.158,0.114,0.39,27,5.2672,0.7797
Gran 1      ,          ,269.653,-32.02,-8.163,0.038,-8.045,0.036,0.0,0.076,0.025,0.47,19,358.7679,-3.9781
Pfleiderer 2,          ,269.664,-5.07,-2.784,0.034,-4.158,0.031,0.09,0.094,0.022,1.41,108,22.2839,9.3271
NGC 6496    ,          ,269.765,-44.266,-3.06,0.027,-9.271,0.026,0.01,0.119,0.013,1.73,461,348.0268,-10.0136
Terzan 9    ,          ,270.412,-26.84,-2.121,0.052,-7.763,0.049,0.03,0.155,0.017,0.8,33,3.603,-1.9892
Djorg 2     ,ESO 456-38,270.455,-27.826,0.662,0.042,-2.983,0.037,0.0,0.122,0.018,0.73,16,2.7636,-2.5089
NGC 6517    ,          ,270.461,-8.959,-1.551,0.029,-4.47,0.028,0.03,0.115,0.012,1.17,147,19.2251,6.7622
Terzan 10   ,          ,270.742,-26.073,-6.827,0.059,-2.588,0.05,0.01,0.145,0.044,1.06,48,4.4165,-1.8682
NGC 6522    ,          ,270.892,-30.034,2.566,0.039,-6.438,0.036,-0.02,0.125,0.013,1.09,63,1.0246,-3.9256
NGC 6535    ,          ,270.96,-0.298,-4.214,0.027,-2.939,0.026,0.01,0.163,0.012,1.22,400,27.175,10.436
NGC 6528    ,          ,271.207,-30.056,-2.157,0.043,-5.649,0.039,-0.03,0.125,0.018,0.7,24,1.1385,-4.1744
NGC 6539    ,          ,271.207,-7.586,-6.896,0.026,-3.537,0.026,0.01,0.131,0.011,1.77,392,20.7949,6.7759
NGC 6540    ,Djorg 3   ,271.536,-27.765,-3.702,0.032,-2.791,0.032,-0.02,0.18,0.017,0.65,17,3.2854,-3.313
NGC 6544    ,          ,271.836,-24.997,-2.304,0.031,-18.604,0.03,0.01,0.399,0.011,4.62,322,5.8386,-2.2036
NGC 6541    ,          ,272.01,-43.715,0.287,0.025,-8.847,0.025,0.0,0.145,0.011,3.63,2555,349.286,-11.1883
ESO 280-06  ,          ,272.275,-46.423,-0.688,0.039,-2.777,0.033,0.09,0.041,0.026,0.47,45,346.8988,-12.5709
NGC 6553    ,          ,272.323,-25.909,0.344,0.03,-0.454,0.029,0.01,0.194,0.011,3.47,210,5.2525,-3.0296
NGC 6558    ,          ,272.573,-31.764,-1.72,0.036,-4.144,0.034,0.04,0.149,0.018,0.94,56,0.1991,-6.0224
Palomar 7   ,IC 1276   ,272.684,-7.208,-2.553,0.026,-4.568,0.026,0.01,0.21,0.011,3.31,581,21.8315,5.6685
Terzan 12   ,          ,273.066,-22.742,-6.222,0.037,-3.052,0.034,0.13,0.187,0.02,1.05,136,8.3581,-2.1009
NGC 6569    ,          ,273.412,-31.827,-4.125,0.028,-7.354,0.028,0.01,0.112,0.012,1.66,102,0.4809,-6.6812
BH 261      ,ESO 456-78,273.527,-28.635,3.566,0.043,-3.59,0.037,0.1,0.191,0.023,0.74,21,3.3615,-5.27
NGC 6584    ,          ,274.657,-52.216,-0.09,0.026,-7.202,0.025,-0.01,0.077,0.011,1.76,857,342.1434,-16.4142
Mercer 5    ,          ,275.832,-13.669,-3.965,0.114,-7.22,0.111,0.31,0.223,0.093,2.02,40,17.5933,-0.1119
NGC 6624    ,          ,275.919,-30.361,0.124,0.029,-6.936,0.029,0.0,0.13,0.012,1.67,120,2.7884,-7.9136
NGC 6626    ,M 28      ,276.137,-24.87,-0.278,0.028,-8.922,0.028,-0.01,0.2,0.011,3.58,321,7.798,-5.5807
NGC 6638    ,          ,277.734,-25.497,-2.518,0.029,-4.076,0.029,0.01,0.115,0.012,1.17,152,7.897,-7.153
NGC 6637    ,M 69      ,277.846,-32.348,-5.034,0.028,-5.832,0.028,0.04,0.116,0.012,1.97,388,1.7229,-10.2692
NGC 6642    ,          ,277.975,-23.475,-0.173,0.03,-3.892,0.03,0.0,0.126,0.013,1.05,60,9.8147,-6.4383
NGC 6652    ,          ,278.94,-32.991,-5.484,0.027,-4.274,0.027,0.01,0.119,0.012,1.33,319,1.5336,-11.3768
NGC 6656    ,M 22      ,279.1,-23.905,9.851,0.023,-5.617,0.023,0.0,0.306,0.01,8.08,4337,9.8921,-7.552
Palomar 8   ,          ,280.375,-19.826,-1.987,0.027,-5.694,0.027,0.01,0.115,0.012,1.16,133,14.1047,-6.7975
NGC 6681    ,M 70      ,280.803,-32.292,1.431,0.027,-4.744,0.026,0.01,0.121,0.012,2.01,857,2.853,-12.5097
Ryu 879     ,RLGC 2    ,281.367,-5.192,-2.396,0.077,-1.794,0.069,0.39,0.084,0.074,0.32,34,27.6313,-1.0416
NGC 6712    ,          ,283.268,-8.706,3.363,0.027,-4.436,0.027,0.02,0.146,0.011,2.0,291,25.3541,-4.318
NGC 6715    ,M 54      ,283.764,-30.48,-2.679,0.025,-1.387,0.025,0.0,0.053,0.011,3.36,1122,5.6069,-14.0873
NGC 6717    ,Palomar 9 ,283.775,-22.701,-3.125,0.027,-5.008,0.027,0.03,0.117,0.012,1.21,284,12.8763,-10.8999
NGC 6723    ,          ,284.888,-36.632,1.028,0.025,-2.418,0.025,0.0,0.132,0.011,2.93,2330,0.0695,-17.2987
NGC 6749   ,Berkeley 42,286.314,1.901,-2.829,0.028,-6.006,0.027,0.01,0.138,0.012,2.15,259,36.2011,-2.2048
NGC 6752    ,          ,287.717,-59.985,-3.161,0.022,-4.027,0.022,-0.01,0.254,0.01,6.08,16348,336.4924,-25.6284
NGC 6760    ,          ,287.8,1.03,-1.107,0.026,-3.615,0.026,0.02,0.132,0.011,2.3,324,36.1073,-3.9243
NGC 6779    ,M 56      ,289.148,30.183,-2.018,0.025,1.618,0.025,0.01,0.091,0.011,2.03,1567,62.6589,8.3363
Terzan 7    ,          ,289.433,-34.658,-3.002,0.029,-1.651,0.029,0.05,0.05,0.015,0.83,116,3.3866,-20.0667
Palomar 10  ,          ,289.509,18.572,-4.322,0.029,-7.173,0.029,0.02,0.112,0.014,1.49,117,52.4368,2.7248
Arp 2       ,          ,292.184,-30.356,-2.331,0.031,-1.475,0.029,0.05,0.026,0.021,1.66,156,8.5451,-20.7856
NGC 6809    ,M 55      ,294.999,-30.965,-3.432,0.024,-9.311,0.024,0.01,0.209,0.01,4.7,7483,8.7924,-23.2719
Terzan 8    ,          ,295.435,-33.999,-2.496,0.027,-1.581,0.026,-0.02,0.05,0.013,1.99,354,5.7597,-24.5586
Palomar 11  ,          ,296.31,-8.007,-1.766,0.03,-4.971,0.028,0.04,0.109,0.017,1.18,172,31.8053,-15.5759
NGC 6838    ,M 71      ,298.444,18.779,-3.416,0.025,-2.656,0.024,0.0,0.251,0.011,3.22,3021,56.7459,-4.5648
NGC 6864    ,M 75      ,301.52,-21.921,-0.598,0.026,-2.81,0.026,0.02,0.069,0.012,1.31,367,20.3043,-25.7474
NGC 6934    ,          ,308.547,7.404,-2.655,0.026,-4.689,0.026,0.01,0.078,0.012,1.58,745,52.1026,-18.8929
NGC 6981    ,M 72      ,313.365,-12.537,-1.274,0.026,-3.361,0.026,0.0,0.084,0.012,1.34,765,35.1625,-32.6826
NGC 7006    ,          ,315.372,16.187,-0.128,0.027,-0.633,0.027,0.0,0.035,0.015,0.61,174,63.7689,-19.4069
Laevens 3   ,          ,316.729,14.984,0.172,0.101,-0.666,0.08,-0.02,0.126,0.089,0.52,21,63.5975,-21.176
Segue 3     ,          ,320.379,19.117,-0.981,0.121,-1.667,0.081,-0.31,-0.005,0.117,0.49,21,69.3989,-21.2726
NGC 7078    ,M 15      ,322.493,12.167,-0.659,0.024,-3.803,0.024,0.01,0.097,0.01,4.1,4699,65.0126,-27.3126
NGC 7089    ,M 2       ,323.363,-0.823,3.435,0.025,-2.159,0.024,0.01,0.082,0.011,3.52,3091,53.3714,-35.77
NGC 7099    ,M 30      ,325.092,-23.18,-0.737,0.025,-7.299,0.024,0.01,0.136,0.011,2.77,2990,27.1789,-46.8354
Palomar 12  ,          ,326.662,-21.253,-3.22,0.029,-3.333,0.028,0.08,0.05,0.018,0.95,185,30.5097,-47.6819
Palomar 13  ,          ,346.685,12.772,1.748,0.049,0.104,0.047,-0.02,-0.037,0.034,0.66,72,87.1034,-42.6998
NGC 7492    ,          ,347.111,-15.611,0.756,0.028,-2.32,0.028,0.03,0.073,0.014,1.13,190,53.387,-63.4773
Gran 2      ,          ,257.890,-24.849,0.19,nan,-2.57,nan,nan,0.06,nan,nan,102,-0.771,8.587
Gran 3      ,          ,256.256,-35.496,-3.78,nan,0.66,nan,nan,0.083,nan,nan,118,-10.244,3.424
Gran 4      ,          ,278.113,-23.114,0.46,nan,-3.49,nan,nan,0.044,nan,nan,155,10.198,-6.388
Gran 5      ,          ,267.228,-24.170,-5.32,nan,-9.20,nan,nan,0.22,nan,nan,76,4.459,1.838
