"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 314,UPK_545",3,275.23,-9.92,130.94,-58.73,-8.87,0.55,2.61,0.61,3.05,0.11,26.97,2.98,1,85,215,7.87,7.85,0.09,1.33,1.19,1.19,4.52,18.19,1.79,0.02,4.65,0.22,"UPK_545","Sim19"
"OCSN 315,UPK_552",3,279.93,9.54,158.39,-47.08,-22.57,0.57,6.45,0.39,3.07,0.12,9.18,9.0,1,21,46,7.64,7.9,0.07,0.68,1.54,0.05,1.92,0.04,1.67,0.01,2.98,0.08,"UPK_552","Sim19"
"OCSN 316,UPK_569",3,295.91,-10.39,169.95,-72.0,-25.65,0.82,-1.33,1.8,4.04,0.16,3.0,5.02,1,47,128,7.77,7.45,0.3,1.57,1.78,0.1,5.73,0.47,"nan","nan","nan","nan","UPK_569","Sim19"
"OCSN 317,UPK_592",3,312.69,16.98,206.08,-44.89,-25.91,2.48,-19.22,1.49,7.46,0.41,8.81,4.19,1,200,485,5.9,7.35,0.13,3.81,8.25,0.92,9.05,0.36,"nan","nan","nan","nan","UPK_592","Sim19"
"OCSN 318,UPK_606",3,319.12,13.5,216.03,-46.44,-20.03,0.69,-16.83,0.38,5.89,0.15,6.48,2.89,1,23,55,6.26,7.1,0.07,0.8,0.94,0.19,2.44,1.2,0.92,0.01,1.72,0.1,"UPK_606","Sim19"
"OCSN 319,UPK_612",3,322.75,-15.51,254.62,-68.24,-13.24,1.3,-11.6,1.42,4.29,0.34,3.04,3.08,1,111,274,6.71,8.3,0.02,2.15,3.88,0.26,4.68,0.2,3.65,0.01,7.54,0.09,"UPK_612","Sim19"
"OCSN 320,UPK_622",3,327.75,11.66,227.95,-44.35,-20.4,0.74,-21.83,0.65,6.79,0.17,5.11,3.76,1,53,142,5.86,7.2,0.02,1.87,3.46,0.36,4.46,0.35,2.91,0.14,8.3,1.57,"UPK_622","Sim19"
"OCSN 321,UPK_624",3,329.07,-10.64,254.07,-60.39,-1.54,0.5,-14.38,0.7,3.15,0.13,1.98,3.49,1,23,59,8.16,7.35,0.19,0.67,0.93,0.01,2.57,0.03,1.86,0.01,3.37,0.04,"UPK_624","Sim19"
"OCSN 322",3,359.6,-14.1,281.0,-35.83,1.02,1.42,-27.52,0.83,6.71,0.22,-3.05,5.11,1,92,201,6.28,7.15,0.17,1.8,3.69,0.28,3.96,0.12,3.34,0.03,5.48,0.22,"UPK_653, CA_off-cloud","Sim19, G20a"
"OCSN 323,UPK_654",3,359.55,-10.84,277.35,-34.52,1.19,0.16,-8.71,0.17,1.95,0.08,0.97,2.8,1,20,71,9.2,8.4,0.25,0.33,0.47,0.01,1.41,0.04,1.04,0.01,1.73,0.07,"UPK_654","Sim19"
"OCSN 324",3,359.91,-17.79,285.39,-36.95,4.53,0.75,-27.36,0.92,6.5,0.16,-4.32,6.16,1,29,71,6.2,6.95,0.1,0.45,0.46,0.01,1.81,0.19,0.78,0.02,1.71,0.17,"UPK_655, CA_on-cloud","Sim19, G20a"
