"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 243,NGC_7092",3,92.36,-2.25,322.9,48.4,-7.5,0.3,-19.8,0.38,3.38,0.06,-6.4,2.87,1,56,142,7.7,8.05,0.1,0.82,0.86,0.08,2.07,0.42,1.18,0.02,3.29,0.19,"NGC_7092","CG20"
"OCSN 244,ONC",3,209.01,-19.38,83.82,-5.39,1.41,0.78,0.35,0.89,2.49,0.13,23.68,8.2,1,66,652,9.39,6.65,0.53,0.09,0.07,0.0,0.39,0.13,0.12,0.0,0.34,0.02,"ONC","K18"
"OCSN 245,Ophiuchi_p1",3,353.57,17.52,246.45,-23.64,-7.0,1.25,-25.89,1.35,7.18,0.2,-7.38,4.85,1,114,305,6.13,7.1,0.25,0.98,1.46,0.11,2.32,0.13,1.76,0.03,3.34,0.28,"Ophiuchi_p1","G21"
"OCSN 246,Ophiuchi_p2",3,351.95,17.97,244.95,-24.49,-10.54,1.0,-22.65,1.65,6.74,0.49,-5.63,6.62,1,209,618,6.69,6.95,0.26,2.27,3.11,0.7,4.59,1.05,2.35,0.03,5.53,0.29,"Ophiuchi_p2","G21"
"OCSN 247",3,27.2,2.62,277.91,-3.89,2.03,0.34,-9.04,0.42,2.62,0.08,-9.45,7.95,1,61,155,10.38,8.8,0.89,0.89,0.9,0.06,2.59,0.33,1.83,0.03,4.48,0.27,"PHOC_39, LISC_3567","HR21, Li22"
"OCSN 248,PHOC_40",3,47.68,2.24,287.67,14.14,-1.54,0.33,-9.49,0.22,3.05,0.11,19.88,4.74,1,17,38,8.15,8.0,0.23,0.93,1.2,0.06,7.21,1.24,"nan","nan","nan","nan","PHOC_40","HR21"
"OCSN 249",3,63.23,14.72,282.61,33.38,1.84,0.29,-3.84,0.35,3.49,0.06,-20.77,1.86,1,14,63,7.63,7.35,0.1,0.44,0.83,0.01,1.52,0.02,1.32,0.01,2.42,0.06,"PHOC_41, LISC_3595","HR21, Li22"
"OCSN 250,Platais_3",3,139.17,16.02,69.77,71.29,3.16,2.5,-20.97,1.07,5.68,0.22,7.46,2.59,1,66,144,6.4,8.05,0.07,2.55,2.4,0.15,9.03,1.77,4.21,0.1,11.89,1.35,"Platais_3","CG20"
"OCSN 251,Platais_8",3,277.74,-7.9,137.04,-59.36,-16.31,2.48,13.38,2.32,7.45,0.23,22.14,4.11,1,128,317,5.84,7.55,0.08,4.1,5.65,0.45,12.36,1.03,"nan","nan","nan","nan","Platais_8","CG20"
"OCSN 252,Platais_9",3,267.16,4.02,139.35,-43.5,-26.0,4.12,13.4,0.7,5.71,0.75,16.44,3.63,1,88,228,6.48,7.7,0.07,2.37,2.38,0.13,8.82,1.59,4.1,0.05,7.94,0.4,"Platais_9","CG20"
"OCSN 253,Platais_10",3,309.3,3.04,205.36,-59.21,-30.28,0.87,-10.7,0.83,4.15,0.09,-16.97,1.76,1,22,51,6.58,8.65,0.01,0.75,0.79,0.2,2.66,2.27,1.4,0.09,7.56,2.15,"Platais_10","CG20"
"OCSN 254",3,262.83,-7.69,122.4,-47.36,-6.46,0.28,9.62,0.34,2.89,0.09,16.32,3.76,1,112,474,7.81,7.05,0.08,0.65,0.53,0.01,1.84,0.11,0.96,0.01,2.3,0.13,"Pozzo_1, Huluwa_1A","CG20, Pang21"
"OCSN 255,RSG_1",3,167.8,-2.64,75.55,37.52,0.74,0.36,-12.42,0.37,3.04,0.11,14.28,3.56,1,52,133,8.27,7.9,0.25,0.69,0.84,0.03,2.15,0.12,1.52,0.01,3.64,0.13,"RSG_1","CG20"
"OCSN 256",3,81.76,6.05,303.58,45.58,3.56,0.38,1.58,0.25,2.97,0.1,-7.86,3.34,1,68,204,7.72,7.6,0.03,0.98,1.45,0.16,2.3,0.24,1.51,0.03,3.9,0.27,"RSG_5, CWNU_540","CG20, He22a"
