"Cluster","RA_ICRS","DE_ICRS","GLON","GLAT","r50","nbstars07","pmRA*","pmDE","plx","Flag","AgeNN","AVNN","DMNN","DistPc"
"ASCC_10          ",51.87,34.981,155.723,-17.77,0.558,65,-1.737,-1.368,1.459,"NN            ",8.42,0.63,9.1,660
"ASCC_101         ",288.399,36.369,68.028,11.608,0.372,69,0.934,1.288,2.488,"NN            ",8.69,0.19,8.08,412
"ASCC_105         ",295.548,27.366,62.825,2.063,0.648,113,1.464,-1.635,1.783,"NN            ",7.87,0.41,8.77,567
"ASCC_107         ",297.164,21.987,58.904,-1.901,0.174,57,-0.155,-5.156,1.109,"NN            ",7.23,1.69,9.7,870
"ASCC_108         ",298.306,39.349,74.378,6.074,0.537,188,-0.519,-1.69,0.838,"NN            ",8.03,0.34,10.32,1160
"ASCC_11          ",53.056,44.856,150.546,-9.224,0.312,245,0.926,-3.03,1.141,"NN            ",8.39,0.6,9.69,867
"ASCC_110         ",300.742,33.528,70.411,1.378,0.203,65,0.271,-3.132,0.497,"NN            ",8.9,0.75,11.47,1971
"ASCC_111         ",302.891,37.515,74.714,2.056,0.537,136,-1.15,-1.524,1.166,"NN            ",8.44,0.39,9.65,851
"ASCC_113         ",317.933,38.638,82.877,-6.589,0.529,175,0.8,-3.679,1.762,"NN            ",8.46,0.13,8.75,563
"ASCC_114         ",324.99,53.997,97.082,1.028,0.216,134,-3.716,-3.421,1.066,"NN            ",7.68,0.92,9.79,908
"ASCC_115         ",329.28,51.558,97.528,-2.504,0.25,32,-0.549,-0.543,1.311,"NN            ",8.12,0.72,9.32,731
"ASCC_12          ",72.4,41.744,162.986,-1.893,0.303,139,-0.634,-2.794,0.941,"NN            ",7.97,0.7,10.1,1048
"ASCC_123         ",340.299,53.986,104.434,-4.141,1.294,49,12.093,-1.407,4.262,"NN            ",7.65,0,6.81,229
"ASCC_127         ",347.205,64.974,112.349,4.232,0.627,117,7.474,-1.745,2.633,"NN            ",7.26,0.43,7.88,376
"ASCC_128         ",349.949,54.435,109.77,-6.078,0.513,68,1.236,0.186,1.509,"NN            ",8.4,0.41,9.13,669
"ASCC_13          ",78.255,44.417,163.502,3.122,0.609,85,-0.473,-1.743,0.898,"NN            ",7.5,0.7,10.24,1115
"ASCC_16          ",81.198,1.655,201.139,-18.373,0.376,175,1.355,-0.015,2.838,"NN            ",7.13,0.2,7.69,344
"ASCC_19          ",81.982,-1.987,204.914,-19.438,0.605,149,1.152,-1.234,2.768,"NN            ",7.02,0.13,7.7,346
"ASCC_21          ",82.179,3.527,199.938,-16.598,0.41,90,1.404,-0.632,2.866,"NN            ",6.95,0.1,7.66,341
"ASCC_23          ",95.047,46.71,167.472,14.416,0.319,120,1.098,-0.598,1.594,"NN            ",8.37,0.34,9,630
"ASCC_29          ",103.571,-1.67,214.743,-0.128,0.137,46,-1.008,-1.019,0.944,"NN            ",7.97,0.19,10.12,1057
"ASCC_30          ",104.271,-6.23,219.119,-1.587,0.27,46,-1.595,-0.171,0.897,"NN            ",8.24,0.35,10.14,1067
"ASCC_32          ",105.714,-26.512,237.976,-9.433,0.656,186,-3.307,3.477,1.23,"NN            ",7.4,0.26,9.53,805
"ASCC_41          ",116.674,0.137,219.206,12.333,0.679,123,0.646,-3.99,3.352,"NN            ",8.33,0,7.39,300
"ASCC_58          ",153.657,-55.001,281.671,1.263,0.592,133,-13.276,2.786,2.06,"NN            ",7.72,0.25,8.46,491
"ASCC_6           ",26.846,57.722,130.369,-4.34,0.188,111,-0.838,0.211,0.621,"NN            ",7.54,0.72,11.01,1590
"ASCC_66          ",168.367,-55.437,289.28,4.816,0.097,22,-11.331,2.969,0.999,"NN            ",7.77,0.07,9.94,971
"ASCC_67          ",175.28,-61.013,294.515,0.704,0.183,26,-6.766,0.919,0.482,"NN            ",7.57,0.58,11.5,1999
"ASCC_71          ",185.033,-67.509,299.936,-4.82,0.255,76,-9.272,-1.351,0.786,"NN            ",8.11,0.53,10.52,1269
"ASCC_73          ",189.281,-67.203,301.542,-4.37,0.988,57,-11.539,-2.945,1.518,"NN            ",8.53,0.23,9.08,655
"ASCC_77          ",212.694,-62.331,311.999,-0.864,0.179,141,-4.243,-3.22,0.842,"NN            ",7.91,0.64,10.28,1136
"ASCC_79          ",229.731,-60.798,319.977,-2.905,0.98,113,-2.914,-4.232,1.176,"NN            ",7.27,0.41,9.58,825
"ASCC_85          ",251.853,-45.555,339.815,-0.259,0.357,105,0.17,-4.102,1.119,"NN            ",7.85,0.56,9.59,829
"ASCC_87          ",255.658,-28.421,355.125,8.093,0.347,45,-1.18,-3.814,1.27,"NN            ",7.92,0.57,9.45,774
"ASCC_88          ",256.886,-35.564,350.01,2.973,0.372,121,0.919,-3.282,1.097,"NN            ",8.39,1.45,9.85,931
"ASCC_9           ",41.671,57.743,137.844,-1.753,0.215,48,0.166,-1.099,0.406,"NN            ",7.47,2.23,11.88,2376
"ASCC_90          ",264.777,-34.874,354.224,-1.954,0.388,58,-1.63,-2.681,1.713,"NN            ",8.91,0.32,8.73,557
"ASCC_97          ",279.263,-19.139,14.25,-5.553,0.14,20,-2.331,-6.508,1.74,"manual        ",8.05,1.17,8.89,598
"ASCC_99          ",282.17,-18.488,16.07,-7.727,0.643,63,5.188,-1.311,3.367,"NN            ",8.55,0.47,7.28,285
"Alessi_1         ",13.343,49.536,123.255,-13.335,0.249,45,6.536,-6.245,1.39,"NN            ",9.16,0.08,9.19,689
"Alessi_10        ",301.233,-10.555,31.597,-21.058,0.266,70,1.469,-7.879,2.233,"NN            ",7.96,0.33,8.36,469
"Alessi_12        ",310.875,23.871,67.488,-11.405,0.682,307,4.303,-4.639,1.816,"NN            ",8.13,0.1,8.68,544
"Alessi_13        ",51.762,-35.821,237.532,-55.941,1.361,48,36.332,-4.709,9.584,"manual        ",7.55,0.1,5.11,105
"Alessi_15        ",100.767,1.672,210.49,-1.099,0.008,17,-0.182,0.469,0.093,"NN            ",7.53,2.18,14.01,6338
"Alessi_17        ",113.853,-15.098,231.359,2.585,0.022,15,-1.526,1.557,0.264,"notEnoughStars","     ","     ","     ","      "
"Alessi_18        ",114.295,-26.386,241.421,-2.555,0.019,24,-1.261,1.79,0.126,"NN            ",6.71,2.48,14.29,7199
"Alessi_19        ",274.741,12.311,40.403,12.71,0.595,60,-1.005,-7.073,1.71,"NN            ",7.41,0.31,8.79,573
"Alessi_2         ",71.602,55.199,152.333,6.365,0.554,159,-0.904,-1.046,1.589,"NN            ",8.55,0.52,9.09,657
"Alessi_20        ",2.593,58.742,117.615,-3.705,0.235,119,8.195,-2.341,2.311,"NN            ",6.97,0.6,8.08,412
"Alessi_21        ",107.69,-9.363,223.457,-0.014,0.467,113,-5.475,2.602,1.72,"NN            ",7.82,0.29,8.85,587
"Alessi_24        ",260.764,-62.693,328.984,-14.572,0.466,156,-0.488,-8.999,2.059,"NN            ",7.86,0.34,8.5,502
"Alessi_3         ",109.275,-46.142,257.449,-15.064,1.541,164,-9.875,11.958,3.566,"NN            ",8.8,0.14,7.37,297
"Alessi_31        ",267.698,-11.853,15.339,7.709,0.331,165,-1.164,-4.122,1.477,"NN            ",8.38,1.75,9.26,712
"Alessi_37        ",341.961,46.342,101.732,-11.38,0.423,133,0.351,-1.569,1.384,"NN            ",8.14,0.47,9.21,695
"Alessi_43        ",132.631,-41.738,262.546,1.501,0.29,284,-5.546,3.869,1.032,"NN            ",7.06,0.99,9.81,917
"Alessi_44        ",295.325,1.592,40.121,-10.332,1.296,175,0.463,-2.325,1.496,"manual        ",8.35,0.71,9.16,679
"Alessi_5         ",160.819,-61.081,288.058,-1.966,0.542,297,-15.411,2.503,2.501,"NN            ",7.83,0.62,8.14,424
"Alessi_53        ",97.352,9.18,202.259,-0.664,0.022,27,0.431,-0.201,0.198,"NN            ",7.88,1.93,13.79,5736
"Alessi_59        ",103.078,2.196,211.077,1.195,0.006,10,-0.54,0.283,0.227,"notEnoughStars","     ","     ","     ","      "
"Alessi_6         ",220.058,-66.127,313.643,-5.544,0.294,164,-10.472,-5.559,1.1,"NN            ",8.63,0.7,9.74,886
"Alessi_60        ",105.619,-1.12,215.188,1.944,0.048,67,-0.83,-0.653,0.336,"NN            ",8.35,0.83,12.35,2953
"Alessi_62        ",284.026,21.597,52.816,8.685,0.256,142,0.245,-1.074,1.591,"NN            ",8.84,0.78,9.07,650
"Alessi_8         ",232.408,-51.227,326.501,4.259,0.224,50,-5.899,-5.729,1.479,"NN            ",8.07,0.19,9.12,668
"Alessi_9         ",265.974,-47.028,344.269,-9.058,1.73,183,9.916,-9.157,4.822,"NN            ",8.45,0,6.66,215
"Alessi_Teutsch_11",304.127,52.051,87.435,9.268,0.257,110,-0.139,-1.295,1.52,"NN            ",8.16,0.37,9.01,634
"Alessi_Teutsch_12",255.421,-58.981,330.635,-10.337,0.489,41,-2.134,-8.952,1.632,"NN            ",7.94,0.35,9.03,641
"Alessi_Teutsch_3 ",118.228,-53.022,266.426,-12.849,0.491,87,-5.378,8.926,1.417,"NN            ",8.02,0.47,9.2,693
"Alessi_Teutsch_5 ",332.218,61.103,104.536,4.179,0.427,127,-1.895,-3.207,1.111,"NN            ",7.27,1.02,9.79,907
"Alessi_Teutsch_8 ",180.649,-60.935,297.033,1.376,0.298,319,-6.625,1.63,0.967,"NN            ",8.07,0.49,9.98,989
"Andrews_Lindsay_5",281.079,-4.931,27.733,-0.667,0.023,58,-0.901,-3.562,0.137,"tooRed        ","     ","     ","     ","      "
"Antalova_2       ",262.462,-32.541,355.141,0.929,0.097,27,2.037,-1.65,0.842,"NN            ",7.08,1.15,10.12,1056
"Archinal_1       ",283.709,5.55,38.259,1.775,0.04,65,-0.225,-1.578,0.526,"tooRed        ","     ","     ","     ","      "
"Arp_Madore_2     ",114.683,-33.845,248.123,-5.884,0.026,29,-0.513,1.225,0.039,"NN            ",9.48,1.49,15.35,11751
"Auner_1          ",106.06,-19.748,231.992,-6.16,0.026,41,-0.28,1.015,0.093,"NN            ",9.49,0.99,14.77,8984
"Aveni_Hunter_1   ",354.175,48.205,110.284,-12.823,0.496,82,-0.184,-2.087,2.348,"NN            ",7.02,0.75,8.03,402
"BDSB30           ",333.667,61.433,105.298,4.05,0.024,33,-1.579,-3.005,1.109,"tooRed        ","     ","     ","     ","      "
"BDSB91           ",96.319,-10.551,219.468,-10.554,0.036,32,-3.183,1.15,1.033,"NN            ",7.15,1.8,9.91,961
"BDSB93           ",104.297,-8.202,220.888,-2.462,0.036,32,-2.41,1.021,0.77,"NN            ",7.2,1.77,10.39,1196
"BDSB96           ",106.332,-12.327,225.477,-2.561,0.045,65,-3.843,1.071,0.844,"manual        ",6.9,1.22,10.29,1144
"VDBH_111           ",167.32,-63.834,291.956,-3.161,0.029,27,-8.176,2.941,0.339,"NN            ",8.29,1.28,12.27,2850
"VDBH_118           ",170.765,-58.549,291.604,2.366,0.023,61,-4.406,1.45,0.065,"NN            ",9.28,1.07,14.72,8807
"VDBH_121           ",174.661,-63.387,294.886,-1.658,0.154,174,-6,0.63,0.387,"NN            ",6.42,1.11,11.91,2413
"VDBH_132           ",186.72,-64.058,300.25,-1.315,0.046,52,-6.22,-0.177,0.362,"manual        ",8.2,1.24,12.03,2541
"VDBH_144           ",198.808,-65.92,305.359,-3.161,0.024,73,-5.111,-0.375,0.045,"NN            ",9.17,1.68,14.92,9649
"VDBH_150           ",204.506,-63.346,308.128,-0.946,0.025,43,-6.395,-1.534,0.178,"NN            ",7.34,3.76,13.73,5580
"VDBH_151           ",205.051,-61.731,308.672,0.596,0.008,29,-5.853,-1.878,0.176,"NN            ",7.2,4.06,13.49,4989
"VDBH_164           ",222.311,-66.465,314.323,-6.235,0.639,204,-7.368,-10.714,2.364,"NN            ",7.51,0.17,8.21,438
"VDBH_19            ",121.768,-32.355,249.881,-0.022,0.025,45,-2.897,3.547,0.19,"NN            ",8.49,1.96,13.3,4563
"VDBH_200           ",252.484,-44.182,341.153,0.283,0.054,94,-0.025,-1.132,0.406,"NN            ",8.21,2.02,11.82,2314
"VDBH_202           ",253.779,-40.947,344.259,1.598,0.064,95,-1.869,-3.802,0.551,"NN            ",8.58,1.84,11.22,1752
"VDBH_205           ",254.053,-40.636,344.632,1.632,0.097,55,-0.15,-1.083,0.569,"NN            ",6.79,1.23,11.03,1604
"VDBH_211           ",255.535,-41.113,344.95,0.456,0.082,71,-0.671,-1.943,0.524,"NN            ",8.63,2.18,11.4,1903
"VDBH_217           ",259.071,-40.815,346.781,-1.51,0.039,99,-0.661,-1.826,0.31,"NN            ",7.54,3.27,12.46,3106
"VDBH_221           ",259.641,-32.334,353.972,3.014,0.152,133,2,-1.568,0.884,"NN            ",7.03,1.09,10.42,1213
"VDBH_222           ",259.694,-38.289,349.121,-0.443,0.02,104,-2.091,-3.192,0.114,"tooRed        ","     ","     ","     ","      "
"VDBH_23            ",123.449,-36.329,253.969,-1.03,0.372,86,-7.101,7.35,2.257,"NN            ",7.46,0,8.32,462
"VDBH_245           ",266.561,-29.7,359.419,-0.513,0.016,31,-0.497,-2.194,0.336,"tooRed        ","     ","     ","     ","      "
"VDBH_37            ",128.946,-43.61,262.345,-1.785,0.034,101,-3.484,3.953,0.243,"NN            ",8.24,3.4,13.03,4038
"VDBH_54            ",132.413,-44.353,264.468,-0.279,0.048,42,-4.759,5.244,0.42,"NN            ",6.94,2.53,11.76,2245
"VDBH_55            ",134.042,-39.518,261.527,3.745,0.048,60,-3.971,3.118,0.185,"NN            ",9.36,1.22,13.4,4783
"VDBH_56            ",134.355,-43.181,264.47,1.548,0.215,109,-5.57,5.439,1.078,"NN            ",7.25,0.7,9.62,840
"VDBH_66            ",141.314,-54.719,276,-3.013,0.023,27,-4.157,3.599,0.097,"NN            ",8.86,1.38,14,6301
"VDBH_67            ",141.687,-51.273,273.763,-0.381,0.025,43,-3.64,2.811,0.098,"NN            ",8.79,3,14.56,8167
"VDBH_72            ",142.838,-53.04,275.491,-1.178,0.023,55,-4.621,3.299,0.11,"NN            ",8.35,2.53,13.83,5844
"VDBH_73            ",142.981,-50.225,273.638,0.944,0.014,54,-3.574,2.306,0.105,"NN            ",8.87,2.73,14.13,6708
"VDBH_78            ",145.952,-56.574,279.186,-2.615,0.013,46,-3.69,2.71,0.15,"NN            ",8.53,3.15,13.66,5400
"VDBH_84            ",150.331,-58.218,282.057,-2.418,0.024,57,-4.848,3.289,0.2,"NN            ",8.13,2.09,13.24,4449
"VDBH_85            ",150.469,-49.564,276.914,4.546,0.031,74,-5.689,4.676,0.106,"NN            ",9.36,1.1,14.37,7481
"VDBH_87            ",151.148,-55.386,280.724,0.122,0.066,177,-6.335,2.626,0.416,"NN            ",8.07,1.36,11.63,2121
"VDBH_90            ",153.064,-58.069,283.139,-1.451,0.043,126,-5.385,2.295,0.369,"NN            ",8.1,1.39,12.23,2792
"VDBH_92            ",154.779,-56.425,282.988,0.431,0.02,41,-5.896,3.446,0.388,"NN            ",8.33,1.33,11.89,2384
"VDBH_99            ",159.553,-59.168,286.585,-0.592,0.537,371,-14.494,0.919,2.225,"NN            ",7.98,0.34,8.35,467
"Barkhatova_1     ",313.398,46.037,86.208,0.818,0.072,47,-2.44,-4.478,0.476,"NN            ",8.42,1.18,11.71,2195
"Basel_1          ",282.036,-5.876,27.326,-1.946,0.07,79,-0.079,-4.509,0.525,"NN            ",8.36,1.24,11.33,1846
"Basel_10         ",34.878,58.304,134.304,-2.61,0.032,8,-0.48,-0.815,0.442,"NN            ",7.85,1.66,11.83,2327
"Basel_11a        ",109.296,-13.988,228.284,-0.768,0.078,92,-1.581,0.929,0.709,"NN            ",7.98,0.33,10.67,1363
"Basel_11b        ",89.547,21.965,187.442,-1.117,0.065,73,1.046,-4.137,0.534,"NN            ",8.36,1.56,11.27,1793
"Basel_17         ",167.65,-59.047,290.274,1.324,0.091,18,-6.628,2.174,0.438,"NN            ",8.02,0.45,11.81,2305
"Basel_18         ",201.967,-62.306,307.151,0.267,0.06,49,-5.008,-2.05,0.508,"NN            ",7.44,0.65,11.35,1863
"Basel_4          ",87.242,30.19,179.305,1.272,0.033,45,0.835,-1.801,0.286,"NN            ",8.05,1.48,12.61,3322
"Basel_8          ",98.55,8.005,203.849,-0.156,0.309,14,-0.129,-2.373,0.625,"NN            ",7.84,0.64,10.9,1510
"Berkeley_1       ",2.449,60.476,117.82,-1.982,0.036,48,-2.758,-0.173,0.235,"NN            ",8.48,1.52,12.89,3779
"Berkeley_10      ",54.894,66.486,138.619,8.881,0.082,179,-1.47,1.047,0.372,"NN            ",9.08,1.94,11.87,2365
"Berkeley_100     ",351.485,63.781,113.657,2.459,0.022,31,-3.372,-1.557,0.123,"NN            ",9.09,2.48,13.92,6084
"Berkeley_101     ",353.213,64.209,114.511,2.63,0.024,38,-1.899,-1.089,0.177,"NN            ",8.58,2.84,13.15,4272
"Berkeley_102     ",354.66,56.637,113.006,-4.826,0.049,21,-1.559,-0.34,0.05,"NN            ",9.59,1.11,15.11,10519
"Berkeley_103     ",356.303,59.297,114.558,-2.494,0.022,33,-1.348,-0.861,0.093,"NN            ",9.04,2.4,13.91,6060
"Berkeley_104     ",0.865,63.587,117.626,1.211,0.038,47,-2.392,0.09,0.198,"NN            ",8.89,1.36,13.18,4325
"Berkeley_11      ",65.126,44.922,157.066,-3.65,0.038,76,1.08,-1.883,0.322,"NN            ",7.84,2.51,12.42,3050
"Berkeley_12      ",71.1,42.691,161.64,-2.014,0.036,76,0.836,-1.713,0.202,"NN            ",9.3,2.16,13.17,4298
"Berkeley_13      ",73.943,52.809,155.069,5.919,0.065,135,-0.078,0.558,0.208,"NN            ",8.69,2.09,12.99,3958
"Berkeley_14      ",74.935,43.488,162.805,0.655,0.051,189,1.504,0.426,0.187,"NN            ",9.43,1.4,13.47,4933
"Berkeley_14A     ",75.278,43.429,163.004,0.814,0.426,4,-0.225,-2.741,0.882,"notEnoughStars","     ","     ","     ","      "
"Berkeley_15      ",75.52,44.506,162.26,1.612,0.06,114,0.782,-0.872,0.339,"NN            ",7.27,2.64,12.36,2958
"Berkeley_17      ",80.13,30.574,175.658,-3.677,0.071,254,2.618,-0.35,0.281,"NN            ",9.86,1.63,12.62,3341
"Berkeley_18      ",80.531,45.442,163.589,5.03,0.117,253,0.849,-0.057,0.152,"NN            ",9.64,1.53,13.75,5632
"Berkeley_19      ",81.014,29.575,176.917,-3.61,0.037,45,0.757,-0.329,0.135,"NN            ",9.34,0.85,14.09,6568
"Berkeley_2       ",6.319,60.392,119.703,-2.316,0.027,73,-1.101,-0.304,0.117,"NN            ",8.77,2.34,14.2,6928
"Berkeley_20      ",83.152,0.185,203.485,-17.377,0.015,37,0.808,-0.244,0.04,"NN            ",9.68,0.37,14.7,8728
"Berkeley_21      ",87.93,21.812,186.817,-2.49,0.031,27,0.562,-1.051,0.159,"NN            ",9.33,1.96,14.04,6417
"Berkeley_22      ",89.618,7.763,199.874,-8.071,0.022,18,0.648,-0.473,0.069,"NN            ",9.39,1.99,13.97,6225
"Berkeley_23      ",98.318,20.535,192.595,5.392,0.038,91,-0.055,-1.339,0.151,"NN            ",9.02,0.83,13.67,5425
"Berkeley_24      ",99.452,-0.874,212.156,-3.431,0.051,218,0.382,1.279,0.156,"NN            ",9.15,1.74,13.45,4900
"Berkeley_25      ",100.317,-16.487,226.613,-9.629,0.019,20,-0.114,0.845,0.077,"NN            ",9.39,1.07,14.16,6780
"Berkeley_27      ",102.837,5.772,207.781,2.609,0.02,54,-1.091,0.147,0.19,"NN            ",9.23,1.23,13.42,4835
"Berkeley_28      ",103.028,2.922,210.408,1.482,0.021,53,-0.987,0.154,0.209,"NN            ",8.54,1.6,13.4,4789
"Berkeley_29      ",103.268,16.93,197.947,7.982,0.014,11,0.151,-1.01,0.023,"NN            ",9.49,0.24,15.5,12604
"Berkeley_30      ",104.438,3.229,210.775,2.875,0.024,85,-0.252,-0.33,0.164,"NN            ",8.47,1.27,13.66,5383
"Berkeley_31      ",104.406,8.285,206.24,5.134,0.031,95,0.169,-0.926,0.141,"NN            ",9.45,0.35,14.28,7177
"Berkeley_32      ",104.53,6.433,207.955,4.409,0.063,361,-0.335,-1.608,0.28,"NN            ",9.69,0.34,12.44,3072
"Berkeley_33      ",104.456,-13.227,225.448,-4.6,0.032,126,-0.73,1.551,0.144,"NN            ",8.37,1.75,13.84,5851
"Berkeley_34      ",105.097,-0.239,214.165,1.882,0.024,30,-1.336,0.175,0.097,"NN            ",9.38,1.64,14.41,7609
"Berkeley_35      ",107.491,2.734,212.606,5.367,0.039,83,-0.58,-0.235,0.16,"NN            ",9.07,0.43,13.38,4745
"Berkeley_36      ",109.105,-13.196,227.496,-0.563,0.046,150,-1.725,0.86,0.206,"NN            ",9.83,1.42,13.2,4360
"Berkeley_37      ",110.075,-1.002,217.132,5.958,0.04,106,-1.113,0.682,0.197,"NN            ",8.97,0.17,13.11,4185
"Berkeley_39      ",116.702,-4.665,223.532,10.087,0.055,530,-1.73,-1.645,0.201,"NN            ",9.75,0.29,12.99,3968
"Berkeley_4       ",11.291,64.391,122.254,1.528,0.033,42,-2.421,-0.236,0.296,"NN            ",7.33,2.16,12.47,3121
"Berkeley_43      ",288.872,11.265,45.682,-0.135,0.048,197,-1.035,-3.504,0.186,"tooRed        ","     ","     ","     ","      "
"Berkeley_44      ",289.313,19.55,53.218,3.343,0.05,192,0.007,-2.834,0.303,"NN            ",9.16,2.75,12.28,2863
"Berkeley_45      ",289.778,15.716,50.029,1.164,0.019,91,-1.336,-4.534,0.225,"NN            ",8.79,2.88,12.61,3328
"Berkeley_47      ",292.127,17.362,52.545,-0.041,0.029,52,-1.894,-5.444,0.402,"NN            ",7.34,4.02,11.93,2437
"Berkeley_49      ",299.872,34.643,70.979,2.578,0.019,77,-2.995,-6.095,0.286,"NN            ",8.41,3.24,12.41,3030
"Berkeley_5       ",26.928,62.935,129.282,0.759,0.019,30,-1.61,0.764,0.088,"NN            ",9.06,3.46,14.25,7079
"Berkeley_50      ",302.505,34.967,72.408,0.926,0.021,82,-3.398,-5.072,0.246,"NN            ",7.88,2.12,12.64,3380
"Berkeley_51      ",302.972,34.402,72.146,0.293,0.02,89,-3.066,-4.918,0.167,"tooRed        ","     ","     ","     ","      "
"Berkeley_52      ",303.621,28.947,67.897,-3.174,0.028,63,-4.292,-5.679,0.147,"tooRed        ","     ","     ","     ","      "
"Berkeley_53      ",313.975,51.06,90.3,3.762,0.089,558,-3.795,-5.682,0.247,"NN            ",8.99,4.42,12.67,3415
"Berkeley_54      ",315.745,40.433,83.076,-4.134,0.033,87,-3.091,-3.254,0.12,"NN            ",9.43,2.24,14.12,6680
"Berkeley_55      ",319.232,51.762,93.024,1.804,0.031,107,-4.05,-4.618,0.309,"manual        ",8.3,4.8,12.2,2754
"Berkeley_56      ",319.391,41.835,85.979,-5.197,0.041,68,-1.901,-1.831,0.047,"NN            ",9.47,1.42,14.89,9516
"Berkeley_58      ",0.063,60.937,116.754,-1.319,0.06,123,-3.498,-1.782,0.282,"NN            ",7.78,1.83,12.7,3468
"Berkeley_59      ",0.57,67.441,118.23,5.019,0.137,235,-1.616,-1.764,0.916,"tooRed        ","     ","     ","     ","      "
"Berkeley_6       ",27.803,61.061,130.101,-0.976,0.044,66,-0.857,-0.485,0.31,"NN            ",8.35,1.8,12.42,3051
"Berkeley_60      ",4.44,60.936,118.851,-1.669,0.04,104,-0.682,-0.732,0.236,"NN            ",8.57,2.07,12.85,3711
"Berkeley_61      ",12.04,67.199,122.613,4.329,0.024,40,-2.505,-0.014,0.309,"NN            ",8.26,2.07,12.33,2922
"Berkeley_62      ",15.309,63.918,124.009,1.066,0.081,84,-2.15,-0.353,0.36,"NN            ",7.17,2.09,12.12,2660
"Berkeley_63      ",34.858,63.718,132.488,2.491,0.041,47,-0.958,0.203,0.172,"NN            ",7.26,2.52,13.67,5412
"Berkeley_64      ",35.428,65.888,131.982,4.613,0.044,41,-0.511,0.998,0.159,"NN            ",9.09,2.28,13.4,4775
"Berkeley_65      ",39.768,60.403,135.848,0.258,0.025,37,-0.7,-0.337,0.444,"NN            ",7.99,2.49,11.79,2282
"Berkeley_66      ",46.03,58.731,139.431,0.175,0.054,25,-0.12,-0.191,0.158,"NN            ",9.49,3.6,13.39,4759
"Berkeley_67      ",69.472,50.755,154.852,2.481,0.082,153,2.316,-1.374,0.415,"NN            ",9.1,2.03,11.73,2216
"Berkeley_68      ",71.053,42.134,162.039,-2.404,0.1,200,2.31,-1.312,0.281,"NN            ",9.32,1.38,12.65,3383
"Berkeley_69      ",81.09,32.607,174.442,-1.853,0.038,99,0.806,-1.937,0.259,"NN            ",8.9,1.61,12.66,3410
"Berkeley_7       ",28.546,62.366,130.136,0.375,0.045,89,-0.993,-0.13,0.337,"NN            ",7.53,1.92,12.28,2863
"Berkeley_70      ",81.457,41.951,166.865,3.628,0.061,137,0.947,-1.864,0.177,"NN            ",9.34,1.23,13.48,4954
"Berkeley_71      ",85.233,32.272,176.631,0.894,0.036,57,0.65,-1.614,0.226,"NN            ",8.94,2.53,12.78,3598
"Berkeley_72      ",87.559,22.247,186.267,-2.564,0.04,55,0.853,-0.261,0.154,"NN            ",7.73,1.65,13.69,5470
"Berkeley_73      ",95.52,-6.321,215.261,-9.393,0.016,45,0.227,1.11,0.128,"NN            ",9.15,0.69,13.95,6158
"Berkeley_75      ",102.252,-23.999,234.308,-11.191,0.032,39,-0.264,1.088,0.088,"NN            ",9.23,0.29,14.6,8304
"Berkeley_76      ",106.672,-11.735,225.102,-1.994,0.052,37,-0.58,1.4,0.218,"NN            ",9.22,1.38,13.38,4746
"Berkeley_77      ",110.362,-3.234,219.253,5.181,0.028,60,-1.001,-0.113,0.257,"NN            ",8.87,0.29,12.79,3617
"Berkeley_78      ",110.913,5.37,211.788,9.603,0.038,113,-0.071,-1.24,0.187,"NN            ",9.59,0.22,13.08,4125
"Berkeley_79      ",281.25,-1.146,31.178,0.909,0.046,79,-0.118,-1.554,0.402,"NN            ",8.24,2.68,11.78,2272
"Berkeley_8       ",30.306,75.489,127.358,13.22,0.077,250,2.65,0.439,0.25,"NN            ",9.56,1.75,12.62,3339
"Berkeley_80      ",283.591,-1.214,32.185,-1.204,0.037,72,-0.755,-2.667,0.39,"manual        ",8.2,3.5,11.78,2270
"Berkeley_81      ",285.419,-0.454,33.695,-2.485,0.044,127,-1.204,-1.853,0.254,"NN            ",9.06,2.75,12.6,3313
"Berkeley_82      ",287.845,13.111,46.852,1.611,0.022,23,0.178,-3.168,0.708,"NN            ",8.02,2.43,10.68,1365
"Berkeley_83      ",300.356,28.645,66.095,-0.93,0.013,30,-2.604,-4.692,0.092,"NN            ",8.38,4.59,14.12,6663
"Berkeley_85      ",304.692,37.744,75.697,0.997,0.057,310,-2.94,-4.677,0.22,"NN            ",8.62,2.77,12.74,3526
"Berkeley_86      ",305.084,38.688,76.65,1.276,0.07,23,-3.447,-5.402,0.558,"NN            ",7.04,2.77,11.05,1621
"Berkeley_87      ",305.396,37.433,75.756,0.361,0.093,112,-3.654,-6.264,0.573,"NN            ",6.92,3.68,11.08,1644
"Berkeley_89      ",306.114,46.048,83.144,4.841,0.042,176,-2.014,-2.245,0.239,"NN            ",9.32,1.91,12.73,3508
"Berkeley_9       ",53.167,52.649,146.069,-2.825,0.053,142,1.493,0.037,0.513,"NN            ",9.14,2.69,11.29,1814
"Berkeley_90      ",308.819,46.843,84.883,3.794,0.055,82,-2.829,-4.369,0.302,"NN            ",6.71,3.6,12.4,3025
"Berkeley_91      ",317.711,48.543,90.022,0.288,0.023,32,-1.599,-2.927,0.203,"manual        ",8.8,4.04,13.91,6057
"Berkeley_92      ",321.206,57.528,97.926,5.063,0.022,35,-2.464,-2.325,0.068,"NN            ",9.44,2.2,14.31,7282
