"Cluster","RA_ICRS","DE_ICRS","GLON","GLAT","r50","nbstars07","pmRA*","pmDE","plx","Flag","AgeNN","AVNN","DMNN","DistPc"
"NGC_2254         ",98.949,7.671,204.327,0.041,0.039,129,-0.127,-0.944,0.364,"NN            ",8.54,1.35,12.09,2617
"NGC_2259         ",99.633,10.885,201.78,2.115,0.028,102,-0.273,-1.032,0.326,"NN            ",8.44,1.52,12.39,3005
"NGC_2262         ",99.905,1.147,210.563,-2.105,0.044,215,0.264,0.114,0.223,"NN            ",8.81,1.67,12.75,3552
"NGC_2264         ",100.217,9.877,202.941,2.166,0.072,161,-1.69,-3.727,1.354,"NN            ",7.44,0.79,9.25,707
"NGC_2266         ",100.832,26.976,187.785,10.299,0.046,227,-0.473,-1.272,0.273,"NN            ",8.91,0.26,12.56,3251
"NGC_2269         ",100.818,4.628,207.883,0.297,0.026,37,-1.143,-0.559,0.438,"NN            ",8.31,0.92,11.7,2187
"NGC_2281         ",102.091,41.06,174.925,16.889,0.417,410,-2.946,-8.321,1.896,"NN            ",8.79,0.09,8.68,544
"NGC_2286         ",101.916,-3.167,215.322,-2.282,0.074,140,0.188,-1.468,0.407,"NN            ",8.74,0.94,11.8,2286
"NGC_2287         ",101.499,-20.716,230.98,-10.432,0.332,625,-4.339,-1.381,1.36,"NN            ",8.23,0.02,9.19,688
"NGC_2301         ",102.943,0.465,212.557,0.287,0.162,402,-1.367,-2.179,1.135,"NN            ",8.33,0.08,9.67,857
"NGC_2302         ",102.977,-7.086,219.298,-3.121,0.065,51,-1.453,-0.228,0.8,"NN            ",8.03,0.57,10.5,1258
"NGC_2304         ",103.802,17.984,197.213,8.9,0.038,106,-0.024,-1.514,0.219,"NN            ",8.96,0.11,12.92,3843
"NGC_2309         ",104.02,-7.18,219.852,-2.242,0.052,196,-0.495,-0.634,0.393,"NN            ",8.07,1.07,11.93,2431
"NGC_2311         ",104.455,-4.616,217.767,-0.688,0.059,82,-1.343,0.93,0.462,"NN            ",7.65,1,11.51,2003
"NGC_2318         ",104.854,-13.822,226.155,-4.523,0.172,128,-1.781,-2.198,0.716,"NN            ",8.64,0.89,10.72,1394
"NGC_2323         ",105.684,-8.365,221.66,-1.315,0.263,773,-0.688,-0.611,0.997,"NN            ",8.12,0.46,9.96,983
"NGC_2324         ",106.033,1.046,213.449,3.301,0.069,242,-0.309,-0.094,0.191,"NN            ",8.73,0.4,13.12,4214
"NGC_2335         ",106.69,-10.023,223.59,-1.192,0.11,162,-0.784,-0.642,0.585,"NN            ",8.51,0.83,11.1,1661
"NGC_2343         ",107.029,-10.619,224.271,-1.17,0.064,44,0.193,-0.195,0.898,"NN            ",7.94,0.51,10.18,1088
"NGC_2345         ",107.075,-13.199,226.585,-2.316,0.091,418,-1.332,1.34,0.348,"NN            ",8.32,1.04,12.13,2663
"NGC_2353         ",108.641,-10.257,224.684,0.403,0.116,204,-1.121,0.72,0.816,"NN            ",8.01,0.28,10.43,1220
"NGC_2354         ",108.503,-25.724,238.383,-6.838,0.152,265,-2.885,1.832,0.753,"NN            ",9.15,0.35,10.68,1370
"NGC_2355         ",109.247,13.772,203.37,11.813,0.078,261,-3.802,-1.086,0.497,"NN            ",9,0.59,11.44,1941
"NGC_2358         ",109.261,-17.143,231.061,-2.269,0.21,83,-1.351,0.542,1.061,"NN            ",8.82,0.02,9.79,908
"NGC_2360         ",109.443,-15.631,229.804,-1.409,0.154,680,0.383,5.603,0.902,"NN            ",9.01,0.39,10.25,1122
"NGC_2362         ",109.671,-24.954,238.178,-5.547,0.052,144,-2.791,2.953,0.742,"NN            ",6.76,0.37,10.64,1341
"NGC_2367         ",110.031,-21.867,235.586,-3.825,0.046,35,-1.668,2.538,0.395,"NN            ",7.15,1.34,11.79,2276
"NGC_2374         ",111.016,-13.235,228.405,1.061,0.156,56,-4.665,0.659,0.76,"NN            ",8.46,0.34,10.42,1212
"NGC_2383         ",111.174,-20.949,235.274,-2.455,0.036,242,-1.646,1.907,0.284,"NN            ",8.41,0.84,12.69,3456
"NGC_2396         ",111.984,-11.725,227.524,2.61,0.184,148,-1.514,-0.249,0.653,"NN            ",7.86,0.36,10.81,1453
"NGC_2401         ",112.352,-13.968,229.667,1.855,0.015,84,-1.37,1.673,0.203,"NN            ",7.78,0.75,13.38,4749
"NGC_2414         ",113.293,-15.449,231.404,1.942,0.043,117,-1.41,1.426,0.162,"NN            ",7.25,1.48,13.61,5273
"NGC_2420         ",114.602,21.575,198.108,19.64,0.053,393,-1.19,-2.125,0.363,"NN            ",9.24,0.04,12.06,2587
"NGC_2421         ",114.051,-20.627,236.283,0.059,0.096,406,-3.131,3.097,0.343,"NN            ",7.82,1.15,12.14,2683
"NGC_2422         ",114.147,-14.489,230.964,3.128,0.259,416,-7.057,0.993,2.07,"NN            ",8.04,0.18,8.52,504
"NGC_2423         ",114.299,-13.863,230.487,3.561,0.268,406,-0.735,-3.632,1.045,"NN            ",9.04,0.36,9.87,943
"NGC_2425         ",114.577,-14.885,231.513,3.299,0.046,244,-3.571,2.004,0.257,"NN            ",9.38,0.89,12.77,3576
"NGC_2428         ",114.831,-16.55,233.087,2.697,0.146,163,-3.316,2.461,0.706,"NN            ",8.86,0.32,10.61,1322
"NGC_2432         ",115.223,-19.078,235.474,1.779,0.062,170,-0.684,1.614,0.493,"NN            ",8.84,0.72,11.4,1901
