"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 1893        ",80.724,0.035,33.447,0.037,0.283,0.038,-0.205,0.088,-1.396,0.091,0.082,198,3.472,11.756,"nan","nan","nan","nan","nan","nan"
"NGC 1901        ",79.293,0.112,-68.382,0.123,2.392,0.068,1.697,0.237,12.651,0.422,0.249,46,0.418,8.254,"nan","nan","nan","nan","nan","nan"
"NGC 1907        ",82.032,0.053,35.323,0.054,0.64,0.049,-0.044,0.107,-3.418,0.094,0.086,393,1.555,9.844,"nan","nan","nan","nan","nan","nan"
"NGC 1912        ",82.17,0.129,35.819,0.092,0.9,0.068,1.602,0.138,-4.416,0.106,0.218,844,1.106,9.397,"nan","nan","nan","nan","nan","nan"
"NGC 1931        ",82.804,0.047,34.238,0.023,0.455,0.009,0.302,0.322,-1.935,0.14,0.104,73,2.263,10.552,"nan","nan","nan","nan","nan","nan"
"NGC 1960        ",84.089,0.061,34.137,0.052,0.868,0.094,-0.162,0.114,-3.372,0.08,0.092,326,1.151,9.446,"nan","nan","nan","nan","nan","nan"
"Trapezium       ",83.829,0.04,-5.417,0.075,2.57,0.116,1.276,0.429,0.176,0.658,0.388,1424,0.388,8.622,"nan","nan","nan","nan","nan","nan"
"NGC 2099        ",88.072,0.088,32.546,0.078,0.698,0.072,1.925,0.152,-5.635,0.134,0.163,1780,1.433,9.729,"nan","nan","nan","nan","nan","nan"
"NGC 2112        ",88.446,0.103,0.398,0.109,0.91,0.055,-2.695,0.11,4.26,0.122,0.206,726,1.103,9.281,"nan","nan","nan","nan","nan","nan"
"NGC 2126        ",90.655,0.079,49.879,0.054,0.78,0.042,0.863,0.152,-2.603,0.114,0.115,150,1.282,9.501,"nan","nan","nan","nan","nan","nan"
"NGC 2129        ",90.282,0.029,23.322,0.025,0.521,0.026,0.265,0.076,-2.2,0.064,0.055,76,1.908,10.198,"nan","nan","nan","nan","nan","nan"
"NGC 2141        ",90.74,0.032,10.457,0.041,0.215,0.085,-0.049,0.116,-0.764,0.102,0.076,934,4.568,12.7,"nan","nan","nan","nan","nan","nan"
"NGC 2158        ",91.862,0.028,24.099,0.021,0.205,0.076,-0.2,0.104,-2.004,0.105,0.061,1649,5.073,13.349,"nan","nan","nan","nan","nan","nan"
"NGC 2168        ",92.267,0.15,24.334,0.177,1.157,0.046,2.293,0.189,-2.913,0.159,0.343,1257,0.857,9.152,"nan","nan","nan","nan","nan","nan"
"NGC 2169        ",92.122,0.029,13.951,0.002,1.048,0.085,-1.076,0.219,-1.661,0.077,0.108,117,0.94,9.207,"nan","nan","nan","nan","nan","nan"
"NGC 2175        ",92.433,0.078,20.562,0.075,0.513,0.119,0.419,0.191,-2.33,0.127,0.163,179,1.999,10.274,"nan","nan","nan","nan","nan","nan"
"NGC 2186        ",93.031,0.025,5.457,0.017,0.437,0.031,0.423,0.076,-1.998,0.031,0.056,119,2.285,10.423,"nan","nan","nan","nan","nan","nan"
"NGC 2192        ",93.816,0.028,39.856,0.02,0.268,0.053,0.219,0.065,-1.978,0.063,0.057,205,3.87,12.084,"nan","nan","nan","nan","nan","nan"
"NGC 2194        ",93.437,0.043,12.808,0.04,0.295,0.048,0.519,0.081,-1.432,0.06,0.081,824,3.426,11.614,"nan","nan","nan","nan","nan","nan"
"NGC 2204        ",93.882,0.057,-18.665,0.047,0.238,0.059,-0.554,0.081,1.974,0.107,0.092,586,4.229,11.503,"nan","nan","nan","nan","nan","nan"
"NGC 2215        ",95.203,0.08,-7.263,0.082,1.053,0.092,0.424,0.195,-3.659,0.073,0.151,134,0.95,9.074,"nan","nan","nan","nan","nan","nan"
"NGC 2232        ",96.88,0.208,-4.755,0.257,3.1,0.04,-4.721,0.239,-1.833,0.165,0.354,145,0.322,8.565,"nan","nan","nan","nan","nan","nan"
"NGC 2236        ",97.409,0.042,6.839,0.031,0.384,0.052,-0.765,0.081,0.041,0.089,0.082,479,2.611,10.732,"nan","nan","nan","nan","nan","nan"
"NGC 2243        ",97.396,0.029,-31.284,0.026,0.241,0.051,-1.287,0.101,5.498,0.116,0.05,594,4.292,10.957,"nan","nan","nan","nan","nan","nan"
"NGC 2244        ",98.029,0.073,4.917,0.054,0.681,0.094,-1.734,0.2,0.221,0.245,0.235,713,1.45,9.62,"nan","nan","nan","nan","nan","nan"
"NGC 225         ",10.929,0.205,61.812,0.04,1.45,0.057,-5.329,0.109,-0.131,0.195,0.121,53,0.689,8.685,"nan","nan","nan","nan","nan","nan"
"NGC 2251        ",98.671,0.045,8.352,0.067,0.697,0.09,0.701,0.1,-3.831,0.077,0.128,128,1.436,9.633,"nan","nan","nan","nan","nan","nan"
"NGC 2259        ",99.638,0.001,10.876,0.032,0.376,0.03,-0.245,0.032,-1.128,0.039,0.054,107,2.684,10.835,"nan","nan","nan","nan","nan","nan"
