"Cluster","RA","DEC","GLON","GLAT","Class","Diam","Dist","E(B-V)","n_E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","Nc","r_pmRA","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","RAJ2000","DEJ2000"
"NGC 1896","05 25 29","+29 12 36",177.3942,-3.5566," n",19.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",81.37081,29.21004
"Berkeley 70","05 25 42","+41 54 00",166.8944,3.5802,"nan",6.0,4158.0,0.48,"nan",9.67,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.32,"nan","nan",81.42506,41.9
"Collinder 65","05 25 54","+16 06 00",188.4934,-10.6805," o",220.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",81.47501,16.10006
"NGC 1883","05 25 54","+46 29 24",163.0829,6.1588,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",81.47502,46.49001
"Czernik 21","05 26 30","+36 00 00",171.8795,0.4149," d",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",81.62497,36.00003
"Dolidze 21","05 27 24","+07 04 00",196.5851,-15.1033," d",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",81.84997,7.06668
"Stock 8","05 27 36","+34 25 00",173.3194,-0.2809,"nan",14.0,1821.0,0.445,"nan",7.056,-0.99,1.73,-5.39,1.73,3.93,-3.82,15.0," TYC","nan","nan","nan","nan","nan","nan","nan",81.89992,34.41669
"Waterloo 2","05 28 01","+40 22 18",168.41,3.0938,"nan",4.0,570.0,0.17,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",82.00418,40.37172
"NGC 1907","05 28 05","+35 19 30",172.6193,0.3063,"nan",7.0,1556.0,0.415,"nan",8.567,-1.88,2.8,-1.63,1.22,0.31,-2.47,1.0," BDW",0.1,1.8,"nan"," RGDZ","nan","nan","nan",82.02087,35.32503
"Dolidze 20","05 28 36","+33 47 00",173.9612,-0.4602," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",82.15,33.78332
"NGC 1912","05 28 40","+35 50 54",172.2495,0.6951,"nan",20.0,1066.0,0.248,"nan",8.463,-0.05,1.73,-5.7,1.73,4.72,-3.2,40.0," TYC",-1.0,"nan","nan"," RGDZ","nan","nan","nan",82.16662,35.84835
