"Cluster","RA","DEC","GLON","GLAT","Class","Diam","Dist","E(B-V)","n_E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","Nc","r_pmRA","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","RAJ2000","DEJ2000"
"Trumpler 7","07 27 22","-23 57 00",238.2133,-3.3316,"nan",5.0,1474.0,0.266,"nan",7.43,"nan","nan","nan","nan","nan","nan","nan","nan",34.0,6.0,"nan"," RGDZ","nan","nan","nan",111.8416,-23.94997
"NGC 2396","07 28 00","-11 43 00",227.5233,2.6272,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.00003,-11.71668
"Czernik 29","07 28 18","-15 24 00",230.7976,0.9353,"nan",5.0,4168.0,0.48,"nan",8.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.07501,-15.40004
"NGC 2394","07 28 36","+07 05 12",210.7831,11.469," n",8.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.15,7.08668
"Haffner 10","07 28 36","-15 23 00",230.8175,1.0068,"nan",3.0,5248.0,0.52,"nan",9.1,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.15002,-15.38336
"ESO 559-13","07 28 42","-20 49 30",235.6091,-1.5734,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.175,-20.82504
"Haffner 24","07 28 56","-18 19 00",233.4319,-0.3259," nf",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.23336,-18.31667
"Ruprecht 22","07 29 18","-29 11 00",243.0432,-5.4258," d",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.32502,-29.18334
"NGC 2401","07 29 24","-13 58 00",229.6653,1.8539,"nan",2.0,5888.0,0.35,"nan",7.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.34998,-13.96672
"Dolidze 26","07 30 06","+11 54 00",206.508,13.9007," nf",23.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.52498,11.90003
"Mayer 3","07 30 06","-18 32 00",233.7546,-0.1868,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.52502,-18.53326
"Waterloo 8","07 30 12","-15 50 00",231.3971,1.1296,"nan",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.55001,-15.83335
"Ruprecht 23","07 30 41","-23 23 00",238.0769,-2.3939,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.6708,-23.38334
"Bochum 5","07 31 00","-16 56 00",232.4542,0.7697,"nan",15.0,872.0,0.194,"nan",7.545,-2.67,0.84,1.43,0.75,-2.54,-1.65,2.0," BDW","nan","nan","nan","nan","nan","nan","nan",112.75002,-16.93329
"Czernik 30","07 31 18","-09 58 00",226.3686,4.1733," d",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.82499,-9.96666
"Bochum 4","07 31 37","-17 11 36",232.7531,0.7738,"nan",5.0,2291.0,0.63,"nan",7.0,-2.59,3.18,0.8,3.18,-1.95,-1.88,25.0," TYC","nan","nan","nan","nan","nan","nan","nan",112.9042,-17.19332
"Ruprecht 24","07 31 54","-12 45 00",228.8879,2.9706," d",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.97503,-12.74998
"Bochum 6","07 32 00","-19 25 00",234.7451,-0.2179,"nan",10.0,3981.0,0.7,"nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",112.99997,-19.41662
"NGC 2414","07 33 12","-15 27 12",231.4115,1.9456,"nan",5.0,3455.0,0.508,"nan",6.976,-3.44,2.46,0.66,2.46,-2.24,-2.69,15.0," TYC",64.5,1.0,"nan"," RGDZ","nan","nan","nan",113.30003,-15.4533
"NGC 2413","07 33 16","-13 05 42",229.3511,3.0968," n",13.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",113.31667,-13.09494
"ESO 429-02","07 33 23","-28 11 12",242.5909,-4.164,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",113.34583,-28.18668
"Ruprecht 40","07 33 28","-20 31 00",235.8748,-0.4475," nf",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",113.36667,-20.51667
"Alessi 17","07 35 24","-15 05 30",231.3517,2.5849,"nan",2.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",113.85003,-15.09169
"Haffner 11","07 35 25","-27 43 00",242.3948,-3.5441,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",113.85417,-27.71665
"NGC 2421","07 36 13","-20 36 42",236.2705,0.069,"nan",7.0,2181.0,0.453,"nan",7.367,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.05417,-20.61163
"NGC 2422","07 36 35","-14 29 00",230.9581,3.1302,"nan",25.0,490.0,0.07,"nan",7.861,-7.15,1.54,1.1,1.54,-4.43,-5.72,23.0," TYC","nan","nan","nan","nan","nan","nan","nan",114.14579,-14.48332
"Ruprecht 25","07 36 47","-23 23 00",238.7541,-1.1687," d",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.19578,-23.38329
"Czernik 31","07 36 59","-20 32 00",236.2898,0.2638," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.24582,-20.53339
"ESO 429-05","07 37 02","-32 11 54",246.5013,-5.4011,"nan",1.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.25833,-32.19831
"NGC 2423","07 37 06","-13 52 18",230.4835,3.5368,"nan",12.0,766.0,0.097,"nan",8.867,0.55,1.93,-2.5,1.93,2.45,-0.73,50.0," TYC",18.1,0.4,7.0," MM90",0.143,0.09,3.0,114.27494,-13.87166
"Alessi 18","07 37 11","-26 23 23",241.4243,-2.556,"nan",0.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.29585,-26.3897
"Ruprecht 26","07 37 12","-15 39 00",232.0512,2.6927," d",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.29998,-15.64995
"Melotte 71","07 37 30","-12 04 00",228.9488,4.4979,"nan",7.0,3154.0,0.113,"nan",8.371,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.3,0.06,"nan",114.37503,-12.0667
"Ruprecht 27","07 37 34","-26 30 00",241.5626,-2.5349,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.39167,-26.50003
"BH 4","07 37 44","-36 04 00",249.986,-7.1296,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.43337,-36.06667
"NGC 2425","07 38 17","-14 52 42",231.5042,3.297,"nan",5.0,4053.0,0.31,"nan",9.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.5708,-14.87838
"NGC 2420","07 38 23","+21 34 24",198.1071,19.634,"nan",5.0,3085.0,0.029,"nan",9.048,"nan","nan","nan","nan","nan","nan","nan","nan",84.0,13.0,5.0," F89",-0.266,0.07,19.0,114.59579,21.57335
"Melotte 72","07 38 24","-10 41 00",227.8411,5.3607,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.60003,-10.68334
"Arp-Madore 2","07 38 46","-33 50 36",248.1254,-5.8762,"nan",2.0,13341.0,0.57,"nan",9.335,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.69169,-33.84328
"Collinder 467","07 39 18","-10 33 00",227.8314,5.6187," nf",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.82496,-10.55
"NGC 2428","07 39 21","-16 31 42",233.0711,2.714," n",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.83753,-16.52834
"Ruprecht 28","07 39 36","-30 56 00",245.657,-4.3096," nf",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.89999,-30.93331
"NGC 2430","07 39 41","-16 17 48",232.9082,2.8972," n",15.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.9208,-16.29671
"ESO 493-03","07 39 45","-27 17 36",242.4935,-2.4988,"nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",114.93743,-27.29332
"Bochum 15","07 40 06","-33 32 00",247.9879,-5.4834,"nan",3.0,2806.0,0.576,"nan",6.742,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",115.02502,-33.5333
"NGC 2408","07 40 09","+71 39 18",143.625,29.4655," p",24.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",115.0374,71.65503
"Haffner 13","07 40 30","-30 05 00",245.0089,-3.7247,"nan",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",115.12505,-30.08332
"NGC 2439","07 40 45","-31 41 36",246.4424,-4.4667,"nan",9.0,3855.0,0.407,"nan",7.251,-2.22,0.46,3.13,0.56,-3.82,-0.4,3.0," BDW",68.0,0.8,"nan"," RGDZ","nan","nan","nan",115.18743,-31.69332
"NGC 2432","07 40 53","-19 04 36",235.4712,1.7783,"nan",6.0,1905.0,0.23,"nan",8.8,-5.43,3.3,2.01,3.3,-4.43,-3.73,12.0," TYC","nan","nan","nan","nan","nan","nan","nan",115.22086,-19.07665
"ESO 429-13","07 41 08","-30 44 18",245.648,-3.9271,"nan",4.0,"nan",0.0,"nan",8.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",115.28335,-30.73827
"Ruprecht 151","07 41 18","-16 15 00",233.0584,3.2581," d",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",115.32501,-16.24999
"Ruprecht 29","07 41 18","-24 21 00",240.1036,-0.7443," nf",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",115.32496,-24.34999
"NGC 2437","07 41 46","-14 48 36",231.8576,4.0644,"nan",20.0,1375.0,0.154,"nan",8.39,-4.54,1.44,0.58,1.44,-2.74,-3.67,75.0," TYC",48.1,0.1,"nan"," RGDZ",0.059,0.09,1.0,115.44166,-14.81002
"Ruprecht 30","07 42 25","-31 28 00",246.4192,-4.0461," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",115.60421,-31.46666
"Ruprecht 31","07 42 59","-35 36 00",250.0923,-5.9725,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",115.74589,-35.60001
"ESO 368-11","07 44 22","-34 38 42",249.3958,-5.2572,"nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.09164,-34.64495
"NGC 2451B","07 44 27","-37 40 00",252.0509,-6.7265,"nan",108.0,302.0,0.055,"nan",7.648,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.45,"nan","nan",116.11247,-37.66668
"NGC 2447","07 44 30","-23 51 24",240.0386,0.1346,"nan",10.0,1037.0,0.046,"nan",8.588,-4.85,1.93,4.47,1.93,-6.3,-1.97,35.0," TYC",21.7,0.7,11.0," MM89","nan","nan","nan",116.12499,-23.85663
"NGC 2448","07 44 34","-24 40 48",240.7594,-0.2636," n",20.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.14171,-24.67997
"Haffner 14","07 44 51","-28 22 00",243.9855,-2.0505," d",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.21255,-28.36665
"Ruprecht 32","07 45 10","-25 32 00",241.5663,-0.5728,"nan",5.0,5346.0,0.5,"nan",7.08,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.29169,-25.53332
"NGC 2451A","07 45 15","-37 58 00",252.3922,-6.7356,"nan","nan",189.0,0.01,"nan",7.78,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.0,"nan","nan",116.3125,-37.96668
"Haffner 15","07 45 32","-32 51 00",247.9516,-4.1577,"nan",3.0,2078.0,1.141,"nan",7.166,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.38329,-32.85004
"ESO 258-01","07 45 47","-46 42 48",260.1946,-10.8698," d",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.44588,-46.71333
"Ruprecht 34","07 45 55","-20 23 00",237.1948,2.1565,"nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.47917,-20.38337
"Ruprecht 33","07 45 58","-21 57 00",238.557,1.3815," d",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.4917,-21.94998
"Ruprecht 35","07 46 13","-31 17 00",246.663,-3.251,"nan",1.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.55414,-31.2833
"Berkeley 39","07 46 42","-04 36 00",223.4614,10.0945,"nan",7.0,4780.0,0.12,"nan",9.9,"nan","nan","nan","nan","nan","nan","nan","nan",55.0,10.0,7.0," FJ93",-0.177,0.07,7.0,116.675,-4.59999
"ESO 368-14","07 47 03","-32 58 06",248.2135,-3.9407,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.76252,-32.96827
"NGC 2453","07 47 35","-27 11 42",243.2751,-0.9397,"nan",4.0,2150.0,0.446,"nan",7.187,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",116.89581,-27.19499
"Ruprecht 36","07 48 23","-26 18 00",242.5928,-0.3335,"nan",5.0,1681.0,0.166,"nan",7.606,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",117.09585,-26.29998
"Haffner 25","07 48 40","-25 57 00",242.3231,-0.1016," nf",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",117.16663,-25.95002
"NGC 2455","07 49 01","-21 18 06",238.3537,2.3203,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",117.25414,-21.30168
"ESO 311-14","07 49 24","-42 42 18",256.9481,-8.3727," d",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",117.35004,-42.70499
"Ruprecht 37","07 49 54","-17 17 00",234.984,4.5288,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",117.47499,-17.28335
"Haffner 16","07 50 20","-25 28 00",242.0972,0.4672,"nan",5.0,3165.0,0.175,"nan",7.078,-3.26,2.81,0.99,2.81,-2.51,-2.3,15.0," TYC","nan","nan","nan","nan","nan","nan","nan",117.58328,-25.46666
"Ruprecht 38","07 50 30","-20 11 00",237.564,3.1856," d",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",117.62495,-20.18335
"Czernik 32","07 50 30","-29 51 00",245.8896,-1.732,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",117.62499,-29.85002
"Haffner 17","07 51 37","-31 49 00",247.7055,-2.5271,"nan",2.0,2880.0,1.26,"nan",7.7,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",117.90419,-31.81665
"NGC 2459","07 52 02","+09 33 24",211.1116,17.7614," n",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.00829,9.55666
"NGC 2477","07 52 10","-38 31 48",253.5633,-5.8377,"nan",15.0,1222.0,0.279,"nan",8.848,"nan","nan","nan","nan","nan","nan","nan","nan",7.0,7.0,7.0," FJ93",0.019,0.11,7.0,118.04162,-38.52999
"Ruprecht 39","07 52 19","-22 27 00",239.7329,2.3959," nf",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.07917,-22.44996
"NGC 2467","07 52 26","-26 26 12",243.1723,0.3777,"nan",14.0,1355.0,0.338,"nan",7.103,-5.82,3.36,1.63,3.36,-4.38,-4.16,20.0," TYC",66.0,11.0,"nan"," RGDZ","nan","nan","nan",118.10836,-26.43665
"ESO 123-26","07 52 30","-60 19 48",273.0994,-16.2726,"nan",16.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.12498,-60.33003
"Haffner 18","07 52 39","-26 23 00",243.1514,0.4467,"nan",2.0,6028.0,0.611,"nan",6.893,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.16254,-26.38333
"Haffner 19","07 52 47","-26 17 00",243.0809,0.5236,"nan",2.0,5094.0,0.416,"nan",6.934,"nan","nan","nan","nan","nan","nan","nan","nan",68.0,6.0,"nan"," RGDZ","nan","nan","nan",118.19584,-26.28337
"Ruprecht 41","07 53 49","-26 58 00",243.7857,0.3705,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.45417,-26.96661
"Ruprecht 152","07 54 30","-38 14 00",253.5395,-5.2931,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.62502,-38.23332
"Waterloo 3","07 55 06","-25 21 54",242.562,1.4434,"nan",2.0,5200.0,0.34,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.77501,-25.36498
"NGC 2479","07 55 06","-17 42 36",235.9843,5.3809,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.77498,-17.70995
"NGC 2482","07 55 12","-24 15 30",241.6257,2.0345,"nan",10.0,1343.0,0.093,"nan",8.604,-4.93,2.95,1.6,2.95,-3.92,-3.4,32.0," TYC","nan","nan","nan","nan",0.12,0.02,3.0,118.79994,-24.2583
"NGC 2483","07 55 39","-27 53 42",244.7908,0.2393,"nan",7.0,1659.0,0.303,"nan",7.089,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.91252,-27.89501
"Trumpler 9","07 55 40","-25 53 00",243.0718,1.2846,"nan",5.0,2289.0,0.248,"nan",8.001,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",118.91667,-25.88329
"NGC 2489","07 56 15","-30 03 48",246.7128,-0.7732,"nan",6.0,3957.0,0.374,"nan",7.264,-4.83,2.85,5.45,3.03,-7.17,-1.3,1.0," BDW","nan","nan","nan","nan",0.08,0.01,2.0,119.06247,-30.06339
"Haffner 20","07 56 15","-30 22 00",246.9721,-0.9306,"nan",3.0,3117.0,0.569,"nan",8.121,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",119.06252,-30.36669
"Ruprecht 42","07 57 36","-25 55 00",243.3262,1.6388,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",119.39999,-25.91662
"NGC 2516","07 58 04","-60 45 12",273.8158,-15.8558,"nan",30.0,409.0,0.101,"nan",8.052,-3.19,1.73,10.0,1.73,-10.34,1.8,45.0," TYCW",22.0,3.6,"nan"," RGDZ",0.06,0.03,2.0,119.51675,-60.75336
"Ruprecht 44","07 58 51","-28 35 00",245.7455,0.4822,"nan",10.0,4730.0,0.619,"nan",6.941,-2.86,2.81,1.13,2.81,-2.46,-1.84,10.0," TYC","nan","nan","nan","nan","nan","nan","nan",119.71245,-28.58334
"ESO 494-09","07 59 16","-27 35 06",244.9434,1.0838,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",119.81665,-27.58498
"Ruprecht 43","07 59 18","-28 58 00",246.1236,0.3652," nf",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",119.82494,-28.96664
"ESO 561-05","07 59 19","-22 41 30",240.776,3.6548," d",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",119.8292,-22.69167
"Ruprecht 45","07 59 36","-16 18 00",235.3217,7.0275," d",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",119.89994,-16.30001
"NGC 2506","08 00 01","-10 46 12",230.5639,9.9347,"nan",12.0,3460.0,0.081,"nan",9.045,"nan","nan","nan","nan","nan","nan","nan","nan",94.0,10.0,5.0," F89",-0.376,0.08,10.0,120.00416,-10.77004
"Ruprecht 153","08 00 19","-30 17 00",247.3599,-0.139," nf",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.07916,-30.28338
"NGC 2509","08 00 48","-19 03 06",237.84,5.8479,"nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.19995,-19.05167
"Haffner 21","08 01 09","-27 13 00",244.85,1.6331,"nan",3.0,2951.0,0.106,"nan",7.92,-3.52,2.81,1.93,2.81,-3.5,-1.97,21.0," TYC","nan","nan","nan","nan","nan","nan","nan",120.28752,-27.21662
"ESO 311-21","08 01 43","-41 36 18",257.1585,-5.8477," d",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.42914,-41.60503
"Ruprecht 154","08 01 46","-44 25 00",259.5806,-7.3023,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.44164,-44.41663
"Ruprecht 46","08 02 10","-19 28 00",238.3651,5.9067,"nan",3.0,752.0,0.07,"nan",9.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.04,0.15,"nan",120.54167,-19.46668
"Ruprecht 47","08 02 19","-31 04 00",248.2521,-0.1879,"nan",4.0,3006.0,0.28,"nan",7.89,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.57912,-31.06664
"ESO 430-09","08 02 24","-29 46 36",247.1681,0.5116," d",0.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.59999,-29.77668
"Ruprecht 48","08 02 42","-32 03 00",249.1289,-0.6405,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.675,-32.04996
"Collinder 173","08 02 49","-46 23 00",261.375,-8.1627," o",370.0,421.0,0.05,"nan",7.142,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.70415,-46.38331
"Ruprecht 49","08 03 15","-26 46 00",244.7158,2.2682,"nan",2.0,1823.0,0.259,"nan",7.93,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.81252,-26.76663
"Ruprecht 50","08 03 27","-30 52 00",248.2118,0.1242," d",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.86247,-30.86664
"Ruprecht 51","08 03 37","-30 39 00",248.0475,0.2699," nf",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.90412,-30.64998
"ESO 430-14","08 03 37","-31 25 36",248.7048,-0.1439," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",120.9042,-31.42669
"NGC 2527","08 04 58","-28 08 48",246.0874,1.855,"nan",10.0,601.0,0.038,"nan",8.649,-4.09,2.95,6.4,2.95,-7.6,-0.03,30.0," TYC","nan","nan","nan","nan","nan","nan","nan",121.24171,-28.14669
"Ruprecht 155","08 05 05","-31 49 00",249.2012,-0.0883," nf",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",121.27083,-31.8166
"Ruprecht 52","08 05 09","-31 58 00",249.3355,-0.1567," nf",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",121.28755,-31.96665
"ESO 430-18","08 06 52","-30 50 12",248.5794,0.7595," nf",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",121.71671,-30.83664
"NGC 2533","08 07 04","-29 53 00",247.7996,1.3097,"nan",5.0,3379.0,0.047,"nan",8.876,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",121.76663,-29.88336
