"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","fnames","UCC_ID","quad","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","dups_fnames_m","dups_probs_m"
"HE2023","1566","CWNU 2837",207.4401,-60.8279,309.982,1.243,0.335,-6.649,-1.781,"cwnu2837","UCC G309.9+01.2","Q4P",7.4,0.85,0.64,"AB",21.0,309.962,1.264,207.389,-60.796,0.326,-6.652,-1.793,-20.602,3.0,"nan","nan"
"KHARCHENKO2012;BICA2019","72;2082","Ruprecht 110;OCL 912;ESO 097 10;MWSC 2199",211.4227,-67.415,309.9881,-5.5661,"nan","nan","nan","ruprecht110;ocl912;eso09710;mwsc2199","UCC G309.9-05.5","Q4N",2.1,0.19,0.41,"DC",0.0,309.994,-5.577,211.434,-67.424,0.19,-6.875,-2.351,-34.688,1.0,"nan","nan"
"HUNT2023","3708","HSC 2616",204.4032,-52.7359,309.9887,9.502,0.291,-8.645,-3.311,"hsc2616","UCC G309.9+09.5","Q4P",3.2,0.3,0.28,"CC",0.0,309.993,9.482,204.414,-52.751,0.293,-8.714,-3.313,-26.04,3.0,"nan","nan"
"HE2023;HUNT2023;CAVALLO2024","1360;1180;986","CWNU 2631",208.6104,-63.0782,309.9931,-1.0735,0.314,-5.054,-2.016,"cwnu2631","UCC G309.9-01.0","Q4N",4.5,0.69,0.92,"BA",31.0,309.987,-1.069,208.586,-63.07,0.3,-5.027,-1.997,"nan",0.0,"nan","nan"
"HUNT2023","3709","HSC 2617",201.6363,-41.1604,310.011,21.2283,0.407,-9.022,-5.907,"hsc2617","UCC G310.0+21.2","Q4P",7.1,0.07,0.2,"DD",0.0,310.035,21.23,201.664,-41.155,0.424,-8.84,-5.654,"nan",0.0,"nan","nan"
"HE2023_1","1395","CWNU 4250",210.3706,-65.5195,310.1089,-3.6285,0.011,-4.467,-1.244,"cwnu4250","UCC G310.1-03.6","Q4N",2.0,0.76,0.61,"AB",28.0,310.109,-3.628,210.371,-65.519,0.031,-4.474,-1.249,39.688,4.0,"nan","nan"
"CANTAT2020;CASTRO2020;HUNT2023;CAVALLO2024","1482;204;5882;5623","UBC 295",207.554,-60.399,310.133,1.6484,0.578,-4.487,-1.54,"ubc295","UCC G310.1+01.6","Q4P",6.4,0.98,0.83,"AA",50.0,310.127,1.647,207.52,-60.399,0.583,-4.562,-1.472,-10.993,12.0,"cwwdl13985","0.81"
"CHI2023_2","948","CWWDL 13985",207.6092,-60.3955,310.1604,1.6456,0.585,-4.569,-1.612,"cwwdl13985","UCC G310.1+01.6a","Q4P",7.3,1.0,0.79,"AA",90.0,310.143,1.645,207.583,-60.401,0.581,-4.564,-1.504,-10.806,15.0,"ubc295","0.81"
"HUNT2023;CAVALLO2024","5552;4768","Theia 3319",209.1598,-63.3153,310.1751,-1.3642,0.4945,-6.6751,-3.199,"theia3319","UCC G310.1-01.3","Q4N",3.5,0.29,0.44,"CC",0.0,310.184,-1.371,209.191,-63.319,0.471,-6.661,-3.214,-17.111,3.0,"nan","nan"
"CHI2023_1","78","LISC-III 3749",204.0302,-50.2474,310.208,11.992,1.887,-12.021,-3.862,"lisciii3749","UCC G310.2+11.9","Q4P",15.7,0.18,0.21,"DD",0.0,310.175,12.074,203.958,-50.173,1.795,-12.117,-3.189,-4.834,4.0,"nan","nan"
