"UCC_ID","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","N_50","r_50","C3","shared_members","shared_members_perc"
"UCC G288.3-00.5","UBC 263",162.656,-59.992,288.37,-0.565,0.389,-6.387,2.061,41.447,3.0,66.0,7.3,"AB","ascc62","33.3"
"UCC G288.3+00.0","Teutsch 31;DSH J1052.8-5927;MWSC 1864",163.209,-59.463,288.373,0.016,0.15,-6.189,2.426,8.292,4.0,33.0,0.9,"CB","nan","nan"
"UCC G288.3-19.0","HSC 2380",130.9636,-74.3753,288.361,-18.867,3.354,-3.006,12.843,12.844,6.0,24.0,25.0,"DB","nan","nan"
"UCC G288.3-00.1","CWNU 1734",163.0569,-59.629,288.381,-0.168,0.214,-4.078,1.239,"nan",0.0,25.0,0.9,"AB","nan","nan"
"UCC G288.3-02.5","CWWDL 499",160.8042,-61.7843,288.353,-2.572,0.225,-5.836,2.589,25.489,2.0,24.0,7.6,"DC","cwwdl504;cwwdl500","24.0;16.0"
"UCC G288.3+00.3","CWNU 2232",163.5177,-59.1978,288.39,0.329,0.202,-7.206,3.048,"nan",0.0,27.0,2.6,"BA","nan","nan"
"UCC G288.4-02.6","CWWDL 500",160.8499,-61.8131,288.439,-2.606,0.219,-5.702,2.547,2.231,3.0,13.0,8.8,"CC","cwwdl499","16.0"
"UCC G288.4-05.6","CWWDL 14597",157.541,-64.4702,288.447,-5.481,1.786,-16.852,1.808,-4.275,24.0,42.0,28.8,"AB","hsc2384;cwwdl14602","90.5;88.1"
"UCC G288.4-01.1","CWNU 2433",162.2579,-60.5649,288.435,-1.172,0.265,-6.244,2.418,12.635,2.0,25.0,2.3,"CB","nan","nan"
"UCC G288.4-00.6","ASCC 62;MWSC 1859",162.7618,-60.085,288.433,-0.604,0.4,-6.383,2.087,"nan",0.0,24.0,4.0,"AB","ubc263","88.0"
"UCC G288.5-01.8","UBC 657",161.796,-61.144,288.51,-1.799,0.187,-5.495,2.579,"nan",0.0,20.0,2.9,"BB","nan","nan"
"UCC G288.5+03.7","CWNU 4761",166.4986,-56.1622,288.603,3.717,0.178,-5.076,1.701,37.424,1.0,12.0,5.3,"DC","nan","nan"
"UCC G288.5+02.8","UPK 562",165.861,-56.978,288.61,2.861,1.225,-11.702,4.875,-6.011,17.0,54.0,15.5,"AB","nan","nan"
"UCC G288.6-00.2","Casado 2",163.4082,-59.8173,288.631,-0.271,0.371,-6.928,2.632,"nan",0.0,40.0,6.1,"BB","nan","nan"
"UCC G288.6+01.5","UBC 1486",164.9046,-58.2031,288.62,1.528,0.231,-8.843,3.327,-7.72,7.0,95.0,1.7,"AB","nan","nan"
"UCC G288.6-19.3","MWSC 5676",130.4772,-74.7628,288.643,-19.34,0.203,-4.491,5.38,11.409,1.0,22.0,9.0,"CC","nan","nan"
